U+1228F	𒊏	ẓi, zzi, RA, rah2
U+12077	𒁷	tin, tén, DIN, DON, kurun2
U+12087	𒂇	DUN3@g@g, MIR, AGA, rid, NIMGIR
U+12097	𒂗	siq, sig, bel, Bêl, EN, RU12, uru16, urunx, adi
U+120A7	𒂧	
U+120B7	𒂷	BA4, DAN2, GA2, ĜA2, ĜE26, MA3, PISAĜ, bisag, bisaĝ, bisan, mal
U+120C7	𒃇	GA2×EL
U+120D7	𒃗	GA2×IŠ+ḪU+AŠ
U+120E7	𒃧	emedub2, GA2×ŠID
U+120F7	𒃷	AŠAG, GAN2, GANA2, ulul2, kan2, GÀN
U+12008	𒀈	esaĝ, esag
U+12018	𒀘	KIR6
U+12028	𒀨	šušmaš
U+12038	𒀸	ina, rum, yi, áš, AŠ, DILI, ge15, dil, lirum2, liru2, makkaš2, saĝtak, salugub, simed, tal3, DELE
U+12048	𒁈	BAR2, BARA2, bara2, barag, bara9, BÁRA
U+12058	𒁘	ĝarim2
U+12068	𒁨	šurun4
U+12078	𒁸	sagkurun
U+12088	𒂈	
U+12098	𒂘	
U+120A8	𒂨	
U+120B8	𒂸	GA2×A+DA+ḪA
U+120C8	𒃈	GA2×EL+LA
U+120D8	𒃘	GA2×KAK
U+120E8	𒃨	GAZI2, GA2×SUM
U+120F8	𒃸	GURU6, KAR2, kara2
U+12009	𒀉	biṭ, idi, A2, ED, ET, ID, IT, IṬ, TE8, ʷit
U+12019	𒀙	
U+12029	𒀩	ALAN, zalam, ṣalmi
U+12039	𒀹	GE23, ge23, aš@z, santak3, uzaglal
U+12049	𒁉	BE2, BI, biz, ebir2, epir2, ešemen5, pé, pi2, pí, BÉ, kash
U+12059	𒁙	šaran
U+12069	𒁩	
U+12079	𒁹	1, DIŠ, EŠ4, ge3, saĝtak4, tal4, geš2
U+12089	𒂉	DÚR, DUR2, DURUN
U+12099	𒂙	BURU14, ENKAR, sullim, šibir2, ebūrim
U+120A9	𒂩	un3
U+120B9	𒂹	GA2×A+ḪA
