status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓄿 𓇋 𓅱 𓏭 𓍢 𓍢	pair of bandages (med.); (bandages ?); (pair of) bandages for holding together a gaping wound	Ai wi, Aiwy, ꜣꞽ.wï, ꜣjwj (noun) [tla, vygus, wikidata, wiktionary]	𓄿 𓇋 𓂋 𓌗 𓀜 = oppress (the poor) (line 4495) ; 𓄿 𓇋 𓇋 𓏏 𓅪 = blanch ? (line 4496)
missing_attested	𓅡 𓎡 𓀀 𓇋 𓅓	the servant there (speaker's reference to himself); I your servant; humble servant; a humble reference to the speaker; yours truly, your humble servant	bAk-im, bAk im, bꜣk-ꞽm, bꜣk jm (noun) [tla, vygus, wikidata, wiktionary]	𓅡 𓎡 𓀀 = servant (line 5400)
missing_attested	𓃀 𓅱 𓏏 𓏭 𓆜 𓏛	detested one; loathsome one; outcast; detested one, abominable one	bw ti, bwty, bw.tï, bwtj (noun) [tla, vygus, wikidata, wiktionary]	𓃀 𓅱 𓏏 𓅪 = abominate (line 2917) ; 𓃀 𓅱 𓏏 𓅪 = abominate (line 2918)
missing_attested	𓇋 𓂝 𓂋 𓇋 𓇋 𓏏 𓉐	god's dwelling; abode of the god; dwelling-place of a god	iary t, aaryt, ꞽꜥry.t, jꜥryt (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓂝 𓂋 𓈐 = mount up (line 7502) ; 𓇋 𓂝 𓂋 𓈐 = mount up, ascend (line 7503)
missing_attested	𓇋 𓏠 𓈖 𓀃 𓂋 𓈖 𓆑 𓀭	he whose name is hidden (esp. Amun); with secret name; an epithet of the god Amun, occasioanlly also used of other gods	imn-rn=f, imn rn .f, ꞽmn-rn=f, jmn-rn.f (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓏠 𓈖 = create (line 8433) ; 𓇋 𓏠 𓈖 = hidden (line 8434)
missing_attested	𓉺 𓇋 𓇋 𓏏 𓉐	columned hall; columned court; Columned Hall; Courtyard with Columns; columned hall	iwn yt, iwnyt, ꞽwn.yt, jwnyt (noun) [tla, vygus, wikidata, wiktionary]	𓉺 𓇋 𓇋 𓏏 𓊖 = (locality) Latopolis, Esna (line 11421)
missing_attested	𓂜 𓏏 𓏭 𓅪 𓆑	one who has nothing; the landless; the propertyless; synonym of jwtj-n.f (“one who has nothing”)	iwt i=f, iwty .f, ꞽwt.ï=f, jwtj.f (noun) [tla, vygus, wikidata, wiktionary]	𓂜 𓏏 𓏏 𓅪 𓏥 = what is not, does not exist (line 1246) ; 𓂜 𓏏 𓏮 𓅪 = who...not, which...not (line 1247)
missing_attested	𓅓 𓆓 𓂧	as follows (introducing direct speech); as saying; as follows; with the words	m-Dd, m Dd, m-ḏd, m ḏd (part) [tla, vygus, wikidata, wiktionary]	𓅓 𓆓 𓏏 = oil (line 4991) ; 𓅓 𓆓 𓏏 = oil (line 4992)
missing_attested	𓅓 𓋴 𓇋 𓋷 𓄿 𓏏	distinguishing mark; characteristic; recognition; characteristics; distinguishing mark, characteristic	msiA t, msiAt, msꞽꜣ.t, msjꜣt (noun) [tla, vygus, wikidata, wiktionary]	𓅓 𓋴 𓍿 𓊪 𓏏 = portable shrine (line 5122) ; 𓅓 𓋴 𓎝 𓎡 𓏏 𓏏 = night-bark, night-barque (of sun god) (line 5124)
missing_attested	𓄟 𓋴 𓇋 𓈖 𓏏 𓄹	spermatic cord; [part of the abdomen]; peritoneum (?); [part of the abdomen]; peritoneum (?)	msint, msin t, msꞽn.t () [middle-egyptian, tla, vygus, wikidata]	𓄟 𓋴 𓇋 𓇋 𓁶 𓏏 𓎱 = the First Mesyt (a Festival) (line 4050) ; 𓄟 𓋴 𓇋 𓇋 𓏏 = (collective n.) children, offspring, young (of animals) (line 4051)
missing_attested	𓈖 𓏏 𓏭 𓎟	anyone who; whomsoever; whatever else; anyone who, whomsoever	nt i-nb, nty nb, nt.ï-nb, ntj nb (noun) [tla, vygus, wikidata, wiktionary]	𓈖 𓏏 = to (line 10432) ; 𓈖 𓏏 = (genitival adj. fem.) of, belonging to (line 10433)
missing_attested	𓉐 𓏤 𓂚 𓌒 𓌕	armory (lit. house of weapons); arsenal; weapons depot; armory, arsenal	pr-aHA w, pr aHA, pr-ꜥḥꜣ.w, pr-ꜥḥꜣw (noun) [tla, vygus, wikidata, wiktionary]	𓉐 𓏤 = house, household, palace, temple (line 11143) ; 𓉐 𓏤 = upper part of building (line 11144)
missing_attested	𓉐 𓌳 𓉐	villa; chateau; pleasure house; villa, country house	pr-mA, pr mA, pr-mꜣ (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓉐 𓏤 𓄟 𓋴	birth house (mammisi); birth house; mammisi, a subsidiary chapel attached to a larger temple and associated with the nativity of a god	pr-ms, pr ms (noun) [tla, vygus, wikidata, wiktionary]	𓉐 𓏤 = house, household, palace, temple (line 11143) ; 𓉐 𓏤 = upper part of building (line 11144)
missing_attested	𓈎 𓄿 𓂧 𓏏 𓆰	a creeper (med.); (a plant); [a creeper (med.)]; a plant that grows by creeping; creeper	qAd t, qAdt, qꜣd.t, qꜣdt (noun) [tla, vygus, wikidata, wiktionary]	𓈎 𓄿 𓂋 𓍢 = bundle (line 9313) ; 𓈎 𓄿 𓂋 𓍢 = bundle (line 9314)
missing_attested	𓂋 𓈖 𓏏 𓏏	as follows (introducing direct speech); in as much as; furthermore; to the effect that	r-nt it, r ntt, r-nt.ït (part) [tla, vygus, wikidata, wiktionary]	𓂋 𓈖 𓏏 𓏌 𓏏 𓆘 = (divinity) Renenutet (the Harvest goddess) (line 830)
missing_attested	𓇅 𓆰 𓏥	green plants; greenery; green plants in general	wAD i, wAD, wꜣḏ.ï, wꜣḏ (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓅨 𓂋 𓂧 𓅱 𓀉 𓄣 𓏤 𓀭	weary-hearted (Osiris); (a name of Osiris); the weary one; the weary of heart (Osiris)	wrD w-ib, wrDw ib, wrd ib, wrḏ.w-ꞽb, wrdw-jb (noun) [tla, vygus, wikidata, wiktionary]	𓅨 𓂋 𓂧 𓀉 𓅪 = be weary, grow weary, tire (line 5480) ; 𓅨 𓂋 𓂧 𓀉 𓅪 = be weary (line 5481)
missing_attested	𓎳 𓋴 𓂧 𓈄 𓉳	Sed-festival (royal jubilee); jubilee festival; the Sed festival, a jubilee festival first celebrated after a king had ruled for thirty years and thereafter every three or four years	ḤAb-sd, Hb sd, Ḥꜣb-sd, ḥꜣb-sd (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓅃 𓅨 𓂋	Haroeris (Horus the elder); Haroeris; the god Horus the Elder	Ḥr w-wr, Hr wr, Ḥr.w-wr, ḥr-wr (noun) [tla, vygus, wikidata, wiktionary]	
missing_attested	𓇋 𓏠 𓈖 𓇳 𓏤	Amun-Re; Amun Ra; the god Amun-Ra	Ꞽmn w-Raw, imn, Ꞽmn.w-Rꜥw, jmn-rꜥ (noun) [tla, vygus, wikidata, wiktionary]	𓇋 𓏠 𓈖 = create (line 8433) ; 𓇋 𓏠 𓈖 = hidden (line 8434)
missing_attested	𓍋 𓃀 𓇋 𓇋 𓄜 𓇉	cheetah	Ab y-mH wi, Aby mH, ꜣb.y-mḥ.wï (noun) [tla, vygus, wikidata]	𓍋 𓃀 𓇋 𓇋 𓃮 = panther (line 16661) ; 𓍋 𓃀 𓇋 𓇋 𓄛 = panther (line 16663)
missing_attested	𓍋 𓃀 𓂧 𓈋 𓊖 𓀀 𓁐	the Inhabitants of Abydos; Abydenes (those who live at Abydos); Abydenes, the people of Abydos collectively	AbDw, ꜣbḏ.w, ꜣbḏw (noun) [vygus, wikidata, wiktionary]	𓍋 𓃀 𓀁 = desire, wish for (line 16632) ; 𓍋 𓃀 𓀁 = desire, wish (line 16633)
missing_attested	𓇹 𓇼 𓂧 𓏏 𓅱	monthly	Abd w, Abdwt, ꜣbd.w (adj) [tla, vygus, wikidata]	𓇹 𓇼 𓂧 𓇳 𓏤 = month (line 8997) ; 𓇹 𓇼 𓂧 𓎲 = monthly festival (line 8998)
missing_attested	𓄿 𓂧 𓏏 𓆊	an eye ailment; eye disease; Pterygium ?; [an eye ailment]	Ad t, Adt, ꜣd.t (noun) [tla, vygus, wikidata]	𓄿 𓂧 𓏏 𓏯 𓀜 = prepare (line 4453) ; 𓄿 𓂧 𓏏 𓏯 𓀜 = prepare (line 4454)
missing_attested	𓄿 𓂧 𓇋 𓇋 𓏏	part of a ship; (a ship part); eye disease; Pterygium ?	Ady t, Adyt, ꜣdy.t (noun) [tla, vygus, wikidata]	𓄿 𓂧 𓂻 = quiver, palpitate (line 4446) ; 𓄿 𓂧 𓆊 = be savage, be aggressive, be angry, attack, anger (line 4448)
missing_attested	𓄿 𓊪 𓂧 𓏏 𓅱	fowl; birds, fowl	Apd wt, ꜣpd.wt, ꜣpdwt (noun) [tla, wikidata, wiktionary]	𓄿 𓊪 𓂧 𓂻 = rush forward (line 4567) ; 𓄿 𓊪 𓂧 𓅬 = duck, bird (line 4568)
missing_attested	𓃀 𓅡 𓃀 𓇋 𓇋	Bebon (a demon); Bebon (divinity)	BAbA wi, bAby, Bꜣbꜣ.wï (noun) [tla, vygus, wikidata]	𓃀 𓅡 𓃀 𓅡 𓅱 𓉐 = hole (line 2770) ; 𓃀 𓅡 𓃀 𓅡 𓅱 𓉐 = hole (socket of eye, apertures of head) (line 2831)
missing_attested	𓃀 𓅡 𓄿 𓈎 𓏏 𓄈	Dazzling-eye (Egypt); (a cause of death); [a cause of death (?)]	BAq t, bAqt, bꜣq.t (noun) [tla, vygus, wikidata]	𓃀 𓅡 𓄿 𓈎 𓆭 𓏌 𓏥 = moringa oil (line 2822) ; 𓃀 𓅡 𓄿 𓈎 = oily, bright (line 2823)
missing_attested	𓃀 𓂝 𓅷 𓏊	Bata; copper jug; a copper jug; [a copper jug]	BAtA, baTA, bꜥṯꜣ (noun) [tla, vygus, wikidata]	𓃀 𓂝 𓀁 = abundance (as deity) (line 2718) ; 𓃀 𓂝 𓀁 = abundance (as deity) (line 2719)
missing_attested	𓍑 𓄿 𓇋 𓇋 𓊛	a large riverboat; noun; a large river boat; [a large riverboat]	DA y, DAy, ḏꜣ.y (noun) [tla, vygus, wikidata]	𓍑 𓄿 𓇋 𓇋 𓅂 = opponents (line 16761) ; 𓍑 𓄿 𓇋 𓇋 𓏲 𓏱 = opponent (line 16762)
missing_attested	𓍑 𓏌 𓏏 𓍑 𓏲 𓏭	harper; Harpist	DADA ti, DADAwy, ḏꜣḏꜣ.tï (noun) [tla, vygus, wikidata]	𓍑 𓏌 𓅱 = young men, troops (line 16802)
missing_attested	𓍑 𓍑 𓏲 𓏏 𓈇 𓏤	courses (of a brick wall); courses (of building work); surface plane	DADA wt, DADAwt, ḏꜣḏꜣ.wt (noun) [tla, vygus, wikidata]	𓍑 𓍑 𓁶 = head, tip (of bow) (line 16800) ; 𓍑 𓍑 𓏌 𓏏 𓐕 𓀀 𓏥 = magistrates, assessors (line 16801)
missing_attested	𓍑 𓄿 𓃀 𓈎 𓃀 𓈎 𓈗 𓏴 𓂡	to dunk (head-first) (Sem. loan word); plunge head over heels; headfirst	Dbqbq, Dbg, ḏbqbq (verb) [tla, vygus, wikidata]	𓍑 𓄿 𓃀 𓎛 𓅱 𓂝 𓀀 = type of fisherman (line 16748)
missing_attested	𓂧 𓃀 𓇋 𓇋 𓄛 𓏪	a cut of meat; body part; hippopotamus thongs; Hippopotami	Dbw, dbi y, dbw, dby, dbꞽ.y (noun) [tla, vygus, wikidata]	𓂧 𓃀 𓈖 𓏏 𓁸 = lock of hair (line 365) ; 𓂧 𓃀 𓈖 𓏏 𓁸 = lock of hair (line 2006)
missing_attested	𓊹 𓂧 𓏏 𓏤	god's hand; Hand of God (Priestess title)	Dr t-nTr, Drt nTr, ḏr.t-nṯr (noun) [tla, vygus, wikidata]	𓊹 𓂧 𓍯 𓅱 𓇼 = morning star (line 12934)
missing_attested	𓍑 𓄿 𓂋 𓂝 𓏤 𓏏 𓏲 𓆱	plank (Sem. loan word); (ship's) plank	Dra t, Drat, ḏrꜥ.t (noun) [tla, vygus, wikidata]	𓍑 𓄿 𓂋 𓅂 = need (line 16730) ; 𓍑 𓄿 𓂋 𓅱 𓆱 = need (line 16731)
missing_attested	𓆓 𓋴 𓇋 𓇋 𓏏 𓂡	cry of lamentation; plaintive cries; loud lamentation	Dsy t, Dsyt, ḏsy.t (noun) [tla, vygus, wikidata]	𓆓 𓋴 = (him)self, (his) own (line 6828) ; 𓆓 𓋴 𓂋 𓂦 = (adj.) holy, sacred, splendid, costly (line 6830)
missing_attested	𓎆 𓎆	twenty	Dwt, Dbati, ḏwt, mḏwtj (num) [vygus, wikidata, wiktionary]	𓎆 𓎆 𓎆 𓀙 𓀀 𓏥 = the Thirty (line 17370) ; 𓎆 𓎆 𓎆 𓏏 𓉐 = House of the Thirty (line 17371)
missing_attested	𓇉 𓊪 𓏭 𓏏 𓅱 𓂻 𓀀	scout; Spy; Scout	HAp wti, HAptyw, HApwty, ḥꜣp.wtï (noun) [tla, vygus, wikidata]	
missing_attested	𓎛 𓇋 𓆑 𓎼 𓏏	a female being; feminine essence (in magic) ?; [a female being]	Hifg t, Hifgt, ḥꞽfg.t (noun) [tla, vygus, wikidata]	
missing_attested	𓎆 𓎆 𓎆 𓎆	forty	Hm, ḥm.w, ḥmw (noun) [vygus, wikidata, wiktionary]	𓎆 𓎆 𓎆 𓀙 𓀀 𓏥 = the Thirty (line 17370) ; 𓎆 𓎆 𓎆 𓏏 𓉐 = House of the Thirty (line 17371)
missing_attested	𓍛	(a Priestly Title); [a club (weapon)]; [a club (for beating the wash)]; the king of Egypt as a particular individual who serves as an incarnation of kingship	Hm gmHsw, ḥm, 𓍛 (noun) [vygus, wikidata, wiktionary]	
missing_attested	𓎛 𓌳 𓏏 𓏭 𓉐	of celestial paths; (unknown); [of celestial paths]	HmA ti, HmAty, ḥmꜣ.tï (noun) [tla, vygus, wikidata]	𓎛 𓌳 𓄿 𓆇 = ball (line 18136) ; 𓎛 𓌳 𓄿 𓏏 𓎼 𓏥 𓈒 = carnelian, garnet (line 18141)
missing_attested	𓍎 𓏲 𓂡 𓌝	chariot maker; Cartwright	Hmw w-wrry t, Hmw wrryt, ḥmw.w-wrry.t (noun) [tla, vygus, wikidata]	
missing_attested	𓎛 𓆰 𓈖 𓃀 𓏏 𓏏	expression from temple administration; (unknown); [expression from temple administration]	Hnb tit, Hnbtt, ḥnb.tït (noun) [tla, vygus, wikidata]	𓎛 𓆰 𓈖 𓃀 𓏏 𓈇 𓏥 = confines (of district) (line 17840)
missing_attested	𓎛 𓆰 𓈖 𓃀 𓅱 𓊛	a solar bark; Solar boat; [a solar bark]	Hnb w, Hnbw, ḥnb.w (noun) [tla, vygus, wikidata]	𓎛 𓆰 𓈖 𓃀 𓏏 𓈇 𓏥 = confines (of district) (line 17840)
missing_attested	𓋾 𓈉 𓏏 𓏤	ruler of foreign countries (Hyksos); a foreign ruler generally; one of the Hyksos	HqA-xAs wt, ḥqꜣ-ḫꜣs.wt, ḥqꜣ-ḫꜣst (noun) [tla, wikidata, wiktionary]	
missing_attested	𓁷 𓂋 𓇯 𓃀 𓋴 𓈖 𓏏	title of office of the Ptah temple; an Official of the Ptah Temple; [title of office of the Ptah temple]	Hr i-bsn ti, Hry bsnty, ḥr.ï-bsn.tï (noun) [tla, vygus, wikidata]	𓁷 𓂋 𓇯 𓇾 𓈇 𓏤 𓀀 = survivor ƒ (line 252) ; 𓁷 𓂋 𓇯 𓇾 𓈇 𓏤 𓀀 = Aryer! (line 289)
missing_attested	𓁷 𓈄	master of largesse; Head of food distribution; Dining master; Official in Ritual	Hr i-wDb w, Hry wDb, ḥr.ï-wḏb.w (noun) [tla, vygus, wikidata]	
missing_attested	𓁷 𓂋 𓅱 𓇯 𓏥	those-who-are-above (stars); those-who-are-above (birds); those above (in Heaven; especially the stars)	Hr iw, Hrw, ḥr.ïw (noun) [tla, vygus, wikidata]	𓁷 𓂋 𓅱 𓇯 = upper part, top (line 277)
missing_attested	𓁷 𓂋 𓅱 𓂝 𓏤 𓈒 𓏥	a drink of grapes and water; laxative; healing potion (made from grapes and water); [a drink of grapes and water]	Hr iw-a, Hrw a, ḥr.ïw-ꜥ (noun) [tla, vygus, wikidata]	𓁷 𓂋 𓅱 𓆳 𓏏 = epagomenal days (line 276) ; 𓁷 𓂋 𓅱 𓇯 = upper part, top (line 277)
missing_attested	𓁷 𓂋 𓅱 𓈗 𓊛	those-on-the-water (boats); (a ship)	Hr iw-mw, Hryw mw, ḥr.ïw-mw (noun) [tla, vygus, wikidata]	𓁷 𓂋 𓅱 𓆳 𓏏 = epagomenal days (line 276) ; 𓁷 𓂋 𓅱 𓇯 = upper part, top (line 277)
missing_attested	𓊵 𓏏 𓊪 𓇋 𓇋 𓆱	an item of furniture; (a piece of furniture); [an item of furniture]	Htp y, Htpy, ḥtp.y (noun) [tla, vygus, wikidata]	𓊵 𓏏 𓊪 𓇋 𓇋 𓀀 𓏪 = pacify (line 12862) ; 𓊵 𓏏 𓊪 𓇋 𓇋 𓀀 𓏪 = non-combatants (line 12863)
missing_attested	𓎿 𓊃 𓎡	priest of Osiris at Abydos; Priest of Osiris (in Abydos); [priest of Osiris at Abydos]	Hzk w, Hskw, ḥzk.w (noun) [tla, vygus, wikidata]	
missing_attested	𓎛 𓊃 𓏠 𓈖 𓇋 𓇋	pitcher (in the ensemble of pitcher and wash basin); wash bowl	Hzmn y, Hsmny, ḥzmn.y (noun) [tla, vygus, wikidata]	𓎛 𓊃 𓏠 𓈖 𓊺 = natron (line 18064) ; 𓎛 𓊃 𓏠 𓈖 𓏒 𓏥 = (type of ) food (line 18065)
missing_attested	𓎛 𓎿 𓊃 𓊃 𓏏	what is praisworthy; praiseworthy	Hzz t, Hsst, ḥzz.t (noun) [tla, vygus, wikidata]	𓎛 𓎿 𓊃 = minstrel (line 18232) ; 𓎛 𓎿 𓊃 𓏏 = (fem.) minstrel (line 18233)
missing_attested	𓌨 𓏏 𓇋 𓅆	Kherti; (a Ram faced god)	H̱r ti, Xrti, H̱r.tï (noun) [tla, vygus, wikidata]	𓌨 𓏏 = possessions, belongings, share, portion, requirements, due 9from), duty, skill (line 16244)
missing_attested	𓇓 𓏏 𓈖 𓀔 𓈖 𓈖 𓊖	Heracleopolis; Herakleopolis	Nn-nzw, nni nsw (noun) [tla, vygus, wikidata]	𓇓 𓏏 𓈖 𓂋 𓏛 𓐍 = king's acquaintance (line 8710) ; 𓇓 𓏏 𓈖 = King of Upper Egypt, king (line 8717)
missing_attested	𓈙 𓏏 𓊪 𓏏 𓇯 𓊖	the one from Shet-Pet (Nut); (an epithet of Nut)	S t-p t, St pt, š.t-p.t (noun) [tla, vygus, wikidata]	𓈙 𓏏 𓍃 𓅓 𓅯 𓀁 = hostility (line 5647) ; 𓈙 𓏏 𓍃 𓅓 𓅯 𓀁 = hostility (line 5648)
missing_attested	𓆷 𓍯 𓃀 𓏏 𓏭 𓀾	shabti; ushabti	SAb ti, šꜣb.tï, šꜣwꜣbtj (noun) [tla, wikidata, wiktionary]	𓆷 𓍯 𓃀 𓏏 = a jar (line 7117)
missing_attested	𓋴 𓂧 𓏏 𓏯 𓏴 𓀜 𓈗 𓈘 𓈇	bread dough; breach in Dam; water breach (of a barrier)	SD t, sDt, sḏ.t (noun) [tla, vygus, wikidata]	𓋴 𓂧 𓃀 𓀁 = chew (line 13511) ; 𓋴 𓂧 𓃀 𓀁 = chew (line 13512)
missing_attested	𓏴 𓈖 𓏏 𓏯 𓃒	term for cows; (a breed of cow); [term for cows]	Sbn t, Sbnt, šbn.t (noun) [tla, vygus, wikidata]	𓏴 𓈖 = mixed, various (line 20036) ; 𓏴 𓈖 = various (line 20037)
missing_attested	𓄞 𓂧 𓄿 𓊪 𓂧 𓅭	fattener of fowl; Bird Farmer	Sd-Apd, Sd Apd, šd-ꜣpd (noun) [tla, vygus, wikidata]	𓄞 𓂧 𓀁 = read, read aloud, recite (line 3933) ; 𓄞 𓂧 𓀜 = stave off (event), pull (on), exact (dues), ransack (a country), apportion (field- plots) (line 3934)
missing_attested	𓇻 𓏏 𓎱	Semdet (festival on the 15th day of the lunar month); the half-month festival, a festival taking place on the fifteenth day of the lunar month	Smd t, Smd.t, smdt (noun) [tla, wikidata, wiktionary]	
missing_attested	𓅾	acacia; roasted goose; Triliteral phonogram for snḏ/snd.; Determinative in wšn (“to wring the neck of”).	SnD, snḏ, 𓅾 (noun) [tla, wikidata, wiktionary]	
missing_attested	𓆫 𓏏	Selkis; scorpion; Selkis (constellation in the northern sky); Scorpion (a constellation)	Srq t, srq t, srqt, srq.t (noun) [tla, vygus, wikidata]	
missing_attested	𓋴 𓃹 𓈖 𓏌 𓅱 𓈗 𓈘	Syene (Aswan); fishing pool; fishpond	Swn w, swn, swnw, swn.w (noun) [tla, vygus, wikidata]	𓋴 𓃹 𓈖 𓇋 𓇋 𓏏 𓌕 𓅪 𓏥 = pain (line 13707) ; 𓋴 𓃹 𓈖 𓈖 𓈗 = pond (line 13708)
missing_attested	𓊏 𓊪 𓅱 𓀜	name for an artery; the Receiver (an artery in the heart); [name for an artery]	Szp w, Sspw, šzp.w (noun) [tla, vygus, wikidata]	𓊏 𓊪 𓅱 𓏯 = sphinx (line 12242) ; 𓊏 𓊪 𓅱 = sphinx (line 12244)
missing_attested	𓅷 𓄿 𓇋 𓇋 𓂷 𓂡 𓅡 𓏤 𓆷 𓄿 𓌪 𓂡	wielder of the besha (stone-working tool); stonemason; the people of Stone-Hewers; wielder of the besha (stone-working tool); stonemason	TA y-bSA, TAy bSA, ṯꜣ.y-bšꜣ (noun) [tla, vygus, wikidata]	𓅷 𓄿 𓇋 𓇋 𓂺 𓀀 = male, man (line 6325) ; 𓅷 𓄿 𓇋 𓇋 𓂺 𓀀 = male, man (line 6326)
missing_attested	𓅷 𓄿 𓇋 𓇋 𓂷 𓂡 𓂧 𓂋 𓆑 𓍼 𓏤	collection of writings; writing container; bookcase	TA y-drf, TAy drf, ṯꜣ.y-drf (noun) [tla, vygus, wikidata]	𓅷 𓄿 𓇋 𓇋 𓂺 𓀀 = male, man (line 6325) ; 𓅷 𓄿 𓇋 𓇋 𓂺 𓀀 = male, man (line 6326)
missing_attested	𓏏 𓄿 𓅨 𓂋 𓏏 𓆗	Taweret; Taweret (Hippopotamus goddess)	TA-wr t, tAwrt, Tꜣ-wr.t (noun) [tla, vygus, wikidata]	𓏏 𓄿 = (demon. and def. art.) this, the (line 19175) ; 𓏏 𓄿 𓇋 𓇋 𓀀 = (pos. adj.) my (line 19176)
missing_attested	𓍿 𓎛 𓆑 𓏏 𓏭 𓆰	a part of black barley (med.); ergot (grain fungus); [a part of black barley (med.)]	THf ti, THfty, ṯḥf.tï (noun) [tla, vygus, wikidata]	𓍿 𓎛 𓅱 𓀁 = rejoice (line 17311) ; 𓍿 𓎛 𓅱 𓀁 = joy (line 17312)
missing_attested	𓅷 𓎼 𓅱 𓆱	a tree and its wood (Sem. loan word); asian timber; oak ?; elm ?	Tg, TAgw, ṯg (noun) [tla, vygus, wikidata]	
missing_attested	𓍘 𓅓 𓎛 𓏲 𓏏 𓈇 𓏤	[term for a country); (a type of land)	TmH t, TmH, ṯmḥ.t (noun) [tla, vygus, wikidata]	𓍘 𓅓 𓎛 𓇋 𓌙 𓀀 𓏥 𓁐 = Libyans (line 16859)
missing_attested	𓍘 𓅓 𓎛 𓇋 𓇋 𓈒 𓏥	a kind of red ochre; red ochre; [a kind of red ochre]	TmH y, TmHy, tmHy, ṯmḥ.y (noun) [tla, vygus, wikidata]	𓍘 𓅓 𓎛 𓇋 𓌙 𓀀 𓏥 𓁐 = Libyans (line 16859)
missing_attested	𓍿 𓅓 𓋴 𓋴 𓏏 𓏞	red thing; (unknown)	Tmss t, Tmsst, ṯmss.t (noun) [tla, vygus, wikidata]	𓍿 𓅓 𓋴 𓏞 = red, ruddy, violet (line 17220) ; 𓍿 𓅓 𓋴 𓏞 = red, ruddy, violet (line 17221)
missing_attested	𓍿 𓈖 𓅓	(a liquid); pothole (in Netherworld; as a hazardous site); a kind of beer	Tnm, Tnmt, ṯnm (noun) [vygus, wikidata, wiktionary]	𓍿 𓈖 𓌙 𓅯 = (int.) where ?, whence ? (line 5605) ; 𓍿 𓈖 𓌙 𓅯 = (int.) where ?, whence ? (line 17253)
missing_attested	𓁶 𓇻	Tepi-semdet (half-month-festival); 15th lunar day	Tp i-smd t, tp smdt, Tp.ï-smd.t (noun) [tla, vygus, wikidata]	
missing_attested	𓅷 𓏤 𓂋 𓏤 𓇋 𓇋 𓈖 𓄿 𓄛	body armor (Sem. loan word); corselet; hide armour; coat of mail	Tryn, TArynA, Trn / Tryn, ṯryn (noun) [tla, vygus, wikidata]	𓅷 𓏤 = fledgling (figurative for Child) (line 6319) ; 𓅷 𓏤 𓅆 = fledgling (figurative for Child) (line 6320)
missing_attested	𓄡 𓂧 𓃀 𓇋 𓀀 𓏪	livestock holder; cattle farmer (?); Farmer; Stockman	Xdb i, Xdby, ẖdb.ꞽ (noun) [tla, vygus, wikidata]	𓄡 𓂧 𓃀 𓀜 = kill (line 4099) ; 𓄡 𓂧 𓃀 𓀜 = kill (line 4100)
missing_attested	𓂙 𓈖 𓊛 𓀜 𓃒	cattle ferry; Cattle Ferry	Xn-iH, XniH, Xn iH, ẖn-ꞽḥ (noun) [tla, vygus, wikidata]	𓂙 𓈖 𓊛 𓀜 = row (line 1197)
missing_attested	𓄚 𓈖 𓈖 𓏭 𓈖 𓏭 𓈗 𓈘 𓈇	irrigation basin	Xnnn, Xnn, ẖnnn (noun) [tla, vygus, wikidata]	𓄚 𓈖 𓂻 = approach (line 3895) ; 𓄚 𓈖 𓉐 = interior, home, abode, Residence (line 3896)
missing_attested	𓄚 𓈖 𓏌 𓅱 𓏏 𓏭 𓏛 𓏥	a part of the skin (?) (med.); inner; (part of limbs ?); [a part of the skin (?) (med.)]	Xnw ti, Xnwty, ẖnw.tï (noun) [tla, vygus, wikidata]	𓄚 𓈖 𓏌 𓅱 = brook (line 3901) ; 𓄚 𓈖 𓏌 𓅱 𓅂 𓄛 𓌙 𓏥 𓀀 = skin-clad people (line 3902)
missing_attested	𓌨 𓂋 𓃛 𓅱 𓅪	victim of wrongdoing (?); unhappy person; victim of wrongdoing (?); unhappy person; victim of wrong	Xr i-iw, ẖr.ï-ꞽw, ẖrj-jw (noun) [tla, wikidata, wiktionary]	𓌨 𓂋 𓐟 𓏤 = the hindermost ? (line 1100) ; 𓌨 𓂋 𓐟 𓏤 = the hindermost ? (line 16251)
missing_attested	𓌨 𓂋 𓏏 𓇹 𓇼 𓂧 𓇳	monthly requirments; monthly requirements; monthly quota	Xr t-Abd, Xrt Abd, ẖr.t-ꜣbd (noun) [tla, vygus, wikidata]	𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16229) ; 𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16230)
missing_attested	𓌨 𓂋 𓏏 𓉔 𓂋 𓅱 𓇳 𓏤	daily requirements; daily needs	Xr t-hrw, Xrt Abd, ẖrt-hrw (noun) [tla, vygus, wiktionary]	𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16229) ; 𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16230)
missing_attested	𓌨 𓂋 𓏏 𓏭 𓅂 𓉐	basement; groundfloor; lower floor	Xr tiw, Hrtyw, Xrtyw, ẖr.tïw (noun) [tla, vygus, wikidata]	𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16229) ; 𓌨 𓂋 𓏏 𓂝 𓅪 𓏥 = deceit (line 16230)
