status	glyphs	meaning	note	similar_in_my_dictionary
missing_attested	𓋴 𓇳 𓌌	to illuminate	sHD (verb) [vygus]	
missing_attested	𓋴 𓌉 𓆓 𓇳 𓏫	to brighten	sHD (verb) [vygus]	
missing_attested	𓋴 𓌉 𓆓 𓏥	leprosy ?	sHD (noun) [vygus] ~approx	
missing_attested	𓌍 𓏲 𓏏 𓇶 𓏥	sun beams	sHD (noun) [vygus]	
missing_attested	𓋴 𓌉 𓆓 𓇳 𓂋 𓅪	great light - maker  (of Sun god)	sHD  wr () [middle-egyptian]	
missing_attested	𓋴 𓌉 𓆓 𓇼 𓅪 𓂋	great light - maker  (of Sun god)	sHD  wr () [middle-egyptian]	
missing_attested	𓊃 𓌉 𓆓 𓇳 𓅨 𓂋 𓇳	the great illuminator (an epithet)	sHD wr (noun) [vygus]	
missing_attested	𓋴 𓌉 𓏏	(female) Deputy Head; Inspectoress	sHDt (noun) [vygus]	
missing_attested	𓋴 𓌉 𓆓 𓇶	the enlightened; the enlightenment (of the Netherworld)	sHDw (noun) [vygus]	
missing_attested	𓋴 𓌉 𓆓 𓇳 𓎟 𓈖 𓁻 𓏏 𓏤 𓄻	leucoma (an eye disease)	sHDw n irt (noun) [vygus] ~approx	
missing_attested	𓋴 𓎛 𓎛 𓏏	purple swamp hen ?; Allen's gallinule ?	sHHt (noun) [vygus]	𓋴 𓎛 𓎛 𓏏 𓅭 = gallinule (moor hen) ? (line 15186)
missing_attested	𓊃 𓎱	make replete	sHb (verb) [vygus]	
missing_attested	𓋴 𓎛 𓃀 𓏲 𓊡 𓏪	(unknown)	sHb (noun) [vygus]	𓋴 𓎛 𓃀 𓎱 = make festive, adorn (line 15104) ; 𓋴 𓎛 𓃀 = make festive (line 21768)
missing_attested	𓋴 𓎛 𓃀 𓈖 𓃀 𓈖	(unknown)	sHbnbn (none) [vygus]	𓋴 𓎛 𓃀 𓎱 = make festive, adorn (line 15104) ; 𓋴 𓎛 𓃀 = make festive (line 21768)
missing_attested	𓋴 𓎛 𓂧 𓇼	covered with stars	sHdw (none) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓆑 𓄿 𓆱	(a wooden part of a boat); noun	sHfA (noun) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓈞 𓈗	(unknown)	sHm (other) [vygus]	
missing_attested	𓋴 𓎛 𓌴 𓁹	(unknown)	sHmA (verb) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓏌 𓏯 𓏯 𓀜	to authorize	sHn (verb) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓏌 𓏯 𓏯 𓀜 𓏥	commission	sHn (noun) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓏌 𓏲 𓏭 𓏛 𓀜	commission	sHn (noun) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓏏 𓏛 𓀜 𓏪	duties; tasks	sHn (noun) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓏯 𓏯 𓏯 𓀜	commission	sHn (noun) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓆰 𓈖 𓈖 𓏏 𓉐	office building	sHnnt, sHnn (noun) [vygus]	𓋴 𓎛 𓆰 𓈖 𓂡 = command (line 15171) ; 𓋴 𓎛 𓆰 𓈖 𓏜 = decorate (line 15188)
missing_attested	𓋴 𓎛 𓈖 𓏏 𓏭 𓂡	Repeller; Driver back	sHnty (noun) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓊃 𓎛 𓊃 𓎛 𓂾	stamp (with feet)	sHsH (verb) [vygus]	𓊃 𓎛 𓊃 𓎛 𓅥 = screech (of bird) (line 12090)
missing_attested	𓊃 𓎛 𓏏 𓊪	to acknowledge; to appease	sHt (verb) [vygus]	𓊃 𓎛 𓉲 𓏛 = council (line 12088) ; 𓊃 𓎛 𓊃 𓎛 𓅥 = screech (of bird) (line 12090)
missing_attested	𓋴 𓎛 𓌟 𓏏 𓈅	(unknown)	sHt (noun) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓊨 𓅓 𓅮 𓂡	annihilate	sHtm (verb) [vygus]	𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 5705) ; 𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 15124)
missing_attested	𓋴 𓎛 𓊨 𓏏 𓅓 𓅮	annihilate	sHtm (verb) [vygus]	𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 5705) ; 𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 15124)
missing_attested	𓋴 𓎛 𓊨 𓏏 𓅓 𓅯	annihilate	sHtm (verb) [vygus]	𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 5705) ; 𓋴 𓎛 𓊨 𓅓 𓅯 𓅪 = destroy (line 15124)
missing_attested	𓋴 𓊵 𓏏 𓊪 𓀁	to appease	sHtp (verb) [vygus]	𓋴 𓊵 𓏏 𓊪 𓇋 𓇋 = censer (line 14702) ; 𓋴 𓊵 𓏏 𓊪 𓏛 𓄣 𓏤 = please (line 14703)
missing_attested	𓇓 𓏲 𓎛 𓍘 𓇋 𓇋 𓆛	(a fish)	sHty (noun) [vygus]	𓇓 𓏲 𓇋 𓏏 𓇢 = pill (line 8734)
missing_attested	𓋴 𓎛 𓍯 𓄿 𓏲 𓏥	Putrilage (rotting matter)	sHw (noun) [vygus] ~approx	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓇬 𓈖 𓀔	to rejuvenate; to constrict	sHwn (verb) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
missing_attested	𓋴 𓎛 𓅨 𓂋 𓇋 𓌟 𓀁 𓏫	insults; curses	sHwr (noun) [vygus]	𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 5704) ; 𓋴 𓎛 𓏏 𓍃 𓅪 = destroy (line 15125)
