⊁	⊀ # [BEST FIT] DOES NOT SUCCEED
⊂	⊃ # SUBSET OF
⊃	⊂ # SUPERSET OF
⊄	⊅ # [BEST FIT] NOT A SUBSET OF
⊅	⊄ # [BEST FIT] NOT A SUPERSET OF
⊆	⊇ # SUBSET OF OR EQUAL TO
⊇	⊆ # SUPERSET OF OR EQUAL TO
⊈	⊉ # [BEST FIT] NEITHER A SUBSET OF NOR EQUAL TO
⊉	⊈ # [BEST FIT] NEITHER A SUPERSET OF NOR EQUAL TO
⊊	⊋ # [BEST FIT] SUBSET OF WITH NOT EQUAL TO
⊋	⊊ # [BEST FIT] SUPERSET OF WITH NOT EQUAL TO
⊏	⊐ # SQUARE IMAGE OF
⊐	⊏ # SQUARE ORIGINAL OF
⊑	⊒ # SQUARE IMAGE OF OR EQUAL TO
⊒	⊑ # SQUARE ORIGINAL OF OR EQUAL TO
⊘	⦸ # CIRCLED DIVISION SLASH
⊢	⊣ # RIGHT TACK
⊣	⊢ # LEFT TACK
⊦	⫞ # ASSERTION
⊨	⫤ # TRUE
⊩	⫣ # FORCES
⊫	⫥ # DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
⊰	⊱ # PRECEDES UNDER RELATION
⊱	⊰ # SUCCEEDS UNDER RELATION
⊲	⊳ # NORMAL SUBGROUP OF
⊳	⊲ # CONTAINS AS NORMAL SUBGROUP
⊴	⊵ # NORMAL SUBGROUP OF OR EQUAL TO
⊵	⊴ # CONTAINS AS NORMAL SUBGROUP OR EQUAL TO
⊶	⊷ # ORIGINAL OF
⊷	⊶ # IMAGE OF
⊸	⟜ # MULTIMAP
⋉	⋊ # LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
⋊	⋉ # RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
⋋	⋌ # LEFT SEMIDIRECT PRODUCT
⋌	⋋ # RIGHT SEMIDIRECT PRODUCT
⋍	≃ # REVERSED TILDE EQUALS
⋐	⋑ # DOUBLE SUBSET
⋑	⋐ # DOUBLE SUPERSET
⋖	⋗ # LESS-THAN WITH DOT
⋗	⋖ # GREATER-THAN WITH DOT
⋘	⋙ # VERY MUCH LESS-THAN
⋙	⋘ # VERY MUCH GREATER-THAN
⋚	⋛ # LESS-THAN EQUAL TO OR GREATER-THAN
⋛	⋚ # GREATER-THAN EQUAL TO OR LESS-THAN
⋜	⋝ # EQUAL TO OR LESS-THAN
⋝	⋜ # EQUAL TO OR GREATER-THAN
⋞	⋟ # EQUAL TO OR PRECEDES
⋟	⋞ # EQUAL TO OR SUCCEEDS
⋠	⋡ # [BEST FIT] DOES NOT PRECEDE OR EQUAL
⋡	⋠ # [BEST FIT] DOES NOT SUCCEED OR EQUAL
⋢	⋣ # [BEST FIT] NOT SQUARE IMAGE OF OR EQUAL TO
⋣	⋢ # [BEST FIT] NOT SQUARE ORIGINAL OF OR EQUAL TO
⋤	⋥ # [BEST FIT] SQUARE IMAGE OF OR NOT EQUAL TO
⋥	⋤ # [BEST FIT] SQUARE ORIGINAL OF OR NOT EQUAL TO
⋦	⋧ # [BEST FIT] LESS-THAN BUT NOT EQUIVALENT TO
⋧	⋦ # [BEST FIT] GREATER-THAN BUT NOT EQUIVALENT TO
⋨	⋩ # [BEST FIT] PRECEDES BUT NOT EQUIVALENT TO
⋩	⋨ # [BEST FIT] SUCCEEDS BUT NOT EQUIVALENT TO
⋪	⋫ # [BEST FIT] NOT NORMAL SUBGROUP OF
⋫	⋪ # [BEST FIT] DOES NOT CONTAIN AS NORMAL SUBGROUP
⋬	⋭ # [BEST FIT] NOT NORMAL SUBGROUP OF OR EQUAL TO
⋭	⋬ # [BEST FIT] DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
⋰	⋱ # UP RIGHT DIAGONAL ELLIPSIS
⋱	⋰ # DOWN RIGHT DIAGONAL ELLIPSIS
⋲	⋺ # ELEMENT OF WITH LONG HORIZONTAL STROKE
⋳	⋻ # ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋴	⋼ # SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋶	⋽ # ELEMENT OF WITH OVERBAR
⋷	⋾ # SMALL ELEMENT OF WITH OVERBAR
⋺	⋲ # CONTAINS WITH LONG HORIZONTAL STROKE
⋻	⋳ # CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋼	⋴ # SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
⋽	⋶ # CONTAINS WITH OVERBAR
⋾	⋷ # SMALL CONTAINS WITH OVERBAR
⌈	⌉ # LEFT CEILING
⌉	⌈ # RIGHT CEILING
⌊	⌋ # LEFT FLOOR
⌋	⌊ # RIGHT FLOOR
〈	〉 # LEFT-POINTING ANGLE BRACKET
〉	〈 # RIGHT-POINTING ANGLE BRACKET
❨	❩ # MEDIUM LEFT PARENTHESIS ORNAMENT
❩	❨ # MEDIUM RIGHT PARENTHESIS ORNAMENT
❪	❫ # MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
❫	❪ # MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
❬	❭ # MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
❭	❬ # MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
❮	❯ # HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
❯	❮ # HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
❰	❱ # HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
❱	❰ # HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
❲	❳ # LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
❳	❲ # LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
❴	❵ # MEDIUM LEFT CURLY BRACKET ORNAMENT
❵	❴ # MEDIUM RIGHT CURLY BRACKET ORNAMENT
⟃	⟄ # OPEN SUBSET
⟄	⟃ # OPEN SUPERSET
⟅	⟆ # LEFT S-SHAPED BAG DELIMITER
⟆	⟅ # RIGHT S-SHAPED BAG DELIMITER
⟈	⟉ # REVERSE SOLIDUS PRECEDING SUBSET
⟉	⟈ # SUPERSET PRECEDING SOLIDUS
⟋	⟍ # MATHEMATICAL RISING DIAGONAL
⟍	⟋ # MATHEMATICAL FALLING DIAGONAL
⟕	⟖ # LEFT OUTER JOIN
⟖	⟕ # RIGHT OUTER JOIN
⟜	⊸ # LEFT MULTIMAP
⟝	⟞ # LONG RIGHT TACK
⟞	⟝ # LONG LEFT TACK
⟢	⟣ # WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK
⟣	⟢ # WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK
⟤	⟥ # WHITE SQUARE WITH LEFTWARDS TICK
⟥	⟤ # WHITE SQUARE WITH RIGHTWARDS TICK
⟦	⟧ # MATHEMATICAL LEFT WHITE SQUARE BRACKET
⟧	⟦ # MATHEMATICAL RIGHT WHITE SQUARE BRACKET
⟨	⟩ # MATHEMATICAL LEFT ANGLE BRACKET
⟩	⟨ # MATHEMATICAL RIGHT ANGLE BRACKET
⟪	⟫ # MATHEMATICAL LEFT DOUBLE ANGLE BRACKET
⟫	⟪ # MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET
⟬	⟭ # MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET
⟭	⟬ # MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET
⟮	⟯ # MATHEMATICAL LEFT FLATTENED PARENTHESIS
⟯	⟮ # MATHEMATICAL RIGHT FLATTENED PARENTHESIS
⦃	⦄ # LEFT WHITE CURLY BRACKET
⦄	⦃ # RIGHT WHITE CURLY BRACKET
⦅	⦆ # LEFT WHITE PARENTHESIS
⦆	⦅ # RIGHT WHITE PARENTHESIS
⦇	⦈ # Z NOTATION LEFT IMAGE BRACKET
⦈	⦇ # Z NOTATION RIGHT IMAGE BRACKET
⦉	⦊ # Z NOTATION LEFT BINDING BRACKET
⦊	⦉ # Z NOTATION RIGHT BINDING BRACKET
⦋	⦌ # LEFT SQUARE BRACKET WITH UNDERBAR
⦌	⦋ # RIGHT SQUARE BRACKET WITH UNDERBAR
⦍	⦐ # LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
⦎	⦏ # RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
