A12 𓀎 mSa
A15 𓀒 xr
A17 𓀔 Xrd child, rich.chard
A21 𓀙 sr sir senior
A33 𓀦 mniw
A38 𓀫 qiz Qus <> magic?
A47 𓀸 iry
A50 𓀻 Sps special?
A51 𓀼 Spsi
B3 𓁒 msi
C10 𓁦 mAat
C11 𓁨 HH
C3 𓁟 DHwty
C4 𓁠 Xnmw
C6 𓁢 inpw
C7 𓁣 stX
C8 𓁤 mnw
D1 𓁶 tp top
D10 𓂀 wDAt
D153 R
D19 𓂉 fnD front snout
D2 𓁷 Hr Herr head
D21 𓂋 rA Reuse Räus:pern
D24 𓂎 spt spit
D25 𓂏 spty
D27 𓂑 mnD amme
D28 𓂓 kA Kahn, Kau, Kön[ig]
D3 𓁸 Sny Haput-Haar Schnitt?
D34 𓂚 aHA archer
D36 𓂝 a Arm
D4 𓁹 ir eye, mvoije
D45 𓂦 Dsr Stoßer vs Sec.ret/sac.ret
D46 𓂧 d Daum, cheiro, thumb
D50 𓂭 Dba ƒ thumb
D52 𓂸 mtƒ cat<>cock
D56 𓂾 gH Gehen
D56 𓂾 gHs Ganges
D56 𓂾 rd road
D56 𓂾 sbq Podes
D58 𓃀 b Bein
D59 𓃁 ab ab'er Zeh
D60 𓃂 wab wash / pure
D61 𓃃 sAHƒ area
D9 𓁿 rmi rays <> [T]ränen
E17 𓃤 zAb
E22 𓃬 mAi Maui Tier, Mauren, Merit
E23 𓃭 l Leo
E23 𓃭 rw Rwan ~ Leon
E24 𓃮 Aby /
E34 𓃹 wn (Ha)sen
E6 𓃗 zzmt ass.maat 马 mare
F12 𓄊 wsr vizier Wesir <> Goose,Hals
F13 𓄋 wp open, up
F16 𓄏 db ƒ
F18 𓄑 Hw Hauer
F18 𓄑 bH Beißahn
F20 𓄓 ns Tongue Zunge
F21 𓄔 DrD
F21 𓄔 idn
F21 𓄔 msDr
F21 𓄔 sDm <> 𓆠 nSmt
F22 𓄖 kfA heck, hock
F22 𓄖 pH back panther pard
F23 𓄗 xpS
F25 𓄙 wHm
F26 𓄚 Xn hind, R-ind
F29 𓄝 sti shot, set(fire,...) S*T
F30 𓄞 Sd Scheide sheath SH*DH
F31 𓄟 ms Messe, mesut, (re)naissance MES / NAIS
F32 𓄡 X scrot(um) SCR / CHR
F33 𓄢 sd stail, tail, steil 𓃩 𓃫 <> Seth ST*
F34 𓄣 ibƒ heart HT
F35 𓄤 nfr heart:fair ♡ schön, gut, … GT / …
F36 𓄥 zmA soma SM
F39 𓄪 imAx s(pinal)cord? ?
F4 𓄂 HAt cat head vs panther part HAT, HEAD, CAT
F40 𓄫 Aw long LNG length, to long, linger
F42 𓄭 spr spring rip
F44 𓄯 isw ration *TION ~ *SWN
F44 𓄯 iwa
F46 𓄲 `pXr over, para! `PR' over/Ufer/Euphr/uber/ober/'per
F46 𓄲 *tur turn TR(n) stirr 𓋴𓄲𓂋𓂻
F46 𓄲 qAb ƒ?
F5 𓄃 SsA Schießer hartebeest?
G1 𓄿 A Aar(eagle),air,aero AIR,ER,AR,A
G14 𓅐 mwt Mutter, Mutti, mother
G16 𓅒 nbty
G17 𓅓 m IM MI(T) IN
G18 𓅔 mm
G2 𓅀 AA
G21 𓅘 nH neck, Neck, Nacken
G22 𓅙 Db Depp
G23 𓅚 rxyt
G25 𓅜 Ax Axa: Maxa, [Hier]archie, Achaer
G27 𓅟 dSr dasher
G28 𓅠 gm find
G29 𓅡 bA Pfau, Puter
G32 𓅤 baHi
G35 𓅧 aq shag
G36 𓅨 wr very
G37 𓅪 nDs
G38 𓅬 gb goosen
G39 𓅭 zA sen,son,Sohn,cen,cindy,kin,Kind
G4 𓅂 tyw
G40 𓅮 pA Ohva,off,opther=fly
G41 𓅯 xn
G42 𓅰 wSA ƒ
G43 𓅱 w hEN,huhn,chuicwen wn, wen, un, en, u
G44 𓅲 ww
G46 𓅴 mAw
G47 𓅷 TA phain.chick (man)
G54 𓅾 snD
GA G shows short english see / vs speak prove gardiner path cluster
A1 𓀀 er seated man
A2 𓀁 I seated man with hand to mouth
A3 𓀂 he man sitting on heel
A4 𓀃 em seated man with hands raised
A5 𓀄 hide crouching man hiding behind wall
A6 𓀆 pour seated man under vase from which water flows
A7 𓀉 sit fatigued man
A8 𓀊 vow man performing hnw-rite
A9 𓀋 carrier seated man with  W10 on head
A10 𓀌 rower seated man holding oar
A11 𓀍 warrior seated man holding  S42 and  S39
A12 𓀎 bower soldier with bow and quiver
A13 𓀏 captors man with arms tied behind his back
A14 𓀐 victims falling man with blood streaming from his head
A15 𓀒 falling man falling
A16 𓀓 bowing man bowing down
A17 𓀔 child child sitting with hand to mouth
A18 𓀖 chard child wearing  S3
A19 𓀗 hiero bent man leaning on staff
A20 𓀘 hero man leaning on forked staff
A21 𓀙 Arier man holding staff with handkerchief
A22 𓀚 arian statue of man with staff and  S42
A23 𓀛 arian king with staff and  T3
A24 𓀜 act man striking with both hands
A25 𓀝 do man striking, with left arm hanging behind back
A26 𓀞 give man with one arm pointing forward
A27 𓀟 run hastening man
A28 𓀠 quer man with hands raised on either side
A29 𓀡 queer man upside down
A30 𓀢 hail man with hands raised in front
A31 𓀣 clap man with hands raised behind him
A32 𓀤 dance man dancing with arms to the back
A33 𓀦 walk man with stick and bundle on shoulder
A34 𓀧 kelter? man pounding in a mortar
A35 𓀨 bauer man building wall
A36 𓀩 kelt brauer man kneading into vessel
A37 𓀪 kulth man in vessel
A38 𓀫 qush man holding necks of two emblematic animals with panther heads
A39 𓀬 Kish zirc man on two giraffes
A40 𓀭 IO seated god
A41 𓀮 Amun king with uraeus
A42 𓀯 god king with uraeus and  S45
A43 𓀲 king wearing  S1
A44 𓀴 king wearing  S1 with  S45
A45 𓀵 king wearing  S3
A47 𓀸 shepherd seated and wrapped in mantle, holding stick
A48 𓀹 beardless man seated and holding knife
A49 𓀺 seated Syrian holding stick
A50 𓀻 noble on chair
A51 𓀼 noble on chair with  S45
A52 𓀽 noble squatting with  S45
A53 𓀾 standing mummy
A54 𓀿 lying mummy
