V	φ	Φ		Ⲫ	500	𓆑 	𐤅	21	ו 	ܘ	ڤ	ﻭ	ወ	Ѵ	ѵ	vāw	v-hook	Vhen		𒌋	𒌋  vu	巫	ᚢ 			V~B / VOW 	𐎁	V	ו
W	ω	Ω͂	ō	Ⲱ	800	𓅳	𐤅	22	ו 	ܘ	ﻭ	ﻭ	ወ	Ў	ў	wāw	w-hook	Wuhn		𒑱	𒉿	文/无	ᚢ 	<> soWil ᛊ?		UU / WO	𐎜	W	ו
X	ξ	Ξ		Ⲝ	600	𓏴	𐤎	23	ס	ܤ	—	—	ሰ	Х	х	xsāmeks	xsupport	X 𓏵		𒉽	𒄬	斤	ᚷ 	*ghebō 	xift	SSU XU	𐎝	X	ס
Y	γ	Ψ		Ⲯ	700	𓏭	𐤅	24	ו	ܘ	 يا	 يا	ወ	У	у	yāw	y-hook	Yust		𒄿	𒄿	义/又	ᛃ	*yēra	year	YODa  YP	𐎊	Y	ו
Z	ζ	Ζ		Ⳉ	900	𓊃	𐤆	25	ז  s(z)	ܙ	ﺯ	 ذ	ዘ	Ж	ж	zayin	z-weapon	ZuΣum		𒋝	𒍝	左	ᛋ 	*algiZ	z'elk	ZU / ZETA	𐎑 𐎇	Z	ז
TH 	θ	Θ	tʰ ᚦ /θ/	Ⲑ	1000	𓆼	𐤈		ט	ܛ	ظ	ط	ጠ	Ѳ	ѳ	ṭzēt	wheel			𒍣	𒍣		ᚦ 	*þurisaz 	Thor	THANNA	 𐎘	ß Tc δ þ	ט
SH	ϡ	Ϣ	ʃ	Ϣ	60	𓄑  𓍱	𐤔		ש	ܫ		ش, س	ሠ	Ш	ш	šīn	tooth	ß/Z Zahn		𒍝 	𒁲	山 shān  手 (扌,龵) shou	ᛊ	*sōwilō 	Sun	SHIN	𐎌	Sk	ש
ß	ς		δ	Ⲋ					ץ tz					Щ	щ					𒁲			ᛉ			SAMKA	𐎒	S	
GH		Γ		Ⲝ									ኀ													SADE	𐎕	Tz	
TSH	γ		tʃ			𓆓								Ѯ	ѯ											TET	𐎉	Th	
TZ			tz			𓍿				gHa	عا		ፐ	З	з											ZETA	𐎇	tß vs 𐎕	
DH  	ð	Ð	þ /ð/							dha	ذا			Ч	џ							心 (忄,⺗) xin heart							
DZ	ҙ	Ҙ	dʒ							sanft	زا																		
DJ	γ	Γ												(Ѳѳ)	(Ѳѳ)														
PS	ψ	Ψ												Сс, Шш, Щщ	Сс, Шш, Щщ							已] yǐ				UGARITIC WORD DIVIDER	𐎟	𐎟	
EI														Єє, Ээ	Єє, Ээ														
deutsch	greek	greece	pronounce	coptic	number	egypt	phoenician	chinanr	hebrew	arameic	arabic	arabian	ethiopic	russian	russi	name	mean	meane	mein	sumerian	akkadian	chinese	rune	runam	runename				
