이다
니다
미다
기다
지다
비다
시다
치다
피다
끼다
찌다
띠다
삐다
크다
트다
끄다
뜨다
쓰다
나다
마다
가다
자다
사다
하다
차다
타다
파다
까다
짜다
따다
싸다
서다
써다
오다
모다
고다
보다
호다
꼬다
쪼다
쏘다
누다
주다
두다
추다
푸다
꾸다
쑤다
희다
틔다
띄다
씌다
내다
매다
개다
재다
대다
배다
새다
캐다
채다
패다
깨다
째다
때다
빼다
쌔다
에다
메다
데다
베다
세다
헤다
떼다
뇌다
괴다
죄다
되다
뵈다
쇠다
꾀다
쬐다
뙤다
쐬다
뉘다
쥐다
뒤다
쉬다
휘다
튀다
뀌다
뛰다
켜다
펴다
꿰다
신다
안다
심다
남다
감다
담다
삼다
참다
넘다
검다
껌다
숨다
품다
뿜다
뼘다
익다
식다
찍다
막다
작다
박다
삭다
먹다
적다
석다
썩다
옥다
녹다
속다
욱다
눅다
묵다
죽다
숙다
축다
약다
잊다
짖다
빚다
찢다
늦다
낮다
맞다
갖다
찾다
멎다
젖다
꽂다
궂다
맺다
믿다
긷다
딛다
싣다
듣다
뜯다
닫다
받다
얻다
걷다
벋다
뻗다
곧다
돋다
쏟다
눋다
묻다
굳다
붇다
겯다
입다
밉다
깁다
집다
씹다
잡다
업다
접다
덥다
곱다
좁다
돕다
꼽다
뽑다
눕다
굽다
줍다
춥다
맵다
뵙다
쉽다
겹다
일다
밀다
길다
질다
빌다
늘다
들다
슬다
틀다
끌다
쓸다
알다
날다
말다
갈다
달다
살다
팔다
깔다
빨다
얼다
널다
멀다
걸다
절다
덜다
벌다
설다
헐다
털다
쩔다
떨다
썰다
놀다
몰다
골다
돌다
솔다
쏠다
울다
물다
굴다
불다
풀다
열다
괄다
잇다
깃다
짓다
빗다
씻다
긋다
앗다
낫다
젓다
벗다
솟다
웃다
붓다
뺏다
찧다
낳다
닿다
땋다
빻다
쌓다
넣다
놓다
쫓다
짙다
흩다
맡다
같다
밭다
붙다
뱉다
얕다
옅다
깊다
짚다
싶다
갚다
엎다
덮다
높다
톺다
앉다
얹다
끊다
않다
많다
꼲다
낚다
닦다
깎다
덖다
섞다
꺾다
솎다
볶다
묶다
엮다
없다
짊다
닮다
밞다
삶다
젊다
옮다
곪다
굶다
읽다
늙다
긁다
앍다
낡다
맑다
갉다
밝다
얽다
옭다
묽다
굵다
붉다
밟다
넓다
얇다
엷다
잃다
싫다
끓다
쓿다
앓다
닳다
옳다
곯다
굻다
뚫다
핥다
훑다
읊다
있다
