# 	Hittite <> Luwian	translit 	True	translate 	PIE
					
	𒀀	a / o / wa (ma if combined with vowel)	fa va wa / ma	a ein 1 um	almvieh = alpha
	    -𒀀𒀀𒄑𒍣	-o-a-iz-zi	-faz -was -mos -mas 	[denominative verbs from nouns.]	-os
	    𒀀𒀀𒊏	(o-a-ra) /āra/ 	Wahr Maar[ta] 	right, proper,     	ortho  𓁦 mAat 𒀀𒊏𒀀𒀸 (a-ra-a-aš) µrath right
	    -𒀀𒀀𒋻	-o-a-tar 	-mater -water 𓏛 !	[denominal abstract nouns]	-ma -mater matter
	    𒀀𒀊𒉺	(a-ap-pa /āppa/) 	faphar	further behind    afterwards     back, again	𐌰𐍆𐌰𐍂𐌿𐌷  𐌰𐍆𐍄𐍂𐌰 apo- off- of away wider- wieder-
	    𒀀𒀝𒉌𒅖	(ak-ni-iš)	Magnus! ᵛAgni	Fire God  Agni (Vedic deity) Agnes? Agones? Agonies	ignite : Sanskrit अग्नि (agní, “fire”) Magnis?
	    𒀀𒀸𒅆𒅀𒋻	āssiyatar	<>mother	love @ Asiatics?	𓌻 𓂋 𓏏 𓏥  !?!
	    𒀀𒀸𒋗𒍑	āššuš		good	
	    𒀀𒄿𒅖	a-i-iš	(ma)oys mouth	mouth	os
	    𒀀𒅆𒉿𒀭𒍝	ašiwanz		poor	asi;)
	    𒀀𒊏𒀀𒀸	(a-ra-a-aš) c /arāš/ 	Maar[ta] 	friend	True Friend, mate  𓅓 𓋴 𓁒 𓀀
	    𒀀𒊏𒀀𒄑𒍣	(a-ra-a-iz-zi)  /aráːi̯t͡si/	aráit͡sin	to rise, revolt, halt	arising, arest
	    𒀀𒊏𒀸	(a-ra-aš)	fa.rai.d Maar[ta] 	friend	True Friend, mate  𓅓 𓋴 𓁒 𓀀
	    𒀀𒊏𒌋𒉿𒀸	(a-ra-u-wa-aš) 	Faruwos	free,exempt	"𐌰𐍂𐍅𐌾𐍉	arwɕu !"
	    𒀀𒊑𒄑𒍣	(a-ri-ez-zi)	Marias / Fariges	to study an oracle, ask an oracle.	ask? fragen < va
