Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
they		209250	5.3207	99.33	3.9208	Pronoun	207801	1.00	Pronoun.Noun	207801.10
right		204428	5.3105	99.19	3.9202	Adverb	148137	0.73	Adverb.Adjective.Noun.Verb.Name	148137.41292.14475.200.76
like		203947	5.3095	99.44	3.9213	Preposition	111581	0.55	Preposition.Verb.Conjunction.Adverb.Adjective.Noun.Name	111581.69662.11417.6065.4991.67.7
out		197131	5.2948	99.46	3.9214	Adverb	141761	0.72	Adverb.Preposition.Adjective.Noun	141761.55045.82.2
go		193445	5.2866	99.46	3.9214	Verb	189923	0.98	Verb.Noun	189923.3299
she		190377	5.2796	96.88	3.9099	Pronoun	185915	1.00	Pronoun.Noun	185915.4
up		187170	5.2722	99.49	3.9215	Adverb	172938	0.93	Adverb.Preposition.Verb.Adjective.Noun	172938.12815.641.531.12
about		185206	5.2677	99.20	3.9202	Preposition	164260	0.89	Preposition.Adverb.Noun	164260.20769.13
if	falls wenn ?? <<	180610	5.2567	99.43	3.9212	Conjunction	180168	1.00	Conjunction.Noun	180168.73
him		177710	5.2497	98.40	3.9167	Pronoun	176868	1.00	Pronoun.Noun	176868.1
got	<<	168631	5.2269	98.34	3.9165	Verb	194337	1.00	Verb.Noun	194337.44
oh		167781	5.2247	95.60	3.9042	Interjection	166701	1.00	Interjection.Noun	166701.1
at		164072	5.2150	99.50	3.9215	Preposition	142253	0.87	Preposition.Adverb.Noun	142253.21653.14
now		163333	5.2131	99.55	3.9217	Adverb	159745	0.98	Adverb.Conjunction.Noun	159745.3231.14
come		160190	5.2046	99.37	3.9210	Verb	159923	1.00	Verb.Noun	159923.6
one		156684	5.1950	99.50	3.9215	Number	83699	0.53	Number.Pronoun.Noun	83699.72697.87
how		155867	5.1928	99.44	3.9213	Adverb	155277	1.00	Adverb.Noun	155277.2
well		152523	5.1833	97.11	3.9110	Adverb	149100	0.98	Adverb.Adjective.Noun.Preposition.Name.Verb	149100.1674.1004.689.21.4
yeah		152262	5.1826	92.87	3.8916	Interjection	151848	1.00	Interjection	151848
