Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	Word            FREQcount       Lg10WF  SUBTLCD Lg10CD  Dom_PoS_SUBTLEX Freq_dom_PoS_SUBTLEX    Percentage_dom_PoS      All_PoS_SUBTLEX All_freqs_SUBTLEX	
audio		284	2.4548	2.24	2.2765	Noun	145	0.51	Noun.Adjective	145.137
corridor		284	2.4548	2.47	2.3181	Noun	283	1.00	Noun	283
dove		284	2.4548	1.59	2.1271	Noun	197	0.69	Noun.Name.Verb	197.50.37
encounter		284	2.4548	2.99	2.4014	Noun	187	0.66	Noun.Verb	187.97
heartbeat		284	2.4548	2.80	2.3729	Noun	272	0.96	Noun.Verb.Name	272.10.1
lust		284	2.4548	2.52	2.3263	Noun	277	0.96	Noun.Verb	277.11
oz		284	2.4548	1.14	1.9868	Name	274	0.99	Name.Noun	274.3
relieve		284	2.4548	2.78	2.3692	Verb	284	1.00	Verb	284
stanford		284	2.4548	1.37	2.0645	Name	283	0.99	Name.Noun	283.2
taller		284	2.4548	2.89	2.3856	Adjective	281	1.00	Adjective	281
trainer		284	2.4548	1.74	2.1673	Noun	280	0.99	Noun.Name	280.4
vest		284	2.4548	2.42	2.3096	Noun	284	1.00	Noun	284
collapse		283	2.4533	2.28	2.2833	Verb	144	0.51	Verb.Noun	144.138
dusty		283	2.4533	1.82	2.1875	Adjective	282	1.00	Adjective.Noun	282.1
execute		283	2.4533	2.56	2.3345	Verb	283	1.00	Verb	283
foreman		283	2.4533	1.98	2.2227	Noun	176	0.63	Noun.Name	176.105
gorilla		283	2.4533	1.86	2.1959	Noun	281	1.00	Noun	281
madonna		283	2.4533	1.57	2.1239	Name	278	0.98	Name.Noun	278.5
mia		283	2.4533	1.08	1.9638	Name	171	0.61	Name.Noun	171.109
misunderstood		283	2.4533	2.98	2.3997	Verb	258	0.92	Verb.Adjective	258.23
rodeo		283	2.4533	1.30	2.0414	Noun	235	0.83	Noun.Name	235.48
transportation		283	2.4533	2.96	2.3962	Noun	283	1.00	Noun	283
vera		283	2.4533	0.91	1.8865	Name	268	0.95	Name.Noun	268.14
blair		282	2.4518	0.72	1.7853	Name	282	1.00	Name	282
burglar		282	2.4518	1.61	2.1335	Noun	281	1.00	Noun.Name	281.1
cola		282	2.4518	0.66	1.7482	Noun	282	1.00	Noun	282
concentration		282	2.4518	2.59	2.3385	Noun	283	1.00	Noun	283
constitution		282	2.4518	2.38	2.3032	Noun	280	1.00	Noun.Name	280.1
freeway		282	2.4518	2.12	2.2529	Noun	280	1.00	Noun.Name	280.1
ghetto		282	2.4518	1.59	2.1271	Noun	253	0.90	Noun.Name	253.28
grid		282	2.4518	2.27	2.2810	Noun	282	1.00	Noun	282
identical		282	2.4518	2.72	2.3598	Adjective	282	1.00	Adjective	282
loosen		282	2.4518	3.02	2.4048	Verb	282	1.00	Verb	282
maiden		282	2.4518	2.49	2.3222	Noun	147	0.52	Noun.Adjective.Name	147.133.1
maine		282	2.4518	1.62	2.1367	Name	282	1.00	Name	282
moose		282	2.4518	1.50	2.1038	Noun	275	0.98	Noun.Name	275.7
pinky		282	2.4518	0.89	1.8808	Name	227	0.81	Name.Noun	227.53
shuttle		282	2.4518	1.54	2.1139	Noun	283	1.00	Noun	283
strawberry		282	2.4518	1.98	2.2227	Noun	278	0.99	Noun.Name	278.4
submit		282	2.4518	2.59	2.3385	Verb	282	1.00	Verb	282
assassination		281	2.4502	2.10	2.2480	Noun	281	1.00	Noun	281
bloom		281	2.4502	2.00	2.2279	Verb	108	0.38	Verb.Name.Noun	108.90.83
col		281	2.4502	1.03	1.9395	Noun	6	0.75	Noun.Name	6.2
examination		281	2.4502	2.47	2.3181	Noun	281	1.00	Noun	281
hah		281	2.4502	1.98	2.2227	Interjection	280	1.00	Interjection	280
lemonade		281	2.4502	2.29	2.2856	Noun	281	1.00	Noun	281
orchestra		281	2.4502	2.25	2.2788	Noun	279	1.00	Noun	279
oui		281	2.4502	1.45	2.0899	Unclassified	264	1.00	Unclassified	264
prey		281	2.4502	2.52	2.3263	Noun	247	0.88	Noun.Verb	247.33
sane		281	2.4502	2.60	2.3404	Adjective	282	1.00	Adjective	282
scumbag		281	2.4502	2.53	2.3284	Noun	179	0.65	Noun.Verb	179.98
sol		281	2.4502	0.61	1.7160	Name	273	0.98	Name.Noun.Verb	273.5.1
tactical		281	2.4502	2.40	2.3054	Adjective	281	1.00	Adjective	281
artillery		280	2.4487	1.99	2.2253	Noun	280	1.00	Noun	280
bark		280	2.4487	2.47	2.3181	Noun	153	0.54	Noun.Verb	153.129
confirmation		280	2.4487	2.61	2.3424	Noun	280	1.00	Noun	280
february		280	2.4487	2.34	2.2945	Name	271	0.97	Name.Noun	271.7
grocery		280	2.4487	2.75	2.3655	Noun	280	1.00	Noun	280
monte		280	2.4487	1.17	1.9956	Name	276	0.99	Name.Noun	276.3
sew		280	2.4487	2.52	2.3263	Verb	280	1.00	Verb	280
slot		280	2.4487	2.43	2.3118	Noun	270	0.97	Noun.Verb	270.7
unlock		280	2.4487	2.86	2.3820	Verb	279	1.00	Verb	279
warp		280	2.4487	0.81	1.8388	Noun	163	0.59	Noun.Verb	163.113
weep		280	2.4487	2.41	2.3075	Verb	205	0.74	Verb.Noun	205.71
barber		279	2.4472	1.79	2.1790	Noun	241	0.87	Noun.Name	241.36
hesitate		279	2.4472	3.09	2.4150	Verb	279	1.00	Verb	279
psychology		279	2.4472	2.67	2.3522	Noun	279	1.00	Noun	279
puppet		279	2.4472	2.13	2.2553	Noun	274	0.98	Noun.Adjective	274.5
runway		279	2.4472	1.57	2.1239	Noun	279	1.00	Noun	279
sidewalk		279	2.4472	2.77	2.3674	Noun	279	1.00	Noun	279
squirrel		279	2.4472	1.97	2.2201	Noun	273	0.98	Noun.Name.Verb	273.5.1
waltz		279	2.4472	2.16	2.2601	Noun	184	0.66	Noun.Verb	184.93
archer		278	2.4456	0.66	1.7482	Name	250	0.91	Name.Noun	250.26
defensive		278	2.4456	2.71	2.3579	Adjective	276	1.00	Adjective	276
godfather		278	2.4456	1.45	2.0899	Noun	277	1.00	Noun.Name	277.1
jasmine		278	2.4456	0.74	1.7993	Noun	270	0.97	Noun.Name	270.8
joshua		278	2.4456	0.82	1.8451	Name	277	1.00	Name	277
reader		278	2.4456	2.44	2.3139	Noun	270	0.99	Noun.Name	270.3
slaughter		278	2.4456	2.49	2.3222	Noun	184	0.66	Noun.Verb.Name	184.93.1
ambush		277	2.4440	2.32	2.2923	Noun	194	0.71	Noun.Verb.Name	194.80.1
anyplace		277	2.4440	2.94	2.3945	Adverb	277	1.00	Adverb	277
disappointment		277	2.4440	3.02	2.4048	Noun	277	1.00	Noun	277
hee		277	2.4440	0.92	1.8921	Unclassified	274	1.00	Unclassified	274
mint		277	2.4440	2.43	2.3118	Noun	169	0.63	Noun.Adjective.Verb	169.96.5
portrait		277	2.4440	2.29	2.2856	Noun	277	1.00	Noun	277
rang		277	2.4440	2.67	2.3522	Verb	278	1.00	Verb	278
roland		277	2.4440	0.66	1.7482	Name	266	0.99	Name.Noun	266.3
sixty		277	2.4440	2.49	2.3222	Number	274	1.00	Number	274
asian		276	2.4425	2.32	2.2923	Adjective	271	0.99	Adjective.Noun	271.4
gregory		276	2.4425	0.98	1.9191	Name	275	1.00	Name.Noun	275.1
leopard		276	2.4425	1.00	1.9294	Noun	252	0.92	Noun.Name	252.22
tougher		276	2.4425	3.05	2.4099	Adjective	277	1.00	Adjective	277
vengeance		276	2.4425	2.50	2.3243	Noun	276	1.00	Noun	276
vow		276	2.4425	2.38	2.3032	Noun	205	0.74	Noun.Verb	205.71
behaviour		275	2.4409	2.54	2.3304	Noun	275	1.00	Noun	275
clumsy		275	2.4409	2.79	2.3711	Adjective	275	1.00	Adjective	275
departure		275	2.4409	2.61	2.3424	Noun	274	1.00	Noun.Name	274.1
digital		275	2.4409	2.12	2.2529	Adjective	273	1.00	Adjective	273
extension		275	2.4409	2.63	2.3464	Noun	275	1.00	Noun	275
fag		275	2.4409	2.06	2.2405	Noun	254	0.92	Noun.Verb	254.21
hanna		275	2.4409	0.29	1.3979	Name	275	1.00	Name	275
pause		275	2.4409	2.44	2.3139	Noun	172	0.63	Noun.Verb	172.103
perfection		275	2.4409	2.60	2.3404	Noun	274	1.00	Noun.Name	274.1
ammo		274	2.4393	2.18	2.2648	Noun	270	0.99	Noun.Name	270.4
bin		274	2.4393	1.99	2.2253	Noun	231	0.85	Noun.Verb.Name	231.40.2
campbell		274	2.4393	1.14	1.9868	Name	271	1.00	Name	271
dwight		274	2.4393	0.73	1.7924	Name	266	0.98	Name.Noun.Verb	266.4.1
employer		274	2.4393	2.46	2.3160	Noun	270	1.00	Noun.Name	270.1
florence		274	2.4393	1.29	2.0374	Name	273	1.00	Name.Noun	273.1
mock		274	2.4393	2.41	2.3075	Verb	164	0.60	Verb.Adjective.Noun	164.108.2
negro		274	2.4393	1.65	2.1430	Noun	271	1.00	Noun.Name	271.1
tango		274	2.4393	1.39	2.0719	Noun	224	0.82	Noun.Verb.Name	224.41.7
thankful		274	2.4393	2.43	2.3118	Adjective	271	1.00	Adjective	271
acquaintance		273	2.4378	2.73	2.3617	Noun	271	1.00	Noun	271
addict		273	2.4378	2.30	2.2878	Noun	271	1.00	Noun	271
ambition		273	2.4378	2.78	2.3692	Noun	273	1.00	Noun	273
ant		273	2.4378	1.32	2.0492	Noun	249	0.92	Noun.Name	249.23
donkey		273	2.4378	1.93	2.2122	Noun	222	0.81	Noun.Name	222.51
erica		273	2.4378	0.51	1.6435	Name	179	0.66	Name.Noun	179.93
ferry		273	2.4378	1.53	2.1106	Noun	236	0.87	Noun.Verb.Name	236.30.6
finance		273	2.4378	2.53	2.3284	Noun	142	0.52	Noun.Verb	142.132
helm		273	2.4378	0.99	1.9243	Name	146	0.53	Name.Noun.Verb	146.103.25
offence		273	2.4378	2.62	2.3444	Noun	273	1.00	Noun	273
orphanage		273	2.4378	1.62	2.1367	Noun	273	1.00	Noun	273
peel		273	2.4378	2.25	2.2788	Verb	146	0.53	Verb.Noun.Name	146.117.10
rebel		273	2.4378	1.98	2.2227	Noun	191	0.69	Noun.Verb.Name	191.83.2
sponsor		273	2.4378	2.06	2.2405	Noun	208	0.76	Noun.Verb.Name	208.64.1
blouse		272	2.4362	2.23	2.2742	Noun	272	1.00	Noun	272
crank		272	2.4362	2.46	2.3160	Verb	141	0.51	Verb.Noun	141.134
employment		272	2.4362	2.79	2.3711	Noun	271	1.00	Noun	271
evolution		272	2.4362	2.12	2.2529	Noun	272	1.00	Noun	272
gangster		272	2.4362	2.04	2.2355	Noun	268	0.99	Noun.Name	268.3
graveyard		272	2.4362	2.52	2.3263	Noun	270	1.00	Noun.Name	270.1
holt		272	2.4362	0.72	1.7853	Name	272	1.00	Name	272
kneel		272	2.4362	2.18	2.2648	Verb	272	1.00	Verb	272
landlord		272	2.4362	2.23	2.2742	Noun	270	1.00	Noun.Name	270.1
peek		272	2.4362	2.69	2.3560	Noun	170	0.63	Noun.Verb.Name	170.93.9
prophet		272	2.4362	1.28	2.0334	Noun	272	1.00	Noun	272
specialty		272	2.4362	2.86	2.3820	Noun	272	1.00	Noun	272
stray		272	2.4362	2.68	2.3541	Adjective	193	0.71	Adjective.Verb.Noun	193.77.2
vomit		272	2.4362	2.65	2.3483	Verb	139	0.51	Verb.Noun	139.132
warner		272	2.4362	0.98	1.9191	Name	270	1.00	Name	270
artery		271	2.4346	2.16	2.2601	Noun	271	1.00	Noun	271
choir		271	2.4346	1.98	2.2227	Noun	271	1.00	Noun	271
corrupt		271	2.4346	2.67	2.3522	Adjective	270	1.00	Adjective	270
explosive		271	2.4346	2.36	2.2989	Adjective	234	0.87	Adjective.Noun	234.36
jurisdiction		271	2.4346	2.54	2.3304	Noun	271	1.00	Noun	271
marijuana		271	2.4346	1.79	2.1790	Noun	271	1.00	Noun	271
topic		271	2.4346	2.80	2.3729	Noun	274	1.00	Noun	274
unacceptable		271	2.4346	2.75	2.3655	Adjective	271	1.00	Adjective	271
asia		270	2.4330	2.19	2.2672	Name	269	1.00	Name.Noun	269.1
cottage		270	2.4330	1.96	2.2175	Noun	270	1.00	Noun	270
dose		270	2.4330	2.41	2.3075	Noun	274	1.00	Noun	274
egypt		270	2.4330	1.66	2.1461	Name	269	0.99	Name.Noun	269.2
nova		270	2.4330	0.83	1.8513	Name	211	0.80	Name.Noun.Unclassified	211.28.26
partnership		270	2.4330	2.16	2.2601	Noun	270	1.00	Noun	270
representative		270	2.4330	2.42	2.3096	Noun	236	0.87	Noun.Adjective.Name	236.34.1
spice		270	2.4330	1.92	2.2095	Noun	233	0.86	Noun.Verb.Name	233.35.2
acceptable		269	2.4314	2.90	2.3874	Adjective	269	1.00	Adjective	269
einstein		269	2.4314	2.29	2.2856	Name	268	1.00	Name.Noun	268.1
gravy		269	2.4314	2.27	2.2810	Noun	269	1.00	Noun	269
historical		269	2.4314	2.25	2.2788	Adjective	269	1.00	Adjective	269
humour		269	2.4314	2.41	2.3075	Noun	270	1.00	Noun	270
impulse		269	2.4314	2.21	2.2695	Noun	269	1.00	Noun	269
madman		269	2.4314	2.37	2.3010	Noun	268	1.00	Noun.Name	268.1
sherlock		269	2.4314	1.42	2.0792	Name	268	0.98	Name.Noun	268.5
brazil		268	2.4298	1.51	2.1072	Name	265	0.99	Name.Noun	265.3
denial		268	2.4298	2.37	2.3010	Noun	268	1.00	Noun	268
greet		268	2.4298	2.75	2.3655	Verb	266	1.00	Verb	266
kung		268	2.4298	1.38	2.0682	Noun	222	0.83	Noun.Name.Adjective.Verb	222.35.8.3
lone		268	2.4298	2.05	2.2380	Adjective	269	1.00	Adjective	269
sh		268	2.4298	1.75	2.1703	Interjection	236	1.00	Interjection	236
sole		268	2.4298	2.81	2.3747	Adjective	260	0.97	Adjective.Noun	260.8
thirteen		268	2.4298	2.32	2.2923	Number	268	1.00	Number	268
trance		268	2.4298	1.10	1.9685	Noun	268	1.00	Noun	268
carbon		267	2.4281	1.81	2.1847	Noun	265	0.99	Noun.Name	265.2
chaplin		267	2.4281	0.35	1.4771	Name	267	1.00	Name	267
colt		267	2.4281	0.98	1.9191	Name	153	0.60	Name.Noun	153.103
ct		267	2.4281	1.20	2.0086	Noun	254	0.95	Noun.Name	254.12
designer		267	2.4281	2.44	2.3139	Noun	267	1.00	Noun	267
disrespect		267	2.4281	2.67	2.3522	Noun	190	0.71	Noun.Verb	190.77
gutter		267	2.4281	2.52	2.3263	Noun	264	0.99	Noun.Name	264.2
interior		267	2.4281	2.62	2.3444	Noun	134	0.50	Noun.Adjective	134.133
marker		267	2.4281	1.91	2.2068	Noun	267	1.00	Noun	267
olivia		267	2.4281	0.74	1.7993	Name	267	1.00	Name	267
que		267	2.4281	1.86	2.1959	Unclassified	256	0.96	Unclassified.Name	256.10
shoo		267	2.4281	1.86	2.1959	Interjection	267	1.00	Interjection	267
stripper		267	2.4281	1.70	2.1584	Noun	267	1.00	Noun	267
text		267	2.4281	2.37	2.3010	Noun	267	1.00	Noun	267
tribute		267	2.4281	2.11	2.2504	Noun	268	1.00	Noun	268
arrogant		266	2.4265	2.79	2.3711	Adjective	266	1.00	Adjective	266
globe		266	2.4265	2.48	2.3201	Noun	267	1.00	Noun	267
goofy		266	2.4265	1.68	2.1523	Adjective	219	0.83	Adjective.Noun	219.46
gunfire		266	2.4265	1.91	2.2068	Noun	266	1.00	Noun	266
heir		266	2.4265	2.00	2.2279	Noun	266	1.00	Noun	266
kentucky		266	2.4265	1.96	2.2175	Name	266	1.00	Name.Adjective	266.1
marble		266	2.4265	1.84	2.1903	Noun	253	0.95	Noun.Name	253.13
offend		266	2.4265	2.62	2.3444	Verb	267	1.00	Verb	267
vibe		266	2.4265	2.22	2.2718	Noun	240	0.91	Noun.Verb.Name	240.19.6
allowance		265	2.4249	2.28	2.2833	Noun	265	1.00	Noun.Name	265.1
boogie		265	2.4249	1.50	2.1038	Noun	140	0.53	Noun.Verb.Name	140.122.2
dont		265	2.4249	0.70	1.7782	Noun	1	0.50	Noun.Name	1.1
junkie		265	2.4249	2.30	2.2878	Noun	260	0.98	Noun.Name	260.4
leaf		265	2.4249	2.59	2.3385	Noun	259	0.98	Noun.Verb	259.6
precise		265	2.4249	2.80	2.3729	Adjective	265	1.00	Adjective	265
repay		265	2.4249	2.72	2.3598	Verb	265	1.00	Verb	265
abraham		264	2.4232	1.67	2.1492	Name	261	0.99	Name.Noun	261.3
ana		264	2.4232	0.87	1.8692	Name	174	0.78	Name.Noun	174.49
armstrong		264	2.4232	0.77	1.8195	Name	264	1.00	Name	264
boulevard		264	2.4232	2.03	2.2330	Name	224	0.85	Name.Noun	224.40
buyer		264	2.4232	2.24	2.2765	Noun	263	1.00	Noun	263
chinatown		264	2.4232	1.37	2.0645	Name	220	0.84	Name.Noun	220.43
fracture		264	2.4232	2.06	2.2405	Noun	264	1.00	Noun	264
fugitive		264	2.4232	2.32	2.2923	Noun	262	1.00	Noun	262
slower		264	2.4232	2.72	2.3598	Adverb	177	0.67	Adverb.Adjective	177.87
specialist		264	2.4232	2.62	2.3444	Noun	260	0.98	Noun.Adjective	260.4
untie		264	2.4232	2.06	2.2405	Verb	262	1.00	Verb	262
videotape		264	2.4232	1.94	2.2148	Noun	217	0.83	Noun.Verb	217.46
banquet		263	2.4216	1.93	2.2122	Noun	257	0.98	Noun.Verb	257.5
buddha		263	2.4216	1.29	2.0374	Name	215	0.82	Name.Noun	215.48
cassie		263	2.4216	0.49	1.6232	Name	143	0.55	Name.Noun	143.119
caution		263	2.4216	2.68	2.3541	Noun	219	0.83	Noun.Verb	219.44
condom		263	2.4216	2.10	2.2480	Noun	263	1.00	Noun	263
dante		263	2.4216	0.70	1.7782	Name	258	1.00	Name.Noun	258.1
fay		263	2.4216	0.61	1.7160	Name	262	1.00	Name.Noun	262.1
freezer		263	2.4216	2.55	2.3324	Noun	261	1.00	Noun.Name	261.1
hunk		263	2.4216	2.43	2.3118	Noun	224	0.86	Noun.Name.Verb	224.20.17
hup		263	2.4216	0.81	1.8388	Verb	252	0.97	Verb.Noun.Name	252.7.2
im		263	2.4216	1.61	2.1335	Verb	6105	0.83	Verb.Name.Noun	6105.697.577
mode		263	2.4216	2.36	2.2989	Noun	254	0.97	Noun.Adverb	254.9
override		263	2.4216	1.36	2.0607	Noun	174	0.65	Noun.Verb	174.94
primitive		263	2.4216	2.52	2.3263	Adjective	217	0.83	Adjective.Noun	217.46
rep		263	2.4216	2.06	2.2405	Noun	256	1.00	Noun	256
strap		263	2.4216	2.59	2.3385	Noun	190	0.72	Noun.Verb.Name	190.71.2
thread		263	2.4216	2.50	2.3243	Noun	225	0.86	Noun.Verb	225.38
tumor		263	2.4216	1.56	2.1206	Noun	260	1.00	Noun.Name	260.1
valet		263	2.4216	1.68	2.1523	Noun	263	1.00	Noun	263
virtue		263	2.4216	2.46	2.3160	Noun	263	1.00	Noun	263
dom		262	2.4200	0.89	1.8808	Name	255	0.98	Name.Noun	255.6
fanny		262	2.4200	1.18	2.0000	Name	123	0.47	Name.Noun.Adjective	123.102.37
fragile		262	2.4200	2.79	2.3711	Adjective	262	1.00	Adjective	262
irrelevant		262	2.4200	2.66	2.3502	Adjective	260	1.00	Adjective	260
marc		262	2.4200	0.52	1.6532	Name	259	0.99	Name.Noun	259.2
saloon		262	2.4200	1.70	2.1584	Noun	261	1.00	Noun	261
tammy		262	2.4200	0.87	1.8692	Name	145	0.56	Name.Noun.Adjective	145.86.30
waist		262	2.4200	2.62	2.3444	Noun	261	1.00	Noun	261
appreciation		261	2.4183	2.84	2.3784	Noun	260	1.00	Noun	260
backstage		261	2.4183	2.16	2.2601	Adverb	201	0.77	Adverb.Adjective	201.60
detect		261	2.4183	2.74	2.3636	Verb	261	1.00	Verb	261
drip		261	2.4183	2.00	2.2279	Noun	177	0.68	Noun.Verb	177.84
hog		261	2.4183	2.31	2.2900	Noun	205	0.79	Noun.Verb	205.55
juvenile		261	2.4183	2.40	2.3054	Adjective	258	1.00	Adjective	258
majority		261	2.4183	2.48	2.3201	Noun	256	0.98	Noun.Name	256.5
peacock		261	2.4183	0.68	1.7634	Name	198	0.76	Name.Noun	198.61
skeleton		261	2.4183	1.73	2.1644	Noun	221	0.85	Noun.Name	221.40
fatty		260	2.4166	1.56	2.1206	Noun	130	0.50	Noun.Adjective.Name	130.75.54
immortal		260	2.4166	2.21	2.2695	Adjective	260	1.00	Adjective	260
motto		260	2.4166	2.62	2.3444	Noun	258	1.00	Noun	258
playground		260	2.4166	2.30	2.2878	Noun	259	1.00	Noun	259
publish		260	2.4166	2.01	2.2304	Verb	260	1.00	Verb	260
sip		260	2.4166	2.62	2.3444	Noun	243	0.93	Noun.Verb	243.17
syrup		260	2.4166	1.87	2.1987	Noun	239	0.92	Noun.Verb.Name	239.18.3
thorn		260	2.4166	0.85	1.8573	Name	180	0.69	Name.Noun	180.79
transplant		260	2.4166	1.61	2.1335	Noun	243	0.93	Noun.Verb	243.17
unstable		260	2.4166	2.54	2.3304	Adjective	259	1.00	Adjective	259
vietnamese		260	2.4166	1.05	1.9494	Adjective	227	0.87	Adjective.Noun	227.33
altar		259	2.4150	2.16	2.2601	Noun	260	1.00	Noun	260
amigo		259	2.4150	1.79	2.1790	Unclassified	259	1.00	Unclassified	259
fireplace		259	2.4150	2.25	2.2788	Noun	258	1.00	Noun	258
funky		259	2.4150	2.24	2.2765	Adjective	244	0.95	Adjective.Name	244.14
hilary		259	2.4150	0.51	1.6435	Name	259	1.00	Name	259
jade		259	2.4150	0.82	1.8451	Noun	259	1.00	Noun	259
overboard		259	2.4150	2.27	2.2810	Adverb	258	1.00	Adverb	258
treason		259	2.4150	1.97	2.2201	Noun	259	1.00	Noun	259
blink		258	2.4133	2.55	2.3324	Verb	143	0.56	Verb.Noun.Name	143.112.2
cafe		258	2.4133	2.00	2.2279	Noun	256	0.99	Noun.Name	256.2
jingle		258	2.4133	1.17	1.9956	Noun	202	0.79	Noun.Verb.Name	202.47.7
mechanic		258	2.4133	2.21	2.2695	Noun	257	1.00	Noun.Name	257.1
recommendation		258	2.4133	2.56	2.3345	Noun	258	1.00	Noun	258
reno		258	2.4133	1.18	2.0000	Name	258	1.00	Name	258
ribbon		258	2.4133	1.86	2.1959	Noun	252	0.98	Noun.Name	252.6
rosa		258	2.4133	1.08	1.9638	Name	212	0.82	Name.Noun	212.46
underestimate		258	2.4133	2.79	2.3711	Verb	256	1.00	Verb	256
vagina		258	2.4133	1.60	2.1303	Noun	258	1.00	Noun	258
buckle		257	2.4116	2.55	2.3324	Verb	187	0.73	Verb.Noun.Name	187.69.1
flick		257	2.4116	1.63	2.1399	Noun	121	0.47	Noun.Verb.Name	121.71.65
hound		257	2.4116	1.99	2.2253	Noun	235	0.93	Noun.Verb	235.18
lynch		257	2.4116	0.87	1.8692	Name	199	0.80	Name.Verb	199.50
maxwell		257	2.4116	0.91	1.8865	Name	255	1.00	Name	255
noisy		257	2.4116	2.63	2.3464	Adjective	257	1.00	Adjective	257
payroll		257	2.4116	2.13	2.2553	Noun	257	1.00	Noun	257
pneumonia		257	2.4116	2.19	2.2672	Noun	256	1.00	Noun	256
resign		257	2.4116	2.24	2.2765	Verb	256	1.00	Verb	256
stash		257	2.4116	2.46	2.3160	Noun	167	0.65	Noun.Verb	167.90
tara		257	2.4116	0.69	1.7709	Name	194	0.75	Name.Interjection	194.64
utter		257	2.4116	2.32	2.2923	Adjective	151	0.59	Adjective.Verb	151.107
camel		256	2.4099	1.65	2.1430	Noun	253	1.00	Noun	253
cocoa		256	2.4099	1.90	2.2041	Noun	254	0.99	Noun.Name	254.2
contempt		256	2.4099	2.27	2.2810	Noun	257	1.00	Noun	257
diplomatic		256	2.4099	1.72	2.1614	Adjective	256	1.00	Adjective	256
justify		256	2.4099	2.67	2.3522	Verb	255	1.00	Verb	255
legacy		256	2.4099	2.30	2.2878	Noun	256	1.00	Noun	256
rational		256	2.4099	2.35	2.2967	Adjective	254	0.99	Adjective.Noun	254.2
reconsider		256	2.4099	2.79	2.3711	Verb	257	1.00	Verb	257
reflection		256	2.4099	2.68	2.3541	Noun	257	1.00	Noun	257
region		256	2.4099	2.59	2.3385	Noun	255	1.00	Noun	255
salvation		256	2.4099	2.59	2.3385	Noun	255	1.00	Noun	255
flavor		255	2.4082	2.52	2.3263	Noun	214	0.84	Noun.Verb.Name	214.39.1
freaky		255	2.4082	2.55	2.3324	Adjective	240	0.95	Adjective.Name	240.12
nemo		255	2.4082	0.39	1.5315	Noun	134	0.54	Noun.Name	134.114
supermarket		255	2.4082	2.19	2.2672	Noun	255	1.00	Noun	255
toothbrush		255	2.4082	2.29	2.2856	Noun	254	1.00	Noun	254
youngest		255	2.4082	2.72	2.3598	Adjective	255	1.00	Adjective	255
canadian		254	2.4065	1.82	2.1875	Adjective	212	0.83	Adjective.Noun	212.42
conquer		254	2.4065	2.31	2.2900	Verb	254	1.00	Verb	254
herb		254	2.4065	1.60	2.1303	Noun	247	0.98	Noun.Name	247.5
lulu		254	2.4065	1.01	1.9345	Name	230	0.92	Name.Noun	230.20
plasma		254	2.4065	1.80	2.1818	Noun	250	0.98	Noun.Name	250.4
sr		254	2.4065	1.04	1.9445	Noun	11	0.73	Noun.Name.Unclassified	11.3.1
static		254	2.4065	1.85	2.1931	Adjective	223	0.87	Adjective.Noun	223.32
torch		254	2.4065	2.34	2.2945	Noun	252	0.99	Noun.Name	252.2
birdie		253	2.4048	1.23	2.0170	Noun	142	0.56	Noun.Name	142.110
crappy		253	2.4048	2.61	2.3424	Adjective	250	0.99	Adjective.Name	250.2
economic		253	2.4048	2.29	2.2856	Adjective	253	1.00	Adjective	253
efficient		253	2.4048	2.52	2.3263	Adjective	252	1.00	Adjective	252
ensure		253	2.4048	2.71	2.3579	Verb	252	1.00	Verb	252
na		253	2.4048	0.79	1.8261	To	127268	1.00	To.Article.Unclassified.Interjection	127268.303.177.62
