https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/tablemain.html

@font-face {
    font-family: 'Hieroglyphic';
    src: url('NewGardiner.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicAux';
    src: url('HieroglyphicAux.ttf') format('truetype');
}
@font-face {
    font-family: 'HieroglyphicPlain';
    src: url('CaslonRoman.ttf') format('truetype');;
}
##
Sign list
The 1071 hieroglyphs from Unicode 5.2
Appearance and sources

The descriptions of the signs mostly follow Gardiner's publications. However, an attempt was made to achieve a greater consistency.

The sources include the following publications:

    J.P. Allen (2000), Middle Egyptian: An introduction to the language and culture of hieroglyphs. Cambridge: Cambridge University Press.
    A.M. Blackman and H.W. Fairman (1943), "The myth of Horus at Edfu -- II", in The Journal of Egyptian Archaeology 29, pp. 2-36.
    A.M. Calverley (1935), The temple of king Sethos I at Abydos. Volume II: The Chapels of Amen-Re, Re-Harakhti, Ptah, and King Sethos. Chicago: University of Chicago Press.
    S. Cauville (2001), Dendara: Le fonds hiéroglyphique au temps de Cléopâtre. Paris: Cybèle.
    A. Erman and H. Grapow (1961), Wörterbuch der ägyptischen Sprache. Berlin: Akademie-Verlag.
    H.W. Fairman (1943), "Notes on the alphabetic signs employed in the hieroglyphic inscriptions of the temple of Edfu", in Annales du Service des Antiquités de l'Égypte 43, pp. 191-318.
    R.O. Faulkner (1962), A concise dictionary of Middle Egyptian. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1957), Egyptian grammar: being an introduction to the study of hieroglyphs. 3rd edition. Oxford: Griffith Institute, Ashmolean Museum.
    A.H. Gardiner (1928), Catalogue of the Egyptian hieroglyphic printing type, from matrices owned and controlled by Dr. Alan H. Gardiner. Oxford: University Press.
    A.H. Gardiner (1929), "Additions to the new hieroglyphic fount (1928)", in The Journal of Egyptian Archaeology 15, p. 95. London: The Egypt Exploration Society.
    A.H. Gardiner (1931), "Additions to the new hieroglyphic fount (1931)", in The Journal of Egyptian Archaeology 17, pp. 245-247. London: The Egypt Exploration Society.
    A.H. Gardiner (1953), Supplement to the catalogue of the Egyptian hieroglyphic printing type, showing acquisitions to December 1953. Oxford: University Press.
    GITB, Griffith Insititute Topographical Bibliography
    R. Hannig (1995), Grosses Handwörterbuch Ägyptisch-Deutsch: die Sprache der Pharaonen (2800-950 v.Chr.). Mainz: Verlag Philipp von Zabern.
    G. Möller (1927a), Hieratische Paläographie. Erster Band: Bis zum Beginn der achtzehnten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.
    G. Möller (1927b), Hieratische Paläographie. Zweiter Band: Von der Zeit Thutmosis’ III bis zum Ende der einundzwanzigsten Dynastie. Neudruck der zweiten verbesserten Auflage. Osnabrück: Otto Zeller.

Sign	Description	Source	Comments
  F14	combination of  F13 and  M4	A.H. Gardiner (1957):462	
  F15	combination of  F14 and  N5	A.H. Gardiner (1957):462	
  F16	horn	A.H. Gardiner (1957):463	
  F17	combination of  F16 with vase from which water flows	A.H. Gardiner (1957):463	
  F18	tusk	A.H. Gardiner (1957):463	
  F19	lower jaw-bone of ox	A.H. Gardiner (1957):463	
  F20	tongue	A.H. Gardiner (1957):463	
  F21	ear of bovine	A.H. Gardiner (1957):463	
  F21a	hieratic ear of bovine	A.H. Gardiner (1929):95 (under the name Ff4), G. Möller (1927b):159	
  F22	hind-quarters of lion	A.H. Gardiner (1957):464	
  F23	foreleg of ox	A.H. Gardiner (1957):464	
  F24	 F23 reversed	A.H. Gardiner (1957):464	
  F25	leg of ox	A.H. Gardiner (1957):464, ASAE:44:311-315	
  F26	skin of goat	A.H. Gardiner (1957):464	
  F27	skin of cow with bent tail	A.H. Gardiner (1957):464	
  F28	skin of cow with straight tail	A.H. Gardiner (1957):464	
  F29	cow's skin pierced by arrow	A.H. Gardiner (1957):464	
  F30	water-skin	A.H. Gardiner (1957):465	
  F31	three skins tied together	A.H. Gardiner (1957):465	
  F31a	three skins tied together (simplified)	A.H. Gardiner (1953):3	
  F32	animal's belly	A.H. Gardiner (1957):465	
  F33	tail	A.H. Gardiner (1957):465	
  F34	heart	A.H. Gardiner (1957):465	
  F35	heart and windpipe	A.H. Gardiner (1957):465	
  F36	lung and windpipe	A.H. Gardiner (1957):465	
  F37	backbone and ribs and spinal cord	A.H. Gardiner (1957):465	
  F37a	backbone and ribs	A.H. Gardiner (1953):6 (under the name Ff9)	
  F38	backbone and ribs	A.H. Gardiner (1957):465	
  F38a	backbone and ribs and spinal cord	A.H. Gardiner (1928):23	
  F39	backbone and spinal cord	A.H. Gardiner (1957):465	
  F40	backbone and spinal cords	A.H. Gardiner (1957):465	
  F41	vertebrae	A.H. Gardiner (1957):466	
  F42	rib	A.H. Gardiner (1957):466	
  F43	ribs	A.H. Gardiner (1957):466	
  F44	leg-bone with meat	A.H. Gardiner (1957):466	
  F45	uterus	A.H. Gardiner (1957):466	
  F45a	uterus (simplified)	A.H. Gardiner (1928):38, R.O. Faulkner (1962):35	
  F46	intestine	A.H. Gardiner (1957):466	
  F46a	intestine	A.H. Gardiner (1957):466	
  F47	intestine	A.H. Gardiner (1957):466	
  F47a	intestine	A.H. Gardiner (1957):466	
  F48	intestine	A.H. Gardiner (1957):466	
  F49	intestine	A.H. Gardiner (1957):466	
  F50	combination of  F46 and  S29	A.H. Gardiner (1957):467	
  F51	piece of flesh	A.H. Gardiner (1957):467	
  F51a	three pieces of flesh horizontally	A.H. Gardiner (1928):24	
  F51b	three pieces of flesh vertically	A.H. Gardiner (1928):24	
  F51c	 F51 reversed	A.H. Gardiner (1957):467 (see under F51)	
  F52	excrement	A.H. Gardiner (1957):467	
  F53	divine rod with  F7	GITB:801-797-520, A. Erman and H. Grapow (1961):II:178	
  G1	Egyptian vulture	A.H. Gardiner (1957):467	
  G2	two Egyptian vultures	A.H. Gardiner (1957):467	
  G3	combination of  G1 and  U1	A.H. Gardiner (1957):467	
  G4	buzzard	A.H. Gardiner (1957):467	
  G5	falcon	A.H. Gardiner (1957):467	
  G6	combination of  G5 and  S45	A.H. Gardiner (1957):468	
  G6a	falcon on  V30	A.H. Gardiner (1928):25, A.H. Gardiner (1957):573 (second column, line 6)	
  G7	falcon on  R12	A.H. Gardiner (1957):468	
  G7a	falcon in boat	A.H. Gardiner (1957):468, A.H. Gardiner (1931):246, R. Hannig (1995):1049	
  G7b	falcon in boat	A.H. Gardiner (1957):468, A.H. Gardiner (1931):246, R. Hannig (1995):1049	
  G8	falcon on  S12	A.H. Gardiner (1957):468	
  G9	falcon with  N5 on head	A.H. Gardiner (1957):468	
  G10	falcon in Sokar barque	A.H. Gardiner (1957):468	
  G11	image of falcon	A.H. Gardiner (1957):468	
  G11a	image of falcon on  R12	A.H. Gardiner (1931):246	
  G12	combination of  G11 and  S45	A.H. Gardiner (1957):468	
  G13	image of falcon with  S9	A.H. Gardiner (1957):469	
  G14	vulture	A.H. Gardiner (1957):469	
  G15	combination of  G14 and  S45	A.H. Gardiner (1957):469	
  G16	vulture and cobra each on  V30	A.H. Gardiner (1957):469	
  G17	owl	A.H. Gardiner (1957):469	
  G18	two owls	A.H. Gardiner (1957):469	
  G19	combination of  G17 and  D37	A.H. Gardiner (1957):469	
  G20	combination of  G17 and  D36	A.H. Gardiner (1957):469	
  G20a	combination of  G17 and  D21	A.H. Gardiner (1953):3, F. Daumas (1988-1995):157:227	
  G21	guinea-fowl	A.H. Gardiner (1957):469	
  G22	hoopoe	A.H. Gardiner (1957):469	
  G23	lawping	A.H. Gardiner (1957):470	
  G24	lawping with twisted wings	A.H. Gardiner (1957):470	
  G25	northern bald ibis	A.H. Gardiner (1957):470	
  G26	sacred ibis on  R12	A.H. Gardiner (1957):470	
  G26a	sacred ibis	A.H. Gardiner (1957):470, A.H. Gardiner (1953):3	
  G27	flamingo	A.H. Gardiner (1957):470	
  G28	glossy ibis	A.H. Gardiner (1957):470	
  G29	saddle-billed stork	A.H. Gardiner (1957):470	
  G30	three saddle-billed storks	A.H. Gardiner (1957):470	
  G31	heron	A.H. Gardiner (1957):470	
  G32	heron on perch	A.H. Gardiner (1957):470	
  G33	cattle egret	A.H. Gardiner (1957):470	
  G34	ostrich	A.H. Gardiner (1957):470	
  G35	cormorant	A.H. Gardiner (1957):471	
  G36	swallow	A.H. Gardiner (1957):471	
  G36a	swallow (low)	A.H. Gardiner (1928):25	
  G37	sparrow	A.H. Gardiner (1957):471	
  G37a	sparrow (low)	A.H. Gardiner (1928):25	
  G38	white-fronted goose	A.H. Gardiner (1957):471	
  G39	pintail	A.H. Gardiner (1957):471	
  G40	pintail flying	A.H. Gardiner (1957):472	
  G41	pintail alighting	A.H. Gardiner (1957):472	
  G42	widgeon	A.H. Gardiner (1957):472	
  G43	quail chick	A.H. Gardiner (1957):472	
  G43a	combination of  G43 and  X1	A.H. Gardiner (1928):26, A.H. Gardiner (1957):51 (section 56)	
  G44	two quail chicks	A.H. Gardiner (1957):472	
  G45	combination of  G43 and  D36	A.H. Gardiner (1957):472	
  G45a	combination of  G43 and  D37	A.H. Gardiner (1953):3, F. Daumas (1988-1995):184:757	
  G46	combination of  G43 and  U1	A.H. Gardiner (1957):472	
  G47	duckling	A.H. Gardiner (1957):473	
  G48	three ducklings in nest	A.H. Gardiner (1957):473	
  G49	three ducklings in pool	A.H. Gardiner (1957):473	
  G50	two plovers	A.H. Gardiner (1957):473	
  G51	bird pecking at fish	A.H. Gardiner (1957):473	
  G52	goose picking up grain	A.H. Gardiner (1957):473	
  G53	human-headed bird with  R7	A.H. Gardiner (1957):473	
  G54	plucked bird	A.H. Gardiner (1957):473	
  H1	head of pintail	A.H. Gardiner (1957):473	
  H2	head of crested bird	A.H. Gardiner (1957):474	
  H3	head of spoonbill	A.H. Gardiner (1957):474	
  H4	head of vulture	A.H. Gardiner (1957):474	
  H5	wing	A.H. Gardiner (1957):474	
  H6	feather	A.H. Gardiner (1957):474	
  H6a	hieratic feather	A.H. Gardiner (1957):474	
  H7	claw	A.H. Gardiner (1957):474	
  H8	egg	A.H. Gardiner (1957):474	
  I1	gecko	A.H. Gardiner (1957):475	
  I2	turtle	A.H. Gardiner (1957):475	
  I3	crocodile	A.H. Gardiner (1957):475	
  I4	crocodile on shrine	A.H. Gardiner (1957):475	
  I5	crocodile with curved tail	A.H. Gardiner (1957):475	
  I5a	image of crocodile	A.H. Gardiner (1957):475	
  I6	crocodile scales	A.H. Gardiner (1957):475	
  I7	frog	A.H. Gardiner (1957):475	
  I8	tadpole	A.H. Gardiner (1957):475	
  I9	horned viper	A.H. Gardiner (1957):476	
  I9a	horned viper crawling out of enclosure	A.H. Gardiner (1953):4, R.O. Faulkner (1962):91, A. Erman and H. Grapow (1961):I:527	
  I10	cobra	A.H. Gardiner (1957):476	
  I10a	cobra with feather	A.H. Gardiner (1953):4, A. Erman and H. Grapow (1961):I:269	
  I11	two cobras	A.H. Gardiner (1957):476	
  I11a	combination of  I10,  X1 and  N18	A.H. Gardiner (1928):27, A.H. Gardiner (1957):603 (first column, line -6)	
  I12	erect cobra	A.H. Gardiner (1957):476	
  I13	erect cobra on  V30	A.H. Gardiner (1957):476	
  I14	snake	A.H. Gardiner (1957):476	
  I15	snake	A.H. Gardiner (1957):476	
  K1	tilapia	A.H. Gardiner (1957):476	
  K2	barbel	A.H. Gardiner (1957):476	
  K3	mullet	A.H. Gardiner (1957):477	
  K4	elephant-snout fish	A.H. Gardiner (1957):477	
  K5	Petrocephalus bane	A.H. Gardiner (1957):477	
  K6	fish scale	A.H. Gardiner (1957):477	
  K7	puffer	A.H. Gardiner (1957):477	
  K8	catfish	A.H. Gardiner (1953):4, R. Hannig (1995):395	
  L1	dung beetle	A.H. Gardiner (1957):477	
  L2	bee	A.H. Gardiner (1957):477	
  L2a	combination of  M23,  L2 and two  X1	A.H. Gardiner (1928):28, A.H. Gardiner (1957):51 (section 55)	
  L3	fly	A.H. Gardiner (1957):477	
  L4	locust	A.H. Gardiner (1957):477	
  L5	centipede	A.H. Gardiner (1957):478	
  L6	shell	A.H. Gardiner (1957):478	
  L6a	 L6 reversed	A.H. Gardiner (1928):28	
  L7	scorpion	A.H. Gardiner (1957):478	
  L8		GITB:801-221-400	
  M1	tree	A.H. Gardiner (1957):478	
  M1a	combination of  M1 and  M3	A.H. Gardiner (1928):29, R. Hannig (1995):418	
  M1b	combination of  M1 and  I9	A.H. Gardiner (1953):4, S. Cauville (2001):144 (under the name M48)	
  M2	plant	A.H. Gardiner (1957):478	
  M3	branch	A.H. Gardiner (1957):479	
  M3a	combination of  G17 and  M3	A.H. Gardiner (1953):4, A. Erman and H. Grapow (1961):III:345	
  M4	palm branch	A.H. Gardiner (1957):479	
  M5	combination of  M4 and  X1	A.H. Gardiner (1957):479	
  M6	combination of  M4 and  D21	A.H. Gardiner (1957):479	
  M7	combination of  M4 and  Q3	A.H. Gardiner (1957):480	
  M8	pool with lotus flowers	A.H. Gardiner (1957):480	
  M9	lotus flower	A.H. Gardiner (1957):480	
  M10	lotus bud with straight stem	A.H. Gardiner (1957):480	
  M10a	lotus bud with winding stem	A.H. Gardiner (1928):29	
  M11	flower on long twisted stalk	A.H. Gardiner (1957):480	
  M12	lotus plant	A.H. Gardiner (1957):480	
  M12a	 ...	A.H. Gardiner (1957):191	
  M12b	 ...	G. Möller (1927b):643	
  M12c	 ...	G. Möller (1927b):644	
  M12d	 ...	G. Möller (1927b):645	
  M12e	 ...	G. Möller (1927b):646	
  M12f	 ...	G. Möller (1927b):647	
  M12g	 ...	G. Möller (1927b):648	
  M12h	 ...	G. Möller (1927b):649	
  M13	papyrus	A.H. Gardiner (1957):480	
  M14	combination of  M13 and  I10	A.H. Gardiner (1957):480	
  M15	clump of papyrus with buds	A.H. Gardiner (1957):481	
  M15a	combination of  M15 and  O49	GITB:801-750-190	
  M16	clump of papyrus	A.H. Gardiner (1957):481	
  M16a	combination of  M16 and  O49	A.H. Gardiner (1931):246	
  M17	reed	A.H. Gardiner (1957):481	
  M17a	two reeds	A.H. Gardiner (1957):481 (see under M17)	
  M18	combination of  M17 and  D54	A.H. Gardiner (1957):481	
  M19	heaped conical cakes between  M17 and  U36	A.H. Gardiner (1957):481	
  M20	field of reeds	A.H. Gardiner (1957):481	
  M21	reeds with root	A.H. Gardiner (1957):482	
  M22	rush	A.H. Gardiner (1957):482	
  M22a	two rushes	A.H. Gardiner (1957):482	
  M23	sedge	A.H. Gardiner (1957):482	
  M24	combination of  M23 and  D21	A.H. Gardiner (1957):482	
  M24a	lily	A.H. Gardiner (1931):246	
  M25	combination of  M26 and  D21	A.H. Gardiner (1957):482	
  M26	flowering sedge	A.H. Gardiner (1957):483	
  M27	combination of  M26 and  D36	A.H. Gardiner (1957):483	
  M28	combination of  M26 and  V20	A.H. Gardiner (1957):483	
  M28a	three lilies on  O49	A.H. Gardiner (1931):246, A. Erman and H. Grapow (1961):IV:474	
  M29	pod	A.H. Gardiner (1957):483	
  M30	root	A.H. Gardiner (1957):483	
  M31	rhizome	A.H. Gardiner (1957):483	
  M31a	 M1 in vase	A.H. Gardiner (1931):246, A.M. Calverley (1935):18	
  M32	rhizome	A.H. Gardiner (1957):483	
  M33	3 grains horizontally	A.H. Gardiner (1957):483	
  M33a	3 grains vertically	A.H. Gardiner (1928):29, A.H. Gardiner (1957):483 (see under M33)	
  M33b	3 grains in triangular arrangement	A.H. Gardiner (1957):483 (see under M33)	
  M34	ear of emmer	A.H. Gardiner (1957):483	
  M35	heap of grain	A.H. Gardiner (1957):483	
  M36	bundle of flax showing bolls	A.H. Gardiner (1957):484	
  M37	bundle of flax	A.H. Gardiner (1957):484	
  M38	wide bundle of flax	A.H. Gardiner (1957):484	
  M39	basket of fruit or grain	A.H. Gardiner (1957):484	
  M40	bundle of reeds	A.H. Gardiner (1957):484	
  M40a	bundle of reeds	A.H. Gardiner (1928):30	
  M41	piece of wood	A.H. Gardiner (1957):484	
  M42	flower	A.H. Gardiner (1957):484	
  M43	vine on trellis	A.H. Gardiner (1957):484	
  M44	thorn	A.H. Gardiner (1957):484	
  N1	sky	A.H. Gardiner (1957):485	
  N2	sky with sceptre	A.H. Gardiner (1957):485	
  N3	sky with sceptre	A.H. Gardiner (1957):485	
  N4	sky with rain	A.H. Gardiner (1957):485	
  N5	sun	A.H. Gardiner (1957):485	
  N6	sun with uraeus	A.H. Gardiner (1957):486	
  N7	combination of  N5 and  T28	A.H. Gardiner (1957):486	
  N8	sunshine	A.H. Gardiner (1957):486	
  N9	moon with lower half obscured	A.H. Gardiner (1957):486	
  N10	moon with lower section obscured	A.H. Gardiner (1957):486	
  N11	crescent moon	A.H. Gardiner (1957):486	
  N12	crescent moon	A.H. Gardiner (1957):486	
  N13	combination of  N11 and  N14	A.H. Gardiner (1957):486	
  N14	star	A.H. Gardiner (1957):487	
  N15	star in circle	A.H. Gardiner (1957):487	
  N16	land with grains	A.H. Gardiner (1957):487	
  N17	land	A.H. Gardiner (1957):487	
  N18	sandy tract	A.H. Gardiner (1957):487	
  N18a	combination of  N18 and  N35	A.H. Gardiner (1953):4, F. Daumas (1988-1995):470:641, H.W. Fairman (1943):235:235	
  N18b	combination of  X4b and  O34	A.H. Gardiner (1953):4, F. Daumas (1988-1995):470:645	
  N19	two sandy tracts	A.H. Gardiner (1957):487	
  N20	tongue of land	A.H. Gardiner (1957):488	
  N21	short tongue of land	A.H. Gardiner (1957):488	
  N22	broad tongue of land	A.H. Gardiner (1957):488	
  N23	irrigation canal	A.H. Gardiner (1957):488	
  N24	irrigation canal system	A.H. Gardiner (1957):488	
  N25	three hills	A.H. Gardiner (1957):488	
  N25a	three hills (low)	A.H. Gardiner (1928):31	
  N26	two hills	A.H. Gardiner (1957):489	
  N27	sun over mountain	A.H. Gardiner (1957):489	
  N28	rays of sun over hill	A.H. Gardiner (1957):489	
  N29	slope of hill	A.H. Gardiner (1957):489	
  N30	mound of earth	A.H. Gardiner (1957):489	
  N31	road with shrubs	A.H. Gardiner (1957):489	
  N32	lump of clay	A.H. Gardiner (1957):489	
  N33	grain	A.H. Gardiner (1957):490	
  N33a	three grains	A.H. Gardiner (1928):31, A.H. Gardiner (1957):490 (see under N33)	
  N34	ingot of metal	A.H. Gardiner (1957):490	
  N34a	ingot of metal	A.H. Gardiner (1931):246	
  N35	ripple of water	A.H. Gardiner (1957):490	
  N35a	three ripples of water	A.H. Gardiner (1957):490	
  N36	canal	A.H. Gardiner (1957):491	
  N37	pool	A.H. Gardiner (1957):491	
  N37a	pool	A.H. Gardiner (1953):4, A. Erman and H. Grapow (1961):IV:397	
  N38	deep pool	A.H. Gardiner (1957):491	
  N39	pool with water	A.H. Gardiner (1957):491	
  N40	combination of  N37 and  D54	A.H. Gardiner (1957):492	
  N41	well with ripple of water	A.H. Gardiner (1957):492	
  N42	well with line of water	A.H. Gardiner (1957):492	
  NL1	sign of first nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL2	sign of second nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):102 (under the name F158)	
  NL3	sign of third nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):120 (under the name G264)	
  NL4	sign of fourth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):214 (under the name T116)	
  NL5	sign of fifth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):211 (under the name T64A)	
  NL5a	sign of fifth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL6	sign of sixth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):84 (under the name E207)	
  NL7	sign of seventh nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL8	sign of eighth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):215 (under the name T128)	
  NL9	sign of ninth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL10	sign of tenth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):84 (under the name E199)	
  NL11	sign of eleventh nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):84 (under the name E201A)	
  NL12	sign of twelfth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):87 (under the name E254A)	
  NL13	sign of thirteenth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL14	sign of fourteenth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):160 (under the name N119)	
  NL15	sign of fifteenth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL16	sign of sixteenth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):135 (under the name K17)	
  NL17	sign of seventeenth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL17a	sign of seventeenth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL18	sign of eighteenth nome of Lower Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):26 (under the name A337)	
  NL19	sign of nineteenth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NL20	sign of twentieth nome of Lower Egypt	A.H. Gardiner (1953):7	
  NU1	sign of first nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):26 (under the name N120)	
  NU2	sign of second nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):114 (under the name G127C)	
  NU3	sign of third nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU4	sign of fourth nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU5	sign of fifth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):120 (under the name G266)	
  NU6	sign of sixth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):133 (under the name I106)	
  NU7	sign of seventh nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU8	sign of eighth nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU9	sign of ninth nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU10	sign of tenth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):129 (under the name I31B)	
  NU10a	sign of tenth nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU11	sign of eleventh nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU11a	sign of eleventh nome of Upper Egypt	A.H. Gardiner (1953):7	
  NU12	sign of twelfth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):160 (under the name N118)	
  NU13	sign of thirteenth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):160 (under the name N112)	
  NU14	sign of fourteenth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):160 (under the name N113C)	
  NU15	sign of fifteenth nome of Upper Egypt	A.H. Gardiner (1953):7, S. Cauville (2001):74 (under the name E34B)	
  NU16	sign of sixteenth nome of Upper Egypt	A.H. Gardiner (1953):7	

Unlike Unicode, the sign on A.H. Gardiner (1953):7 has a jar in front of the oryx.
  NU17	sign of seventeenth nome of Upper Egypt	A.H. Gardiner (1953):8, S. Cauville (2001):81 (under the name E143A)	
  NU18	sign of eighteenth nome of Upper Egypt	A.H. Gardiner (1953):8, S. Cauville (2001):115 (under the name G148A)	
  NU18a	sign of eighteenth nome of Upper Egypt	A.H. Gardiner (1953):8	
  NU19	sign of nineteenth nome of Upper Egypt	A.H. Gardiner (1953):8	
  NU20	sign of twentieth nome of Upper Egypt	A.H. Gardiner (1953):8	
  NU21	sign of twenty-first nome of Upper Egypt	A.H. Gardiner (1953):8	
  NU22	sign of twenty-second nome of Upper Egypt	A.H. Gardiner (1953):8	
  NU22a	sign of second nome of Upper Egypt	A.H. Gardiner (1953):8	
  O1	house	A.H. Gardiner (1957):492	
  O1a	combination of  O1 and  S34	A.H. Gardiner (1953):4, R.O. Faulkner (1962):89	
  O2	combination of  O1 and  T3	A.H. Gardiner (1957):493	
  O3	combination of  O1,  P8,  X3, and  W22 	A.H. Gardiner (1957):493	
  O4	shelter	A.H. Gardiner (1957):493	
  O5	winding wall from upper-left corner	A.H. Gardiner (1957):493	
  O5a	winding wall from lower-left corner	A.H. Gardiner (1928):32	
  O6	enclosure	A.H. Gardiner (1957):493	
  O6a	opening of ḥwt-enclosure		
  O6b	opening of ḥwt-enclosure		
  O6c	opening of ḥwt-enclosure		
  O6d	closing of ḥwt-enclosure		
  O6e	closing of ḥwt-enclosure		
  O6f	closing of ḥwt-enclosure		
  O7	combination of  O6 and  X1	A.H. Gardiner (1957):493	
  O8	combination of  O7 and  O29	A.H. Gardiner (1957):493	
  O9	combination of  O7 and  V30	A.H. Gardiner (1957):493	
  O10	combination of  O6 and  G5	A.H. Gardiner (1957):494	
  O10a	combination of  O6 and  S34	A.H. Gardiner (1953):4, R.O. Faulkner (1962):165	
  O10b	combination of  O6 and  L2	GITB:801-755-460, R. Hannig (1995):516	
  O10c	combination of  O18 and  D2	GITB:802-051-300	

The GITB entry does not depict the sign. Enquiry pending with Wellcome museum.
  O11	palace	A.H. Gardiner (1957):494	
  O12	combination of  O11 and  D36	A.H. Gardiner (1957):494	
  O13	battlemented enclosure	A.H. Gardiner (1957):494	
  O14	part of battlemented enclosure	A.H. Gardiner (1957):494	
  O15	enclosure with  W10 and  X1	A.H. Gardiner (1957):494	
  O16	gateway with serpents	A.H. Gardiner (1957):494	
  O17	open gateway with serpents	A.H. Gardiner (1957):494	
  O18	shrine in profile	A.H. Gardiner (1957):494	
  O19	shrine with fence	A.H. Gardiner (1957):494	
  O19a	shrine	A.H. Gardiner (1953):4	
  O20	shrine	A.H. Gardiner (1957):495	
  O20a	shrine	A.H. Gardiner (1928):32	
  O21	façade of shrine	A.H. Gardiner (1957):495	
  O22	booth with pole	A.H. Gardiner (1957):495	
  O23	double platform	A.H. Gardiner (1957):495	
  O24	pyramid	A.H. Gardiner (1957):495	
  O24a	pedestal of sun temple	A.H. Gardiner (1931):246	
  O25	obelisk	A.H. Gardiner (1957):495	
  O25a	obelisk and pedestal of sun temple	A.H. Gardiner (1931):246	
  O26	stela	A.H. Gardiner (1957):495	
  O27	hall of columns	A.H. Gardiner (1957):495	
  O28	column	A.H. Gardiner (1957):495	
  O29	horizontal wooden column	A.H. Gardiner (1957):496	
  O29a	vertical wooden column	A.H. Gardiner (1928):32, A.H. Gardiner (1957):496 (see under O29)	
  O30	support	A.H. Gardiner (1957):496	
  O30a	four supports	A.H. Gardiner (1928):32, R.O. Faulkner (1962):241	
  O31	door	A.H. Gardiner (1957):496	
  O32	gateway	A.H. Gardiner (1957):496	
  O33	façade of palace	A.H. Gardiner (1957):496	
  O33a	closing of srḫ-enclosure	A.H. Gardiner (1957):72	
  O34	bolt	A.H. Gardiner (1957):496	
  O35	combination of  O34 and  D54	A.H. Gardiner (1957):496	
  O36	wall	A.H. Gardiner (1957):496	
  O36a	opening of oval fortified wall enclosure		
  O36b	closing of oval fortified wall enclosure		
  O36c	opening of square fortified wall enclosure		
  O36d	closure of square fortified wall enclosure		
  O37	falling wall	A.H. Gardiner (1957):497	
  O38	corner of wall	A.H. Gardiner (1957):497	
  O39	stone	A.H. Gardiner (1957):497	
  O40	stairway	A.H. Gardiner (1957):497	
  O41	double stairway	A.H. Gardiner (1957):497	
  O42	fence	A.H. Gardiner (1957):497	
  O43	low fence	A.H. Gardiner (1957):497	
  O44	emblem of Min	A.H. Gardiner (1957):497	
  O45	domed building	A.H. Gardiner (1957):497	
  O46	domed building	A.H. Gardiner (1957):497	
  O47	enclosed mound	A.H. Gardiner (1957):497	
  O48	enclosed mound	A.H. Gardiner (1957):498	
  O49	village	A.H. Gardiner (1957):498	
  O50	threshing floor	A.H. Gardiner (1957):498	
  O50a	hieratic threshing floor	A.H. Gardiner (1953):6 (under the name Ff8)	
  O50b	 O50a reversed	A.H. Gardiner (1953):6 (under the name Ff8*)	
  O51	pile of grain	A.H. Gardiner (1957):498	
  P1	boat	A.H. Gardiner (1957):498	
