#,S,phon      ,,meaning,,
53,?,hang2/xing2/xing4,GOING~????,"HANG~?~INGING~?/going/engineering/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct",,
54,?,suo3,SO… ZU… SITE,SITE/actually/place,,
55,?,ran2,right,RIGHT…ràn/correct/right/so/thus/like this/-ly,? ru2 ? Rantanplan;),
56,?,jia1,-IER GEAR ?,"-IER(person)/tool, -ist/-er/-ian/home/family/furniture",e.g. Magier,
57,?,zhong3/zhong4,ZOON  ? chóng ?,"ZOON/kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate",,
58,?,shi4,THING,THING/matter/thing/item/work/affair,,
59,?,cheng2/cheng4,CHANGE,"CHANGE/finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth",,
60,?,fang1,"? ? FENCE, 4-Wind",®/square/quadrilateral/direction/just,,
61,?,duo1,TOO2,TOO/many/much/a lot of/numerous/multi-,,
62,?,jing1,SIGN BY,SIGN/signed BY/classics/sacred book/pass through/to undergo/scripture,,
63,?,ma/me/yao1,M? ™,"™/(interrog. part.), (interrog. suff.), one on dice/small:mini",,
64,?,qu4,GO,GO/to go/to leave/to remove,,
65,?,fa3,A FAEHR,'FÄHR/law/method/way/Buddhist teaching/Legalist/France (abbrev.),,
66,?,xue2,SCHOOL ?? ?,SCHUL/learn/study/science/-ology,,
67,?,ru2,® …er [comparative],®/as (if)/such as,,
68,?,dou1/du1,DUO2 / TOUT / TOP,"DUO2/TOUT/TOP/all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city",,
69,?,tong2,TO/CON,TO/CON/SAM/same/like/similar/together/alike/with,,
70,?,xian4,SEEN ?,erSCHEIN/appear/present/now/existing/current,,
72,?,mei2/mo4,M¬,"MONO¬/(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate",,
77,?,ding4,?DO?,?DO??/to set/to fix/to determine/to decide/to order,,
73,?,dong4,?DO?,?DO??/to use/to act/to move/to change,,
71,?,dang1/dang4,?DO?,"?DO?®/to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent",,
74,?,mian4,MOYEN ? ? ?,"®/fade/side/surface/aspect/top/face/flour/noodles, flour/noodles",,
75,?,qi3,Q?R^,QIR^/to rise/to raise/to get up,,
76,?,kan1/kan4,CEEN,"~CEEN/to look after/to take care of/to watch/to guard, it depends/think/to see/to look at",,
78,?,tian1,DAYN,DAYN/day/sky/heaven,,
79,?,fen1/fen4,FENCE?,"™/to divide/minute/(a measure word)/(a unit of length = 0 centimeter), part",,
80,?,hai2/huan2/huan4,HEN,"HUAN/also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return",,
81,?,jin4,GOIN ,advance/enter/to come in,,
82,?,hao3/hao4,hao ? ? huge ? hero hao:good/great!!! ++ ,"good/well, be fond of",,
83,?,xiao3,SHAOrt CUL,small/tiny/few/young,,
84,?,bu4,BAU BOARD ?? ? 2,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)",,
85,?,qi2,SIE CE,SU/his/her/its/theirs/that/such/it (refers to sth preceding it),,
86,?,xie1,SOME,SOME/few/several/(a measure word),,
87,?,zhu3,KING ?™,ZUNG?KING?cháng?xi?n/to own/to host/master/lord/primary,,
88,?,yang4,,?/manner/pattern/way/appearance/shape,,
89,?,li3,? LI ~ ? Luo = LOGIC like… ?,~/LOgic/REAson/science/inner principle or structure,,
90,?,xin1,? > THINK,®/heart/mind/mens,? Minkat ?? mencheart,
91,?,ta1,THA,she,,
92,?,ben3,BAND ? BIND ,BIN?/roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word),,
93,?,qian2,X1 Q1,?xi?n/before/in front/ago/former/previous/earlier/front,,
94,?,kai1,CUT ? open ?  2: CAR,®/open/operate (vehicle)/start,ka-du?-a kardan,
95,?,dan4,DENN,DENN/but/yet/however/only/merely/still ,<> dawn ?,
96,?,yin1, ? ein-die-weil,?/cause/reason/because,,
97,?,qi2/zhi1/zhi3,SINGLE THIER/TYR!,"single/only/M[one of a pair]/merely/just/but/earth-spirit/peace, (a measure word, for birds and some animals, etc.)/",,
98,?,cong1/cong2/zong4,?,"®/lax/yielding/unhurried, from/obey/observe/follow, second cousin",,
99,?,xiang3,THINK < SEEN,THINK/to believe/to suppose/to wish/to want/to miss,,
100,?,shi2,SURE SEI,SURE/solid/true/really/real/honest/,? zhen1 ? shen4 ? shi2,
101,?,ri4,RAY,Japan/day/sun/date/day of the month,,
102,?,jun1,JUNTA,army/military/arms,WHY 103???,
103,?,zhe3,SIR ? ? shì  ? sh? ? zh?  -IST ? GER:man,"-ist, -er (person)/person (who does sth)",,
104,?,yi4,YIDEA ?,idea/meaning/wish/desire/(abbr.) Italy,,
105,?,wu2,W¬,-less/not to have/no/none/not/to lack/un-,,
106,?,li4,live ??? virali < laibor ??,power/force/strength,labor ? lu4 ? lao <> lift,
107,?,ta1,ITA,it,,
108,?,yu2/yu3/yu4,Y++   yve = give !,"(interrog. part.), and/to give/together with, take part in",,
109,?,chang2/zhang3,KING,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop",,
110,?,ba3/ba4,BAR,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle",,
111,?,ji1,ma.JIN  ??,machine/opportunity/secret,,
112,?,shi2,SHIN ? SHÉN 10,ten/10,,
113,?,min2,MEN,the people/nationality/citizen,,
114,?,di4,digit,"(prefix before a number, for ordering numbers, e.g. 'first', 'number two', etc)",,
115,?,gong1,KOIÑE ?????????,public/common[KOINE]/just/honorable (designation)/,GOING GANG / HANGar,
116,?,ci3,THE SE,this/these,,
117,?,yi3,? Y+?,already/to stop/then/afterwards,,
118,?,gong1,™ < ergon < werken,work/worker/skill/profession/trade/craft/labor,,
119,?,shi3,"< USE, SEI ? sh?",to make/to cause/to enable/to use/to employ/messenger,,
120,?,qing2,XIN ? emo.tion ? thing,feeling/emotion/passion/situation,,
121,?,ming2,Moin < mooñ > ?meng:more,clear/bright/to understand/next/the Ming dynasty,,
122,?,xing4,-THING -ING -UNG sheng ?,sex/nature/surname/suffix corresponding to -ness or -ity,,
123,?,zhi1,vSIR savoir,to know/to be aware,,
124,?,quan2,?,all/whole/entire/every/complete,,
125,?,san1,?  ??  susan=lilian  ??sh?n,Three/3 ,chu?n ? ? ? channel ?sheng,
126,?,you4,Y+ ? YAD ,(once) again/also/both... and.../again,,
127,?,guan1,Gang ? ? kai ?,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve,,
128,?,dian3,DOWN,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point),,
129,?,zheng1/zheng4,?,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle",,
130,?,ye4,JOB,business/occupation/study,,
131,?,wai4,aWay out,outside/in addition/foreign/external,,
132,?,jiang1/jiang4,GOING,"(will, shall, 'future tense')/ready/prepared/to get/to use, a general",,
133,?,liang3,2™ LIANE,both/two/ounce/some/a few/tael,,
134,?,gao1,GAOR ^,high/tall,,
135,?,jian1/jian4,JN yin between,"between/among/space/(measure word), interstice/separate",,
136,?,you2,due ?? yú yin-weil,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb),,
137,?,wen4,? ?,to ask,,
138,?,hen3,HEN,very/extremely,,
139,?,zui4,Sehr -ISSIU -EST,(the) most/-est,,
140,?,chong2/zhong4,?,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious",<> CHANGE,
141,?,bing4,both,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with",,
142,?,wu4,mwuter ,thing/object/matter,,
143,?,shou3,SHOU ? ? ? ,hand/convenient,Don ? Zuo zhà you han,
144,?,ying1/ying4,?,"ought, (surname)/to answer/to respond",,
145,?,zhan4,ZANK,to fight/fight/war/battle,,
146,?,xiang4,?,"direction/part/side/towards/to/guide/opposite to, guide/opposite to",,
147,?,tou2/tou,TOP,"head, suff. for nouns",,
148,?,wen2,?,language/culture/writing/formal/literary,,
149,?,ti3,? ~ tree,body/form/style/system,,
150,?,zheng4,KING,political/politics/government,,
151,?,mei3,? Maì® ? ?,America/beautiful,,
152,?,xiang1/xiang4,X-change,"each other/one another/mutually, appearance/portrait/picture",,
153,?,jian4/xian4,SEEN ??? BVOY ,"to see/to meet/to appear (to be sth)/to interview, appear",,
154,?,bei4,BY,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear,,
155,?,li4,virali,advantage/benefit/profit/sharp,,
156,?,shen2/shi2,"SHEN 10, shui? Cui? Quoi?","what, tenth (used in fractions)",,
157,?,er4,?,two/2,,
158,?,deng3,,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on,,
159,?,chan3,GENE,to reproduce/to produce/give birth/products/produce/resources/estate/property,,
160,?,huo4,HUH? HOR?,maybe/perhaps/might/possibly/or,,
161,?,xin1,XIN ? : ?! SHINE ??,meso- (chem.)/new/newly,? ~ ? ? ? ,
162,?,ji3,??? Sìjis  666,6th heavenly stem/self,,
163,?,zhi4,System / zho~do,"system/to make/to manufacture/to control/to regulate, manufacture",,
164,?,shen1,gen ?,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit,,
165,?,guo3,govrd,fruit/result,,
166,?,jia1,Y+,to add/plus,,
167,?,xi1,?,west,,
168,?,si1,ci ce,(phonetic)/this,,
169,?,yue4,"? year, jana",moon/month,,
170,?,hua4,? <> yue wen,dialect/language/spoken words/speech/talk/words/conversation/what someone said,,
171,?,ge3/he2,GEN/HEN/JOIN,"to join/ one-tenth of a peck, Chinese musical note/fit/",,
172,?,hui2,HOU® CIR,a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam ((a measure word for matters or actions) ,,
173,?,te2/te4,DER TIER …?,"1. male animal 2. special/unusual/extraordinary, special (-ly)",,
174,?,dai4,DAYN DYNAST …?,1. era/age/period/generation/dynasty/geological era 2. substitute/replace,,
175,?,nei4,IN.NER,inside/inner/internal/within/interior,,
176,?,xin4,SIGN,letter/true/to believe/sign/evidence,,
177,?,biao3,sur.face?,surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external,,
178,?,hua4,CHANGE,to make into/to change into/-ization/to ... -ize/to transform,,
179,?,lao3,L™  leo~rex g’erlaucht  LE… ? la?=? ,(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people),,
180,?,gei3/ji3,GEN GIVE,"to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide",,
181,?,shi4,ZOO ? sh?ng live ?  ,life/age/generation/era/world/lifetime,,
182,?,wei4,way?,position/location/(measure word for persons)/place/seat,,
183,?,ci4,-th,nth/number (of times)/order/sequence/next/second(ary)/(measure word),,
184,?,du4,deg. Take,capacity/degree/standard,,
185,?,men2,?,opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy),,
186,?,ren4,RENMIN,to assign/to appoint/office/responsibility,,
187,?,chang2,CON…,constant/common/general/always/ever/often/frequently/,,
188,?,xian1,X1 xian,early/prior/former/in advance/first,,
189,?,hai3,SHUI,ocean/sea,,
190,?,tong1,TONG ? ? DENK,go through/know well/to connect/to communicate/open,,
191,?,jiao1/jiao4,? JI ? AO ? jier,"teach(er), religion/teaching ", LEHRE ? DAO/TAO ?,
192,?,er2/er,ER ? IR ? HIER,"son, non-syllabic dimi. suff.",,
193,?,yuan2,Y1 < X1,former/original/primary/raw/level/cause/source,,
194,?,dong1,DUNKel,east,,
195,?,sheng1,sound,"sound/voice/(a measure word, used for sounds)/tone/noise",,
