161	PERCH (FISH)	тъʼ	tʌʔ
162	PIKE (FISH)	ӄурь	qʊrʲ
163	SNAKE	тиг	ciɡ
164	WORM	кинь	kʲiɲ
165	SPIDER	элым	ɛlɨm
168	MOSQUITO	сюй	ɕʊj
169	FLY (INSECT)	ӄаймукъ	qajmʊkʌ
170	BUTTERFLY	ӄумлей	qʊmʎɛj
171	BERRY	ээль	ɛːʎ
172	APPLE	яблоко	jablɔkɔ
173	MUSHROOM	больба	bɔʎba
174	ONION	лук	lʊk
179	PIT (POTHOLE)	хъӄтоль	xʌqtɔʎ
180	TRAP (PITFALL)	ки	kʲi
182	TRACK (OF ANIMAL)	булок	bʊlɔk
183	ASH	ӄолан	qɔlan
184	FILTH	синь	ɕiɲ
185	IRON	е	jɛ
186	GOLD	солта	sɔlta
187	SILVER	серебра	ɕɛrʲɛbra
188	CHARCOAL	куʼ	kʊʔ
189	GLASS	текла	cɛkla
190	CLAY	тультан	tʊʎtan
191	SAND	хъняӈ	xʌɲaŋ
192	PERSON	кеʼт	kʲɛʔt
193	MAN	хиг	çiɡ
194	WOMAN	ӄим	qʲim
195	CHILD (YOUNG HUMAN)	дыль	dɨʎ
196	BOY	хигдыль	çiɡdɨʎ
197	GIRL	ӄимдыль	qʲimdɨʎ
198	FAMILY	семья	ɕɛmʲʲa
199	GRANDFATHER	ӄип	qʲip
200	GRANDMOTHER	ӄима	qʲima
201	PARENTS	обаӈ	ɔbaŋ
202	FATHER	өп	œp
203	MOTHER	ам	am
204	SON	хыʼп	xɨʔp
205	DAUGHTER	хуʼн	xʊʔn
206	BROTHER	бисеп	bʲiɕɛp
207	SISTER	бисеп	bʲiɕɛp
209	AUNT	ӄөй	qœj
210	HUSBAND	тет	cɛt
211	WIFE	ӄим	qʲim
213	LAUGHTER	даӄ	daq
215	GRIEF	аӈбет	aŋbʲɛt
216	LONGING	ӄоʼй	qɔʔj
217	DESIRE	ӄоʼй	qɔʔj
218	SPIRIT	ий	jij
219	THOUGHT	анеӈ	aɲɛŋ
221	MIND	анун	anʊn
224	TRUTH	баʼт	baʔt
225	CONVERSATION	асанъй	asanʌj
226	FAIRY TALE	аськэʼт	aɕkɛʔt
227	STORY	асьӄа	aɕqa
230	NAME	и	ji
231	SPEECH (ADDRESS)	сыӷытаӄ	sɨɣɨtaq
232	SPEECH	асанъй	asanʌj
233	LANGUAGE	ӄаʼ	qaʔ
234	VOICE	дух	dʊx
235	WORD	ӄаʼ	qaʔ
238	NOISE	ӄолдаӈэй	qɔldaŋɛj
239	SOUND OR NOISE	дуг	dʊɡ
240	TONE (MUSIC)	дуг	dʊɡ
