139	ძაღლი	d͡zɑɣli
140	კატა	kˀɑtˀɑ
141	დათვი	dɑtʰvi
142	ციყვი	t͡sʰiqˀvi
143	ცხენ-ირემი	t͡sʰxɛn-irɛmi
144	მელა	mɛlɑ
145	კურდღელი	kˀurdɣɛli
146	თაგვი	tʰɑɡvi
147	მგელი	mɡɛli
148	ჩიტი	t͡ʃʰitˀi
148	ფრინველი	pʰrinvɛli
149	გუნდი	ɡundi
150	დედალი	dɛdɑli
151	მამალი	mɑmɑli
152	ბატი	bɑtˀi
153	არწივი	ɑrt͡sˀivi
154	იხვი	ixvi
155	ბუ	bu
156	წერო	t͡sˀɛrɔ
157	ყვავი	qˀvɑvi
158	გუგული	ɡuɡuli
159	გედი	ɡɛdi
160	თევზი	tʰɛvzi
161	ქორჭილა	kʰɔrt͡ʃˀilɑ
162	ქარიყლაპია	kʰɑriqˀlɑpˀiɑ
163	გველი	ɡvɛli
164	ჭია	t͡ʃˀiɑ
165	ობობა	ɔbɔbɑ
166	ჭიანჭველა	t͡ʃˀiɑnt͡ʃˀvɛlɑ
167	ტილი	tˀili
167	მკბენარი	mkˀbɛnɑri
168	კოღო	kˀɔɣɔ
169	ბუზი	buzi
170	პეპელა	pˀɛpˀɛlɑ
171	კენკრა	kˀɛnkˀrɑ
172	ვაშლი	vɑʃli
173	სოკო	sɔkˀɔ
174	ხახვი	xɑxvi
175	თესლი	tʰɛsli
176	მარცვალი	mɑrt͡sʰvɑli
177	თივა	tʰivɑ
178	ჩენჩო	t͡ʃʰɛnt͡ʃʰɔ
179	ორმო	ɔrmɔ
180	ხაფანგი	xɑpʰɑnɡi
181	მახე	mɑxɛ
182	კვალი	kˀvɑli
183	ფერფლი	pʰɛrpʰli
184	ტალახი	tˀɑlɑxi
184	სიბინძურე	sibind͡zurɛ
185	რკინა	rkˀinɑ
186	ოქრო	ɔkʰrɔ
187	ვერცხლი	vɛrt͡sʰxli
188	ნახშირი	nɑxʃiri
189	მინა	minɑ
190	თიხა	tʰixɑ
191	ქვიშა	kʰviʃɑ
192	ადამიანი	ɑdɑmiɑni
193	კაცი	kˀɑt͡sʰi
194	ქალი	kʰɑli
195	ბავშვი	bɑvʃvi
196	ვაჟი	vɑʒi
197	გოგო	ɡɔɡɔ
198	ოჯახი	ɔd͡ʒɑxi
199	პაპა	pˀɑpˀɑ
199	ბაბუა	bɑbuɑ
200	ბებია	bɛbiɑ
200	დიდედა	didɛdɑ
201	მშობლები	mʃɔblɛbi
202	მამა	mɑmɑ
203	დედა	dɛdɑ
204	ვაჟიშვილი	vɑʒiʃvili
205	ქალიშვილი	kʰɑliʃvili
206	ძმა	d͡zmɑ
207	და	dɑ
208	ბიძა	bid͡zɑ
209	დეიდა	dɛidɑ
209	მამიდა	mɑmidɑ
210	ქმარი	kʰmɑri
211	ცოლი	t͡sʰɔli
212	სიხარული	sixɑruli
213	სიცილი	sit͡sʰili
214	ბედნიერება	bɛdniɛrɛbɑ
215	მწუხარება	mt͡sˀuxɑrɛbɑ
216	წადილი	t͡sˀɑdili
216	სურვილი	survili
217	წადილი	t͡sˀɑdili
