English	German	connecting
almost		
dog	Dackel	
buy	<<	
truth	<<	
met		
hot		
o		
anymore		
behind	hinter	
speak		
moment		
blood		
ma		
shall		
daddy		
stupid	stupide	
along	entlang	
either	weder!	
though	doch	
front	frontal	
sister		
bye	<<	
send		
welcome		
trust	vertraust!	
free		
book		
answer	Antwort	
between	bei…zwischeen	
children	Kindern	
war	<< Furie	
hurry	hurtig	
fact	Fakt	
brought	brachte	
bet	biete	
clear	klar	
white		
glad	glück?	
daughter		
outside	außenseite	
city	stadtle	
bitch	<<	
black	<<	
full		
till	<<	
sick	siech…	
light		
shoot		
lose		
wonderful		
save	sicher --	
hour	<<	
country	Kanton	
wow		
able	apt (rare)	
frank		
perfect		
shouldn		
child		
whoa		
order		
alive		
food	Futter	
gentlemen	<<	
luck	glück	
hair		
drive	treibe	
promise	<<	
sex		
music		
ya		
power	<<	
sort		
special		
street		
dance		
hang		
touch	<<	
team	™	
company		
george		
pull	<<	
plan		
sweet		
ten		
coffee		
lucky		
sound	2.Sund	
safe		
date		
president	vorsitzend	
himself		
seem	schein	
air	aroma? orbit? ether?	
taken		
york	?	
picture	<<	
lord	Leibwärter!↯	
sent	gesendet	
fast	fest? festes Tempo fest anschnallen	
catch	Kescher?	
ride	route	
win		
top	™ / <<	
dream		
sign	Zeichen	
sense	Sinnes	
beat	<<	
control		
drop	Tropf	
cold		
figure		
poor	<<	Pöbel?
throw	<<	
joe		
write	Wort	
cannot		
suppose	x	
small	kümmerlich?	
human	hu Mensch	
piece	Puzzle	
hospital	Haus Peter(wagen)	
uncle		
past	Passiertes	
known		
follow	folge	
sam		
movie		
ha		
straight	(ge)streckt	
clean	<<	
feet		
million		
lie	lüge 	lyye
felt		
step	<<	
learn		
fall		
bill	<<	
quiet	<<	
wonder		
goodbye	gut…WEG?	
law	legen/lesen?	
become	xx	
general		
rather	rasch/gerade!	
possible	passierbar	
goddamn	gottverdammt	
mad	madig?	
murder		
road	Route	
mike	™	
eye		
except	xx es-sei-denn?	
somewhere	xx	
explain	xx<	ausplanen™
charlie		
none	nein (nicht-ein)	
tom		
secret	diskret?	
wear	fahr?	
worth	wert	
act		
careful	kümmervoll?	
quick		
handle	Hand | behandeln	
report		
state		
busy	<<	
table	Tablet -	
wake		
broke		
ball		
major		
seven		
mouth		
marry	<<	
meant		
fault		
lunch		
al		
lieutenant		
expect		
hmm		
mama		
future		
paper		
officer		
hotel		
buddy		
agent		
blue		
american		
mistake	Missgriff ;)	
tv		
david		
weird	verwirrt	
court	Garde, Kurtaxe --	<<<
floor		
earth		
dude		
longer		
finish		
forgot		
ship		
club		
attention		
eight		
worse	Wurst?	
pain		
ben		
th		
blow		
choice	<<	
ray	<<	Regen?
birthday		
stick		
relax		
yesterday		
honor		
colonel	Kolonie?	
smart	<< schmerz…	*smertaną (“to hurt, ache”) se'muerte
boat		
plane		
month		
given		
train		
l		
fair		
ooh		
security		
cover	Kopf?	<<
paul		
bag	Backe? Beuge?	
terrible	Terror	
caught	Kescher	
song		
spend		
horse	arsch?	
sell	Saal??	
return		
personal		
message	Mission?	
system		
afternoon		
bob		
hasn		
tough		
christ		
peter		
quit	quitung --	
count	Kante?? << Kerbholz	
box	Pack	<<
present	<<	vor(ge)sendet
charge	<<	√Karre <> cargo
kept	<<	
information		
fool	<<	… faul Fohlen?
simple	<<	
middle		
calm	<<	
surprise		
forever		
dark		
anywhere	xx	
swear		
land		
mary		
cute	Katze ;)	
master		
key	<    Kasten? Kegel? Köcher?	
strong	streng | Stärkung	
fix		
johnny		
strange	stark stink?	
rock	<<	Latin *rocca … ?  Bergrücken?
voice	fauche?	
cop	Kopf	
window	Windauge	
bar	Barikade	
appreciate	xx	
army		
paid	pbezahlt? put?	
short		
record	xx Kord/Kerbe	
bought	borgen beugen biegen ƒ?	
card		
certain	xx	
college	xx	
evidence	xx	
bank		
ran		
test		
history	<<	
born	gebor'n	
proud	protz(ig)	
fish		
join	<<	zusammen join~joim~sym~sam Junge?
lead	leit…	
smell	<<	
near		
apartment	xx	
enjoy	xx	
letter	…	
situation		
trip	trab!	
harry	verheeren!	
mark		
store	<< starr? 	
yo		
star		
danny	™	
accident	xx	
imagine	magie?	
doc		
ought	<<	< should < sollte
pleasure	<<	please
list		
rich		
jimmy		
service		
entire	<<< in totaler /  in + tangere “touch”	
difference	xx	zwie…falt?
judge	Jude << iūdex ?	
ice		
lawyer	Leger Leser	
fat		
alright		all'richt | alles recht | all'richtig ;)
instead		
age	arche? archae?	
station		
realize		
gold		
seat		
summer		
angel		
america		
chief		
radio		
hungry		
marriage		
brain	<<< Brenner?  <> brege? √Bruch?	*bragną  βρέχμα (brékhma, “brainpan”) Berechner?  
soul		
forgive	vergebe	
drunk		
henry		
deep	tief	dieph
girlfriend		
slow	schlurf schleppend! 	schlange??
private		
attack		
beer		
partner		
area		
offer	hofier? aufwarte? ob+bear aufbaren! opera(work)	
scene		
third		
upset	aufsetz!	
owe	¬eigen	
english		
richard		
group		
ln		
kick	<> kink = knick	kikna (“to sink at the knees”)
evil	Teufel?	
joey		
joke	*yek- (“to speak, utter”) << sag?	Jeck, Jockel
fell	fäll'	
truck	trag!	
teach	zeig : *deyḱ- (“to show”) dīcō Diktat δείκνυμι 	
green		
ground		
cash	qath = HAND!	
forward	vorwärts	
honest	ernst!?	
boyfriend		
park		
position		
single		
respect		
broken	gebrochen	
crime	kriminal (wasteful stem not used!)	
wrote	Schrift~	s'writ
public	pöbelig	
max		
mommy		
grab	grabsch, greif	
art	<<	
favor	<<	
wall	der Wall! Wallung Wald(ung)??	
force	Berg	 *bʰerǵʰ- (“to rise, high, hill”)
jail	jaul? Gaul? cave?	
push	pust? *bautaną (“to push”) <> beat	
prove	Probe?	
normal		
machine	maschier?	
protect	xx	
field		
spent	spendiert	
jump		< jambe=bein •Jambone~Schienbein?
nose		
hide	@Hütte, Häute	
church	Kirch'	
sun		
peace	Pacht??	
professor		
bobby		
share	Schar | Scharte? (Teilung)	
french		
steve		
bullshit	Bullschiss	
thousand		
fear(ed)	Furcht	
tape	Tapet --	
tony		
suit	--	
relationship	xx	
neither	nicht…weder	
nine		
pop		
bother	piecksen ??	<>  pother (“to poke, prod”) •poç potç
whether	(ent)weder | falls er	
stuck	@Stock?	
round		
dirty	dreck'ig @ track	
cat		
breakfast	xx	Brech'Fasten
idiot		
space	<<	s'Platz
prison	xx	√prehendō
carry	Karre	ƫrage 
bastard		
cry	<<	
smoke	Smog (neu aber ok)	
arm		
film		
government	xx	super…
tree	Trieb??	
foot		
contact		
knock	Knochen??	
agree	auch ok? ad gre	
pardon		
gift	gebt Mitgift	
south		
jim		
hat	Hut @ Haupt	
board	Brett	
sake	Sache	
sweetheart	xx	Süßherz ;)
north		
department	xx	
patient		
awful	…voll	
sad	satt haben!!	
roll		
robert		
grand	groß? -	Grund?
sergeant	™	
killer	<	
laugh		
doubt	dubios	
upon	xx	
double		
twice		
whose		
outta		
plenty	vielen…	
guilty	schuldig!	
jerry		
race	rase 	
crap	™	
chicken	Kücken	
bathroom	Baderaum :)	
asshole	xx	
spot	Spuck?	
weekend		
detective		
action		
sheriff		
type		
experience	xx Erfahrung!	
west		
wine		
luke	lau	
difficult	™	
brown		
nick		
rid	roden ++	
sea		
flight	flüchte	
arrest	™	
neck	Nacken	
grow	groß	
mention	™	
favorite	™	
wind		
notice	Notiz ~	
admit		
extra		
within	xx	
low	leg!	
impossible	™	
gay	<	
computer	™	
angry	Gram / grr	
bunch	Bund Bündel	
blame	Blasphemie!	
visit	beisitz!?	
clock	™	
tea		
fellow	beilieg? Flegel? --	
kitchen	Küchen	
lay	lag	
hole	hohl Höhle / Loch RTL	
guard	Wart!	
smile	™	
fit	™	
pal	> fellow <<<	
bear	bare	
often	oft ;)	
wild		
camera		
begin		
ow		
reach	reich	
beach	Bucht < Bach <> Becken?	
larry		
heaven	himmel?	
lock	Luke	
leg	legen (somehoe?)	
worst	Wurst ;)	
track	Strecke | Dreck	
teacher	Tachiles?	
river	Rhein? Raft™	
dare	durchhalten ƒ  dören 	Dutch durven | Sanskrit दधर्ष (dadhárṣa) | but also with Ancient Greek θρασύς (thrasús) | Albanian nder | Lithuanian drįsti | Russian дерза́ть (derzátʹ). 
burn	brenn	
aunt	Tante 	
raise	reissen (heben)	
n		
shh		
rory		
decision	xx ente.cidiung	
cost		
queen	Königin*2	
fresh		
innocent	xx	
emergency	Emergenz™	
medical		
cell		
gotten		
bigger		
bomb		
note		
shop	Schiff?	
sweetie	Süße	
band		
price		
steal		
waste	Wüste!	
client		
stole		
code		
pressure	Pressung	
rose		
dick	™	
accept		
further	fahrt	fern'er
aah		
excellent		
magic		
corner	<<< Horn ?	
consider	xx	
herself		
copy		
warm		
sold	Sold ~ Schuld	
pregnant	xx	
hall		
treat	tret?	
everywhere	xx	
van		
complete		
cup	Kappe ~~	
level		
eh		
taste	tasten ~ probieren!	
motherfucker	nah!	
camp		
beg	bettel?<	
yep	ja	
duty	Debit <	
interest	™	
tight	dicht!	
bottle	Buttel	
support	xx	
leo	Löw	
f		
decide	entescheide!!	
		
moon		
bottom	Boden!	
conversation	xx zusamn-Versen versitzen;)	
san		
hero	™ Herod Held Harald	
asleep	einschlaf entschlaf schlaf'end 	
roger		
final		
continue	<< ™ xx	
east		
match	<<	
apologize	Ablege? ™	
trial	zerr?	
spirit		
chair	Karre?	
u		
risk	Risiko	
study	Studie	
amy		
rain		
above	ob.over ! über.wo?	
cousin		
cream		
memory	™	
breathe	presse?	
enemy	<	anti… ?
huge	hoch!	
search	such	
greatest	größtest	
beauty	<<  bellus < fair	
tommy		
rule	Regel	
build	baut	
choose	kiesen kiezen	
lee		
advice	xx	
teeth		
became		
victim	<<	
coach	Kutscher	
friday		
crew	™	
saturday		
driver	Treiber	
heavy	heben	
trick		
empty	<	
comfortable	xx	
destroy	zerstör ~~~ Troya	
mission		
apart	entfernt?	
pool		
dumb	dumm	
knife	knip?	
santa		
weapon	Waffen	
restaurant		
shirt	Schürze	
faith	Fatima <	
gee		
dig	<<	
size		
london		
necessary		non cessum | ceading ¬Not!
blind		
credit		
center		
bridge	Brücke	
practice		
closer	claustrophobisch close schloß/schließ  	
mister		
grandma		
cook		
stage	stadje! stand	
strike	Streich	
ticket		
animal	™	
bird	Brut	
sight	Sicht	
somehow		
drug		
career		
nature		
however		
prince		
cake	+	
responsible	xx	
nurse	nūtriō Nutte?	
correct		
breath	Press?	
sky	deckey d:s ?!	
account	™	
common	zsammen sammeln	
due	<<	
afford	xx	
chinese		
tie	zieh	
bright	Licht bricht durch? <<<	
allow	erlaub	
belong	xx	
escape	xx	
suspect	xx	
written	in Worten	
file	Filet?	
skin	<	
jake	?	
madam	meine Dame	
fill		
operation		
desk	Diskus!~	
aye		
taught	gezeigt	
pack		
faster	fester	
deserve	xx	
danger	angst? <> damage dominance	
meat	Mett	
command		
sunday		
whoever		
beyond	xx	
sarah		
dave		
student		
jane		
dry	trocken	
jury		
form		
main	manuel	
program		
papa		
martin		
g		
milk		
held		
horrible		
kinda	™	
de		
natural		
grace	grazie	
battle	beat<>fight<>fecht --	
phoebe		
coat	Kittel	
although	xx	
settle	…	
opinion	<	
washington		
ho		
terrific		
gentleman	Gentil™ Mann	
older	älter	
lucy		
loose	locker	
local		
shame	schande	
otherwise	andernfallse	
large	larga | lardum; laetus (“fat | happy”)	
devil		
video		
military		
chicago		
built	gebaut	
shower	Schütt?	
oil		
opportunity	xx	
chest	(Brust)Kasten	
biggest		
threw		
bite	beiße	
eric		
aw		
wash		
stone		
block		
draw	<< trag?	
attorney	xx	
pretend	xx	
health	heilt	
heat	heiß heiz	
manager		
guest		
loud		
fantastic		
itself		
shake	schütkel	
lab		
island	ƒ	
easier	/	
color	/	
earlier		
bell	<	
suggest	xx	
wet	Wasser	
pig	<	
nowhere		
merry	<	
weli		
cheese		
soldier		
monster		
several	xx <	
planet		
dean	Don™	
insane	xx	
california		
walter		
spoke	sprach	
butt	<	
view	<<	
bloody		
insurance	xx	
pete		
split	spleiß	
bullet	<	
character		
national		
airport	xx	
speech	Sprech	
hook	Haken	
condition	xx	
target	<	
serve	™	
er		
incredible	xx	
player	<	
signal		
sugar		
helen		
total		
hill	Hügel Hüyel hill	
football		
page	<<	
screw	schraub!	
justice		
project		
rough	roh	
crowd	<<	
pair		
science	<	
usual	Usus	
adam		
sooner		
commander		
subject		
remind	erinner àr.memno	
strength	Stärke	
mail	<	
dan		
paint	Pinktur Tinktur?	
freak	frech?	
bedroom	BettRaum™	
neighborhood	NachbarSchaft!	
onto		
finger		
spell	Spiel?	
tim		
ghost		
majesty		
peg	Punkt! Festpunkt/Stift/Stöpsel <<	
smith		
fake	falsch	
release	(los)lassen	
weight		
cheap	<< √chop?	
market		
pray	frag!	
unit	Einheit!	
throat	Drossel | drosseln | *trud-:𓏏:dell/swell !!! 	
lake		
nor	noder :)	
susan		
director		
phil		
brilliant		
cab	Kappe?	
candy	kandiert™  खण्ड् khaṇḍ | “to divide” Kante/Block	
junior		
legal		
pocket	Pfoch (“purse”) pouch | bag | bucca | poke	
scott		
aware	wach?	
roof	rauf? Krepp? Krippe!	 *hrōfą  *krāpo- <> cover
jason		
babe		
brian		
radar		
slept		
bud	Blüte? Hagebutte	
responsibility	xx	
mountain	™	
base	Basis	
firm	firm	
england		
trade	trage | Tradition-	
whom	wem	
romantic		
fan	1. Wind 2. Fanatiker	
liar	Lüger	
powerful	xx	
language	™	
whenever		
purpose	xx	
whoo		
nope		
noise	<	Nuschel/Raschel? R<>N
suck		
fancy	fantasie	
forgotten	vergessen	
introduce	xx	
annie		
rent	Raum? rendere | reddere redo | return??	
familiar		
criminal		
proof	Probe~	
vote	Wette wäge	
com		
recognize	xx	
stolen	gestohlen	
suicide	selbs…	
weather		
medicine		
k		
issue	aus…geh/ir	
lift	Lift @ Luft  *luftijaną (“to raise in the air”) !!	
anna		
mood	~~ müde …Mut (e.g. Wehmut)	
male	<	
among	inmitten / inmittig	
television	xx	
regular		
someday		
stomach	στόμα (“mouth”)  mawe | maghe | maȝe Magen!	
yellow	gellb	
ate	aß	
county	Quant Graf --?	
buck	Bock	
crane	Krahn(ich) 𓍑 𓏏 𓊌 𓅭  ⲉⲧⲏϣⲓ	
scare	schaf? stirr  Armenian ցիռ (cʿiṙ | “wild ass”). 	
village	Villa~	
prepare	vorbereite=preparate	
monkey	<<	
pizza	™ 	
assume	xx	
sudden	subitus 	
toast		
fella		
jacket		
lane	Linie/Leine	
social		
travel	traben	
sometime		
monday		
property	xx	
remain	xx	
secretary		
funeral	FINI fūnus (“funeral | death | corpse”) | origin unknown | FINIS ~ fence (border | limit | end) <> Wende	
magazine		
sexual		
senator		
jerk	ġearcian ge.ark (bogen) werfq?	
freedom	Freitum	
research	wiedresuche ;)	
arthur		
add		
damage	damn verdammig verdammt	
handsome	handSchön	
repeat	xx	
prefer	bevor…zugen	
society	sozial  *sekʷ- (“to follow”) <> sequenz Such 	
energy		
alan		
crack	Krach! kink	
chase	Hase!?	
vacation	Weg/Wach?	
mulder	mulde Müller (name)	
carter	Karre	
divorce	<xx	
jackson		
defense	anti-fechten	
rat		
grandpa		
grant	Garant!	
began		
post		
william		
surgery	Chirurgie	
telephone		
contract	xx	
safety		Sigherheit (enough = enouf )
tall	<> stell	
professional		
lesson	Lektion	
assistant		
tiny	<<	
