northeuralex-0.9-concept-data.tsv
number	position_in_ranking	ranking_value	id_nelex	gloss_en	gloss_ru	annotation_en	annotation_en	annotation_ru	concepticon	concepticon_id	concepticon_proposed	comments
48	368	-1,394606	Leber::N	liver	печень	[[Anatomie]]	[[anatomy]]	[[анатомия]]	LIVER	1224	LIVER	
49	744	-0,506891	Atem::N	breath	дыхание	[Atmung]	[breathing]	[процесс]	BREATH	870	BREATH	
50	327	-1,486053	Hunger::N	hunger	голод	[Zustand]	[condition]	[состояние]	HUNGER	1864	HUNGER	
51	409	-1,291737	Träne::N	tear	слеза	[Tropfen der Flüssigkeit]	[drop of fluid]	[капля]	TEAR_(OF_EYE)	1651	TEAR_(OF_EYE)	
52	197	-1,822334	Geschmack::N	flavour	вкус	[von etwas]	[of something]	[чего-либо]	TASTE	2190	TASTE	
53	239	-1,702637	Geruch::N	odour	запах	[von etwas]	[of something]	[чего-либо]	<NA>	0	FLAVOR	
54	78	-2,32481	Schlaf::N	sleep	сон	[Zustand]	[condition]	[состояние]	<NA>	0	SLEEP_(STATE)	POS
55	123	-2,116322	Traum::N	dream	сновидение	[im Schlaf]	[while sleeping]	[то, что снится]	DREAM	2374	DREAM	
56	92	-2,260565	Himmel::N	sky	небо	[sichtbar]	[visible]	[НАПР:звёзды на небе/солнце на небе]	SKY	1732	SKY	
57	153	-1,984994	Sonne::N	sun	солнце	[Himmelskörper]	[celestial body]	[НАПР:солнце на небе]	SUN	1343	SUN	
58	104	-2,213239	Mond::N	moon	луна	[Himmelskörper]	[celestial body]	[НАПР:луна на небе]	MOON	1313	MOON	
59	316	-1,503503	Stern::N	star	звезда	[am Nachthimmel]	[in the night sky]	[на ночном небе]	STAR	1430	STAR	
60	234	-1,723365	Luft::N	air	воздух	[wo Vögel fliegen]	[where birds fly]	[НАПР:птицы летают по воздуху]	AIR	27	AIR	
61	69	-2,37676	Wind::N	wind	ветер	[draußen]	[outside]	[на улице]	WIND	960	WIND	
62	213	-1,772595	Welle::N	wave	волна	[auf Wasser]	[on water]	[на воде]	WAVE	978	WAVE	
63	19	-2,92383	Wasser::N	water	вода	[kaltes Wasser]	[cold water]	[холодная вода]	WATER	948	WATER	
64	55	-2,46243	Stein::N	stone	камень	[Substanz]	[substance]	[вещество]	ROCK	668	ROCK	
65	470	-1,143149	Boden::N	ground	земля 	[Erdboden]	[soil, earth]	[земля, пол; НАПР:падать на землю]	GROUND	2159	GROUND	
66	164	-1,945461	Erde::N	earth	земля, почва	[Substanz]	[substance]	[вещество; НАПР:комок земли]	EARTH_(SOIL)	1228	EARTH_(SOIL)	
67	292	-1,575208	Staub::N	dust	пыль	[Ablagerung]	[settled]	[НАПР:вытереть пыль]	DUST	2	DUST	
68	82	-2,306577	Rauch::N	smoke	дым	[von einem Feuer]	[from a fire]	[от огня]	SMOKE_(EXHAUST)	778	SMOKE_(EXHAUST)	
69	827	-0,254543	Funke::N	spark	искра	[von einem Feuer]	[from a fire]	[от огня]	SPARK	518	SPARK	
70	129	-2,09136	Feuer::N	fire	огонь	[Flammen]	[flames]	[пламя]	FIRE	221	FIRE	
71	192	-1,838404	Licht::N	light	свет	[natürlich]	[from a natural source]	[природный]	LIGHT_(RADIATION)	630	LIGHT_(RADIATION)	
72	481	-1,122783	Schatten::N	shadow	тень	[schattiger Ort]	[shady place]	[тенистое место]	SHADE	1388	SHADE	
73	488	-1,113199	Wetter::N	weather	погода	[]	[]	[]	WEATHER	952	WEATHER	
74	672	-0,696679	Nebel::N	fog	туман	[]	[]	[]	FOG	249	FOG	
75	205	-1,790594	Wolke::N	cloud	облако	[hell]	[bright]	[свётлое]	CLOUD	1489	CLOUD	
76	255	-1,66627	Regen::N	rain	дождь	[fallend]	[falling]	[НАПР:дождь идёт]	RAIN_(PRECIPITATION)	658	RAIN_(PRECIPITATION)	
77	37	-2,607532	Schnee::N	snow	снег	[liegend]	[on the ground]	[на земле]	SNOW	784	SNOW	
78	32	-2,666068	Eis::N	ice	лёд	[natürliche Substanz]	[natural substance]	[природный НАПР:на реке, озере]	ICE	617	ICE	
79	420	-1,269482	Frost::N	frost	мороз	[Temperatur unter Gefrierpunkt]	[temperature below freezing point]	[сильный холод]	FROST	2034	FROST	
80	484	-1,117138	Kälte::N	chill	холод	[niedrige Temperatur]	[low temperature]	[низкая температура воздуха]	<NA>	0	CHILL	POS
81	730	-0,541652	Hitze::N	heat	жара	[hohe Temperatur]	[high temperature]	[высокая температура воздуха]	HEAT	612	HEAT	
82	656	-0,724082	Raureif::N	hoarfrost	иней	[]	[]	[]	<NA>	0	HOARFROST	
83	1007	1,697472	Regenbogen::N	rainbow	радуга	[]	[]	[]	RAINBOW	1733	RAINBOW	
84	625	-0,801241	Donner::N	thunder	гром	[bei Gewitter]	[during a thunderstorm]	[во время грозы]	THUNDER	1150	THUNDER	
85	753	-0,489439	Strömung::N	current	течение	[eines Flusses]	[of a river]	[реки]	<NA>	0	CURRENT	
86	458	-1,170306	Tropfen::N	drop	капля	[BSP:Wasser]	[EX:water]	[НАПР:воды]	<NA>	0	DROP_(OF_LIQUID)	not DROP (CLASSIFIER)
87	109	-2,188698	Schaum::N	foam	пена	[auf Flüssigkeit]	[on liquid]	[на поверхности жидкости]	FOAM	1768	FOAM	
88	715	-0,577517	Schmutz::N	dirt	грязь	[auf Gegenständen]	[on objects]	[на предметах]	DIRT	25	DIRT	
89	61	-2,428149	See::N	lake	озеро	[Binnensee]	[]	[]	LAKE	624	LAKE	
90	749	-0,493922	Sumpf::N	swamp	топь	[Feuchtgebiet]	[area of impassable wet land]	[вязкое труднопроходимое место]	SWAMP	1145	SWAMP	
91	976	0,782546	Moor::N	moor	болото	[Torfmoor]	[wasteland covered by heath]	[торфяное болото]	<NA>	0	MOOR	
92	575	-0,908312	Wiese::N	meadow	луг	[Land mit Grasbewuchs]	[land covered with grass]	[поросший травой]	<NA>	0	MEADOW	
93	284	-1,595172	Wald::N	forest	лес	[]	[]	[]	FOREST	420	FOREST	
94	756	-0,481831	Hügel::N	hill	холм	[möglicherweise bewaldet]	[possibly wooded]	[горка]	HILL	614	HILL	
95	763	-0,466956	Anhöhe::N	elevation	возвышенность	[höher gelegenes Gelände]	[of the ground]	[более высокое, возвышающееся над окрестностью место]	<NA>	0	ELEVATION	not distinct from HILL
96	81	-2,309868	Berg::N	mountain	гора	[unbewaldet]	[woodless]	[не поросшая лесом]	MOUNTAIN	639	MOUNTAIN	
97	822	-0,270502	Gipfel::N	summit	вершина	[eines Berges]	[of a mountain]	[горы]	SUMMIT	1614	SUMMIT	
98	798	-0,359802	Höhle::N	cave	пещера	[in einem Berg]	[in a mountain]	[в горе]	CAVE	1155	CAVE	
99	960	0,573616	Abhang::N	slope	склон	[eines Berges]	[of a mountain]	[горы]	PRECIPICE	618	PRECIPICE	
100	867	-0,088111	Quelle::N	source	источник	[eines Flusses]	[of a river]	[реки]	SPRING_(OF_WATER)	849	SPRING_(OF_WATER)	
101	754	-0,484698	Bach::N	brook	ручей	[kleiner Fluss]	[small river]	[маленькая река]	<NA>	0	BROOK	not distinct from RIVER
102	227	-1,739801	Fluss::N	river	река	[größerer Fluss]	[larger river]	[большая река]	RIVER	666	RIVER	
103	372	-1,38519	Ufer::N	shore	берег	[eines Sees]	[of a lake]	[НАПР:озeра]	SHORE	113	SHORE	
104	591	-0,870349	Küste::N	coast	побережье	[Meeresküste]	[seashore]	[берег моря]	COAST	1525	COAST	
105	788	-0,393131	Festland::N	land	суша	[]	[as opposed to sea]	[как противоположность морю]	MAINLAND	166	MAINLAND	
106	106	-2,19988	Meer::N	sea	море	[]	[]	[]	SEA	1474	SEA	
107	667	-0,703174	Bucht::N	cove, bay	бухта	[kleine Bucht]	[small coastal inlet]	[небольшой залив в море]	BAY	663	BAY	
108	259	-1,652876	Insel::N	island	остров	[]	[]	[]	ISLAND	622	ISLAND	
109	850	-0,173582	Blume::N	flower	цветок	[]	[]	[]	FLOWER	239	FLOWER	
110	277	-1,617369	Gras::N	grass	трава	[Bodenbewuchs]	[ground cover]	[зелёный покров земли НАПР:лежать на траве]	GRASS	606	GRASS	
111	194	-1,828621	Wurzel::N	root	корень	[einer Pflanze]	[of a plant]	[растения]	ROOT	670	ROOT	
112	48	-2,502903	Baum::N	tree	дерево	[Pflanze]	[plant]	[растение]	TREE	906	TREE	
113	791	-0,387953	Stamm::N	trunk	ствол	[eines Baumes]	[of a tree]	[дерева]	TREE_TRUNK	344	TREE_TRUNK	
114	224	-1,74791	Rinde::N	bark	кора	[eines Baumes]	[of a tree]	[дерева]	BARK	1204	BARK	
115	257	-1,663897	Ast::N	limb	сук	[eines Baumes]	[of a tree]	[дерева]	BRANCH	826	BRANCH	
116	612	-0,840117	Zweig::N	twig	ветвь	[eines Baumes]	[of a tree]	[дерева]	<NA>	0	TWIG	not distinct from BRANCH
117	120	-2,129714	Blatt::N	leaf	лист	[einer Pflanze]	[of a plant]	[растения]	LEAF	628	LEAF	
118	319	-1,494508	Birke::N	birch	берёза	[]	[]	[]	BIRCH	1855	BIRCH	
119	514	-1,036112	Kiefer[Baum]::N	pine	сосна	[]	[pine tree]	[]	PINE	1740	PINE	
120	385	-1,349515	Weide[Baum]::N	willow	ива	[]	[]	[]	WILLOW	818	WILLOW	
121	583	-0,887277	Tanne::N	fir	ель	[]	[]	[]	FIR	1915	FIR	
122	84	-2,302967	Horn::N	horn	рог	[eines Tieres]	[of an animal]	[животного]	HORN_(ANATOMY)	1393	HORN_(ANATOMY)	
123	244	-1,693887	Feder::N	feather	перо	[eines Vogels]	[of a bird]	[птицы]	FEATHER	1201	FEATHER	
124	386	-1,348395	Fell::N	fur	шкура	[eines Tieres]	[of an animal]	[животного]	FUR	580	FUR	
125	152	-1,987192	Flügel::N	wing	крыло	[eines Vogels]	[of a bird]	[птицы]	WING	1257	WING	
126	618	-0,823658	Klaue::N	claw	коготь	[BSP:eines Vogel]	[EX:of a bird]	[НАПР:птицы]	CLAW	72	CLAW	
127	563	-0,938216	Kralle::N	paw	лапа	[BSP:einer Katze]	[EX:of a cat]	[НАПР:кошки]	<NA>	0	PAW	
