northeuralex-0.9-concept-data.tsv
number	position_in_ranking	ranking_value	id_nelex	gloss_en	gloss_ru	annotation_en	annotation_en	annotation_ru	concepticon	concepticon_id	concepticon_proposed	comments
212	521	-1,023362	Freude::N	joy	радость	[Gefühl]	[emotion]	[чувство]	JOY	2524	JOY	
213	489	-1,108177	Gelächter::N	laughter	смех	[]	[]	[]	<NA>	0	LAUGHTER	
214	657	-0,723141	Glück::N	happiness	счастье	[Glückseligkeit]	[]	[чувство довольства]	<NA>	0	HAPPINESS	POS
215	831	-0,251489	Kummer::N	grief	горе	[Trauer, Traurigkeit]	[sorrow, sadness]	[сильная печаль]	GRIEF	1668	GRIEF	
216	731	-0,539648	Wunsch::N	wish	желание	[Sehnsucht]	[longing]	[стремление к осуществлению чего-нибудь]	<NA>	0	LONGING	not distinct from DESIRE
217	629	-0,791798	Lust::N	desire	влечение	[Streben nach Besitz]	[to have something]	[стремление к обладанию]	DESIRE	2117	DESIRE	
218	119	-2,130855	Geist::N	spirit	дух	[Lebensgeist, innere Kraft]	[inner energy of a being]	[внутренняя сила или сущность]	SPIRIT	53	SPIRIT	
219	534	-0,984797	Gedanke::N	thought	мысль	[]	[]	[]	<NA>	0	THOUGHT	POS
220	669	-0,699963	Gedächtnis::N	memory	память	[Erinnerungsvermögen]	[human ability to record information]	[способность запоминать информацию]	MEMORY	1018	MEMORY	
221	211	-1,776541	Verstand::N	mind	ум	[Denkfähigkeit]	[ability for rational thought]	[способность мыслить]	MIND	1562	MIND	
222	531	-0,993309	Sinn::N	meaning	смысл	[Bedeutungsgehalt]	[denotation]	[суть, содержание]	<NA>	0	MEANING	
223	518	-1,027483	Grund::N	reason	причина	[Begründung]	[motive, rationale]	[основание, повод]	<NA>	0	REASON	
224	722	-0,564448	Wahrheit::N	truth	правда	[]	[]	[]	TRUTH	1638	TRUTH	
225	932	0,36389	Gespräch::N	talk	беседа	[]	[conversation]	[]	<NA>	0	CONVERSATION	POS
226	953	0,498739	Märchen::N	fairy tale	сказка	[]	[]	[]	<NA>	0	FAIRY_TALE	not distinct from STORY
227	803	-0,345495	Erzählung::N	story	рассказ	[mündlich]	[oral narration]	[устный]	STORY	2060	STORY	
228	848	-0,183801	Nachricht::N	message	сообщение	[]	[]	[]	<NA>	0	MESSAGE	
229	547	-0,967276	Neuigkeit::N	news	новость	[]	[]	[]	<NA>	0	NEWS	
230	40	-2,559035	Name::N	name	имя	[eines Menschen]	[of a person]	[человека]	NAME	1405	NAME	
231	975	0,768077	Rätsel::N	puzzle	загадка	[Aufgabe zum Erraten]	[riddle]	[НАПР:загадать загадку]	<NA>	0	SPEECH_(ADDRESS)	
232	913	0,186429	Rede::N	speech	речь	[Ansprache]	[long oral message]	[устное выступление]	SPEECH	1115	SPEECH	
233	90	-2,283234	Sprache::N	language	язык	[]	[]	[средство общения]	LANGUAGE	1307	LANGUAGE	
234	124	-2,112892	Stimme::N	voice	голос	[von Stimmbändern erzeugte Geräusch]	[sounds uttered by vocal cords]	[звуки горловых связок]	VOICE	1363	VOICE	
235	154	-1,981753	Wort::N	word	слово	[sprachliche Einheit]	[unit of language]	[единица языка]	WORD	1599	WORD	
236	402	-1,318301	Zeichen::N	sign	знак	[Gegenstand mit Informationsgehalt]	[object bearing a message]	[символ]	<NA>	0	SIGN	
237	752	-0,490531	Ruf::N	call	зов	[Aufruf]	[appeal]	[призыв]	<NA>	0	CALL_(APPEAL)	POS
238	877	-0,019077	Lärm::N	noise	шум	[unangenehm lauter Schall]	[unwanted loud sounds]	[гул, разные звуки]	NOISE	1182	NOISE	
239	230	-1,73465	Laut::N	sound	звук	[Geräusch]	[sensation perceived by the ear]	[то, что воспринимается слухом]	SOUND_OR_NOISE	1811	SOUND_OR_NOISE	
240	925	0,3209	Ton::N	tone	тон	[Klang einer bestimmten Tonhöhe]	[sound of a specific pitch]	[музыкальный звук, звук определённой высоты]	<NA>	0	TONE_(MUSIC)	
241	360	-1,415189	Lied::N	song	песня	[]	[]	[]	SONG	1096	SONG	
242	631	-0,789142	Ruhe::N	calm	покой	[Abwesenheit von Lärm und Störungen]	[absence of noise and disturbances]	[отсутствие шума и помех]	QUIET	1314	QUIET	POS
243	611	-0,840498	Leute::N	people	люди	[]	[many persons]	[]	<NA>	0	PEOPLE_(SEVERAL)	distinct from PERSON
244	401	-1,318646	Volk::N	nation	народ	[Menschen einer Ethnie]	[community of people with a common culture]	[совокупность людей общей культуры]	PEOPLE	789	PEOPLE	
245	193	-1,838146	Arbeit::N	work	работа	[Tätigkeit]	[employment]	[занятие, труд]	WORK_(LABOUR)	984	WORK_(LABOUR)	
246	426	-1,249378	Gast::N	guest	гость	[]	[]	[]	GUEST	1782	GUEST	
247	780	-0,41435	Geschenk::N	gift	подарок	[]	[]	[]	<NA>	0	GIFT	POS (DONATE)
248	339	-1,457994	Spiel::N	game	игра	[spielerische Betätigung]	[playful activity]	[занятие для развлечения, отдыха]	GAME	2467	GAME	
249	979	0,840639	Gesellschaft::N	company	общество	[Begleitung]	[companionship]	[компания]	<NA>	0	COMPANIONSHIP	
250	482	-1,120418	Hilfe::N	help	помощь	[]	[]	[]	HELP	1897	HELP	POS
251	254	-1,673862	Freund::N	friend	друг	[sehr nahestehender Mensch]	[person whose company one enjoys]	[связанный хорошими отношениями НАПР:друг детства]	FRIEND	1325	FRIEND	
252	908	0,156385	Kamerad::N	companion	приятель	[mit dem man Zeit verbringt]	[with whom one spends time]	[близкий знакомый]	<NA>	0	COMPANION	not distinct from FRIEND
253	295	-1,56408	Angelegenheit::N	matter	дело	[Sache, Fall]	[affair]	[НАПР:важное дело]	<NA>	0	MATTER_(AFFAIR)	maybe AFFAIR
254	599	-0,859318	Anzahl::N	count	количество	[zählbarer Dinge]	[quantity counted]	[множество, число НАПР:количество/число гостей]	<NA>	0	COUNT_(NUMBER)	not NUMBER
255	298	-1,552476	Art::N	sort	вид	[Sorte]	[type]	[разновидность]	KIND_(THING)	844	KIND_(THING)	
256	362	-1,405774	Stück::N	piece	кусок	[abtrennbarer Teil eines Ganzen]	[separable part of a larger whole]	[отделённая часть чего-л. НАПР:кусок мяса]	PIECE	594	PIECE	
257	175	-1,907965	Teil::N	part	часть	[Teilmenge eines Ganzen]	[fraction of a whole]	[доля некоего целого НАПР:часть урожая]	PART	779	PART	
258	220	-1,752555	Hälfte::N	half	половина	[einer Menge]	[of a quantity]	[количества]	HALF	816	HALF	
259	691	-0,64573	Kreis::N	circle	круг	[geometrische Figur]	[geometric figure]	[геометрическая фигура]	CIRCLE	1467	CIRCLE	
260	491	-1,105002	Kreuz::N	cross	крест	[geometrische Figur]	[geometric figure]	[геометрическая фигура]	CROSS	1367	CROSS	
261	735	-0,527575	Linie::N	line	линия	[geometrische Figur]	[geometric figure]	[геометрическая фигура]	LINE	1048	LINE	
262	681	-0,665361	Strich::N	stroke	черта	[mit einem Schreibgerät gezogen]	[drawn with a writing implement]	[нарисованная]	<NA>	0	STROKE_(OF_PEN)	
263	717	-0,574337	Abstand::N	gap	промежуток	[zwischen Gegenständen]	[between objects]	[между предметами]	<NA>	0	GAP	
264	787	-0,394296	Entfernung::N	distance	расстояние	[zwischen zwei Punkten]	[between two points]	[между точками]	<NA>	0	DISTANCE	
265	936	0,400573	Gegend::N	area	местность	[Gebiet, Bereich]	[extent of surface, region]	[окрестности]	<NA>	0	AREA	
266	800	-0,349206	Platz::N	space	место	[verfügbarer Raum, BSP:in einem Schrank]	[available space between things, EX:in a closet]	[между предметами, НАПР:в шкафу]	<NA>	0	SPACE_(FREE)	
267	110	-2,185601	Ort::N	place	место	[definierte Stelle]	[location, position]	[пространство, пункт, где что-либо происходит, находится НАПР:место встречи, тёплое место, место в горах]	PLACE_(POSITION)	723	PLACE_(POSITION)	
268	112	-2,169715	Seite::N	side	сторона	[eines Gegenstandes]	[of an object]	[бок]	<NA>	0	SIDE_(OF_OBJECT)	not SIDE
269	142	-2,028071	Mitte::N	middle	середина	[mittlerer Teil von etwas]	[central part of something]	[центральная часть чего-либо]	MIDDLE	1093	MIDDLE	
270	707	-0,614553	Gegenstand::N	item	предмет	[physisches Objekt]	[physical object]	[отдельный материальный объект]	<NA>	0	ITEM_(TOUCHABLE)	distinct from THING
271	147	-2,011143	Sache::N	thing	вещь	[unterscheidbare Einheit]	[distinct entity]	[явление действительности, обстоятельство, событие, случай НАПР:произошла странная вещь]	THING	738	THING	
272	138	-2,039181	Rand::N	fringe	край	[peripherer Teil]	[peripheral part]	[внешняя часть объекта НАПР: край крыши]	<NA>	0	FRINGE	not distinct from EDGE
273	435	-1,230462	Kante::N	edge	ребро	[scharfer Rand]	[sharp terminating border]	[пересечение двух граней НАПР:ребро монеты] 	EDGE	863	EDGE	
274	662	-0,706265	Ecke::N	corner	угол	[hevorstehend, eines Gegenstandes]	[external angle]	[выступающий, на предмете НАПР:угол стола]	<NA>	0	CORNER_(OUTSIDE)	
275	449	-1,199028	Spitze::N	tip	кончик	[eines spitzen Gegenstandes]	[of a pointy object]	[острый конец предмета НАПР:кончик ножа]	<NA>	0	TIP_(OF_OBJECT)	
276	151	-1,987531	Ende::N	end	конец	[eines langen Gegenstands]	[of a long object]	[длинного предмета НАПР:верёвки]	END_(OF_SPACE)	742	END_(OF_SPACE)	
277	225	-1,743991	Loch::N	hole	дыра	[in einem Gegenstand]	[in an object]	[отверстие в предмете]	HOLE	1667	HOLE	
278	617	-0,825451	Winkel::N	angle	угол	[BSP: eines Zimmers]	[internal, EX:of a room]	[в углублении, НАПР:комнаты]	CORNER	192	CORNER	
279	645	-0,754024	Muster::N	pattern	узор	[sich wiederholende Struktur]	[regular repeated elements]	[повторяющийся рисунок]	<NA>	0	PATTERN	
280	766	-0,461526	Größe::N	size	размер	[eines Gegenstandes]	[dimensions of an object]	[величина объекта]	<NA>	0	SIZE_(OF_OBJECT)	not SIZE (OF PERSON)
281	463	-1,155302	Länge::N	length	длина	[]	[]	[]	LENGTH	2537	LENGTH	
282	472	-1,141811	Höhe::N	height	высота	[]	[]	[]	<NA>	0	HEIGHT	
283	638	-0,769679	Gewicht::N	weight	вес	[gewogene Masse]	[mass as measured]	[тяжесть]	WEIGHT	2466	WEIGHT	
284	821	-0,272776	Menge::N	amount	количество	[messbare Menge eines Materials]	[measurable quantity of a material]	[величина, объём какого-то материала НАПР:количество воды]	<NA>	0	AMOUNT	
285	453	-1,185272	Haufen::N	heap	куча	[]	[]	[]	<NA>	0	HEAP	
286	404	-1,313998	Reihe::N	row	ряд	[geradlinig angeordnete Objekte]	[line of objects]	[объектов расположенных в линию]	<NA>	0	ROW_(OF_OBJECTS)	
287	307	-1,541926	Boot::N	boat	лодка	[]	[]	[]	BOAT	1844	BOAT	
288	166	-1,93072	Ruder::N	oar	весло	[Riemen]	[rowing implement]	[]	PADDLE	234	PADDLE	
289	676	-0,677544	Schlitten::N	sleigh	сани	[Fahrzeug auf Kufen]	[]	[повозка на полозьях]	SLEDGE	368	SLEDGE	
290	779	-0,414428	Ski::N	ski	лыжа	[]	[]	[]	<NA>	0	SKI	
291	974	0,720956	Lagerfeuer::N	campfire	костёр	[]	[]	[]	<NA>	0	CAMPFIRE	
292	765	-0,461976	Last::N	load	тяжесть	[auf Fahrzeug]	[on a vehicle]	[груз на повозке]	LOAD	1679	LOAD	
293	509	-1,053809	Gang::N	walk	ходьба	[Zurücklegen eines Weges]	[trip made by walking]	[процесс ходьбы]	<NA>	0	WALK_(TRIP)	
294	172	-1,9143	Schritt::N	step	шаг	[Einzelschritt]	[single pace]	[одно движение ногой при ходьбе	<NA>	0	STEP	
295	661	-0,7156	Norden::N	north	север	[]	[]	[]	NORTH	1598	NORTH	
296	719	-0,570792	Süden::N	south	юг	[]	[]	[]	SOUTH	1595	SOUTH	
297	819	-0,273499	Westen::N	west	запад	[]	[]	[]	WEST	1817	WEST	
298	870	-0,077762	Osten::N	east	восток	[]	[]	[]	EAST	1877	EAST	
299	183	-1,882374	Holz::N	wood	древесина	[Material]	[material]	[материал]	WOOD	1803	WOOD	
300	273	-1,623448	Brett::N	board	доска	[längliches flaches Stück Holz]	[long, wide and thin piece of wood]	[плоский длинный кусок дерева]	BOARD	1227	BOARD	
301	861	-0,100631	Platte::N	slab	плита	[flacher Gegenstand aus festem Material]	[flat piece of solid material]	[плоский кусок твёрдого материала]	<NA>	0	SLAB	
302	842	-0,214183	Stütze::N	support, rest	опора, подпорка	[etwas, das Halt gibt]	[something which keeps upright]	[удерживающая в устойчивом положении]	<NA>	0	SUPPORT_(OF_OBJECT)	
303	574	-0,909048	Stange::N	pole	жердь	[länglicher dünner Gegenstand aus Holz]	[long and slender piece of wood]	[длинный тонкий шест из  дерева]	<NA>	0	POLE	
304	396	-1,324879	Stock::N	stick	палка	[rundes Holzstück als Werkzeug]	[piece of wood used as a tool]	[ветка без сучьев или предмет такой формы]	STICK	1295	STICK	
305	620	-0,807761	Stab::N	staff	шест	[langer gerader Stock]	[long straight stick]	[длинная палка]	<NA>	0	STAFF	
306	721	-0,567171	Rohr::N	pipe	труба	[zylinderförmiger hohler Gegenstand]	[hollow conduit, tube]	[длинный полый предмет цилиндрической формы]	<NA>	0	TUBE	not PIPE
307	111	-2,182746	Haus::N	house	дом	[Gebäude]	[building]	[здание]	HOUSE	1252	HOUSE	
308	355	-1,423574	Heim::N	home	дом	[eigene Heimstatt]	[one’s own dwelling place]	[жилище, родной дом]	HOME	2406	HOME	
309	928	0,351695	Ofen::N	stove	печь	[zum Heizen]	[heater]	[для отапливания]	STOVE	859	STOVE	
310	695	-0,639618	Fußboden::N	floor	пол	[begehbare Fläche in einem Raum]	[supporting surface of a room]	[нижнее покрытие, настил в помещении]	FLOOR	1632	FLOOR	
311	725	-0,550909	Tisch::N	table	стол	[]	[]	[]	TABLE	1775	TABLE	
312	674	-0,684402	Stuhl::N	chair	стул	[]	[]	[]	CHAIR	1476	CHAIR	
313	541	-0,973293	Wiege::N	cradle	колыбель	[]	[]	[]	<NA>	0	CRADLE	
314	726	-0,550388	Bett::N	bed	кровать	[]	[]	[]	BED	1663	BED	
315	847	-0,190732	Regal::N	shelf	полка	[]	[]	[]	SHELF	745	SHELF	
316	997	1,281704	Kiste::N	box	ящик	[]	[]	[]	BOX	1465	BOX	
317	768	-0,458886	Fenster::N	window	окно	[]	[]	[]	WINDOW	1375	WINDOW	
318	134	-2,055442	Tür::N	door	дверь	[]	[]	[]	DOOR	1567	DOOR	
319	610	-0,840889	Tor::N	gate	ворота	[]	[]	[]	<NA>	0	GATE	
320	837	-0,231989	Zaun::N	fence	забор	[]	[]	[]	FENCE	1690	FENCE	
321	677	-0,67351	Dach::N	roof	крыша	[]	[]	[]	ROOF	769	ROOF	
322	888	0,044087	Leiter::N	ladder	лестница, стремянка	[Steigleiter]	[]	[]	LADDER	1464	LADDER	
323	849	-0,177011	Besen::N	broom	метла	[]	[]	[]	BROOM	245	BROOM	
324	348	-1,435558	Spaten::N	spade	лопата	[]	[]	[]	SPADE	1176	SPADE	
325	321	-1,49241	Schaufel::N	shovel	совок	[]	[]	[]	SHOVEL	1901	SHOVEL	
326	907	155	Gabel::N	fork	вилка	[]	[for eating]	[]	FORK	1302	FORK	
327	551	-0,955535	Löffel::N	spoon	ложка	[]	[]	[]	SPOON	1378	SPOON	
328	246	-1,688976	Messer::N	knife	нож	[]	[]	[]	KNIFE	1352	KNIFE	
329	834	-0,237881	Nagel::N	nail	гвоздь	[spitzer Metallstift zum Fixieren]	[spike-shaped metal fastener]	[]	NAIL_(TOOL)	502	NAIL_(TOOL)	
330	450	-1,195024	Netz::N	net	сеть	[geknüpftes maschiges Gebilde]	[mesh of string]	[приспособление из переплетёных нитей/верёвок]	<NA>	0	NET	hypernym of FISHNET
331	566	-0,932141	Haken::N	hook	крюк	[]	[]	[]	HOOK	1071	HOOK	
332	353	-1,425378	Griff::N	handle	рукоятка, ручка	[zu greifender Teil eines Gegenstandes]	[part of an object which is held]	[часть предмета, за которую держат]	HANDLE	1254	HANDLE	
333	659	-0,720932	Schloss::N	lock	замок	[]	[]	[]	LOCK	1596	LOCK	
334	633	-0,784574	Bild::N	picture	картина	[]	[]	[]	PICTURE	2401	PICTURE	
335	775	-0,432159	Figur::N	figure	фигура, изваяние	[BSP:Götterbild]	[EX:representing a god]	[НАПР:изображение божества]	IDOL	1945	IDOL	
336	776	-0,425814	Puppe::N	doll	кукла	[]	[]	[]	DOLL	1659	DOLL	
337	887	0,040142	Beutel::N	pouch	мешок	[]	[]	[мешочек]	<NA>	0	POUCH	
338	713	-0,585133	Bündel::N	bundle	связка	[zusammengebundene Gegenstände]	[group of objects tied together]	[несколько связанных объектов, НАПР:вязанка дров]	<NA>	0	BUNDLE	
339	871	-0,065504	Tasche::N	bag	сумка	[tragbares Behältnis]	[container for carrying]	[для ношения предметов]	BAG	2468	BAG	
340	914	0,187895	Eimer::N	bucket	ведро	[]	[]	[]	BUCKET	2052	BUCKET	
341	434	-1,231795	Deckel::N	cover, lid	крышка	[]	[of a container]	[верхняя закрывающая часть]	LID_(COVER,_CAP)	2319	LID_(COVER,_CAP)	
342	934	0,387807	Geschirr::N	dishes	посуда	[Kochgeschirr]	[dishware, crockery]	[кухонная утварь]	<NA>	0	DISHWARE	
343	637	-0,772639	Sack::N	sack	мешок	[]	[]	[НАПР:для муки]	<NA>	0	SACK	
344	930	0,359295	Tasse::N	cup	чашка	[]	[]	[]	CUP	476	CUP	
345	919	0,239835	Topf::N	pot	кастрюля	[Kochtopf]	[vessel for cooking]	[]	POT	1462	POT	
346	363	-1,405024	Kessel::N	kettle	котёл	[]	[]	[]	KETTLE	854	KETTLE	
347	559	-0,945695	Essen::N	meal	еда	[Nahrungsaufnahme]	[process of food intake]	[приём пищи]	MEAL	1526	MEAL	
348	564	-0,938161	Nahrung::N	food	пища	[]	[]	[]	FOOD	256	FOOD	
349	890	0,048027	Speise::N	dish	блюдо	[]	[]	[]	<NA>	0	DISH_(FOOD)	
350	141	-2,028815	Fleisch::N	meat	мясо	[Nahrungsmittel]	[]	[]	MEAT	634	MEAT	
351	845	-0,200722	Getreide::N	corn	злак	[]	[cereal plant grown for its grain]	[]	GRAIN	605	GRAIN	
352	330	-1,476774	Brei::N	mush	каша	[]	[]	[]	<NA>	0	MUSH	maybe GRUEL
353	128	-2,095693	Brot::N	bread	хлеб	[]	[]	[пищевой продукт]	BREAD	1368	BREAD	
354	714	-0,583365	Scheibe::N	slice	ломоть	[BSP:Brot]	[EX:of bread]	[кусок отрезанный ножом, ломтик НАПР:кусок хлеба]	<NA>	0	SLICE	
355	116	-2,137866	Fett::N	fat	жир	[]	[]	[]	FAT_(ORGANIC_SUBSTANCE)	323	FAT_(ORGANIC_SUBSTANCE)	
356	113	-2,159152	Butter::N	butter	масло	[]	[]	[сли́вочное]	BUTTER	1245	BUTTER	
357	184	-1,874151	Öl::N	oil	масло	[Speiseöl]	[liquid vegetable fat]	[расти́тельное]	OIL (ORGANIC SUBSTANCE)	1484	OIL (ORGANIC SUBSTANCE)	
358	49	-2,487949	Salz::N	salt	соль	[]	[]	[]	SALT	1274	SALT	
359	671	-0,697114	Suppe::N	soup	суп	[]	[]	[]	SOUP	1547	SOUP	
360	264	-1,640209	Honig::N	honey	мёд	[]	[]	[]	HONEY	942	HONEY	
361	122	-2,121959	Milch::N	milk	молоко	[]	[]	[]	MILK	635	MILK	
362	872	-0,063144	Tee::N	tea	чай	[Getränk]	[drink]	[напиток]	TEA	1373	TEA	
363	568	-0,925137	Leder::N	leather	кожа	[]	[]	[обработанная шкура]	LEATHER	629	LEATHER	
364	53	-2,466778	Wolle::N	wool	шерсть	[]	[]	[]	WOOL	964	WOOL	
365	634	-0,782998	Stoff::N	cloth	ткань	[Gewebe]	[woven fabric]	[тканая материя]	CLOTH	1616	CLOTH	
366	91	-2,268194	Nadel::N	needle	игла	[Nähnadel]	[for sewing]	[]	NEEDLE_(FOR_SEWING)	1382	NEEDLE_(FOR_SEWING)	
367	395	-1,325565	Faden::N	thread	нитка	[]	[]	[]	THREAD	1161	THREAD	
368	381	-1,36789	Knopf::N	button	пуговица	[an Kleidung]	[fastener on clothes]	[]	BUTTON	757	BUTTON	
369	247	-1,688553	Knoten::N	knot	узел	[aus Schnur]	[looping of string]	[на верёвке, для завязания]	KNOT	760	KNOT	
370	540	-0,974458	Farbe::N	paint	краска	[Mittel zum Einfärben]	[substance for colouring]	[вещество для придания цвета]	PAINT_(PIGMENTS)	647	PAINT_(PIGMENTS)	
371	651	-0,736563	Kleidung::N	clothes	одежда	[]	[]	[]	CLOTHES	1895	CLOTHES	
372	767	-0,460393	Hemd::N	shirt	рубашка	[]	[]	[]	SHIRT	1622	SHIRT	
373	747	-0,499163	Kragen::N	collar	воротник	[BSP:Mantelkragen]	[EX:on a coat]	[]	COLLAR	2012	COLLAR	
374	263	-1,640808	Ärmel::N	sleeve	рукав	[]	[]	[]	<NA>	0	SLEEVE	
375	958	0,539885	Hose::N	trousers	брюки	[]	[]	[]	TROUSERS	809	TROUSERS	
376	436	-1,226355	Gürtel::N	belt	пояс	[[Kleidung]]	[[clothing]]	[[одежда]]	BELT	772	BELT	
377	605	-0,845329	Mütze::N	cap	шапка	[]	[head covering]	[]	CAP	1288	CAP	
378	947	0,459801	Schuh::N	shoe	ботинок	[]	[]	[]	SHOE	1381	SHOE	
379	891	0,054714	Stiefel::N	boot	сапог	[]	[heavy shoe covering part of the leg]	[]	BOOT	585	BOOT	
380	561	-0,941265	Ring::N	ring	кольцо	[Schmuck]	[jewellery]	[украшение]	RING	1374	RING	
381	1000	1374	Band::N	ribbon	лента	[Gewebestreifen]	[strip of cloth]	[узкая полоса ткани]	<NA>	0	RIBBON	
382	578	-0,900443	Kamm::N	comb	расчёска	[zum Kämmen der Haare]	[implement for grooming]	[для расчёсывания волос]	COMB	1475	COMB	
383	944	0,453631	Spiegel::N	mirror	зеркало	[]	[]	[]	MIRROR	1171	MIRROR	
384	347	-1,439976	Riemen::N	strap	ремень	[BSP:Lederstreifen]	[EX:strip of leather]	[[Техника]] [НАПР:полоса из кожи или другого материала]	<NA>	0	STRAP	
385	325	-1,487524	Schnur::N	string	верёвка	[aus Fäden geflochten]	[made from twisted threads]	[свитая из волокон или прядей]	STRING	362	STRING	
386	1008	1,846601	Leine::N	leash	поводок	[BSP:Hundeleine]	[EX:dog leash]	[НАПР:для собаки]	<NA>	0	LEASH	
387	956	0,526321	Decke::N	blanket	одеяло	[Bettdecke]	[for sleeping]	[постельная принадлежность]	BLANKET	806	BLANKET	
388	896	0,093189	Kissen::N	pillow	подушка	[Kopfkissen]	[for sleeping]	[постельная принадлежность]	PILLOW	1044	PILLOW	
389	937	0,409388	Tuch::N	scarf	платок	[Schultertuch]	[light, worn around the shoulders]	[шаль, повязывается на голову или надевается на плечи]	<NA>	0	SCARF	
390	1003	1,435237	Handtuch::N	towel	полотенце	[zum Trockenreiben]	[sed for wiping]	[для вытирания]	TOWEL	1021	TOWEL	
391	412	-1,2835	Kraft::N	force	сила	[die man ausübt]	[which is applied to produce an effect]	[способность совершать работу НАПР:сила рук]	<NA>	0	FORCE	not STRENGTH
392	665	-0,703872	Stärke::N	strength	крепость	[Starksein]	[being strong]	[мощь, свойство быть сильным]	STRENGTH	202	STRENGTH	
393	843	-0,209874	Gesundheit::N	health	здоровье	[]	[]	[]	HEALTHY	1364	HEALTHY	POS
394	746	-0,501922	Krankheit::N	illness	болезнь	[]	[]	[]	DISEASE	1986	DISEASE	
395	304	-1,545065	Schmerz::N	pain	боль	[]	[]	[ощущение]	PAIN	1783	PAIN	
396	240	-1,701738	Wunde::N	wound	рана	[]	[]	[]	WOUND	1109	WOUND	
397	923	0,307225	Fieber::N	fever	лихорадка	[]	[]	[]	FEVER	1534	FEVER	
398	648	-0,743546	Arznei::N	medicine	лекарство	[]	[drug]	[]	MEDICINE	1372	MEDICINE	
399	88	-2,287016	Brücke::N	bridge	мост	[]	[]	[]	BRIDGE	1011	BRIDGE	
400	427	-1,247663	Brunnen::N	well	колодец	[zur Gewinnung von Wasser]	[source of water]	[для добывания воды]	WELL	954	WELL	
401	940	0,430483	Weide::N	pasture	пастбище	[Viehweide]	[]	[]	PASTURE	649	PASTURE	
402	683	-0,657681	Pfad::N	path	тропа	[schmaler Weg für Fußgänger]	[trail used by pedestrians]	[дорожка, тропинка, узкая дорога для пешеходов]	PATH	2252	PATH	
403	89	-2,285233	Weg::N	way	путь	[Verbindung zwischen Orten]	[connection between places]	[маршрут, линия в пространстве, где что-либо передвигается НАПР:водный путь]	<NA>	0	WAY	
404	632	-0,786574	Straße::N	road	дорога	[befestigter Weg für Fahrzeuge]	[way for travelling by vehicle]	[путь для транспорта]	ROAD	667	ROAD	
405	581	-0,88999	Dorf::N	village	деревня	[]	[]	[]	VILLAGE	930	VILLAGE	
406	682	-0,660412	Stadt::N	town	город	[]	[]	[]	TOWN	1391	TOWN	
407	473	-1,140557	Brief::N	letter	письмо	[]	[written message]	[]	LETTER	1612	LETTER	
408	343	-1,448905	Buch::N	book	книга	[]	[]	[]	BOOK	963	BOOK	
409	593	-0,867623	Buchstabe::N	character	буква	[Schriftzeichen]	[written symbol, letter]	[знак алфавита]	CHARACTER	1024	CHARACTER	
410	985	0,974267	Zeitung::N	newspaper	газета	[]	[]	[]	NEWSPAPER	1298	NEWSPAPER	
411	433	-1,236931	Leben::N	life	жизнь	[Zustand des Lebendigseins]	[state of being alive]	[существование, состояние организма]	LIFE	210	LIFE	
412	127	-2,104011	Tod::N	death	смерть	[]	[]	[]	DEATH	910	DEATH	
413	270	-1,628461	Grab::N	grave	могила	[]	[]	[]	GRAVE	1773	GRAVE	
414	970	0,665346	Kirche::N	church	церковь	[]	[]	[]	CHURCH	1349	CHURCH	
415	406	-1,308912	Sünde::N	sin	грех	[]	[]	[]	<NA>	0	SIN	
416	65	-2,393946	Gott::N	god	бог	[]	[]	[]	GOD	1944	GOD	
417	933	0,376705	Arbeiter::N	worker	рабочий	[]	[]	[]	<NA>	0	WORKER	
418	688	-0,647896	Chef::N	boss	начальник	[Vorgesetzter]	[supervisor]	[руководитель]	<NA>	0	BOSS	not MASTER (opp. slave)
419	996	1,278351	Meister::N	master	мастер	[eines Handwerks]	[expert tradesman]	[ремесленник, человек, занимающийся ремеслом НАПР:сапожный мастер]	<NA>	0	MASTER_(TRADE)	not MASTER (opp. slave)
420	918	0,233509	Arzt::N	doctor	врач	[]	[physician]	[]	PHYSICIAN	597	PHYSICIAN	
421	969	0,66446	Lehrer::N	teacher	учитель	[]	[]	[]	TEACHER	1038	TEACHER	
422	743	-0,507048	Geld::N	money	деньги	[]	[]	[]	MONEY	1350	MONEY	
423	986	0,977976	Geschäft::N	business	бизнес	[kaufmännische Tätigkeit]	[commercial activity]	[дело, коммерческая деятельность НАПР:у него своё дело/свой бизнес]	<NA>	0	BUSINESS	
424	968	0,65059	Laden::N	shop	магазин	[]	[]	[]	SHOP	746	SHOP	
425	177	-1,896939	Preis::N	price	цена	[]	[]	[]	PRICE	657	PRICE	
426	519	-1,02595	Ware::N	ware	товар	[]	[]	[]	<NA>	0	WARE	
427	624	-0,802094	Nutzen::N	benefit	выгода	[Vorteil]	[advantage]	[польза]	<NA>	0	BENEFIT	
428	835	-0,237121	Reichtum::N	wealth	богатство	[]	[]	[]	<NA>	0	WEALTH	
429	421	-1,264558	Welt::N	world	мир	[Universum]	[universe]	[вселенная, свет]	WORLD	965	WORLD	
430	199	-1,816727	Land::N	country	страна	[abgegrenztes Gebiet]	[set region of land]	[территория]	COUNTRY	1300	COUNTRY	
431	946	0,458129	Staat::N	state	государство	[souveräne politische Einheit]	[sovereign polity]	[политическая организация]	<NA>	0	STATE_(POLITICS)	
