Nr	english	normed cuneiform 	word / syllables		PIE
4.140 	hair (head) 	𒆪𒈾;𒊺𒂊	*ku-na; še-e	<<<OK?	shair, 𓍲 𓈖 𓏮 𓁸 𓏥 kundíi@Niger
4.150 	blood 	𒊓𒀭	san; sa-an	++	𓊃 𓈖 𓆑 𓅱 𓂐 sangue 𒊕 SAĜ 𒅘 血 xuèn
4.170 	horn 	𒋡𒊍𒋢;𒆜𒋢	kassu; qa-as-su; kás-su	++	𓈎 𓋴 𓌟 Кость < qars
4.200 	head 	𒊌𒆪;  𒊌𒄀 	ukku; uk-ku; uk-gi; ukku.e	ok?	"Icke 1. ek <> egg 𓆇  KA 𒅗 kǒu 口 𒅴 KU2 | 𒅥 | খা kau  	𒊌𒆪;𒊌𒄀;?𒂊
4.210 	eye 	el; el-ti	œil œil™ al.TI 𒋾  <> 𒅆 IGI		𒂖;𒂖𒋾
4.220 	ear 	siri; si-ri	s'hear		𒋛𒊑
4.230 	nose 	ši-um-me; šim.e	𓋴 𓈖 𓂉 𓀁 <> smell		𒅆𒌝𒈨;𒋆𒂊
4.260 	tongue 	tit; ti-ut	𓏏𓄓 ≠ tooth		𒋾𒌓
4.270 	tooth 	sihhan; si-h-ha	Zahn		𒋛𒄴𒄩
4.280 	neck 	ti-pi	𓁶 𓊪 tip,top		𒋾𒉿
4.330 	hand 	kir-; kur-; ki-ir-pi; kur-pi	𓎼 𓄿 𓃀 𓂢 ⋆carp! ⲕⲁϩ 𓐍 𓂋 𓊪 𓂥   手 shǒu 		𒅗;𒆳;𒆠𒅕𒉿;𒆳𒉿
4.344 	fingernail 	pur; pu-ur	парнягӱ́ч"
4.370 	foot 	𒁀𒀜;𒉺𒀜	pat; ba-at; pa-at	++	𓃀𓂾 pede pod …
4.393 	feather 	𒁍𒌓𒈠𒀸	putmaš; pu-ut-ma-áš	ok?	πτε𒈨𒌍 πτερόν feathers
4.440 	heart 	𒁍𒉌	buni; bu-ni	ok?	𓄤 bon le.bon  𒇷𒅤 li-bùᵒⁿ 𒊮 libbuᵒⁿ לֵב
4.450 	liver 	𒊒𒂖𒉺𒈫	ru-el-pa-mín	~~~	®Leber.men 𓂋liver𓄣  ἧπαρ ʳhêpar.men  рекьӏайлӏ rekʹӏajlӏ/bauyr.májᵒⁿ бауыр   јетра {rep}táaman 𐎋𐎁𐎄 kebda[man]  ojpana пе́чень péčenʹ ẽhmpa --
4.490 	testicle 	𒊒𒆪	ruku; ru-ku	ok????	rocks ;)  (round)
4.720 	born (to be) 	𒆪𒅆𒅔;𒆪𒅆𒅖	kuši-; ku-ši-in; ku-ši-iš	<<<+?	co-𓌢 <> cousin 
4.732 	conceive 	𒁺;𒁺𒄴;𒁺𒅖;𒂁	du-; du-h; du-iš; duk	ok?	duk take!
4.740 	live, living, life 	𒋫𒀝𒈨;𒁕𒀝𒆠𒈨;𒋫𒀝𒆠𒈨;𜏂𜐶𜎦 	ta-ak-me; da-ak-ki-me; ta-ak-ki-me;ta-k-me	<<<<<<<<	𒋾 𓋹 Tink (kk:nk) dong(wu) tãk[[ma]] takme  take:duk du-; du-h; du-iš 𒁺;𒁺𒄴;𒁺𒅖;𒂁 conceive!!! 
4.750 	die, dead 	𒄬𒉿𒅅;𒄬𒉿𒅁;𒆷𒄩𒀭	halpi-; hal-pi-ik; hal-pi-ip; la-ha-an	<<<<	kuolla kill? halb? halt? demise? 2. legen? 1/Leben
4.810 	strong, mighty, powerful 	𒅁𒁀𒀝;;𒋻𒄩𒄴;𒅆𒀧𒄩𒀝;𒅆𒀧𒈨	ib-ba-ak; šilha-; šil-ha-h; ši-il-ha-ak; ši-il-me	ok?!?	"stark > ši-il-ha-ak   (𒅋 ~ 𓂋 𓅓 𓆛 𓂻 ⲣⲁⲙⲓ ""fish"")"
4.820 	weak 	𒅖𒌇𒊏	iš-tuk-ra	ok?	a¬stark
4.852 	bruise 	𒄩𒉿	ha-pi	+++	√hieb ≠ Haube
4.860 	cure, heal 	𒋛𒀉𒋾;𒋛𒀉𒈨	si-it-ti; si-it-me	ok?	soothe
4.880 	medicine, drug 	𒋡𒁍𒌨	qa-pu-ur	<<<++	𒋡𒁍𒌨 qapur 𓊃 𓊪 𓊗 •ćapur
5.120 	food 	𒀊𒁁𒁁	ab-be-be	ok!?	"abbad² a'food, fodder <> bebe ""drink"" speise"
5.230 	roast, fry 	𒆪𒊏𒀜;𒆪𒊏𒀝	kura-; ku-ra-at; ku-ra-ak	++	𓈎 𓂋 𓂋 𓊮 | cook | gar- cure@Walloon qur@Thai គ្រូ grū
5.340 	pitcher, jug 	𒉿𒋾	piti; pi-ti	++	pot / pitcher
5.370 	spoon 	𒆠?𒌓	ki-mal-tam	ok?	চামচ camôc; ḵāšūʾa-maʿláʾa™ <> camel-toe? <> джэмышх
5.380 	knife (2) 	𒁺𒋗𒌝𐎹;𒁺𒅆𒌝;𒁺𒅆𒌝𒅕𒊏	du-šu-um-ya; du-ši-um; du-ši-um-ir-ra	++++	𓂧 𓋴 𓌪 du-ši-um 𒁺𒅆𒌝 du-igi-um duigium Degen ☑ Degenᵐʳ / dagger <> damask
5.510 	bread 	𒅆𒅁𒊒𒌝;𒅆𒅁𒊑𒌝	ši-ip-ru-um; ši-ip-ri-um	<<<	Zubrot chleba ҫӑкӑр śăk̬ărᵘᵐ sugers قرص‎ gərṣ  اغروم‎ ˢaḡrum ⴰⵖⵔⵓⵎ 𒃻 superum < turpan 𓏏 𓏐 𓏳 𓏥   <> صمّون‎ ṣammūn اغروم‎ aḡrum خُبز‎ ḵubuz •cubrus <> tarıg σῖτος sîtos 𐎒𐎒𐎆 ssw 
5.550 	meal, flour 	𒂊𒌌;𒌋𒈠𒈠	e-ul; u-ma-ma	ok?	ma.eul meal Gemahlen
5.710 	fruit 	𒍦𒁀	zib-ba	++?	 𓂧 𓄿 𓃀 𓆳 Traube 𒍦𒁀 the.berry
5.710 	fruit 	𒄷𒌨𒉿;	hurpi; hu-ur-pi; 	ok?	pruih reverse!  
5.750 	fig 	𒉿𒌓	pi-ut-	++	pruit > fruit  fruct>frc>fig
5.760 	grape 	𒃻𒀊𒉼𒈾;	šá-ap-pan-na; šap	<<++	•srp > sap saft
5.790 	oil 	𒀊𒉿	appi; ap-pi	ok?	appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖
5.791 	grease, fat 	𒀋;𒀊𒁀	abba; ab-ba	ok?	a'phat appion 𓄡 𓊪 𓈖 𓃾  πίων píōn 𓊪𓈖
5.810 	salt 	𒀭𒍢	anzi; an-zí	-----	asin 盐 sièng давсн dansun  소금 ⵜⵉⵙⵏⵜ f tisnt ꞌúnaˢ নুন nunˢ öönga oónaˢ nzauv
5.840 	honey 	𒄬𒆷𒆠	hal -la -ki	<<<	galak <> holaik <> Honig (NL!) hingiv  ھەنگوین‎ henguyn    galak <> milk miel μέλῐ méli 𐌼𐌹𐌻𐌹𐌸 miliþ մեղր mełr misk'i malab  galak <> kûdyung   
5.860 	milk (noun) 	𒁍𒈾	sir-na	++	шура ʃu͡ʊrə šir sîr zsír √sour @Ural/Caucas
5.880 	cheese 	𒉺	pa	++™	պանիր panir पनीर panīr পনিৰ (ponir) pendir (az)  Tatar: penir Ewe: notsi babla  𐂤? <> pan? @𓃀/
5.940 	fermented drink 	𒀭𒈾𒅔	an-na-in	™	wineⁿ?
6.130 	tailor 	𒃻𒄴𒅆𒅅𒊏	šá-h-ši-ik-ra	ok???	sack-secker {Schneider}
6.210 	cloth 	𒌓𒅆𒌝;𒅅𒁷	tam-ši-um	<<++!	ta.maschium Maschen mesh gamaschen @ Damaskus?
6.210 	cloth 	𒅅𒁷	ik-tin	++!	кездеме kezdeme ткані́на tkanína туҡыма tuqıma permutated  < clothin' !?  aktin-filamente;) Kitteln?  ქსოვილი ksovili  сукно́ suknó techno ټوکر‎ ṭukər Tuch  textilia texta 
6.220 	wool 	𒌇𒆠𒈨;𒌇𒈾;𒅎𒈾	tuk-ki-me; tuk-na; im-na	++	Tuch 𔕬 tú •Tuch 𔕪 tex 𔕫 𔕩 𒌆⋍𒉇 TÚG² 𒋳
6.220 	wool 	𒅎𒈾	im-na		"𓋳 𒅎𒈾 ᵍim-na 𓋴 𓏠 𓈖 ""cloth"""
6.230 	linen, flax 	𒍝𒇷	zali; za-li	++	სელი seli Seil cable Catalan: lli < linen
6.240 	cotton 	𒋡𒇷𒌓	qa-li-tam	++	colttom coltton
6.270 	felt 	𒁕𒁇𒊑𒌝	da-bar-ri-um	<<!!	dabar > der 𓂧𓂋𓄛  θήρ ?
6.290 	leather 	𒃻𒅕𒃻𒀜𒋾	šá-ir-šá-at-ti	++	𓂧 𓂋 𓄛 …
6.330 	weave 	𒆳𒍝𒅖;𒆳𒍝𒋡	kurza-; kur-za-iš; kur-za-qa	<<<	kürzen;) > kutoa kuduma kude > cut
6.410 	cloak 	𒊌𒆪𒆷𒆠	uk-ku-la-ki	+++	a'cloak
6.430 	coat 	𒄷𒂖𒅁	hu-el-ip	+++	Hülle < 𓎛 𓃀 𓋳
6.510 	shoe 	𒄩𒃻𒅕	ha-šá-ir	ok?	ha.shoer
6.550 	hat, cap 	𒊌𒆪𒁀𒋾	uk-ku.ba-ti	++?	a'cap™
6.580 	glove 	𒆳𒅁	kur-ip	++™	𓂧 χειρό 𓎼 𓄿 𓃀 𓂢  ⋆carp
6.710 	ornament, adornment 	𒋡𒅈𒊏𒄴;𒋡𒅈𒊏𒄩	qa-ar-ra-h; qa-ar-ra-ha	™?	𓄡 𓎡 𓂋 𓅱 𓐬 𓏛 𓏥  ; 𓅱 𓋴 𓐍 𓋝 
6.730 	ring (for finger) 	𒊮𒈪;𒋛𒈪𒀉𒌈	šà-mi; si-mi-it-tum	++™?	𓈙 𓈖 𓍶 Saum 𓍲 𓈖 𓏌 𓍶
6.910 	comb 	𒄴𒄷𒌝;𒀀𒄴𒄷𒅎	ah-hu-um; a-h-hu-im	++?	a' ḫom < a Kamm < comb
6.940 	ointment 	𒄩𒋢𒅁;𒈪𒅕𒊑𒄴	mi-ir-ri-h	™???	𓐛 𓊃 𓏲 𓏌 𓏥  mhyrre
6.940 	ointment 	𒄩𒋢𒅁;𒈪𒅕𒊑𒄴	hasu; ha-su-ip	<<<++?	soap <> soup !?!
6.960 	mirror 	𒋗𒄩;𒋗𒄩𒍣𒆷	šu-ha; šu-ha.zi-la		𓋹 𓏤 𓈔  / 𓌴 𓁹 𓄿 𓅱 𓁷 𓏤 𓈔 
7.120 	house 	𒀀𒀀𒅔;𒀀𒄭𒅔;𒄩𒀀𒅔;𒀀𒄿𒅔;𒀀𒀀𒉌	a-a-in; a-hi-in; ha-a-in; a-i-in; a-a-ni	ok?	𒂍 ᴴÉᵒⁿ < Hain homes
7.150 	yard, court 	𒌅𒍑;;𒌌𒄭	tu-uš; ulhi; ul-hi	ok?	𓊌 daçia, villa
7.220 	door, gate 	𒄷𒂖;𒄭𒂖;𒂖;𒂊𒂖;𒂊𒌌;𒌑𒂖;𒇻𒄖𒌑	hu-el; hi-el; el; e-el; e-ul; ú-el; lu-gu-ú	ok?	hall <> šali Säule
7.221 	doorpost, jamb 	𒄬𒋾;𒄩𒀠𒋼𒋼	hal-ti; ha-al-te-te		halt ^^
7.250 	window 	𒆪𒌦𒉪	ku-un-nir	ok?	p:q  փանջարա pʿanǰara پنجره panjere پنجره pencere <> पिञ्जर piñjara fenster
7.270 	wall 	𒋼𒅁𒋫;𒄷𒄷𒌦	te-ip-ta; hu-hu-un	<++?	<> tapete <> 𒄩𒀀𒅔 Hain < home 𓉔𒂍
7.320 	stove 	𒆪𒊏𒄠𒈠;𒆪𒊏𒈾	ku-ra-am-ma; ku-ra-na	+++	𓈎 𓂋 𓂋 𓊮 <> garen cure@Walloon qur@Thai គ្រូ grū  kura-; ku-ra-at; ku-ra-ak | roast, fry
7.422 	blanket 	𒄀𒌓𒈧𒋼;𒄀𒌓𒈧𒋾	gi-ut-máš-te; gi-ut-máš-ti	<+++?	hwītel < •couvet-mat < kubẽta < cupetta < coperta > көрпө körpö Körper-Matte?
7.450 	lamp, torch 	𒄷𒉌𒅕;𒄷𒌦𒁍	hun; hu-ni-ir; hu-un-pu	™	火 huǒ
7.510 	roof 	𒀀𒊑;𒆪𒊌;𒈨𒉡𒈨	a-ri; ku-uk; me-nu-me	<<	<> sky : ki-ik circ ciel 𓁹 𓁺 𓁻 𓁼 𒅆
7.550 	beam 	𒋼𒋾	te-ti	<<+?	Seite      Stab,strahlt,send,
7.560 	post, pole 	𒊭𒇷	šali; ša-li	+++?	Säule @Saal <> <> column  
7.570 	board 	𒋻𒌉	šil-tur	<<+	√stellt astell@Welsh  σανίδα sanída  NL/sic   dēlis  þ Pult 
7.620 	brick 	𒌑𒉺𒀜	ú-pa-at	++ …?	𓅙 𓃀 𓏏 𓊌 ú-pa-at < 𒌨𒁉𒌅 ur-bi-tu ⇔ 𒂍 beith  πέτρα  𒋞 libittu
7.620 	brick 	𒂊𒊑𒂗𒌈;𒌑𒊑𒂗𒌅;𒄷𒍖𒋛𒅁;𒌑𒉺𒀜	e-ri-en-tum; ú-ri-en-tu; hu-us-si-ip; 	<<<	orient???
8.120 	field (for cultivation) 	𒄬𒆷	hal-la	ok? …	hall
8.130 	garden 	𐎹𒀜𒁕	ya-ad-da	++	yard
8.210 	plow 	𒀀𒀀𒉿𒄴	āpi-; a-a-pi-h	++	𓉔 𓄿 𓃀 𓍁 Hebel <> 𓍁 𓈖 𓏮 𓆱 ebony
