𐀆	-de	-δε	de	allative/demonstrative
𐀇𐀅𐀏𐀩	di-da-ka-re	διδασκάλει (διδάσκαλος)	<<	‘at the place of the practitioner’  (see also ‘dedikyia’)
𐀇𐀈𐀯	di-do-si	δίδονσι (>δίδω)	dedicated dosis <> donation 	to give
𐀇𐀏𐀲𐀆	di-ka-ta-de	Δίκτανδε (Δίκτα> Δίκτη)	Mount Dikti / Dicte Diktande?	place name (mountain)
𐀇𐀏𐀲𐀍	di-ka-ta-jo	Δικταίος	Diktheios	epithet of god Zeus
𐀇𐀫	di-ro	Διρός	^^?	place name
𐀇𐀪𐀖𐀍	di-ri-mi-jo	Δριμίος	<<^^	god’s name
𐀇𐀞	di-pa	δίπας  (>δέπας)	Topf	a kind of cup
𐀇𐀠𐀰𐀂	di-pi-so-i	Διψώι  (Διψός)	Dipsos	place name
𐀇𐀠𐀮𐀹𐀍	di-pi-se-wi-jo	ΔιψιέFιος	'-''''-'	person from ‘Dipsos’
𐀇𐀠𐀯𐀊	di-pi-si-ja	Διψία	'-''''-'	ethnic name of ‘Dipsos’
𐀇𐀠𐀯𐀍	di-pi-si-jo	Δίψιος	'-''''-'	ethnic name of ‘Dipsos’
𐀇𐁇𐀨	di-pte-ra	δίπτερα	𓆓 𓎛 𓂋 𓄛  #ḏthr 𓆓 •divthera ☑	leather hide  (>writing material)
𐀇𐁇𐀨𐀡𐀫	di-pte-ra-po-ro	διπτεραφόρος		ceremonial title
𐀇𐀺	di-wo	ΔιFός (Ζευς		god’s name  (god Zeus)
𐀇𐀄𐀍	di-u-jo	Διύος	'Divos Devus Deus'' Zeus'''	belonging to ‘Zeus’
𐀇𐀸	di-we	ΔιFεί		god’s name  (god Zeus)
𐀇𐀹 𐀊	di-wi- ja	ΔιFία		priestess of god Zeus/goddess’s name
𐀇𐀄𐀊	di-u-ja	Διυία	Divia devine deus diva	priestess of god Zeus/goddess’s name
𐀇𐀹𐀍	di-wi-jo	ΔιFίον	divine	sanctuary dedicated to Zeus
𐀇𐀄𐀊𐀍	di-u-ja-jo	Διυαίον	'𓃛 𓅱 𓈖 𓇱 Divine - '''' -'	sanctuary
𐀇𐀄𐀊𐀍𐀤	di-u-ja-jo-qe	Διυαίον	 <> Diannat 𓏏 𓈖 𓇑 𓇑 𓈖 𓏏 𓉐 	sanctuary
𐀇𐀹𐀊𐀕𐀫	di-wi-ja-me-ro	δFιάμερον (>διήμερον)	δFιά zwie- <> zwei	two day period
𐀇𐀹𐀊𐀲	di-wi-ja-ta	ΔιFιαταί	Difiatai?	ethnic/place name
𐀇𐀹𐀊𐀺	di-wi-ja-wo	ΔιFιαίονδε	Diyia ante	dedicated to Diyia
𐀇𐀺𐀂𐀋𐀸	di-wo-i-je-we	Διός ΙεFεί		‘to the Son of Zeus’
𐀇𐀺𐀛𐀰𐀍	di-wo-ni-so-jo	ΔιFονυσοίο (ΔιFόνυσος>Διόνυσος)		god’s name
𐀈𐀆	do-de	δόνδε  (>δώ)		referring to the ‘domos’  (δόμος)=house, dwelling
𐀈𐀁𐀨	do-e-ra	δοέλα  (>δούλη)		slave  (fem.)
𐀈𐀁𐀫𐀂	do-e-ro-i	δοέλοι  (>δούλοι)		slaves  (masq.plur.)
𐀈𐀡𐀲	do-po-ta	Δοσπότα		goddess’s name
𐀈𐀤𐀊	do-qe-ja	δορπεία	<> trophe	δόρπον= supper/Δορπία= name of feast
𐀈𐀤𐀄	do-qe-u	δορπεύς		δόρπον= supper/Δορπία= name of feast
𐀈𐀨	do-ra	δώρα		gifts
𐀈𐀨𐀤	do-ra-qe	δώρα		gifts
𐀈𐀮	do-se	δώσει		to give
𐀈𐀰𐀗	do-so-mo	δοσμοί		offerings
𐀈𐀰𐀯	do-so-si	δώσονσι		to give
𐀈𐀸𐀍	do-we-jo	δορFείος	𐀈-𐀸-𐀍 doʳweʳ tree…	made of wood
𐀉𐀔	du-ma	δύμας	dymas	official/religious title  (see also ‘damates’)
𐀉𐀔𐀳	du-ma-te	δύματες	dymates	related to ‘damos’ (family groups?)
𐀉𐀔𐀳𐀤	du-ma-te-qe	δύματες	'du''mater'	related to ‘damos’ (family groups?)
