𐀆	-de	-δε	de	allative/demonstrative
𐀏𐀞𐀯𐀊	ka-pa-si-ja	Καρπασία	Karpaten Carpathians	personal/ethnic name of ‘Karpathos’ (fem.)
𐀏𐀞𐀴𐀊	ka-pa-ti-ja	Καρπαθία	Karpathos 𓈉 𓌙 𓀀 𓈓	personal/ethnic name of ‘Karpathos’ (fem.)
𐀏𐀟𐀮𐀷𐀃𐀺𐀺	ka-pe-se-wa-owo-wo	 (ka-pe-se-wa-o)FόρFος		place name  (see ‘vorvos’)
𐀏𐀠𐀛𐀊	ka-pi-ni-ja	καπνία	Kamin Kaµpnin ambi ampi!	‘chimney’
𐀏𐀡	ka-po	καρπός	grape	fruit
𐀏𐀬𐀠	ka-ru-pi	καρύφι !!	^^ គ្រាប់ krŏəp  ξηρός καρπός xirós karpós καρύδι karýdi κάρυον káruon macrone	nut- tree
𐀏𐀬𐀸	ka-ru-we	καρύFει (καρύα)	орѣхъ ᶜorěxŭ अख़रोट axroṭ ^^	nut- tree
𐀏𐀬𐀸𐀤	ka-ru-we-qe	καρύFει (καρύα)	^^	nut- tree
𐀏𐀨𐀀𐀠	ka-ra-a-pi	καράαφι	𓁶 kai 𒅗 KA…	 (with a) ‘κάρα’=head
𐀏𐀨𐀒	ka-ra-ko	γλάχων (>βλήχων)	kirbumünt blḗkhōn --	pennyroyal  (plant)
𐀏𐀨𐀔𐀵	ka-ra-ma-to	κλάσματος (κλάσμα)	<<<	fragment, part
𐀏𐀨𐀞𐀰	ka-ra-pa-so	Κάρπασος (>Κάρπαθος)		place name
𐀏𐀨𐀩𐀸	ka-ra-re-we	κλάρεFες	Karaffe	kind of pot  (stirrupjar)
𐀏𐀨𐀸	ka-ra-we	γράFες (*γραύς >γραία)	Gera Greisin	old women
𐀏𐀨𐀹𐀡𐀫	ka-ra-wi-po-ro	κλα (δ)Fιφόρος (>κλειδoφόρος)	clé	religious title,‘key-bearer?’
𐀏𐀨𐀹𐀡𐀫𐀤	ka-ra-wi-po-ro-qe	κλα (δ)Fιφόρος (>κλειδoφόρος)		religious title,‘key-bearer?’
𐀏𐀬𐀐	ka-ru-ke	κάρυκες (κάρυξ> κήρυξ)	kheruld	heralds
𐀏𐀬𐀵	ka-ru-to	Κάρυστος	Karistos!	place name
𐀏𐀴	ka-ti	κάρτις;	cattle cauldron <> chalco	kind of pot (hydria)
𐀏𐀿𐀁	ka-zo-e	κάζοες (κάκyοες>κακίονες)		 (of) worse (quality)
𐀐𐀁	ke-e	Κείει	Quelle <<<	place name (>κρήνη=spring)
𐀐𐀂𐀊𐀏𐀨𐀙	ke-i-ja-ka-ra-na	Κεία Κράνα		place name (>κρήνη=spring)
𐀐𐀂𐀍	ke-i-jo	Κείος	Keia	ethnic name of ‘Keia/Keie’
𐀐𐀏𐀄𐀕𐀜	ke-ka-u-me-no	κεκαυμένος	<> char-coal	burnt
𐀐𐀐𐀕𐀙	ke-ke-me-na	κεκειμένα	'co''common conco''manner 𓎟 kalke''ment'	common  (referring to ktoina= plot; see opp. ‘ktimena’)
𐀐𐀐𐀕𐀜	ke-ke-me-no	κεκείμενος		common  (referringto ktoina= plot; seeopp. ‘ktimena’)
𐀐𐀑	ke-ki	Κελχίς	Kelhis	place name
𐀐𐀑𐀆	ke-ki-de	Κελχίδες	'-''''-'	ethnic name of ‘Kelhis’
𐀐𐀑𐀆𐀤	ke-ki-de-qe	Κελχίδες	'-''''-'	ethnic name of ‘Kelhis’
𐀐𐀨𐀁𐀸	ke-ra-e-we	κεραέFει (ς) (κεραεύς)		horn worker
𐀐𐀨𐀕𐀄	ke-ra-me-u	κεραμεύς	ceramic	potter
𐀐𐀨𐀜	ke-ra-no	κελαινός	хура kirli काला kālā gray clam cool	dark, black
𐀐𐀨𐀴𐀍𐀍𐀺𐀺	ke-ra-ti-jo-jowo-wo	Κερατίοιο FόρFος	FόρFος	place name (see also ‘vorvos’)
𐀐𐀩𐁀	ke-re-a2	σκελέhας (>σκέλος)	skelet skeleg	legs
𐀐𐀩𐀯𐀍 𐀸𐀐	ke-re-si-jo we-ke	κρεσιοFεργής	Kresio ≈ Cretan!	of Cretan style
𐀐𐀩𐀴𐀺	ke-re-ti-wo	ΚρήθιFος	Cretivo?	place name
𐀐𐀫𐀯𐀊	ke-ro-si-ja	γερονσία (>γερουσία)	Greisen courth	council of elders (‘senate’)
𐀐𐀮𐀚𐀹𐀊 𐀐𐀮𐀛𐀹𐀊	ke-se-ne-wi-jake-se-ni-wi-ja	ξένFια	<<	‘hospitable’ (divine epithet)
𐀐𐀮𐀛𐀹𐀍	ke-se-ni-wi-jo	ξένιος)		‘hospitable’ (divine epithet)
𐀐𐀮𐀝𐀹𐀊	ke-se-nu-wi-ja	ξένFιος (>ξένια		‘hospitable’ (divine epithet)
𐀐𐀄𐀡𐀅 𐀐𐀄𐀡𐀅𐀃 𐀐𐀄𐀡𐀆𐀊	ke-u-po-da ke-u-po-da-o ke-u-po-de-ja	χευσπόνδας	xeuspoda?	 (=libation pourer)
𐀑𐀛𐀇𐀊	ki-ni-di-ja	Κνίδια (ι)	Knidia	ethnic name  (fem.)
𐀑𐀪𐀲	ki-ri-ta	κριθά (>κριθή)	𓂋 ქერი keri κρῖ krî	barley
𐀑𐀯𐀹𐀊	ki-si-wi-ja	ΞίFια (ι)	Kossovo;)	ethnic name of ‘>Chios?’  (fem.)
𐀑𐀲𐀜	ki-ta-no	κίρτανος (>κρίτανος)	---	terebinth tree  (see also ‘ti-mi-to’)
𐀑𐀴𐀋𐀯	ki-ti-je-si	κτίενσι		they cultivate (>κτίζω?= to settle,to found)
𐀑𐀴𐀕𐀙	ki-ti-me-na	κτιμένα		 (of ‘ktoina’= plot)settled, owned
𐀑𐀴𐀕𐀜	ki-ti-me-no	κτιμένος		 (of ‘ktoina’= plot)settled, owned
𐀑𐀴𐀲	ki-ti-ta	κτίτας	@ Kita;)	inhabitant, settler
𐀑𐀺	ki-wo	κίFων	kiˡwoⁿ колона  colon column	pillar
𐀑𐀺𐀤	ki-wo-qe	κίFων	"Khufus"	pillar
𐀒𐀑𐀩𐀊	ko-ki-re-ja	κολχιρεία	<<<<<<<	shell-shaped, spiral
𐀒𐀓	ko-ku	κόγχυς;	<> cowry	 (>κόγχη= a mussel/something sharp)
𐀒𐀓𐀫	ko-ku-ro	κογχυλός	<<<<<<<	shell-shaped/purple
𐀒𐀔𐀸𐀲	ko-ma-we-ta	κομαFέντα	<<<	 (κόμμα => stamp)
𐀒𐀔𐀸𐀳𐀊	ko-ma-we-te-ja	ΚομαFέντεια	𓆎	goddess’s name (κόμα>κόμη= hair)
𐀒𐀜	ko-no	σκοίνος	cane 𓇑 seggen schinus	schinus, rush (plant)
𐀒𐀜𐀰	ko-no-so	Κνωσός		place name
𐀒𐀜𐀰𐀆	ko-no-so-de	Κνωσόνδε		place name
𐀒𐀠𐀙	ko-pi-na	κοφίνα; (>κόφινος)	coffin!?	‘coffin?’ (>κόφινος= basket)
𐀒𐀩𐀳	ko-re-te	κορέτερ	courtier	official title (‘mayor’)
𐀒𐀩𐀳𐀪𐀍	ko-re-te-ri-jo	κορετήριον	caretaker	referring to the ‘koreter’  (‘mayor’s house’)
𐀒𐀪𐁀𐀅𐀙 𐀒𐀪𐀊𐀅na𐀒𐀪𐀊𐀈n𐀃𐀒𐀪𐀍𐀅𐀙	ko-ri-a2-da-na ko-ri-ja-da-nako-ri-ja-do-noko-ri-jo-da-na	κορίανδρον κολίαδνα	coriander @ Korinth?	coriander  (plant)
𐀒𐀪𐀯𐀊	ko-ri-si-ja	Κορίνσια	Korinthos	ethnic name of ‘Korinthos’
𐀒𐀪𐀯𐀍	ko-ri-si-jo	Κορίνσιος (>Κορίνθια	Korinthos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Korinthos’
𐀒𐀪𐀵	ko-ri-to	Κόρινθος	Korinth	place name
𐀒𐀫𐀍𐀺𐀹𐀊	ko-ro-jo-wo-wi-ja	κροιοFόρFια		place name
𐀒𐀫𐀓𐀨𐀂𐀍	ko-ro-ku-ra-i-jo	Κροκυλαίοι (>Κερκυραίοι;)	<< Krokula ≠ Corfu	ethnic name of Corfu?
𐀒𐀫𐀜𐀸𐀭	ko-ro-no-we-sa	κορωνόFεσσα (κορωνός	•curve •crook •crown	 (pot decoration)‘ko-ro-nο-’ like: (κορωνός= curved,crooked/κορώνη= sea-crow
𐀒𐀬𐀸𐀊	ko-ru-we-ja	κορυFεία (>κουρήια;)		related to ‘ko-wa’/or to ‘ko-ru?’ (see also ‘qo-wi-ja’)
𐀒𐀵𐀂𐀙	ko-to-i-na	κτοίνα	√court	plot of land
𐀒𐀵𐀙	ko-to-na	κτοινάων		plot of land
𐀒𐀵𐀜𐀒	ko-to-no-ko	κτοινόοχοι		plot owners
𐀒𐀵𐀜𐀃𐀒	ko-to-no-o-ko	κτοινόοχοι		plot owners
𐀒𐀶𐀸	ko-tu-we	ΚοτύFει		place name
𐀒𐀶𐀺	ko-tu-wo	ΚότυFος		place name
𐀓𐀈𐀛𐀊	ku-do-ni-ja	Κυδωνία	Kudwonia > Chania ?	place name (modern Chania)
𐀒𐀸𐀊	ko-we-ja	κορυFεία (>κουρήια;)		related to ‘ko-wa’/or to ‘ko-ru?’ (see also ‘qo-wi-ja’)
𐀒𐀸𐀊	ko-we-ja	κόρFεια (>κούρια)		like a ‘korfa’  (see next)
𐀒𐀷	ko-wa	κόρFα (>κούρη, κόρη)	kurva girvl	young woman, girl
𐀒𐀺	ko-wo	κόρFος (>κούρος)		young man
𐀓𐀙𐀊	ku-na-ja	γυναία		woman
𐀓𐀙𐀑𐀯	ku-na-ki-si	γυναιξί	gyne…	woman
𐀓𐀙𐀐𐀲	ku-na-ke-ta	κυναγέτας	'khun''ter con''jagta <<< ᎦᏃᎭᎵᏙᎯ ganohalidohi'	hunter
𐀓𐀠𐀪𐀍	ku-pi-ri-jo	Κύπριος	cypriot 𓈉 𓌙 𓀀 𓈓	ethnic name  (of Cyprus)
𐀓𐀞𐀫	ku-pa-ro	κύπαιρος	≈	cyperus  (plant)
𐀓𐀞𐀪𐀯𐀍	ku-pa-ri-si-jo	Κυπαρίσιοι (Κυπαρίσιος)	Kyparisos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Kyparisos’
𐀓𐀞𐀫𐀸	ku-pa-ro-we	κυπαιρόFεν		made with ‘kypairos’  (see previous)
𐀓𐀩𐀸	ku-re-we	ΚουρήFες (>Κουρήτες)	Kourefes 𓈉 𓌙 𓀀 𓈓	group name
𐀓𐀬𐀰	ku-ru-so	χρυσός	chrysos	gold
𐀓𐀬𐀰𐀤	ku-ru-so-qe	χρυσός	Krösus	gold
𐀓𐀱	ku-su	ξύν  (>συν)	𓎛𓈖𓂝  <<	plus
𐀓𐀱𐀞	ku-su-pa	ξύμπαν (>σύμπαν)	𓎟 sympan <<<<	whole
𐀓𐀱𐀵𐀫𐀞	ku-su-to-ro-pa	ξυ (ν)στρoφά (>συστροφή)	^^	collection,gathering
𐀓𐀲𐀂𐀵	ku-ta-i-to	Κύταιστος		place name
𐀓𐀲𐀴𐀍	ku-ta-ti-jo	Κυταίσιος	Kytaistos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Kytaistos’
𐀓𐀲𐀵	ku-ta-to	Κύταιστος		place name
𐀓𐀳𐀨𐀃	ku-te-ra-o	Κυθεραίος	Kythera 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Kythera’
𐀓𐀳𐀩𐀄𐀠	ku-te-re-u-pi	Κυθερεύφι (Κύθηρα)	Kythereuphi	place name (modern Kithira)
𐀓𐀳𐀮𐀍	ku-te-se-jo	κυτέσειος		made from ebony/in ebony
𐀓𐀷𐀜	ku-wa-no	κύFανος (>κύανος)	𓐍 𓊃 𓃀 𓂧 𓈓 •kusbaδo > kusvaño > κύFανος	gemstone  (lapislazuli)
𐀓𐀷𐀜𐀤	ku-wa-no-qe	κύFανος (>κύανος)		gemstone  (lapislazuli)
𐀓𐀷𐀜𐀺𐀒	ku-wa-no-wo-ko	κυFανοFοργός		gemstone worker
𐀔𐀏	ma-ka	Μά Γά; (Μάτερ Γαία)		‘mother earth?’ (goddess’ name)
𐀔𐀙𐀭	ma-na-sa	Μάνασσα		goddess’s name
𐀔𐀨𐀚𐀛𐀍	ma-ra-ne-ni-jo	Μαλανένιοι		ethnic name (related to Marineu?)
𐀔𐀨𐀳𐀄	ma-ra-te-u	Μαλατεύς		personal/ethnic name
𐀔𐀨𐀳𐀸 	ma-ra-te-we 	μαλαθήFες		ethnic name
𐀔𐀨𐀶𐀺	ma-ra-tu-wo	μαράθυFον (>μάραθος)		fennel  (plant)
𐀔𐀪𐀚𐀄	ma-ri-ne-u	Μαρινεύς		god’s name?
𐀔𐀪𐀚𐀸𐀊𐀂	ma-ri-ne-we-ja-i	ΜαρινέFεια (ι)		priestess of ‘Marineus’?
𐀔𐀪𐀲	ma-ri-ta	Μάλιτας		personal/ethnic name
𐀔𐀪𐀴𐀍	ma-ri-ti-jo	μαλθί (Fι)ος		ethnic name
𐀔𐀪𐀴𐀹𐀍	ma-ri-ti-wi-jo	μαλθί (Fι)ος		ethnic name
𐀔𐀫𐀠	ma-ro-pi	Μαλόφι (Μάλος)		place name
𐀔te te𐀂𐀊	ma-te te-i-ja	Μάτερ Θεία		‘divine mother’
𐀔𐀳re te𐀂𐀊	ma-te-re te-i-ja	Μάτερ Θεία		‘divine mother’
𐀔𐀵𐀫𐀢𐀫	ma-to-ro-pu-ro	Ματρόπυλος		place/city
𐀔t𐀃pu𐀫	ma-topu-ro	Ματρόπυλος		place/city
𐀕𐀏𐀃 𐀺𐀺	me-ka-o wo-wo	 (me-ka-o) FόρFος		place name (see also ‘vorvos’)
𐀕𐀛𐀍	me-ni-jo	μήνιος		related to ‘mein’ (see next)
𐀕𐀜	me-no	μηνός (μην> μήνας)		month  (μήν=month/moon/an Anatolian deity)
𐀕𐀜𐀁𐀊	me-no-e-ja	μηνοεία		moon shaped?
𐀕𐀩𐀴𐁈	me-re-ti-ra2	μελέστριαι		flour grinders (fem.)
𐀕𐀩𐀄𐀫	me-re-u-ro	μέλευρον (>μάλευρον)		flour
𐀕𐀪	me-ri	μέλι (ν)		honey
𐀕𐀪𐀅𐀔𐀳	me-ri-da-ma-te	μελιδάματες		ceremonial title (‘distributors of honey’?)
𐀕𐀪𐀉𐀔𐀳	me-ri-du-ma-te	μελιδύματες		ceremonial title (‘distributors of honey’?)
𐀕𐀪𐀵	me-ri-to	μέλιτον		honey
𐀕𐀲𐀐𐀓𐀕𐀙	me-ta-ke-ku-me-na	μετακεκυμένα		dismantled?
𐀕𐀲𐀑𐀴𐀲	me-ta-ki-ti-ta	μετακτίτας		settler on a second-stage  (see also ‘ktitas’)
𐀕𐀲𐀞	me-ta-pa	Μετάπα		place name
𐀕𐀲𐀞𐀆	me-ta-pa-de	Μετάπανδε		place name
𐀕𐀲𐀠𐀍	me-ta-pi-jo	Μετάπιος	Metapa 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Metapa’
𐀕𐀄𐀍	me-u-jo	μεFίος (>μείων)		smaller (one person)
𐀕𐀄𐀍𐁀	me-u-jo-a2	μεFίοhα (>μείονα)		smaller (many things)
𐀕𐀹𐀍	me-wi-jo	μεFίων		smaller (one person)
𐀕𐀹𐀍𐀁	me-wi-jo-e	μεFίοες (>μείονες)		smaller (many persons)
𐀕𐀿	me-zo	μέζων		greater, bigger (one person)
𐀕𐀿𐁀	me-zo-a2	μέζοhα (>μείζονα)		greater, bigger (many things)
𐀕𐀿𐀁	me-zo-e	μέζοες (>μείζονες)		greater, bigger (many persons)
𐀖𐀨𐀴𐀊	mi-ra-ti-ja	Μιλάτια (ι)	Milatos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Milatos’  (Miletus)
𐀖𐀲	mi-ta	μίνθα (>μέντα)		mentha, mint (plant)
𐀖𐀲𐀤	mi-ta-qe	μίνθα (>μέντα)		mentha, mint (plant)
𐀗𐀪𐀺𐀈	mo-ri-wo-do	μόλυβδος		 (=) lead
𐀗𐀫𐀣	mo-ro-qa	μορόπας		official  (military?)title
𐀙𐀄𐀈𐀗	na-u-do-mo	ναυδόμος		ship worker
𐀙𐀹𐀍	na-wi-jo	νάFιος (ναFός>ναός)		of the temple
𐀚𐀆𐀸	ne-de-we	ΝεδεFεί (ει)		place name (>Neda= a modernriver)
𐀚𐀆𐀸𐀁	ne-de-we-e	ΝεδεFεί (ει)		place name (>Neda= a modernriver)
𐀚𐀈𐀺𐀲𐀆	ne-do-wo-ta-de	NeδFότανδε		place name (>Neda= a modernriver)
𐀚𐀈𐀺𐀳	ne-do-wo-te	ΝέδFοθεν (ΝέδFα		place name (>Neda= a modernriver)
𐀚𐀺	ne-wo	 (>νέα		
n𐀃)	no)	Λάπανδος		in the month of Lapatos)
𐀜	no	Λάπανδος		in the month of Lapatos)
𐀜𐀟𐀩𐁀	no-pe-re-a2	νωφελέα		useless
𐀜𐀤	no-qe	Λάπανδος		in the month of Lapatos)
𐀜𐀪𐀺𐀑𐀆	no-ri-wo-ki-de	 (no-ri-wo-)κιδες		ethnic/group name
𐀝𐀷𐀊	nu-wa-ja	νυμFαία;		kind of cloth/textile (>νυμφαία=yellow water-lily/νύμφα= bride)
𐀃𐁀	o-a2	οhά		introductory/prothetic world ‘who, in thismanner’  (see also ‘jo-’)
𐀃𐀅𐁀	o-da-a2	οδάhα		introductory/prothetic world ‘who, in thismanner’  (see also ‘jo-’)
𐀃𐀅𐁌ta 	o-da-twe-ta 	οδατFέντα (>οδούς= δόντι)		provided with ‘teeth’  (of wheels)
𐀃𐀆𐀣𐁀	o-de-qa-a2	οδετάhα		introductory/prothetic world ‘who, in thismanner’  (see also ‘jo-’)
𐀃𐀉𐀬𐀸	o-du-ru-we	ΟδρύFει (Οδρύς;)		place name
𐀃𐀉𐀬𐀹𐀊	o-du-ru-wi-ja	ΟδρύFια	Odryvei/Odrys 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Odryvei/Odrys’
𐀃𐀉𐀬𐀹𐀍	o-du-ru-wi-jo	ΟδρύFιος	Odryvei/Odrys 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Odryvei/Odrys’
𐀃𐀏	o-ka	ορχά (>αρχή)		command/mission/ (military) unit
𐀃𐀏𐀨	o-ka-ra	Οιχαλαί		place name
𐀃𐀗𐀠	o-mo-pi	όρμοφι (όρμος)		with chains
𐀃𐀙𐀲	o-na-ta	όνατα		lease
𐀃𐀙𐀳𐀩	o-na-te-re	ονάτερες		lessees  (see next)
𐀃𐀙𐀵	o-na-to	όνατον (ωνέομαι)		lease
𐀃𐀛𐀴𐀀𐀠	o-ni-ti-a-pi	ορνίθιαφι (όρνις		 (with) birds
𐀃𐀜	o-no	ώνοι		 (>ώνια= payment)
𐀃𐀝𐀏	o-nu-ka	όνυξ		 (anything like a)claw, nail
𐀃𐀝𐀐	o-nu-ke	όνυχες		 (anything like a)claw, nail
𐀃𐀞	o-pa	όλπα (>όπλα;)		term related with the delivery of things
𐀃𐀞𐀺𐀲	o-pa-wo-ta	 (o-pa)φορτα		things being brought
𐀃𐀟𐀫	o-pe-ro	όφελος		debt, liability
𐀃𐀟𐀫𐀤	o-pe-ro-qe	όφελος		debt, liability
𐀃𐀟𐀫𐀯	o-pe-ro-si	οφέλονσι (>οφείλουσι)		they owe
𐀃𐀟𐀲	o-pe-ta	Οφέλτας		name
𐀃𐀠	o-pi	οπί		towards/on top
𐀃𐀠𐁀𐀨	o-pi-a2-ra	οπίhαλα (>παράλια)		places by the sea,coastline
𐀃𐀠𐀆𐀰𐀗	o-pi-de-so-mo	οπίδεσμοι		binding straps  (see also ‘de-so-mo’)
𐀃𐀠𐀂𐀊𐀠	o-pi-i-ja-pi	οπιίαφι (i-ja= ία;)		parts of the reins
𐀃𐀠𐀏𐀟𐀁𐀸	o-pi-ka-pe-e-we	οπισκαφέεFες (επί+ σκάμμα)		overseers of digging operations
𐀃𐀠𐀐𐀩𐀖𐀊𐀠	o-pi-ke-re-mi-ja-pi	οπικελέμνιαφι (οπί+ κελεμνός;)		part of decoration (of chairs)
𐀃𐀠𐀐𐀩𐀖𐀛𐀊	o-pi-ke-re-mi-ni-ja	οπικελέμνια		part of decoration (of chairs)
𐀃𐀠𐀱𐀒	o-pi-su-ko	οπισυγός		‘fig- overseer’ (see also ‘suza’)
𐀃𐀠𐀱𐀒𐀤	o-pi-su-ko-qe	οπισυγός		‘fig- overseer’ (see also ‘suza’)
𐀃𐀠𐀳𐀳𐀩	o-pi-te-te-re	οπιθετήρες		chocks
𐀃𐀡𐀦	o-po-qo	οπώπω  (δυικ.) (όπωποι)		blinders
𐀃𐀡𐀫	o-po-ro	ώφλον (>οφείλω)		they owed (see also ‘o-pe-ro-si’)
𐀃𐀩𐀁𐀺 𐀺𐀺	o-re-e-wo wo-wo	 (o-re-e-wo)FόρFος		place name (see also ‘vorvos’)
𐀃𐀩𐀂	o-re-i	όρει  (όρος)		mountain
𐀃𐀩𐀗𐀀𐀐𐀩𐀄	o-re-mo-a-ke-re-u	 (o-re-mo)  αγρεύς		place name  (see also ‘agros’)
𐀃𐀫𐀕𐀜	o-ro-me-no	ορόμενος (ορώ)		watching over
𐀃𐀬𐀔𐀵	o-ru-ma-to	Ορύμανθος		place name
𐀃𐀳	o-te	ότε (όταν)		when
𐀃𐀄	o-u-	ου		not
𐀃𐀄𐀇𐀈𐀯	o-u-di-do-si	ου δίδονσι		they don’t give/they are not given
𐀃𐀄𐀇𐀈𐀵	o-u-di-do-to	ου δίδοντοι		they don’t give/they are not given
𐀃𐀄𐀑	o-u-ki-	ουχί (>όχι)		not
𐀃𐀄𐀳𐀖	o-u-te-mi	 (ου) τέρμις		without edges?
𐀃𐀄𐀺𐀽	o-u-wo-ze	ου Fόρζει		not working  (see also ‘wo-ze’)
𐀃𐀹𐀆𐀲𐀂	o-wi-de-ta-i	οFιδέται (οFιδέτας)		religious title ‘sheep- flayers?’
𐀃𐀹𐀵𐀛𐀍	o-wi-to-ni-jo	ΟFιτόνιοι	Ovitnos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Ovitnos’
𐀃𐀹𐀵𐀜	o-wi-to-no	ΌFιτνος		place name
𐀃𐀺𐀸	o-wo-we	οFώFεις (οFός> ους)		with ‘ears,’handles
𐀞𐀂𐀴𐀊	pa-i-ti-ja	Φαίστια	Phaistos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Phaistos’
𐀞𐀂𐀴𐀍	pa-i-ti-jo	Φαίστιος	Phaistos 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Phaistos’
𐀞𐀂𐀵	pa-i-to	Φαιστός		place name
𐀞𐀊𐀺𐀚	pa-ja-wo-ne	ΠαιαFόνει (Παιάων)		god’s name (>related to Apollo?)
𐀞𐀏𐀙	pa-ka-na	φάσγανα		small swords,knives
𐀞𐀐𐀳𐀩	pa-ke-te-re	πακτήρες		pegs
𐀞𐀑𐀊𐀙	pa-ki-ja-na	Φασγιαναί		place name (religious center)
𐀞𐀑𐀊𐀙𐀆	pa-ki-ja-na-de	Σφαγιαναί		place name (religious center)
𐀞𐀑𐀊𐀛𐀊	pa-ki-ja-ni-ja	Φασγιανία (ι)	Phasgianai/Sphagianai 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Phasgianai/Sphagianai’
𐀞𐀑𐀊𐀛𐀍pa𐀑𐀊𐀛𐀍𐀂pa𐀑𐀊𐀛𐀍𐀍	pa-ki-ja-ni-jopa-ki-ja-ni-jo-ipa-ki-ja-ni-jo-jo	Σφαγιανία (ι)	Phasgianai/Sphagianai 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Phasgianai/Sphagianai’
𐀞𐀒𐀸	pa-ko-we	σφακόFεν		made with siege (plant)
𐀞𐀔𐀒	pa-ma-ko	φάρμακον;		medicine
𐀞𐀨𐀍	pa-ra-jo	παλαιός		old
𐀞𐀨𐀓	pa-ra-ku	>βαρακίς		dye- substance
𐀞𐀫	pa-ro	παρό  (>παρά)		to whom, ‘chez’
𐀞𐀭	pa-sa	πάνσαν  (πάνσα)		all  (fem.)
𐀞𐀭l𐀃	pa-sa-lo	ψάλον  (>ψάλλιον)		chain, part of the bridle
𐀞𐀯	pa-si	φασί (ν) (φαμί		they say
𐀞𐀯𐀳𐀃𐀂	pa-si-te-o-i	πάνσι- θεοίς		to all gods
𐀞𐀲𐀊	pa-ta-ja	παλταιά  (>παλτόν)		arrow
𐀞𐀳	pa-te	πάτερ		father
𐀞𐀳𐀒𐀵	pa-te-ko-to	παντέκτων		‘all-builder’
𐀞𐀸𐀀	pa-we-a	φάρFεα		textiles
𐀞𐀺𐀐	pa-wo-ke	πάρFοργες;		ancillaries
𐀟𐀅	pe-da	πεδά		towards/after
𐀟𐀆𐀸𐀭	pe-de-we-sa	πέδFεσσα		having legs
𐀟𐀇𐀨	pe-di-ra	πέδιλα		sandals
𐀟𐀂	pe-i	σφεις		them
𐀟𐀒𐀵	pe-ko-to	πέκοτον;		kind of textile
𐀟𐀗	pe-mo	σπέρμον		
𐀟𐀚𐀸𐀲	pe-ne-we-ta	πνέFεντα;		type of cloth
𐀟𐀣𐀵	pe-qa-to	πέκFατοι (*πέδFατοι;)		part of a chariot (foot boards?)
𐀟𐀨𐀀𐀒𐀨𐀂𐀊	pe-ra-a-ko-ra-i-ja	περαίαιχωραίαι (= ‘πέρα- χώρα’)		place name (see opp.‘devroaihoraiai’)
𐀟𐀩	pe-re	φέρει (ν)		to bring
𐀟𐀩𐀐𐀄	pe-re-ke-u	πελεκεύς		hewer (πέλεκυς= axe)
𐀟𐀩𐀄𐀫𐀙𐀆	pe-re-u-ro-na-de	Πλευρώνανδε (Πλευρών)		place name
𐀟𐀩𐀄𐀫𐀛𐀍	pe-re-u-ro-ni-jo	Πλευρώνιος	Pleuron 𓈉 𓌙 𓀀 𓈓	ethnic name of ‘Pleuron’
𐀟𐀬𐀯𐀝𐀷	pe-ru-si-nu-wa	περυσινFά		of last year
𐀟𐀬𐀯𐀝𐀺	pe-ru-si-nu-wo	περυσινυFό (>περυσινά		of last year
𐀟𐀬𐀯𐁅	pe-ru-si-nwa	περυσινό)		of last year
𐀟𐀳𐀩𐀷	pe-te-re-wa	πτελεFάς (>πτελέα)		 (made of) elmwood
𐀟𐀵𐀛𐀍	pe-to-ni-jo	Πετόνιος		ethnic name of Petonos/Petnos
𐀟𐀵n𐀃pe𐀵𐀜𐀆	pe-to-nope-to-no-de	Πετονός		place name
𐀠𐁀𐀨	pi-a2-ra	φιhάλα (ι)		kind of pot
𐀠𐀋𐁉	pi-je-ra3	φιελαία (ι) (>φιάλη)		kind of pot
𐀠𐀪𐀁𐀳𐀯	pi-ri-e-te-si	πριέτεσι		ivory worker (πρίω= to saw)
𐀠𐀪𐀊𐀃	pi-ri-ja-o	φλιαίων (φλιαί)		doorposts
𐀠𐀪𐀋𐀳	pi-ri-je-te	πριέτερ		ivory worker (πρίω= to saw)
𐀠𐀪𐀋𐀳𐀩	pi-ri-je-te-re	πριέτερες		ivory worker (πρίω= to saw)
𐀠𐀴𐁊𐀸𐀭	pi-ti-ro2-we-sa	πτιλιόFεσσα (>πτίλον)		furnished with feathers?
𐀡𐀅𐀒	po-da-ko	Πόδαργος		personal/animalname
𐀡𐀅𐀒𐀤	po-da-ko-qe	Πόδαργος		personal/animalname
𐀡𐀆	po-de	ποδεί		with legs
𐀡𐀑𐀫𐀝𐀏	po-ki-ro-nu-ka	ποικιλώνυχα		kind of decoration (compare with ‘leukonyha’)
𐀡𐀕	po-me	ποιμήν		shepherd
𐀡𐀕𐀚	po-me-ne	ποιμένει		shepherd
