Rank 	Rank 	Character 	Character 	Romanizations 	Notes 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Romanizations 	Notes 	Notes 	Notes 
21	23	鄭 	郑 	Zhèng 	 State of Zheng 	Cheng4 	Zeng6 	Cheng 	CheangChiang 	Tēⁿ (K)Tīⁿ (X, T)Tìⁿ (Q)Tēeⁿ (Z) 	TayTeh 	Chhang 	Chang 	Thàng 	 	Viet. 	Trịnh 	 	 	 State of Zheng 
22	21	梁 	梁 	Liáng 	"beam" (architecture) State of Liang 	Liang2 	Loeng4 	Leung 	LeongLangLeng 	Niû (X, Q, K, T)Niô͘ (Z) 	Neo 	Liòng 	Leong 	Liōng 	 	Viet. 	Lương 	*raŋ 	Ljang 	"beam" (architecture) State of Liang 
23	24	謝 	谢 	Xiè 	"Thankful" State of Xie 	Hsieh4 	Ze6 	Tse 	Che 	Chiā (Z, K)Siā (X, T)Sià (Q) 	ChiaCheahSeah 	Tshia 	Cheah 	Chhià 	 	Viet. 	Tạ 	*sə-lak-s 	ZjaeH 	"Thankful" State of Xie 
24	22	宋 	宋 	Sòng 	 State of Song 	Sung4 	Sung3 	Sung 	 	SòngSàng (K, T) 	Song 	Sung 	SongSoong 	Sūng 	 	Viet. 	Tống 	 	 	 State of Song 
25	26	唐 	唐 	Táng 	Tang dynasty 	Tang2 	Tong4 	Tong 	 	Tn̂gTông (X, Z, K, T) 	TngTang 	Thòng 	TongThong 	Thóng 	 	Viet. 	Đường 	*N-rˤaŋ 	Dang 	Tang dynasty 
26	35	許 	许 	Xǔ 	 State of Xǔ ; To allow 	Hsü3 	Heoi2 	Hui 	Hoi 	Khó͘ 	KohKhoh Ko  	Hí 	Hee 	Hé 	 	Viet. 	Hái, Hứa 	*qʰaʔ 	XjoX 	 State of Xǔ ; To allow 
27	25	韓 	韩 	Hán 	 State of Han 	Han2 	Hon4 	Hon 	 	Hân 	Hang Han  	Hòn 	Hon 	Hón 	 	Viet. 	Hàn 	*gˤar 	Han 	 State of Han 
28	27	馮 	冯 	Féng 	"Gallop"  State of Feng 	Feng2 	Fung4 	Fung 	Fong 	Pâng 	Pang 	FùngPhùng 	Foong 	Fūng 	 	Viet. 	Phùng 	*Cə.bəŋ 	Bjuwng 	"Gallop"  State of Feng 
29	34	鄧 	邓 	Dèng 	 State of Deng 	Teng2 	Dang6 	Tang 	Theng 	Tēng (X, Z, K, T)Tèng (Q) 	Teng 	Then 	TenThen 	Thèn 	 	Viet. 	Đặng 	 	 	 State of Deng 
30	32	曹 	曹 	Cáo 	 State of Cao 	Tsao2 	Cou4 	ChoTso 	Chaw 	Chô (X, Z, K, T)Chô͘ (Q) 	Chow 	TshòTshàu 	ChoChaw 	Chhóu 	 	Viet. 	Tào 	*N-tsˤu 	Dzaw 	 State of Cao 
31	39	彭 	彭 	Péng 	Descendant of Peng Zu 	Peng2 	Pang4 	Pang 	Banh 	Phêⁿ (K)Phîⁿ (X, Q, T)Phêeⁿ (Z) 	PehPhe 	Phàng 	Phang 	Pháng 	 	Viet. 	Bành 	*C.bˤraŋ 	Baeng 	Descendant of Peng Zu 
32	38	曾 	曾 	Zēng 	State of Zeng ; Relationship between great-grandchildren and great-grandparent 	Tseng1 	Zang1 	Tsang 	ChangDong 	Chan 	Chan 	Tsên 	Chen 	Chen 	 	Viet. 	Tăng 	*tsˤəŋ 	Tsong 	State of Zeng ; Relationship between great-grandchildren and great-grandparent 
33	30	蕭 	萧 	Xiāo 	"Quiet" Kingdom of Xiao 	Hsiao1 	Siu1 	SiuShiu 	Sio 	Siau (X, Z, K, T)Sio (X, Q, K, T) 	SeowSiauSiow 	Siâu 	SiewSiaw 	Sieu 	 	Viet. 	Tiêu 	*sˤiw 	Sew 	"Quiet" Kingdom of Xiao 
34	58	田 	田 	Tián 	field, farmland 	Tien2 	Tin4 	Tin 	Chan 	Tiân 	ChanChang 	Thièn 	ThienThen 	Thién 	 	Viet. 	Điền 	*lˤiŋ 	Den 	field, farmland 
