commeth: mit … haben,ha’n ha’m  ,很 hěn,𓂧,con/ ham@Persia/ …,I ham good!  𓃹+ 𓎛𓆰𓈖 kommt 𓇍𓆎☄
huge/ high,huige/ Heike/ Hauke Heien,恢 huī,,回回 huíhuí 会,
spear (Gêr),Ger: Speer  戈  个 ,戈 gē ~ je  ⼸⼷=shoot,ge’ / je’ !!!,gao(tall/axe)  个 ge,Gerhard/ Gaizas/
we,,戈 gē ~ je = 我=I/we : wu,,,
palm,Hand - Ballen,把 bǎ  ,balm,,
hold/ take,nahm/ nehmen,拿 ná(im),,,奈 nài = like
blotch,Brand Fleck/ Flare,斑 [斑] bān / phleu,lat: flagra,,
duel,2-al,斗 [鬥] dòu,duo,𓌟 T19 toe tuer,two töten
null nix nill,none,无[無] ,ø,,
sun,sun 𓇳 ray ,日 rì,ray,N5 re   𓇳 (sun),N8	ray     𓇶 
Mars,la hune,昏hūn  火星  huǒxīng,,,“die Hühnin” 昏 hūn = confused ;)  huh? hä?   昏hūn-mächtig=ohnmächtig
 abends,dunkel  Adj.,暗 [暗] àn, ,,
haben,ha’en hand,有 yǒu ,手shyond hand,,haben / sein !   手shǒu
wood,mwood,木 mù,,米mǐ 末mò ,Mais mas much more multi 𒀯𒀭米 末 mò  mweapon  禾hé
Tree of life/ wood,Sumerian MUŠ,木 mù(dh),MUDH🌲MES,木杉 mùshān ,木 mù 🌲↑-> 末 mò ↟⇧ 𓉼  暮 mù end tree-top tou 头太 矛 máo𐃆 ⇞⇑ 夫 fū ;)  树 樹 shù trees :( lin ‘Linden’
fight,war / phoi,武 wǔ,,,
death,die,歹 dǎi,daith,𓏱  die / tuer 太 ,-> your day has come
shoot,Schuss,殳 shū,shūt,F29 shoot    𓄝 ,
mother,Mutter,母 mu ,,𓅐 Mut[a],𓅑  Mut.ter.de Gaia/ Terra Erde  (deia=goddess) S44 The/Te[deum]   𓌄  S45𓌅
mother,Mutter,母 mu(t),MUTH🌲MAT,𓅐 Mut = Mutter 女 nǚ,𓅑  Mut.ter.de Gaia/ Terra Erde  (deia=goddess) S44 The/Te[deum]   𓌄  S45𓌅
Muhkuh,,母牛 mǔniú,,𒄞 女 𓈞𓈟,
compare,bi- (dual)/ wie,比  bǐ,,,
,Maul(tier),毛驴 máolǘ,,,Ass.mare  𓄙𓅓𓃘
men,Männer,民 mín/ 们 men 門,men,Y5 𓏠 S28 mensch 𓋳,gerMEN   Sanskrit: manus / maans  R22 𓋉 𓋊 Min ?
Hun/ wieder/ …,schon/con/so join! …,汉 HÀN 又 yòu,𓂧,𓂧𓂧,漢 Hunnen!  shoun->you! 又
(dirty) pool (lake),der Pfuhl,泊 pō,poo_?,poo Pudel Puder punta,
bleb / bubble,die Blase  Pl.: die Blasen,泡 [泡] pào, ,,
huge,haushoch,浩 hào,hauh -> hun,C11 𓁨 Hauh,10^6  Hohei(t) (hoch/high)  C11 𓁨 -> 巨大 jùdà giant  sha Ш  山shen
Nautik,nhai,海 hǎi,,𓈖 nautik 𒈾 NA,naur~maur:mare noir=dark-blue Meer 𓈗
fire,feuer/pyro,火 huǒ 灬 ,phuor’,,🌲fir 🜂 fire⽕ fichte fechten 末矛 vs 木杉mù.shān=tanne µood fir.tann芙杉?
charm=heat,cham™,火 huǒm 灬  昏hūn,,,yacham ~ 有yǒu 火huǒm
