Nr	english	word / syllables	PIE	normed cuneiform
4.200 	head 	ukku; uk-ku; uk-gi; ukku.e	"Icke 1. ek <> egg 𓆇  KA 𒅗 kǒu 口 𒅴 KU2 | 𒅥 | খা kau 
"	
4.210 	eye 	el; el-ti	œil œil™ al.TI 𒋾  <> 𒅆 IGI	
4.220 	ear 	siri; si-ri	s'hear	
4.230 	nose 	ši-um-me; šim.e	𓋴 𓈖 𓂉 𓀁 <> smell	
4.260 	tongue 	tit; ti-ut	𓏏𓄓 ≠ tooth	
4.270 	tooth 	sihhan; si-h-ha	Zahn	
4.280 	neck 	ti-pi	𓁶 𓊪 tip,top	
4.330 	hand 	kir-; kur-; ki-ir-pi; kur-pi	𓎼 𓄿 𓃀 𓂢 ⋆carp! ⲕⲁϩ 𓐍 𓂋 𓊪 𓂥   手 shǒu 	
4.344 	fingernail 	pur; pu-ur	"парнягӱ́ч	pɑrnʲɑɡyˑt͡ʃ ფრჩხილი pʰrt͡ʃʰxili  paznokieć <> part/𓃀?"	
4.370 	foot 	pat; ba-at; pa-at	𓃀𓂾 pede pod …	
4.393 	feather 	putmaš; pu-ut-ma-áš	πτε𒈨𒌍 πτερόν feathers	
4.440 	heart 	buni; bu-ni	𓄤 bon le.bon  𒇷𒅤 li-bùᵒⁿ 𒊮 libbuᵒⁿ לֵב	
4.450 	liver 	ru-el-pa-mín		
4.490 	testicle 	ruku; ru-ku	rocks ;)	
4.720 	born (to be) 	kuši-; ku-ši-in; ku-ši-iš	co-𓌢 <> cousin 	
4.732 	conceive 	du-; du-h; du-iš; duk	take? <>	
4.740 	live, living, life 	ta-ak-me; da-ak-ki-me; ta-ak-ki-me	take?? ^^ <<<<<<<<<<	
4.750 	die, dead 	halpi-; hal-pi-ik; hal-pi-ip; la-ha-an		
4.810 	strong, mighty, powerful 	ib-ba-ak; šilha-; šil-ha-h; ši-il-ha-ak; ši-il-me		
4.820 	weak 	iš-tuk-ra	a¬stark	
4.852 	bruise 	ha-pi		
4.860 	cure, heal 	si-it-ti; si-it-me	soothe	
4.880 	medicine, drug 	qa-pu-ur	𒋡𒁍𒌨 qapur 𓊃 𓊪 𓊗 •ćapur	
5.120 	food 	ab-be-be	"<> bebe ""drink"""	
