folio	side	line	text
4	front	1	kodalchy.chpady.sheol.oldoiin.chor.ytoy
4	front	2	dchor.shol.shol.cthol.shtchy.chaiin.@163;s<!ok?>.<->choraiin.chom
4	front	3	otchol.chol.chy.chaiin.qotaiin.<->daiin.shain
4	front	4	qotchol
4	front	5	pydaiin.qotchy.dy,tydy
4	front	6	chor.shytchy.dytcheey
4	front	7	qotaiin.cthol.daiin.cthom
4	front	8	shor.shol.shol.cthy.cpholdy
4	front	9	daiin.ckhochy.tchy.kor,aiin
4	front	10	odal.shor.shyshol.cphaiin
4	front	11	qotchoiin.she[o:a]r.qoty
4	front	12	soiin.chaiin.chaiin
4	front	13	daiin.cthey<$>
4	back	1	pchooiin.ksheo.kchoy.chopchy.dolds.<->dlod
4	back	2	ol.chey.chy.cthy.shkchor.sheo.cheory.<->choldy
4	back	3	sho.sho.chaiin.shaiin.daiin.qodaiin.<->o,aram
4	back	4	qok[sh:ch]y.qocthy.choteol.daiin.cthey.<->choaiin
4	back	5	shor.sheey.{cto}.otoiin.shey.qotchoiin.<->chodain
4	back	6	ytchoy.shokchy.cphody<$>
4	back	7	torchy.sheeor.chor.chokch[y:e].cphydy
4	back	8	oleeeb.chor.cthol.sho.otor.cthory
4	back	9	qooko,iiin,cheog.chcthy.shoky.daiin
4	back	10	otaiin.sheo.okeody.chol,chokeody
4	back	11	sho.kcheor.shody.shtaiin.qotol,daiin
4	back	12	qokey.sho.okeol.s,keey.shar,char,ody
4	back	13	shody.s.cheor.chokody.shodaiin.qoty
4	back	14	ochody.chy
5	front	1	kchody.fchoy.chkoy.oaiin.oar,olsy.chody.dkshy,dy
5	front	2	ochey.okey.qokaiin.sho.ckhoy.cthey.chey.ok[a:y]{@131;o}s.otol
5	front	3	qoaiin.otan,chy.daiin.oteeeb.chocthy.otchy.qotchody
5	front	4	otain.sheody.chan.s.cheor.chocthy<$>
5	front	5	tchy.shody.qoaiin.cholols.sho.qotcheo.daiin.shodaiin
5	front	6	sho.cheor,chey.qoeeey.qoykeeey.qoeor.cthy.shotshy.dy
5	front	7	qotoeey.keey.cheo
5	back	1	k,o,cheor.chor.ytchey.pshod.chols.chodaiin.ytoiiin.daiin
5	back	2	dchol.{c'y}.chol.otaiin.dain.cthor.chots.ychopordg
5	back	3	qotcho.ytor.daiin.daiin.otchor.daiin.{q'o}.darchor.do
5	back	4	qotor.shees.otol.ykoiin.shol,daiin.cthor.okch,y,taiin
5	back	5	shokeeol.chor.cheotol.otchol.daiin.dal.chol,chotaiin
5	back	6	otol.chol.dairodg<$>
6	front	1	foar.y.shol.cholor.cphol.chor.ch{ck}.<->chopchol.otcham
6	front	2	daiin.chckhy.chor.chor.kar.cthy.<->cthor.chotols
6	front	3	foeear.kshor.choky.os.cheoeees.<->ykeor.ytaiin.dam
6	front	4	dar.choyaiir.chy
6	front	5	t[a:o]r.okoiin.shees.ytaly.cthaiin.<->odam
6	front	6	or.al.daiin.ckham.okom.cthaiin.<->ydaiin
6	front	7	daiin.qodaiin.cho.s.chol.okaiin.s
6	front	8	ychol.ckhor.pchar.sheo.ckhaiin
6	front	9	dar.sheol.skaiiodar.otaiin.chory
6	front	10	tchor.ctheod.chy.shor.od,she.od
6	front	11	ychar.olchaj.ol.chokaiin
6	front	12	or.shol.cthom.chor.cthy
6	front	13	qocthol.[y:q]odaiin.cthy
6	front	14	ysho.taiin.y
6	back	1	koary.qoor.shor.chapchy.s.chear.char.otchy
6	back	2	oees.chor.chckhy.qoekchar.chea[s:r].odaiiin.kchey.chor,chaiin
6	back	3	qoair.ckhy.chol.oechockhy.chekchoy.ckhy.okol.<->rychos
6	back	4	yytody
6	back	5	dair.{sha}doldom<$>
6	back	6	tchody.shocthol.cho{cthh}y.s
6	back	7	ychos.ychol.daiin.cthol.dol
6	back	8	ychor.chor.okchey.qokom
6	back	9	oeeo,dal.chor.cthom.s
6	back	10	qokchod.ychear.kchdy
6	back	11	lor.char.otam.ctho,m,dy
6	back	12	ytcho[s:r].shy.qokam.cthy
6	back	13	yodaiin.cthy.s.chor.oees.or
6	back	14	qokor.chol.cthol.tchalody
6	back	15	chockhy.s.or.chy.s,ain.ar
6	back	16	ochy.cthar.cth[a:o]r.cthy
6	back	17	y,chaies.ckhal.cthodam.dy
6	back	18	ytchocthol.ches.{ith}or
6	back	19	ocholy.kchos.chy.dor
6	back	20	dchor.choldar.okol.daiin
6	back	21	ycheor.chor.octham<$>
7	front	1	fchodaiin.shopchey.qko.<->shey.qoos.sheey.charochy
7	front	2	dcheey.keo.r.shor.dold.<->dchey.kchey.otchy.cheody
7	front	3	oeeees.cheodaiin.sheey.<->ytcheey.qotchy.chald
7	front	4	qokcho.cho.lochey.daiin.<->ychey.kchos.odaiin
7	front	5	oaiir.<->otaiin<$>
7	front	6	ksholootchor.choaiin
7	front	7	dshoy.cthol.chol.otchol.dain.<->shody.shol.chotchy
7	front	8	okchey.deeeese.choty.qokchy.<->shol.keey.choty.dain
7	front	9	qokechy.olshckhy.chochy.kchod
7	front	10	s
7	back	1	polyshy.shey.tchody.qopchy.otshol.dy.daiin.tshodody
7	back	2	chochy.cthy.daiin.qoky.ch{cphh}y.daiin.cthol.cthy.cthd
7	back	3	qokchy.dykchy.chkeey.kshy.ky.ty.dor.cheey.o,l,cheol,dy
7	back	4	choteeeb.oeear.choschy.dain.sho.kshy.shol.deees.dol
7	back	5	dchodaiin.qotchy.cheey.tcheey<$>
7	back	6	kchor.sheod.sheodaiin.sho,daiin.oksho,lshol.dair.qos
7	back	7	okshodeeeb.chorcheordol.dol.dor.aiin
7	back	8	qoteeeo.r.choo,kcho,r.daiin
7	back	9	sho.keeo.daiir.chokchy.dor.deol.dy.<->dol
8	front	1	pshol.chor.otshal.chopy.<->cph[o:a]l.chody.shy.cfhodar.shor
8	front	2	tchty.shokche.do.dchy.dain.al
8	front	3	chodar.shy.sy.<->chodaiin.shokchy.chor.dy
8	front	4	qotor.chor.chor.sheey.<->dchol.shesed.chof.chy.dam
8	front	5	okchey.do.r.cheeey.dy.ky.<->scho.chky.{ck}ooaiin.ch[y:a],taiin
8	front	6	tosh.{ck}cheey.koltoldy.<->shy.choety.cheeody.sol
8	front	7	choto.kchoan.choor.dain
8	front	8	dcho.dain<$>
8	front	9	tchoep.sho.pcheey.pchey.<->ofchey.dsheey.sholdaiin.shor
8	front	10	daiin.cheey.teeodan.dy.<->cheocthy.oksheo.dol.dairg
8	front	11	shol.cheodaiin.daiin.do.<->y,tchody.chot.choty.otariin
8	front	12	qochotol
8	front	13	okokchodg<$>
8	front	14	{c@132;h}o.{c@196;h}ey.shol.chofydy.<->sho.chey.kshey.lody.cholal
8	front	15	dchey.ckhol.chol.chey.k{chs}.<->chy.{cto}daiin.dol.daiiir[{ih}:ch]y.ckhy
8	front	16	ychey.kch[e:o]kchy.chseyscheaiin.cthai{ih}ar.cthy.dar
8	front	17	chol.dchy.qokar.chl.<->aiin.chean.{ck}y.char.chaiin
8	front	18	okar.cfhaiin.chaiin.{cl}.<->daiin.chor.cha.rchealcham
8	front	19	sair.cheain.cphol.dar.<->shol.kaiin.shol.kaiin.dai,kam
8	front	20	or.chochal
8	front	21	schol.saim<$>
8	back	1	{c@216;h}od.soo{c@196;h}.<->sol.shol.otol.chol.opcheaiin.opydaiin.saiin
8	back	2	shcthal.sar.<->chor.sheaiin.shor.chykchy.otaiin.{ct}y
8	back	3	qody.cheal.sy.<->chory.<->chear.shol.chaiin.shaiin.dolas
8	back	4	dshol.shol.<->dol.<->chean.cthar.shealy.daiin.chary
8	back	5	chol.chol.dar.<->otchar.etaiin.cthol.dar
8	back	6	daiin.cthan.<->ytchy.chey,kaiin.dain.ar
8	back	7	sho.kchol.<->dar.shey.cthar.chotain.ry
8	back	8	okcholksh.<->chol.chol.chol.cthaiin.dain
8	back	9	shol.orchl.<->chokchy.chol.cthor.chaiin
8	back	10	scharchy.<->oeesody.kchey.pchy.cpharom
8	back	11	sorain<$>
8	back	12	pchar.cho.rol.dal.<->shear.chchotaiin.chal.daiin
8	back	13	kchor.otchar.oky.<->chokain.keoky.otorchy.satar
8	back	14	shor.okol.lokaiin.<->shol.kol.char.cthey.tchy.ckham
8	back	15	or.chol.chan.ch{ck}y.<->chor.cheain.char.cheeky.chor.ry
8	back	16	chor.cheor.chear.<->oteey.dchor.chodey.cho.raiin
8	back	17	dain.chear.daiin<$>
9	front	1	tydlo.choly.cthor.orchey.s.shy.odaiin.sary.<->shor.cthy
9	front	2	oykeey.cholor.chaiin
9	front	3	toiin.cphy.qotod.otaiin.cthy.okor.chey.<->ctho,d.ram
9	front	4	[y:o]shy.chokcho.chcthodytol.dayty
9	front	5	daiin.chor.sor.cthy.chokoiin.shol.dsholdy.<->otchol.ot.dy<$>
9	front	6	pshoain.cthoaiin.okaiir.{c@134;h}odoral.shar.<->sy.<->shydal.chdy
9	front	7	or.chol.chychodar.aiin
9	front	8	qotcho.qokchy.cthey.koraiin.okain.d.<->dal.<->s.olshocth[y:g]
9	front	9	ochodykchy.saiindaiin
9	front	10	<!centred>ytcha[s:r].oraiin.chkor<$>
9	back	1	fochor.oporody.opy.shor.daiin.qopchypcho.qofol.shol.cfhol.daiin
9	back	2	dchor.qoaiin.chkaiin.cthor.chol.chor.cphol.dy.<->oty.qokaiin.dy
9	back	3	ykey.chor.ykaiin.daiin.cthy.otaiin.oky.<->oeees.daiin
9	back	4	ytey
9	back	5	pchor.ypcheey.qotor.ypchy.olcfholy.t[o:e].<->ar.<->chty.daiiin
9	back	6	odol.choy.ksheody.chody.<->da[in:iin].<->otchy.cthod.<->yko
