chain_length	codes	glyphs
5	M262/M048 M297 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𜂼/𛷋(M262/M048)  𜅸(M297)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M096 M390 M254 M124/M242/M047/M218/M388 M288	𛹜(M096)  𜌕(M390)  𜂔(M254)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
5	M103 M029 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛹸(M103)  𛵷(M029)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M243 M297 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𜁃(M243)  𜅸(M297)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M328 M219 M371 M124/M242/M047/M218/M388 M288	𜈧(M328)  𜀈(M219)  𜊩(M371)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)  𜄱(M288)
5	M304 M297 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𜆛(M304)  𜅸(M297)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M099 M352 M218/M242/M047/M388/M124 M288 M124/M242/M047/M218/M388	𛹧(M099)  𜉕(M352)  𛿺/𜀺/𛷊/𜌓/𛻃(M218/M242/M047/M388/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M195 M136 M056 M288 M124/M242/M047/M218/M388	𛾢(M195)  𛻰(M136)  𛷱(M056)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M327 M157/M377+M320+M377 M388/M242/M047/M218/M124 M288 M124/M242/M047/M218/M388	𜈙(M327)  𛽔/𜋁(M157/M377+M320+M377)  𜌓/𜀺/𛷊/𛿺/𛻃(M388/M242/M047/M218/M124)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M136+M365 M136 M056 M288 M124/M242/M047/M218/M388	𛻳(M136+M365)  𛻰(M136)  𛷱(M056)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
5	M105 M003 M054 M288 M124/M242/M047/M218/M388	𛹾(M105)  𛵁(M003)  𛷪(M054)  𜄱(M288)  𛻃/𜀺/𛷊/𛿺/𜌓(M124/M242/M047/M218/M388)
