diff_count	length	record_a	glyphs_a	codes_a	record_b	glyphs_b	codes_b	diff_positions
2	4	P008296	𛻃 𜂼 𜌆 𜄱	M124 M262 M387~ef M288	P009553	𛾇 𜄱 𜋾 𜄱	M175+M377+M377 M288 M387 M288	[0, 1]
2	4	P008296	𛹜 𜀓 𛶎 𜅸	M096 M222 M036 M297	P009216	𛹌 𜈽 𛶎 𜅸	M081 M346 M036 M297	[0, 1]
2	4	P008307	𜋾 𜈽 𜉎 𜄱	M387 M346 M351+N14 M288	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[1, 2]
2	4	P008307	𜋾 𜈽 𜉎 𜄱	M387 M346 M351+N14 M288	P009015	𜌁 𜅸 𛹩 𜄱	M387~c M297 M099~b M288	[1, 2]
2	4	P008307	𜋾 𜈽 𜉎 𜄱	M387 M346 M351+N14 M288	P009224	𜌎 𜌎 𛷪 𜄱	M387~i M387~i M054 M288	[1, 2]
2	4	P008307	𜋾 𜈽 𜉎 𜄱	M387 M346 M351+N14 M288	P009251	𜌋 𛵈 𛷳 𜄱	M387~h M005~a M056~f M288	[1, 2]
2	4	P008310	𛹙 𜌓 𜄤 𜇟	M093~a M388 M285 M317	P009337	𜆛 𜌓 𜄥 𜄱	M304 M388 M285~b M288	[0, 3]
2	4	P008310	𜌓 𜅙 𛿺 𜇟	M388 M295~a M218 M317	P008689	𜌓 𛺎 𛿺 𛾿	M388 M110~a M218 M206~d	[1, 3]
2	4	P008310	𜌓 𜅙 𛿺 𜇟	M388 M295~a M218 M317	P009535	𜌓 𜍙 𛿺 𜈽	M388 M491 M218 M346	[1, 3]
2	4	P008310	𛺰 𛸘 𛸘 𜇟	M112~p M066~a M066~a M317	P009552	𜌓 𛸗 𛸗 𛷶	M388 M066 M066 M057	[0, 3]
2	4	P008310	𛼌 𛶃 𜋾 𛿺	M139 M032 M387 M218	P008644	𜌓 𛷼 𜋾 𛿺	M388 M057~b M387 M218	[0, 1]
2	4	P008310	𛼌 𛶃 𜋾 𛿺	M139 M032 M387 M218	P008711	𛼌 𛶃 𜉈 𜄱	M139 M032 M348 M288	[2, 3]
2	4	P008310	𛼌 𛶃 𜋾 𛿺	M139 M032 M387 M218	P009262	𜌓 𛻌 𜋿 𛿺	M388 M128 M387~a M218	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008688	𜊩 𜀈 𛿺 𜄱	M371 M219 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P009336	𜁿 𜃁 𛿺 𜄱	M250~p M263 M218 M288	[0, 1]
2	4	P008319	𜋺 𛻛 𛿺 𜄱	M386~a M131 M218 M288	P009343	𛻃 𛶌 𛿺 𜄱	M124 M034~a M218 M288	[0, 1]
2	4	P008328	𛵮 𛶈 𜊩 𜄱	M024 M033 M371 M288	P008666	𜂂 𛵓 𜊩 𜄱	M251~c M009 M371 M288	[0, 1]
2	4	P008328	𛵮 𛶈 𜊩 𜄱	M024 M033 M371 M288	P009089	𜉚 𛵓 𜊩 𜄱	M352~n M009 M371 M288	[0, 1]
2	4	P008328	𛵮 𛶈 𜊩 𜄱	M024 M033 M371 M288	P009343	𛼲 𜉞 𜊩 𜄱	M149~a2 M352~s M371 M288	[0, 1]
2	4	P008342	𜌓 𜉇 𛺏 𜊩	M388 M347 M110~b M371	P009242	𜌓 𜉇 𛷽 𛿺	M388 M347 M057~b1 M218	[2, 3]
2	4	P008342	𜌓 𜉇 𛺏 𜊩	M388 M347 M110~b M371	P368539	𜌓 𛸘 𜋏 𜊩	M388 M066~a M380 M371	[1, 2]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	[0, 1]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	[0, 2]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	[2, 3]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008688	𛷐 𜋺 𛸗 𜄱	M048~k M386~a M066 M288	[0, 1]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[0, 2]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P009089	𛿺 𛼢 𛸗 𜄱	M218 M146 M066 M288	[0, 1]
2	4	P008351	𜀈 𜌁 𛸗 𜄽	M219 M387~c M066 M288~i	P009224	𜌎 𜌎 𛷪 𜄱	M387~i M387~i M054 M288	[0, 2]
2	4	P008353	𜆄 𜅵 𛷶 𜄱	M301 M296+M296 M057 M288	P008598	𜂽 𜆅 𛷸 𜄱	M262~1 M301~a M057~a M288	[0, 1]
2	4	P008353	𜆄 𜅵 𛷶 𜄱	M301 M296+M296 M057 M288	P008688	𛷶 𜍂 𛷶 𜄱	M057 M455 M057 M288	[0, 1]
2	4	P008353	𜆄 𜅵 𛷶 𜄱	M301 M296+M296 M057 M288	P008918	𛻃 𛿯 𛷶 𜄱	M124 M217 M057 M288	[0, 1]
2	4	P008353	𜆄 𜅵 𛷶 𜄱	M301 M296+M296 M057 M288	P009343	𜇣 𛿈 𛷻 𜄱	M317~b M207 M057~a4 M288	[0, 1]
2	4	P008354	𛷶 𜀶 𛵓 𛷶	M057 M240~e M009 M057	P008448	𛷼 𜀱 𛷸 𜊊	M057~b M240~a M057~a M367	[2, 3]
2	4	P008354	𛷶 𜀶 𛵓 𛷶	M057 M240~e M009 M057	P008940	𛷶 𜀰 𛶃 𛷌	M057 M240 M032 M048~d	[2, 3]
2	4	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	[0, 1]
2	4	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	P008516	𛸗 𜀈 𛸗 𜈽	M066 M219 M066 M346	[1, 3]
2	4	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	P008688	𛷐 𜋺 𛸗 𜄱	M048~k M386~a M066 M288	[0, 1]
2	4	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[1, 2]
2	4	P008355	𛸗 𜁔 𛸗 𜄱	M066 M246~b M066 M288	P009089	𛿺 𛼢 𛸗 𜄱	M218 M146 M066 M288	[0, 1]
2	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	[0, 1]
2	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P008477	𛻃 𛷶 𛹧 𜊩	M124 M057 M099 M371	[1, 2]
2	4	P008355	𛻃 𜊩 𛵓 𜊩	M124 M371 M009 M371	P272825	𜆡 𜌓 𛵓 𜊩	M305 M388 M009 M371	[0, 1]
2	4	P008357	𛾢 𜌓 𜊩 𜋾	M195 M388 M371 M387	P008972	𜀶 𜉇 𜊩 𜋾	M240~e M347 M371 M387	[0, 1]
2	4	P008357	𛾢 𜌓 𜊩 𜋾	M195 M388 M371 M387	P009017	𛾢 𜌓 𛿾 𜀣	M195 M388 M218+M101 M228+M101	[2, 3]
2	4	P008379	𜌓 𜃁 𜋊 𜄱	M388 M263 M379 M288	P008454	𜌓 𛷸 𛵹 𜄱	M388 M057~a M029~b M288	[1, 2]
2	4	P008379	𜌓 𜃁 𜋊 𜄱	M388 M263 M379 M288	P008663	𜌓 𛶃 𛹜 𜄱	M388 M032 M096 M288	[1, 2]
2	4	P008379	𜌓 𜃁 𜋊 𜄱	M388 M263 M379 M288	P009336	𜁿 𜃁 𛿺 𜄱	M250~p M263 M218 M288	[0, 2]
2	4	P008379	𛻃 𛸗 𜆅 𛷶	M124 M066 M301~a M057	P009552	𜌓 𛸗 𛸗 𛷶	M388 M066 M066 M057	[0, 2]
2	4	P008383	𛽲 𜌓 𜆅 𛸗	M158~h M388 M301~a M066	P008907	𛽔 𜌓 𜃂 𛸗	M157 M388 M263~1 M066	[0, 2]
2	4	P008398	𜉚 𜊛 𛿺 𜈽	M352~n M370 M218 M346	P009535	𜌓 𜍙 𛿺 𜈽	M388 M491 M218 M346	[0, 1]
2	4	P008416	𜋀 𛹧 𛹜 𛵞	M377 M099 M096 M010~2	P008635	𜋀 𜉫 𛹜 𜄱	M377 M361~b M096 M288	[1, 3]
2	4	P008416	𜋀 𛹧 𛹜 𛵞	M377 M099 M096 M010~2	P009028	𜋅 𜉇 𛹣 𜅸	M377~e M347 M096~d M297	[1, 3]
2	4	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	[0, 2]
2	4	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P008688	𛷐 𜋺 𛸗 𜄱	M048~k M386~a M066 M288	[0, 1]
2	4	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[0, 2]
2	4	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P009089	𛿺 𛼢 𛸗 𜄱	M218 M146 M066 M288	[0, 1]
2	4	P008417	𜃁 𜌆 𛸗 𜄱	M263 M387~ef M066 M288	P009224	𜌎 𜌎 𛷪 𜄱	M387~i M387~i M054 M288	[0, 2]
2	4	P008429	𛻃 𛸪 𜀕 𜅘	M124 M073~b M223 M295	P008490	𛻃 𜅟 𜀘 𜅸	M124 M295~da M223~c M297	[1, 3]
2	4	P008429	𛻃 𛸪 𜀕 𜅘	M124 M073~b M223 M295	P009382	𛻃 𛵅 𜀗 𛿺	M124 M004 M223~b M218	[1, 3]
2	4	P008429	𛽹 𜃞 𛷪 𜌓	M175 M266~a M054 M388	P009180	𜌁 𜌁 𛷪 𜌓	M387~c M387~c M054 M388	[0, 1]
2	4	P008430	𜂼 𜂣 𛿺 𛵞	M262 M259 M218 M010~2	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	[0, 3]
2	4	P008430	𜂼 𜂣 𛿺 𛵞	M262 M259 M218 M010~2	P008479	𛴺 𜂣 𛿺 𜄐	M001 M259 M218 M278~e	[0, 3]
2	4	P008430	𜂼 𜂣 𛿺 𛵞	M262 M259 M218 M010~2	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 3]
2	4	P008430	𜂼 𜂣 𛿺 𛵞	M262 M259 M218 M010~2	P009014	𛵓 𜂣 𛿺 𜃁	M009 M259 M218 M263	[0, 3]
2	4	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	[2, 3]
2	4	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	P008621	𛸗 𜉜 𛿺 𛿺	M066 M352~o M218 M218	[2, 3]
2	4	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	P009190	𛸗 𜉚 𛷸 𛽍	M066 M352~n M057~a M153+M342	[2, 3]
2	4	P008431	𛸗 𜉜 𜇔 𜅸	M066 M352~o M315 M297	P009412	𛸗 𜉜 𜉇 𛿺	M066 M352~o M347 M218	[2, 3]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P008688	𜊩 𜀈 𛿺 𜄱	M371 M219 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P009336	𜁿 𜃁 𛿺 𜄱	M250~p M263 M218 M288	[0, 1]
2	4	P008431	𜉇 𜋅 𛿺 𜄱	M347 M377~e M218 M288	P009343	𛻃 𛶌 𛿺 𜄱	M124 M034~a M218 M288	[0, 1]
2	4	P008438	𜋇 𜌓 𜁂 𜅘	M377~e+M377~e M388 M242~n M295	P009185	𛼲 𜌓 𛿺 𜅦	M149~a2 M388 M218 M295~k	[0, 2]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P008663	𛶃 𛻐 𛹜 𜄱	M032 M128~da M096 M288	[1, 2]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P008688	𜊩 𜀈 𛿺 𜄱	M371 M219 M218 M288	[0, 1]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[0, 1]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 1]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P009224	𜌎 𜌎 𛷪 𜄱	M387~i M387~i M054 M288	[0, 2]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P009336	𜁿 𜃁 𛿺 𜄱	M250~p M263 M218 M288	[0, 1]
2	4	P008438	𛶃 𜋾 𛿺 𜄱	M032 M387 M218 M288	P009343	𛻃 𛶌 𛿺 𜄱	M124 M034~a M218 M288	[0, 1]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P008644	𜌓 𛷼 𜋾 𛿺	M388 M057~b M387 M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P009181	𜌓 𛸘 𜅘 𛿺	M388 M066~a M295 M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P009242	𜌓 𜉇 𛷽 𛿺	M388 M347 M057~b1 M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P009262	𜌓 𛻌 𜋿 𛿺	M388 M128 M387~a M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P234794	𜌓 𜋺 𛻛 𛿺	M388 M386~a M131 M218	[1, 2]
2	4	P008447	𜌓 𜂼 𜂣 𛿺	M388 M262 M259 M218	P272825	𜌓 𛵓 𛵅 𛿺	M388 M009 M004 M218	[1, 2]
2	4	P008448	𛼢 𜋅 𜉇 𜊩	M146 M377~e M347 M371	P272825	𜆡 𜂼 𜉇 𜊩	M305 M262 M347 M371	[0, 1]
2	4	P008448	𛷼 𜀱 𛷸 𜊊	M057~b M240~a M057~a M367	P008688	𛷶 𜍂 𛷶 𜄱	M057 M455 M057 M288	[1, 3]
2	4	P008448	𛷼 𜀱 𛷸 𜊊	M057~b M240~a M057~a M367	P008940	𛷶 𜀰 𛶃 𛷌	M057 M240 M032 M048~d	[2, 3]
2	4	P008448	𛵅 𜌕 𛸗 𜊘	M004 M390 M066 M369	P009356	𛵅 𛹪 𛸗 𜃁	M004 M101 M066 M263	[1, 3]
2	4	P008448	𛵅 𜌕 𛸗 𜊘	M004 M390 M066 M369	P009373	𛵅 𜀁 𛸗 𜃆	M004 M218+M288~f M066 M263~b1	[1, 3]
2	4	P008448	𜋅 𜉇 𜉚 𜈽	M377~e M347 M352~n M346	P009028	𜋅 𜉇 𛹣 𜅸	M377~e M347 M096~d M297	[2, 3]
2	4	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	P008621	𛸗 𜉜 𛿺 𛿺	M066 M352~o M218 M218	[2, 3]
2	4	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	P009190	𛸗 𜉚 𛷸 𛽍	M066 M352~n M057~a M153+M342	[2, 3]
2	4	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	P009375	𛸗 𜉚 𜉇 𜅸	M066 M352~n M347 M297	[2, 3]
2	4	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	P009412	𛸗 𜉜 𜉇 𛿺	M066 M352~o M347 M218	[2, 3]
2	4	P008452	𛸗 𜉚 𜀞 𛿈	M066 M352~n M226~c M207	P009439	𛸗 𜉚 𜇔 𜅸	M066 M352~n M315 M297	[2, 3]
2	4	P008454	𜌓 𛷸 𛵹 𜄱	M388 M057~a M029~b M288	P008644	𜌓 𛷼 𜋾 𛿺	M388 M057~b M387 M218	[2, 3]
2	4	P008454	𜌓 𛷸 𛵹 𜄱	M388 M057~a M029~b M288	P008663	𜌓 𛶃 𛹜 𜄱	M388 M032 M096 M288	[1, 2]
2	4	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	P008479	𛴺 𜂣 𛿺 𜄐	M001 M259 M218 M278~e	[0, 3]
2	4	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[0, 3]
2	4	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 3]
2	4	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	P009014	𛵓 𜂣 𛿺 𜃁	M009 M259 M218 M263	[0, 3]
2	4	P008461	𜇪 𜂣 𛿺 𛶔	M318~a M259 M218 M036+N30D	P009252	𜇩 𛵅 𛿺 𜆡	M318 M004 M218 M305	[1, 3]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	[0, 1]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P009183	𛻃 𛷋 𛵓 𜊩	M124 M048~c M009 M371	[0, 1]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[0, 1]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[0, 1]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P009412	𛿺 𜂣 𜃁 𜈩	M218 M259 M263 M329	[2, 3]
2	4	P008468	𛿺 𜂦 𛵓 𜊩	M218 M259~3 M009 M371	P272825	𜆡 𜌓 𛵓 𜊩	M305 M388 M009 M371	[0, 1]
2	4	P008477	𛾴 𛸗 𜉜 𛻞	M203~c M066 M352~o M131~d	P008621	𛹸 𛸗 𜉜 𛹜	M103 M066 M352~o M096	[0, 3]
2	4	P008477	𛾴 𛸗 𜉜 𛻞	M203~c M066 M352~o M131~d	P368483	𛹻 𛸗 𜉜 𛹜	M103~3 M066 M352~o M096	[0, 3]
2	4	P008477	𛻃 𛷶 𛹧 𜊩	M124 M057 M099 M371	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	[1, 2]
2	4	P008477	𛻃 𛷶 𛹧 𜊩	M124 M057 M099 M371	P009183	𛻃 𛷋 𛵓 𜊩	M124 M048~c M009 M371	[1, 2]
2	4	P008477	𛻃 𛷶 𛹧 𜊩	M124 M057 M099 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1, 2]
2	4	P008477	𛻃 𛷶 𛹧 𜊩	M124 M057 M099 M371	P009257	𛻃 𜇭 𛵓 𜊩	M124 M318~a3 M009 M371	[1, 2]
2	4	P008479	𛴺 𜂣 𛿺 𜄐	M001 M259 M218 M278~e	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[0, 3]
2	4	P008479	𛴺 𜂣 𛿺 𜄐	M001 M259 M218 M278~e	P008914	𜋾 𜂣 𛿺 𜄱	M387 M259 M218 M288	[0, 3]
2	4	P008479	𛴺 𜂣 𛿺 𜄐	M001 M259 M218 M278~e	P009014	𛵓 𜂣 𛿺 𜃁	M009 M259 M218 M263	[0, 3]
2	4	P008490	𜌓 𛸗 𜂽 𛵂	M388 M066 M262~1 M003~b	P008490	𜌓 𜀈 𜊩 𛵂	M388 M219 M371 M003~b	[1, 2]
2	4	P008490	𜌓 𛸗 𜂽 𛵂	M388 M066 M262~1 M003~b	P008740	𜌓 𛸗 𜇔 𜂕	M388 M066 M315 M254~a	[2, 3]
2	4	P008490	𜌓 𛸗 𜂽 𛵂	M388 M066 M262~1 M003~b	P009181	𜌓 𛸘 𜅘 𛿺	M388 M066~a M295 M218	[2, 3]
2	4	P008490	𜌓 𛸗 𜂽 𛵂	M388 M066 M262~1 M003~b	P009552	𜌓 𛸗 𛸗 𛷶	M388 M066 M066 M057	[2, 3]
2	4	P008490	𜌓 𛸗 𜂽 𛵂	M388 M066 M262~1 M003~b	P368539	𜌓 𛸘 𜋏 𜊩	M388 M066~a M380 M371	[2, 3]
2	4	P008490	𜀰 𜊩 𛵂 𜌓	M240 M371 M003~b M388	P009460	𜈙 𛵇 𛵂 𜌓	M327 M005 M003~b M388	[0, 1]
2	4	P008490	𛻃 𜌕 𛵓 𜊩	M124 M390 M009 M371	P272825	𜆡 𜌓 𛵓 𜊩	M305 M388 M009 M371	[0, 1]
2	4	P008490	𜌓 𜀈 𜊩 𛵂	M388 M219 M371 M003~b	P009180	𜌓 𛼚 𜊩 𛽇	M388 M145~a M371 M153+M006~a	[1, 3]
2	4	P008490	𜌓 𜀈 𜊩 𛵂	M388 M219 M371 M003~b	P009535	𜌓 𛾾 𜊩 𜈽	M388 M206~b M371 M346	[1, 3]
2	4	P008490	𜌓 𜀈 𜊩 𛵂	M388 M219 M371 M003~b	P009535	𜌓 𛸧 𜊩 𜈽	M388 M072 M371 M346	[1, 3]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P008644	𜌓 𛷼 𜋾 𛿺	M388 M057~b M387 M218	[1, 2]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P009017	𛻈 𜃟 𛵅 𛿺	M125~a M266~b M004 M218	[0, 1]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P009181	𜌓 𛸘 𜅘 𛿺	M388 M066~a M295 M218	[1, 2]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P009242	𜌓 𜉇 𛷽 𛿺	M388 M347 M057~b1 M218	[1, 2]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P009262	𜌓 𛻌 𜋿 𛿺	M388 M128 M387~a M218	[1, 2]
2	4	P008490	𜌓 𜂂 𛵅 𛿺	M388 M251~c M004 M218	P234794	𜌓 𜋺 𛻛 𛿺	M388 M386~a M131 M218	[1, 2]
2	4	P008490	𛻃 𜅟 𜀘 𜅸	M124 M295~da M223~c M297	P009196	𛻃 𜂣 𛹪 𜅸	M124 M259 M101 M297	[1, 2]
2	4	P008490	𛻃 𜅟 𜀘 𜅸	M124 M295~da M223~c M297	P009382	𛻃 𛵅 𜀗 𛿺	M124 M004 M223~b M218	[1, 3]
2	4	P008516	𛸗 𜀈 𛸗 𜈽	M066 M219 M066 M346	P008516	𛿺 𛶍 𛸗 𜈽	M218 M009~d ≈ M035M09~d ≈ M3 M066 M346	[0, 1]
2	4	P008516	𛿺 𛶍 𛸗 𜈽	M218 M009~d ≈ M035M09~d ≈ M3 M066 M346	P009089	𛿺 𛼢 𛸗 𜄱	M218 M146 M066 M288	[1, 3]
2	4	P008529	𜀶 𜃁 𛷋 𛹜	M240~e M263 M048~c M096	P009383	𛻃 𜋾 𛷌 𛹜	M124 M387 M048~d M096	[0, 1]
2	4	P008543	𛵓 𜇬 𜊩 𜇼	M009 M318~a2 M371 M321	P272825	𜈏 𜇩 𜊩 𛿯	M324~d M318 M371 M217	[0, 3]
2	4	P008598	𜂽 𜆅 𛷸 𜄱	M262~1 M301~a M057~a M288	P008688	𛷶 𜍂 𛷶 𜄱	M057 M455 M057 M288	[0, 1]
2	4	P008598	𜂽 𜆅 𛷸 𜄱	M262~1 M301~a M057~a M288	P008688	𜂼 𜂣 𛿺 𜄱	M262 M259 M218 M288	[1, 2]
2	4	P008598	𜂽 𜆅 𛷸 𜄱	M262~1 M301~a M057~a M288	P008918	𛻃 𛿯 𛷶 𜄱	M124 M217 M057 M288	[0, 1]
2	4	P008598	𜂽 𜆅 𛷸 𜄱	M262~1 M301~a M057~a M288	P009343	𜇣 𛿈 𛷻 𜄱	M317~b M207 M057~a4 M288	[0, 1]
2	4	P008612	𜃁 𛷐 𛹜 𜄲	M263 M048~k M096 M288+N01	P008612	𜂧 𜀼 𛹜 𜄲	M260 M242~b M096 M288+N01	[0, 1]
2	4	P008612	𜃁 𛷐 𛹜 𜄲	M263 M048~k M096 M288+N01	P008688	𜂣 𛷐 𛹜 𜄱	M259 M048~k M096 M288	[0, 3]
2	4	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	P008644	𜁂 𜋺 𜀶 𛹜	M242~n M386~a M240~e M096	[0, 1]
2	4	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	P009018	𜄧 𜋺 𜀰 𛹜	M285~c M386~a M240 M096	[0, 1]
2	4	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	P009031	𜌓 𜋾 𜇶 𛹜	M388 M387 M320 M096	[0, 2]
2	4	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	P009383	𛻃 𜋾 𛷌 𛹜	M124 M387 M048~d M096	[0, 2]
2	4	P008618	𜀈 𜋾 𜀰 𛹜	M219 M387 M240 M096	P234794	𜋾 𜋾 𜂼 𛹜	M387 M387 M262 M096	[0, 2]
2	4	P008621	𛸗 𜉜 𛿺 𛿺	M066 M352~o M218 M218	P008942	𛸗 𜋾 𛿺 𜄱	M066 M387 M218 M288	[1, 3]
