chain_length	codes	glyphs
7	M269~b/M269~a/M269/M269~a1/M269~1/M269~c/M269~2/M269~a2/M269~3/M269~a3/M269~4 M106~a/M106/M106~b M009/M009~a/M009~g/M009~e/M009~f/M009~h/M009~c M206~g/M206~d/M206~fa/M206~b/M206~f/M206~j/M206~i M102~e/M102~d/M102~a/M102~da/M102~m/M102~l M309~a/M309~d/M309/M309~b M362+M059~d/M362+M059	𜃳/𜃯/𜃪/𜃰/𜃫/𜃴/𜃬/𜃱/𜃭/𜃲/𜃮 𛺉/𛺄/𛺊 𛵓/𛵔/𛵙/𛵗/𛵘/𛵚/𛵕 𛿃/𛾿/𛿂/𛾾/𛿁/𛿇/𛿆 𛹱/𛹮/𛹬/𛹰/𛹷/𛹶 𜆾/𜇁/𜆽/𜇀 𜉴/𜉳
3	M285~c/M285~k/M285/M285~b/M285~d/M285~ca M386~a/M386~d/M386/M386~da M219/M219~s	𜄧/𜄪/𜄤/𜄥/𜄩/𜄨 𜋺/𜋻/𜋸/𜋼 𜀈/𜀋
3	M367/M367~a/M367~c/M367~i/M367~e/M367~g/M367~d/M367~a1/M367~f/M367~b M346/M346~a/M346~b/M346~d/M346~1/M346~c/M346~a2/M346~a4/M346~a3 M005~a/M006/M006@g/M006@g~1/M006~b/M007~b/M006@g~2	𜊊/𜊋/𜊏/𜊔/𜊑/𜊓/𜊐/𜊌/𜊒/𜊎 𜈽/𜈿/𜉄/𜉆/𜈾/𜉅/𜉁/𜉃/𜉂 𛵈/𛵉/𛵊/𛵋/𛵍/𛵐/𛵌
