chain_id	row_type	step	count	chain_length	codes	glyphs	from_code	from_glyph	to_code	to_glyph
2	step	2	1				M269~a	𜃯	M106	𛺄
2	step	3	13				M106~a	𛺉	M009	𛵓
2	step	3	12				M106	𛺄	M009	𛵓
2	step	4	21				M009	𛵓	M206~g	𛿃
2	step	5	20				M206~g	𛿃	M102~e	𛹱
2	step	5	1				M206~g	𛿃	M102~d	𛹮
2	step	6	19				M102~e	𛹱	M309~a	𜆾
2	step	6	1				M102~d	𛹮	M309~a	𜆾
2	step	7	2				M309~a	𜆾	M362+M059~d	𜉴
2	step	7	1				M309~a	𜆾	M362+M059	𜉳
2	step	8	1				M362+M059~d	𜉴	M367	𜊊
2	step	8	1				M362+M059	𜉳	M367	𜊊
2	step	9	10				M367	𜊊	M346	𜈽
2	step	9	5				M153	𛽆	M346	𜈽
2	step	9	4				M362	𜉮	M346	𜈽
2	step	9	3				M362~a	𜊁	M346~a	𜈿
2	step	9	3				M367~a	𜊋	M346~a	𜈿
2	step	9	3				M367~d	𜊐	M346	𜈽
2	step	9	2				M367~g	𜊓	M346	𜈽
2	step	9	1				M367	𜊊	M346~c	𜉅
2	step	9	1				M367~c	𜊏	M346~a2	𜉁
2	step	9	1				M367	𜊊	M346~1	𜈾
2	step	9	1				M362	𜉮	M346~1	𜈾
2	step	9	1				M362~a	𜊁	M346	𜈽
2	step	9	1				M362~b	𜊂	M346~a3	𜉂
2	step	9	1				M367~c	𜊏	M346	𜈽
2	step	9	1				M367~d	𜊐	M346~a	𜈿
2	step	9	1				M367	𜊊	M346~a2	𜉁
2	step	10	6				M346	𜈽	M006	𛵉
2	step	10	5				M346~a	𜈿	M006@g	𛵊
2	step	10	1				M346	𜈽	M005~a	𛵈
2	step	10	1				M346~c	𜉅	M006	𛵉
2	step	10	1				M346~a2	𜉁	M006	𛵉
2	step	10	1				M346~1	𜈾	M006	𛵉
2	step	10	1				M346	𜈽	M006@g~2	𛵌
2	step	11	4				M006	𛵉	M362~a	𜊁
2	step	11	2				M006@g	𛵊	M367	𜊊
2	step	11	2				M006	𛵉	M362	𜉮
2	step	11	1				M006	𛵉	M367~a1	𜊌
2	step	11	1				M006	𛵉	M362~b	𜊂
2	step	11	1				M006	𛵉	M367~f	𜊒
