rank	count	glyph	base	variants	super	similar	
63	5	𜁒	M246	𜁒 M246×2, 𜁔 M246~b×2, 𜁚 M246~h×1	=	𜇏 𛻃	
64	4	𜋒	M381	𜋒 M381×4			
65	4	𛺹	M122	𛺹 M122×4			
66	4	𜈧	M328	𜈧 M328~b×3, 𜈨 M328~c×1			
67	4	𜀺	M242	𜀼 M242~b×1, 𜁁 M242~k×1, 𜀿 M242~e×1, 𜀺 M242×1			
68	4	𛹥	M097	𛹥 M097~h×4	𛹜		
69	4	𜂁	M251	𜂉 M251~m×2, 𜂄 M251~c3×1, 𜂆 M251~g×1			
70	4	𜈩	M329	𜈩 M329×4			
71	4	𜉨	M359	𜉨 M359×4			
72	4	𜁞	M247	𜁥 M247~g×2, 𜁤 M247~f×1, 𜁡 M247~c×1			
73	4	[M266]	M266	𜃟 M266~b×4			
74	4	𛽆	M153	𛽆 M153×4			
75	4	𜊶	M375	𜊷 M375~a×1, 𜊸 M375~b×1, 𜊼 M375~n×1, 𜊹 M375~d×1			
76	4	[M049]	M049	𛷔 M049~d×2, 𛷕 M049~da×1, 𛷒 M049~c×1			
77	4	𜇔	M315	𜇔 M315×4			
78	4	𜃪	M269	𜃳 M269~b×4			
79	4	[M051]	M051	𛷤 M051~b×3, 𛷥 M051~c×1			
80	3	𛵮	M024	𛵯 M024~1×2, 𛵮 M024×1			
81	3	𜀕	M223	𜀕 M223×3			
82	3	𛴾	M002	𛴾 M002×3			
83	3	𛻌	M128	𛻍 M128~1×1, 𛻌 M128×1, 𛻏 M128~d×1			
84	3	[M332]	M332	𜈭 M332~d×2, 𜈰 M332~g×1			
85	3	𛺍	M110	𛺍 M110×2, 𛺎 M110~a×1			
86	3	[M080]	M080	𛹆 M080~a×3			
87	3	𜉏	M351+3(N01)	𜉏 M351+3(N01)×3			
88	3	𜈌	M324	𜈎 M324~c×2, 𜈏 M324~d×1			
89	3	𜂔	M254	𜂕 M254~a×3			
90	3	𛼗	M144	𛼗 M144×3			
91	3	𛼺	M151	𛼼 M151~b×1, 𛼽 M151~c×1, 𛼺 M151×1			
92	3	𜉮	M362	𜉮 M362×3			
93	3	𜅂	M290	𜅄 M290~c×2, 𜅆 M290~h×1			
94	3	𜋁	M377+M320+M377	𜋁 M377+M320+M377×3			
95	3	𛼐	M141	𛼐 M141×3			
96	3	𛹾	M105	𛹿 M105~a×2, 𛹾 M105×1			
97	3	𛹧	M099	𛹧 M099×3			
98	3	𛺌	M109	𛺌 M109×3			
99	3	𛸧	M072	𛸧 M072×3			
100	3	𜈜	M327+M059	𜈜 M327+M059×3			
101	2	𜊅	M365	𜊅 M365×2			
102	2	[M250]	M250	𜁽 M250~n×1, 𜁻 M250~ba×1			
103	2	𜀚	M224	𜀚 M224×2			
104	2	𜋜	M383	𜋤 M383~j×1, 𜋧 M383~n×1			
105	2	𛹸	M103	𛹺 M103~2×1, 𛹻 M103~3×1			
106	2	𜌕	M390	𜌕 M390×2			
107	2	𛶋	M034	𛶌 M034~a×1, 𛶋 M034×1			
108	2	[M007]	M007	𛵏 M007~a×2			
109	2	𜀥	M228+M320	𜀥 M228+M320×1, 𜀨 M228~b+M320×1			
110	2	[M102]	M102	𛹮 M102~d×1, 𛹵 M102~k2×1			
111	2	𜀌	M220	𜀌 M220×2			
112	2	𜃷	M270	𜃺 M270~e×1, 𜃹 M270~d×1			
