record	row_a	row_b	columns	diff_count	glyphs_a	glyphs_b
P008295	5	11	b,c,d,e,f,g	1	𜃭 𛺉 𛵓 𛿃 𛹱 𜆾	𜂧 𛺄 𛵓 𛿃 𛹱 𜆾
P008283	3	4	a,b,c,e,f	1	𜊀 𜃪 𛺉 𛿃 𛹱	𜉳 𜃫 𛺉 𛿃 𛹱
P008283	3	12	b,c,e,f,g	1	𜃪 𛺉 𛿃 𛹱 𜆾	𜃪 𛵓 𛿃 𛹱 𜆾
P008283	5	12	b,c,e,f,g	1	𜃪 𛺉 𛿃 𛹱 𜆾	𜃪 𛵓 𛿃 𛹱 𜆾
P008283	10	12	b,c,e,f,g	1	𜃫 𛺄 𛿃 𛹱 𜆾	𜃪 𛵓 𛿃 𛹱 𜆾
P008295	1	4	b,c,d,e,f	1	𜃱 𛺉 𛵓 𛿃 𛹱	𜂧 𛺉 𛵓 𛿃 𛹱
P008295	4	5	b,c,d,e,f	1	𜂧 𛺉 𛵓 𛿃 𛹱	𜃭 𛺉 𛵓 𛿃 𛹱
P008295	4	10	a,b,c,d,e	1	𜉴 𜂧 𛺉 𛵓 𛿃	𜉮 𜂧 𛺄 𛵓 𛿃
P008295	4	13	b,c,d,e,f	1	𜂧 𛺉 𛵓 𛿃 𛹱	𜃪 𛺉 𛵓 𛿃 𛹱
P008295	8	13	b,c,d,e,f	1	𜂧 𛺄 𛵓 𛿃 𛹱	𜃪 𛺉 𛵓 𛿃 𛹱
P008295	11	13	b,c,d,e,f	1	𜂧 𛺄 𛵓 𛿃 𛹱	𜃪 𛺉 𛵓 𛿃 𛹱
P008283	4	9	a,b,c,d	1	𜉳 𜃫 𛺉 𛵓	𜉹 𜃪 𛺄 𛵓
P008283	4	12	b,c,e,f	1	𜃫 𛺉 𛿃 𛹱	𜃪 𛵓 𛿃 𛹱
P008283	6	14	a,b,c,d	1	𛿒 𜂧 𛺉 𛵓	𜉶 𜂧 𛺄 𛵓
P008283	8	12	c,e,f,g	1	𛺄 𛿃 𛹱 𜆾	𛵓 𛿃 𛹱 𜆾
P008295	1	10	b,c,d,e	1	𜃱 𛺉 𛵓 𛿃	𜂧 𛺄 𛵓 𛿃
P008295	3	10	a,c,d,e	1	𜉴 𛺉 𛵓 𛿃	𜉮 𛺄 𛵓 𛿃
P008295	5	10	b,c,d,e	1	𜃭 𛺉 𛵓 𛿃	𜂧 𛺄 𛵓 𛿃
P008295	10	13	b,c,d,e	1	𜂧 𛺄 𛵓 𛿃	𜃪 𛺉 𛵓 𛿃
P008295	1	2	c,d,e,f,g,b1,b2	2	𛺉 𛵓 𛿃 𛹱 𜆾 𜂧 𜂧	𛺉 𛵓 𛿃 𛹱 𜆾 𜃯 𜃳
P008283	3	14	a,b,c,e,f,g	2	𜊀 𜃪 𛺉 𛿃 𛹱 𜆾	𜉶 𜂧 𛺄 𛿃 𛹱 𜆾
P008283	4	14	a,b,c,d,e,f	2	𜉳 𜃫 𛺉 𛵓 𛿃 𛹱	𜉶 𜂧 𛺄 𛵓 𛿃 𛹱
P008283	12	14	b,c,e,f,g	2	𜃪 𛵓 𛿃 𛹱 𜆾	𜂧 𛺄 𛿃 𛹱 𜆾
P008283	4	6	a,b,c,d	2	𜉳 𜃫 𛺉 𛵓	𛿒 𜂧 𛺉 𛵓
P008283	6	9	a,b,c,d	2	𛿒 𜂧 𛺉 𛵓	𜉹 𜃪 𛺄 𛵓
P008283	9	14	a,b,c,d	2	𜉹 𜃪 𛺄 𛵓	𜉶 𜂧 𛺄 𛵓
