score	num_documents	min_gap	sign_a	glyph_a	freq_a	sign_b	glyph_b	freq_b	VERTICAL neighbor examples_with_actual_glyphs
0.1238	2	1	M131	𛻛	29	M195+M038	𛾣	9	P008134(gap1: 𛻟M131~e/𛾣M195+M038), P008158(gap1: 𛻟M131~e/𛾤M195+M038~a)
0.1204	2	1	M230	𜀮	12	M259	𜂣	23	P008196(gap1: 𜀮M230/𜂣M259), P009194(gap2: 𜀮M230/𜂣M259)
0.1195	2	2	M059	𛸅	70	M357	𜉣	4	P008759(gap3: 𛸅M059/𜉣M357), P008767(gap2: 𛸅M059/𜉣M357)
0.1185	2	2	M036+N24	𛶐	5	M038	𛶡	57	P008297(gap2: 𛶐M036+N24/𛶨M038~e), P009192(gap2: 𛶐M036+N24/𛶨M038~e)
0.1183	2	1	M311	𜇄	13	M321	𜇼	22	P008015(gap3: 𜇅M311~b/𜇽M321~b), P008099(gap1: 𜇄M311/𜈀M321~f), P008099(gap2: 𜇄M311/𜈃M321~ha)
0.1183	2	1	M029	𛵷	22	M291	𜅇	13	P008082(gap1: 𛵺M029~c/𜅇M291), P008173(gap1: 𛵸M029~a/𜅇M291)
0.1183	2	1	M180	𛾑	13	M327+M342	𜈟	22	P008275(gap1: 𛾓M180~b/𜈟M327+M342), P008290(gap1: 𛾓M180~b/𜈟M327+M342)
0.1179	2	1	M295	𜅘	18	M380	𜋏	16	P008053(gap1: 𜅯M295~u/𜋏M380), P009221(gap2: 𜅦M295~k/𜋏M380)
0.1179	2	1	M230	𜀮	12	M347	𜉇	24	P008083(gap1: 𜀯M230~a/𜉇M347), P008967(gap3: 𜀯M230~a/𜉇M347)
0.1179	2	3	M112	𛺣	24	M220	𜀌	12	P008891(gap3: 𛺣M112/𜀌M220), P009043(gap3: 𛺧M112~b/𜀌M220)
0.1157	2	2	M248	𜁨	13	M386	𜋸	23	P008541(gap2: 𜁯M248~f/𜋺M386~a), P368486(gap2: 𜁫M248~c/𜋺M386~a)
0.1155	2	3	M206	𛾾	60	M362+M059	𜉳	5	P008283(gap3: 𛿃M206~g/𜉳M362+M059), P008295(gap3: 𛿃M206~g/𜉴M362+M059~d), P008295(gap3: 𛿃M206~g/𜉴M362+M059~d), P008295(gap3: 𛿃M206~g/𜉴M362+M059~d)
0.1155	2	1	M105	𛹾	25	M193	𛾚	12	P008322(gap3: 𛹿M105~a/𛾟M193~f), P008866(gap1: 𛹿M105~a/𛾛M193~a)
0.1147	2	2	M223	𜀕	16	M314	𜇏	19	P008101(gap2: 𜀕M223/𜇏M314), P008122(gap3: 𜀕M223/𜇏M314)
0.1140	2	1	M046	𛷇	28	M370+M388	𜊛𜌓	11	P008043(gap1: 𛷇M046/𜊣M370~b+M388), P008043(gap2: 𛷇M046/𜊣M370~b+M388), P008105(gap1: 𛷇M046/𜊣M370~b+M388)
0.1140	2	2	M005	𛵇	14	M327+M342	𜈟	22	P008344(gap2: 𛵇M005/𜈟M327+M342), P008344(gap2: 𛵇M005/𜈟M327+M342), P008744(gap3: 𛵇M005/𜈟M327+M342)
0.1132	2	1	M302	𜆌	13	M317	𜇟	24	P008041(gap2: 𜆙M302~s/𜇦M317~e), P008041(gap1: 𜆙M302~s/𜇦M317~e), P008885(gap1: 𜆌M302/𜇟M317)
