score	num_documents	min_gap	sign_a	glyph_a	freq_a	sign_b	glyph_b	freq_b	VERTICAL neighbor examples_with_actual_glyphs
0.0485	2	1	M230	𜀮	12	M376	𜊽	142	P008681(gap1: 𜀯M230~a/𜊽M376), P008681(gap1: 𜀯M230~a/𜊽M376), P009252(gap2: 𜀮M230/𜊽M376)
0.0484	2	1	M036	𛶎	95	M323	𜈆	18	P008919(gap2: 𛶎M036/𜈆M323), P008919(gap1: 𛶎M036/𜈆M323), P008919(gap2: 𛶎M036/𜈆M323), P009204(gap1: 𛶎M036/𜈋M323~i)
0.0482	2	2	M325	𜈒	40	M384	𜋨	43	P008316(gap2: 𜈒M325/𜋬M384~c), P008759(gap3: 𜈒M325/𜋨M384), P008759(gap3: 𜈔M325~d/𜋭M384~d), P008759(gap2: 𜈒M325/𜋭M384~d)
0.0482	2	2	M080	𛹆	14	M305	𜆡	123	P008123(gap3: 𛹇M080~b/𜆡M305), P368478(gap2: 𛹈M080~c/𜆡M305), P368478(gap2: 𛹈M080~c/𜆡M305)
0.0482	2	1	M305	𜆡	123	M417	𜌢	14	P008808(gap2: 𜆡M305/𜌤M417~f), P008809(gap1: 𜆡M305/𜌥M417~g)
0.0481	2	1	M242	𜀺	16	M370	𜊛	108	P008077(gap3: 𜀼M242~b/𜊛M370), P008408(gap1: 𜀻M242~ab/𜊛M370)
0.0479	2	1	M263	𜃁	134	M302	𜆌	13	P008119(gap1: 𜃊M263~h/𜆍M302~a), P009279(gap2: 𜃅M263~b/𜆚M302~t)
0.0479	2	2	M036+N14	𛶏	13	M263	𜃁	134	P008239(gap3: 𛶏M036+N14/𜃁M263), P008453(gap2: 𛶏M036+N14/𜃃M263~a)
0.0479	2	1	M248	𜁨	13	M263	𜃁	134	P008441(gap3: 𜁩M248~a/𜃁M263), P008697(gap1: 𜁩M248~a/𜃁M263)
0.0479	2	1	M263	𜃁	134	M291	𜅇	13	P008892(gap1: 𜃁M263/𜅇M291), P009364(gap2: 𜃂M263~1/𜅇M291)
0.0478	2	1	M059	𛸅	70	M105	𛹾	25	P008322(gap1: 𛸈M059~b/𛹿M105~a), P008931(gap1: 𛸅M059/𛹾M105), P008931(gap2: 𛸅M059/𛹾M105)
0.0478	2	1	M059	𛸅	70	M101	𛹪	25	P008765(gap2: 𛸅M059/𛹪M101), P008871(gap1: 𛸅M059/𛹪M101)
0.0478	2	2	M075	𛸳	35	M327	𜈙	50	P008961(gap2: 𛸷M075~g/𜈦M327~p), P009027(gap2: 𛸶M075~ff/𜈙M327)
0.0477	2	2	M051	𛷣	27	M269	𜃪	65	P008156(gap3: 𛷤M051~b/𜃫M269~1), P008995(gap2: 𛷣M051~a/𜃳M269~b)
0.0477	2	1	M149	𛼰	44	M325	𜈒	40	P008119(gap2: 𛼱M149~a1/𜈔M325~d), P008119(gap3: 𛼰M149~a/𜈔M325~d), P009035(gap1: 𛼴M149~c/𜈒M325)
0.0477	2	1	M136	𛻰	88	M205	𛾸	20	P008152(gap1: 𛻸M136~c/𛾸M205), P008759(gap2: 𛻷M136~b/𛾻M205~c), P008759(gap3: 𛻷M136~b/𛾻M205~c)
0.0476	2	1	M153	𛽆	42	M309	𜆽	42	P008093(gap1: 𛽆M153/𜆽M309), P008638(gap2: 𛽆M153/𜇁M309~d)
0.0476	2	1	M010	𛵜	57	M081	𛹌	31	P008279(gap2: 𛵜M010/𛹌M081), P008279(gap1: 𛵜M010/𛹌M081), P008442(gap3: 𛵞M010~2/𛹌M081)
0.0471	2	1	M210	𛿙	45	M325	𜈒	40	P008273(gap2: 𛿡M210~g/𜈒M325), P008322(gap1: 𛿙M210/𜈒M325)
0.0470	2	2	M009	𛵓	139	M209	𛿔	13	P008135(gap2: 𛵓M009/𛿗M209~d), P008349(gap3: 𛵓M009/𛿖M209~c)
0.0470	2	1	M009	𛵓	139	M036+N14	𛶏	13	P008137(gap1: 𛵔M009~a/𛶏M036+N14), P009463(gap1: 𛵓M009/𛶏M036+N14)
0.0469	2	1	M066	𛸗	79	M386	𜋸	23	P008049(gap3: 𛸗M066/𜋺M386~a), P008441(gap1: 𛸗M066/𜋸M386)
0.0469	2	2	M059	𛸅	70	M136+M365	𛻳	26	P008759(gap2: 𛸅M059/𛻳M136+M365), P009027(gap2: 𛸅M059/𛻳M136+M365)
0.0469	2	2	M054	𛷪	182	M381	𜋒	10	P009077(gap2: 𛷪M054/𜋒M381), P009538(gap3: 𛷪M054/𜋓M381~e)
0.0468	2	1	M297	𜅸	203	M370+M072+M370	𜊝	9	P008105(gap1: 𜅸M297/𜊝M370+M072+M370), P009183(gap2: 𜅸M297/𜊝M370+M072+M370)
0.0468	2	1	M297	𜅸	203	M370+M388+M370	𜊟	9	P008105(gap3: 𜅸M297/𜊟M370+M388+M370), P009183(gap1: 𜅸M297/𜊟M370+M388+M370)
0.0467	2	1	M036+N39C	𛶙	4	M288	𜄱	458	P008275(gap3: 𛶙M036+N39C/𜄱M288), P008275(gap1: 𛶙M036+N39C/𜄱M288), P008275(gap1: 𛶙M036+N39C/𜄱M288), P008275(gap2: 𛶙M036+N39C/𜄱M288)
0.0467	2	1	M062	𛸐	4	M288	𜄱	458	P008426(gap1: 𛸐M062/𜄱M288), P008880(gap1: 𛸐M062/𜄱M288)
0.0464	2	1	M206	𛾾	60	M254	𜂔	31	P008438(gap2: 𛾿M206~d/𜂕M254~a), P008661(gap1: 𛾿M206~d/𜂕M254~a)
0.0463	2	1	M124	𛻃	207	M310	𜇂	9	P008105(gap3: 𛻃M124/𜇂M310), P008105(gap2: 𛻃M124/𜇂M310), P008105(gap2: 𛻃M124/𜇂M310), P008105(gap3: 𛻃M124/𜇂M310)
0.0463	2	2	M124	𛻃	207	M277	𜄄	9	P008822(gap3: 𛻃M124/𜄅M277~e), P009383(gap2: 𛻃M124/𜄅M277~e)
0.0462	2	1	M029	𛵷	22	M371	𜊩	85	P008082(gap1: 𛵺M029~c/𜊩M371), P008495(gap3: 𛵼M029~e/𜊩M371)
0.0459	2	3	M066	𛸗	79	M347	𜉇	24	P008431(gap3: 𛸗M066/𜉇M347), P272826(gap3: 𛸘M066~a/𜉇M347)
0.0458	2	1	M032	𛶃	56	M391	𜌗	34	P008220(gap2: 𛶃M032/𜌗M391), P008816(gap1: 𛶃M032/𜌗M391)
0.0456	2	1	M243	𜁃	40	M365	𜊅	48	P008231(gap1: 𜁏M243~j/𜊅M365), P009432(gap2: 𜁃M243/𜊅M365)
0.0456	2	1	M352	𜉕	40	M365	𜊅	48	P009152(gap2: 𜉗M352~c/𜊅M365), P009376(gap1: 𜉜M352~o/𜊉M365~g)
0.0455	2	2	M029	𛵷	22	M136	𛻰	88	P008173(gap2: 𛵸M029~a/𛼇M136~r), P008759(gap3: 𛵷M029/𛻽M136~h)
0.0452	2	1	M218	𛿺	163	M218+M288	𜀀	12	P008019(gap2: 𛿺M218/𜀀M218+M288), P008019(gap1: 𛿺M218/𜀀M218+M288), P008423(gap1: 𛿺M218/𜀆M218~d+M288)
0.0452	2	1	M218	𛿺	163	M220	𜀌	12	P008064(gap1: 𛿺M218/𜀌M220), P368489(gap3: 𛿺M218/𜀌M220), P368489(gap2: 𛿺M218/𜀌M220)
0.0452	2	1	M218	𛿺	163	M329	𜈩	12	P008081(gap3: 𛿺M218/𜈩M329), P008108(gap1: 𛿺M218/𜈩M329)
0.0452	2	1	M029	𛵷	22	M057	𛷶	89	P008144(gap3: 𛵸M029~a/𛷼M057~b), P008740(gap1: 𛵸M029~a/𛷶M057)
0.0452	2	1	M059	𛸅	70	M146	𛼢	28	P008970(gap1: 𛸅M059/𛼨M146~d), P009046(gap1: 𛸌M059~g/𛼨M146~d)
0.0450	2	1	M066	𛸗	79	M217	𛿯	25	P008083(gap1: 𛸗M066/𛿯M217), P008083(gap3: 𛸗M066/𛿯M217), P008083(gap1: 𛸗M066/𛿯M217), P008083(gap3: 𛸗M066/𛿳M217~e)
0.0450	2	1	M006	𛵉	86	M320	𜇶	23	P008957(gap1: 𛵈M005~a/𜇶M320), P008957(gap2: 𛵉M006/𜇶M320), P008957(gap2: 𛵈M005~a/𜇶M320), P008957(gap1: 𛵉M006/𜇶M320)
0.0449	2	3	M206	𛾾	60	M362	𜉮	33	P008283(gap3: 𛿃M206~g/𜉮M362), P008295(gap3: 𛿃M206~g/𜉮M362)
0.0448	2	1	M157	𛽔	332	M175+M288	𛾄	6	P008026(gap1: 𛽔M157/𛾄M175+M288), P008236(gap3: 𛽤M157~a/𛾄M175+M288)
0.0448	2	2	M153+M006	𛽆𛵉	6	M157	𛽔	332	P008029(gap3: 𛽇M153+M006~a/𛽔M157), P008036(gap2: 𛽇M153+M006~a/𛽤M157~a)
0.0448	2	1	M157	𛽔	332	M327+M059	𜈜	6	P009302(gap1: 𛽔M157/𜈜M327+M059), P009305(gap1: 𛽔M157/𜈜M327+M059)
0.0448	2	1	M056	𛷱	57	M075	𛸳	35	P008016(gap2: 𛷳M056~f/𛸷M075~g), P008194(gap1: 𛷳M056~f/𛸷M075~g)
0.0448	2	1	M036	𛶎	95	M264	𜃋	21	P008540(gap1: 𛶎M036/𜃐M264~d), P008991(gap1: 𛶎M036/𜃑M264~d1)
0.0447	2	1	M054	𛷪	182	M134	𛻦	11	P008277(gap1: 𛷪M054/𛻦M134), P008927(gap1: 𛷪M054/𛻦M134)
0.0447	2	1	M054	𛷪	182	M061	𛸍	11	P008772(gap2: 𛷪M054/𛸍M061), P008845(gap1: 𛷪M054/𛸍M061)
0.0446	2	2	M346	𜈽	183	M382	𜋔	11	P008827(gap2: 𜈽M346/𜋗M382~c), P008881(gap2: 𜈽M346/𜋙M382~e), P008881(gap2: 𜈽M346/𜋙M382~e)
0.0446	2	1	M081	𛹌	31	M269	𜃪	65	P009060(gap1: 𛹌M081/𜃳M269~b), P009060(gap3: 𛹌M081/𜃳M269~b), P009241(gap2: 𛹌M081/𜃳M269~b)
0.0445	2	3	M136	𛻰	88	M386	𜋸	23	P008245(gap3: 𛻸M136~c/𜋺M386~a), P008347(gap3: 𛻾M136~i/𜋻M386~d)
0.0444	2	1	M075	𛸳	35	M203	𛾳	58	P008194(gap1: 𛸷M075~g/𛾳M203~a), P008910(gap2: 𛸵M075~e/𛾴M203~c)
0.0443	2	2	M240	𜀰	24	M371	𜊩	85	P008477(gap2: 𜀰M240/𜊩M371), P008490(gap3: 𜀰M240/𜊩M371)
0.0443	2	2	M317	𜇟	24	M371	𜊩	85	P009343(gap2: 𜇣M317~b/𜊩M371), P272825(gap3: 𜇦M317~e/𜊪M371~a)
0.0442	2	1	M057	𛷶	89	M259	𜂣	23	P008234(gap1: 𛷽M057~b1/𜂣M259), P009262(gap2: 𛷸M057~a/𜂣M259)
0.0442	2	1	M057	𛷶	89	M386	𜋸	23	P008245(gap1: 𛷶M057/𜋺M386~a), P008979(gap2: 𛷶M057/𜋺M386~a)
0.0442	2	1	M048	𛷋	38	M377	𜋀	54	P008271(gap1: 𛷋M048~c/𜋅M377~e), P009251(gap2: 𛷌M048~d/𜋀M377)
0.0441	2	1	M066	𛸗	79	M207	𛿈	26	P008144(gap3: 𛸗M066/𛿐M207~m), P009049(gap1: 𛸘M066~a/𛿎M207~f)
0.0440	2	2	M006	𛵉	86	M112	𛺣	24	P009125(gap3: 𛵌M006@g~2/𛺬M112~f), P009152(gap2: 𛵉M006/𛺲M112~r)
0.0438	2	2	M009	𛵓	139	M316	𜇖	15	P008633(gap2: 𛵓M009/𜇛M316~a), P008861(gap2: 𛵓M009/𜇖M316)
0.0437	2	1	M036	𛶎	95	M286	𜄭	22	P009490(gap2: 𛶎M036/𜄮M286~a), P368531(gap1: 𛶎M036/𜄭M286)
0.0435	2	2	M096	𛹜	44	M111	𛺑	48	P008061(gap3: 𛹜M096/𛺑M111), P009227(gap2: 𛹜M096/𛺓M111~b)
0.0435	2	1	M096	𛹜	44	M373	𜊲	48	P008193(gap1: 𛹜M096/𜊲M373), P009438(gap1: 𛹜M096/𜊲M373)
0.0434	2	2	M209	𛿔	13	M218	𛿺	163	P008229(gap2: 𛿗M209~d/𛿺M218), P272825(gap3: 𛿗M209~d/𛿺M218)
0.0434	2	1	M131+M388	𛻜	13	M218	𛿺	163	P008395(gap1: 𛻜M131+M388/𛿺M218), P008585(gap1: 𛻜M131+M388/𛿺M218), P008585(gap1: 𛻜M131+M388/𛿺M218)
0.0434	2	1	M101	𛹪	25	M371	𜊩	85	P008161(gap3: 𛹪M101/𜊩M371), P008435(gap1: 𛹪M101/𜊩M371)
0.0434	2	1	M032	𛶃	56	M262	𜂼	38	P008065(gap1: 𛶃M032/𜂽M262~1), P008898(gap3: 𛶄M032~a/𜂼M262), P008898(gap2: 𛶃M032/𜂼M262), P008898(gap2: 𛶄M032~a/𜂼M262)
0.0433	2	1	M057	𛷶	89	M240	𜀰	24	P008636(gap1: 𛷶M057/𜀰M240), P008643(gap2: 𛷼M057~b/𜀰M240)
0.0432	2	3	M242	𜀺	16	M263	𜃁	134	P008081(gap3: 𜀻M242~ab/𜃂M263~1), P008108(gap3: 𜀻M242~ab/𜃁M263)
0.0432	2	1	M004	𛵅	37	M203	𛾳	58	P008126(gap2: 𛵅M004/𛾴M203~c), P008710(gap1: 𛵅M004/𛾴M203~c)
0.0431	2	1	M006	𛵉	86	M101	𛹪	25	P008483(gap3: 𛵉M006/𛹪M101), P008960(gap1: 𛵉M006/𛹪M101)
0.0431	2	1	M327	𜈙	50	M384	𜋨	43	P008913(gap1: 𜈦M327~p/𜋭M384~d), P008955(gap2: 𜈦M327~p/𜋪M384~ab)
0.0431	2	1	M006	𛵉	86	M348	𜉈	25	P008957(gap2: 𛵈M005~a/𜉈M348), P008957(gap3: 𛵉M006/𜉈M348), P368490(gap1: 𛵉M006/𜉈M348)
0.0430	2	1	M097	𛹤	20	M370	𜊛	108	P008043(gap2: 𛹥M097~h/𜊛M370), P008043(gap1: 𛹥M097~h/𜊛M370), P008429(gap1: 𛹥M097~h/𜊛M370)
0.0430	2	1	M352	𜉕	40	M377	𜋀	54	P008112(gap2: 𜉜M352~o/𜋅M377~e), P008750(gap1: 𜉝M352~r/𜋀M377)
0.0430	2	1	M260	𜂧	45	M304	𜆛	48	P008238(gap1: 𜂨M260~1/𜆛M304), P008946(gap1: 𜂧M260/𜆛M304), P008946(gap2: 𜂧M260/𜆛M304)
0.0430	2	1	M210	𛿙	45	M304	𜆛	48	P008471(gap1: 𛿤M210~ma/𜆛M304), P009086(gap1: 𛿡M210~g/𜆛M304)
0.0430	2	1	M036+N30D	𛶔	48	M260	𜂧	45	P009165(gap1: 𛶔M036+N30D/𜂨M260~1), P009367(gap1: 𛶔M036+N30D/𜂧M260)
0.0430	2	1	M010	𛵜	57	M048	𛷋	38	P008447(gap3: 𛵞M010~2/𛷌M048~d), P009176(gap1: 𛵝M010~1/𛷍M048~e)
0.0430	2	1	M038	𛶡	57	M262	𜂼	38	P009223(gap3: 𛶬M038~i/𜂿M262~b), P368480(gap1: 𛶤M038~b/𜂼M262)
0.0429	2	1	M059	𛸅	70	M081	𛹌	31	P009362(gap1: 𛸉M059~d/𛹌M081), P009362(gap1: 𛸉M059~d/𛹌M081), P009538(gap3: 𛸅M059/𛹌M081)
0.0429	2	1	M296+M296	𜅵	6	M387	𜋾	362	P008161(gap2: 𜅵M296+M296/𜌆M387~ef), P008271(gap1: 𜅵M296+M296/𜌆M387~ef)
0.0429	2	1	M294	𜅗	6	M387	𜋾	362	P008279(gap3: 𜅗M294~a/𜋿M387~a), P008279(gap1: 𜅗M294~a/𜌆M387~ef), P008279(gap3: 𜅗M294~a/𜋿M387~a), P008279(gap1: 𜅗M294~a/𜌆M387~ef)
0.0429	2	2	M342	𜈳	6	M387	𜋾	362	P008322(gap3: 𜈳M342/𜌋M387~h), P008536(gap2: 𜈳M342/𜋾M387)
0.0429	2	1	M069	𛸠	6	M387	𜋾	362	P008640(gap1: 𛸠M069~a/𜋾M387), P008640(gap2: 𛸠M069~a/𜋾M387), P008640(gap3: 𛸠M069~a/𜋾M387), P368603(gap1: 𛸠M069~a/𜋾M387)
0.0428	2	1	M054	𛷪	182	M220	𜀌	12	P009130(gap2: 𛷪M054/𜀌M220), P009530(gap1: 𛷪M054/𜀌M220)
0.0426	2	2	M370+M072	𜊛𛸧	8	M388	𜌓	275	P008105(gap2: 𜊢M370~b+M072/𜌓M388), P008490(gap3: 𜊢M370~b+M072/𜌓M388)
0.0426	2	2	M128	𛻌	8	M388	𜌓	275	P008318(gap3: 𛻗M128~ef/𜌓M388), P009333(gap2: 𛻌M128/𜌓M388)
0.0425	2	1	M305	𜆡	123	M351+N14	𜉎	18	P008024(gap1: 𜆡M305/𜉎M351+N14), P272825(gap2: 𜆡M305/𜉎M351+N14), P272825(gap3: 𜆡M305/𜉎M351+N14)
0.0424	2	2	M097	𛹤	20	M367	𜊊	111	P008446(gap2: 𛹥M097~h/𜊊M367), P009480(gap3: 𛹥M097~h/𜊑M367~e), P009480(gap2: 𛹥M097~h/𜊑M367~e)
0.0424	2	2	M009	𛵓	139	M318	𜇩	16	P008642(gap3: 𛵓M009/𜇯M318~e), P009252(gap2: 𛵓M009/𜇩M318)
0.0424	2	1	M001	𛴺	89	M105	𛹾	25	P008240(gap1: 𛴺M001/𛺀M105~ab), P008322(gap3: 𛴺M001/𛹿M105~a)
0.0424	2	2	M001	𛴺	89	M101	𛹪	25	P008875(gap3: 𛴺M001/𛹪M101), P009383(gap3: 𛴺M001/𛹪M101), P009383(gap2: 𛴺M001/𛹪M101)
0.0424	2	1	M003	𛵁	53	M153	𛽆	42	P008827(gap3: 𛵂M003~b/𛽆M153), P008921(gap1: 𛵂M003~b/𛽆M153)
0.0423	2	2	M297	𜅸	203	M370+M388	𜊛𜌓	11	P008104(gap3: 𜅸M297/𜊣M370~b+M388), P008105(gap2: 𜅸M297/𜊣M370~b+M388)
0.0423	2	1	M297	𜅸	203	M382	𜋔	11	P008851(gap1: 𜅸M297/𜋕M382~a), P008851(gap3: 𜅸M297/𜋕M382~a), P008987(gap3: 𜅻M297~b/𜋗M382~c)
0.0423	2	1	M032	𛶃	56	M325	𜈒	40	P008119(gap1: 𛶃M032/𜈔M325~d), P008745(gap2: 𛶆M032~d/𜈒M325)
0.0423	2	1	M059	𛸅	70	M145	𛼙	32	P008320(gap3: 𛸅M059/𛼜M145~bb), P009152(gap2: 𛸅M059/𛼛M145~b), P009152(gap1: 𛸅M059/𛼛M145~b)
0.0420	2	1	M319	𜇳	16	M376	𜊽	142	P008015(gap1: 𜇳M319/𜊾M376~a), P008099(gap2: 𜇳M319/𜊽M376)
0.0420	2	2	M318	𜇩	16	M376	𜊽	142	P009252(gap3: 𜇩M318/𜊽M376), P009252(gap3: 𜇩M318/𜊽M376), P009287(gap2: 𜇰M318~g/𜊽M376)
0.0419	2	1	M099	𛹧	17	M263	𜃁	134	P008161(gap1: 𛹧M099/𜃁M263), P008161(gap1: 𛹧M099/𜃂M263~1), P008906(gap2: 𛹧M099/𜃂M263~1)
0.0419	2	1	M036	𛶎	95	M112	𛺣	24	P008178(gap1: 𛶎M036/𛺥M112~a), P008877(gap1: 𛶎M036/𛺣M112)
0.0419	2	2	M010	𛵜	57	M243	𜁃	40	P008234(gap2: 𛵞M010~2/𜁏M243~j), P008331(gap3: 𛵞M010~2/𜁈M243~e)
0.0419	2	1	M038	𛶡	57	M243	𜁃	40	P008676(gap1: 𛶨M038~e/𜁏M243~j), P008980(gap1: 𛶨M038~e/𜁍M243~h)
0.0419	2	1	M106+M288	𛺄𜄱	14	M218	𛿺	163	P008006(gap1: 𛺄𜄱M106+M288/𛿺M218), P009307(gap3: 𛺄𜄱M106+M288/𛿺M218)
0.0419	2	1	M044	𛷂	14	M218	𛿺	163	P008008(gap2: 𛷂M044/𛿺M218), P008008(gap1: 𛷂M044/𛿺M218), P008064(gap2: 𛷃M044~a/𛿺M218)
0.0419	2	1	M218	𛿺	163	M250	𜁺	14	P008078(gap2: 𛿺M218/𜁻M250~ba), P368489(gap1: 𛿺M218/𜁻M250~ba), P368489(gap2: 𛿺M218/𜁻M250~ba)
0.0418	2	1	M136	𛻰	88	M136+M365	𛻳	26	P008759(gap1: 𛻽M136~h/𛻳M136+M365), P008759(gap1: 𛻷M136~b/𛻳M136+M365), P009153(gap1: 𛼁M136~l/𛻳M136+M365)
0.0418	2	1	M036+N24	𛶐	5	M288	𜄱	458	P008275(gap3: 𛶐M036+N24/𜄱M288), P008275(gap2: 𛶐M036+N24/𜄱M288), P008297(gap1: 𛶐M036+N24/𜄱M288), P008297(gap2: 𛶐M036+N24/𜄱M288)
0.0417	2	1	M051	𛷣	27	M371	𜊩	85	P008490(gap1: 𛷥M051~c/𜊩M371), P009030(gap1: 𛷥M051~c/𜊬M371~c), P009030(gap1: 𛷥M051~c/𜊩M371)
0.0417	2	1	M111	𛺑	48	M365	𜊅	48	P008016(gap1: 𛺖M111~e/𜊅M365), P008785(gap2: 𛺠M111~o/𜊅M365)
0.0416	2	1	M001	𛴺	89	M207	𛿈	26	P008243(gap1: 𛴺M001/𛿋M207~c), P009538(gap3: 𛴺M001/𛿐M207~m), P009538(gap3: 𛴺M001/𛿐M207~m)
0.0415	2	1	M377	𜋀	54	M384	𜋨	43	P008164(gap2: 𜋅M377~e/𜋰M384~e), P008626(gap1: 𜋀M377/𜋮M384~d1)
0.0415	2	1	M157	𛽔	332	M176	𛾍	7	P008205(gap3: 𛽤M157~a/𛾎M176~b), P008985(gap1: 𛽔M157/𛾍M176)
0.0414	2	1	M003	𛵁	53	M096	𛹜	44	P008115(gap1: 𛵂M003~b/𛹣M096~d), P008740(gap3: 𛵂M003~b/𛹜M096)
0.0414	2	1	M003	𛵁	53	M149	𛼰	44	P008863(gap1: 𛵂M003~b/𛼲M149~a2), P009201(gap1: 𛵂M003~b/𛼰M149~a)
0.0414	2	2	M296	𜅴	19	M305	𜆡	123	P008186(gap2: 𜅴M296/𜆡M305), P008476(gap2: 𜅴M296/𜆡M305)
0.0411	2	3	M009	𛵓	139	M099	𛹧	17	P008543(gap3: 𛵓M009/𛹧M099), P008827(gap3: 𛵓M009/𛹧M099)
0.0410	2	1	M036	𛶎	95	M101	𛹪	25	P008751(gap2: 𛶎M036/𛹪M101), P009199(gap1: 𛶎M036/𛹪M101)
0.0410	2	1	M209	𛿔	13	M346	𜈽	183	P008135(gap2: 𛿗M209~d/𜈽M346), P008821(gap1: 𛿔M209~a/𜈽M346), P008821(gap2: 𛿔M209~a/𜈽M346)
0.0410	2	2	M180	𛾑	13	M346	𜈽	183	P008535(gap2: 𛾔M180~c/𜈽M346), P009037(gap2: 𛾑M180/𜈽M346)
0.0410	2	1	M046	𛷇	28	M371	𜊩	85	P008043(gap3: 𛷇M046/𜊩M371), P008043(gap1: 𛷇M046/𜊩M371), P008490(gap1: 𛷇M046/𜊩M371), P008490(gap3: 𛷇M046/𜊩M371)
0.0408	2	1	M106	𛺄	50	M111	𛺑	48	P008788(gap1: 𛺄M106/𛺙M111~h), P008991(gap2: 𛺉M106~a/𛺗M111~f)
0.0408	2	2	M001	𛴺	89	M051	𛷣	27	P008790(gap2: 𛴺M001/𛷣M051~a), P272825(gap3: 𛴽M001~b/𛷤M051~b)
0.0408	2	1	M006	𛵉	86	M046	𛷇	28	P008105(gap1: 𛵈M005~a/𛷇M046), P009183(gap1: 𛵈M005~a/𛷇M046)
0.0406	2	1	M210	𛿙	45	M377	𜋀	54	P008476(gap2: 𛿙M210/𜋀M377), P272825(gap1: 𛿡M210~g/𜋀M377)
0.0405	2	1	M297	𜅸	203	M329	𜈩	12	P008104(gap2: 𜅸M297/𜈩M329), P009258(gap1: 𜅸M297/𜈩M329), P009258(gap1: 𜅸M297/𜈩M329), P009258(gap3: 𜅸M297/𜈩M329)
0.0405	2	2	M218+M288	𜀀	12	M297	𜅸	203	P008182(gap2: 𜀀M218+M288/𜅸M297), P008423(gap2: 𜀆M218~d+M288/𜅸M297)
0.0404	2	3	M024	𛵮	35	M059	𛸅	70	P008259(gap3: 𛵯M024~1/𛸉M059~d), P008765(gap3: 𛵮M024/𛸅M059)
0.0404	2	1	M010	𛵜	57	M384	𜋨	43	P008252(gap3: 𛵞M010~2/𜋨M384), P009087(gap1: 𛵡M010~5/𜋨M384)
0.0403	2	1	M136	𛻰	88	M383	𜋜	28	P008322(gap1: 𛻾M136~i/𜋝M383~a), P009153(gap3: 𛼁M136~l/𜋣M383~h)
0.0403	2	1	M247	𜁞	29	M371	𜊩	85	P008122(gap2: 𜁟M247~a/𜊩M371), P272825(gap1: 𜁤M247~f/𜊩M371)
0.0402	2	3	M370+M388+M370	𜊟	9	M388	𜌓	275	P008105(gap3: 𜊟M370+M388+M370/𜌓M388), P009183(gap3: 𜊟M370+M388+M370/𜌓M388)
0.0401	2	1	M041	𛶹	23	M370	𜊛	108	P008043(gap3: 𛶹M041/𜊛M370), P008043(gap1: 𛶹M041/𜊛M370), P008432(gap3: 𛶹M041/𜊛M370)
0.0401	2	1	M124	𛻃	207	M329	𜈩	12	P008081(gap3: 𛻃M124/𜈩M329), P008105(gap1: 𛻃M124/𜈩M329)
0.0401	2	2	M046	𛷇	28	M057	𛷶	89	P008105(gap2: 𛷇M046/𛷶M057), P009201(gap2: 𛷇M046/𛷸M057~a)
0.0399	2	1	M038	𛶡	57	M149	𛼰	44	P008013(gap1: 𛶣M038~a2/𛼰M149~a), P008980(gap1: 𛶨M038~e/𛼱M149~a1)
0.0398	2	2	M066	𛸗	79	M145	𛼙	32	P008566(gap2: 𛸗M066/𛼚M145~a), P368490(gap3: 𛸗M066/𛼚M145~a)
0.0397	2	3	M281	𜄖	7	M387	𜋾	362	P008059(gap3: 𜄚M281~f/𜋾M387), P009356(gap3: 𜄗M281~c/𜋿M387~a)
0.0397	2	1	M036+N30C	𛶒	7	M387	𜋾	362	P008189(gap1: 𛶒M036+N30C/𜌂M387~ca), P008321(gap1: 𛶒M036+N30C/𜋾M387)
0.0397	2	1	M176	𛾍	7	M387	𜋾	362	P008759(gap3: 𛾍M176/𜌐M387~l), P008759(gap2: 𛾍M176/𜌐M387~l), P009059(gap1: 𛾍M176/𜋾M387), P009059(gap3: 𛾍M176/𜋾M387)
0.0397	2	1	M122	𛺹	31	M354	𜉠	82	P008168(gap1: 𛺿M122~6/𜉠M354), P008168(gap1: 𛺿M122~6/𜉠M354), P009154(gap2: 𛺼M122~3/𜉠M354), P009154(gap1: 𛺼M122~3/𜉠M354)
0.0397	2	1	M081	𛹌	31	M354	𜉠	82	P009060(gap1: 𛹌M081/𜉠M354), P009060(gap2: 𛹌M081/𜉠M354), P009241(gap3: 𛹌M081/𜉠M354)
0.0397	2	3	M003	𛵁	53	M304	𜆛	48	P008322(gap3: 𛵁M003/𜆛M304), P008931(gap3: 𛵂M003~b/𜆛M304)
0.0397	2	1	M003	𛵁	53	M365	𜊅	48	P008322(gap2: 𛵁M003/𜊅M365), P008322(gap1: 𛵁M003/𜊅M365), P009122(gap1: 𛵁M003/𜊅M365)
0.0396	2	1	M136	𛻰	88	M247	𜁞	29	P008194(gap1: 𛻷M136~b/𜁥M247~g), P272825(gap2: 𛻰M136/𜁤M247~f)
0.0396	2	1	M320	𜇶	23	M367	𜊊	111	P008790(gap1: 𜇺M320~m/𜊊M367), P009383(gap2: 𜇶M320/𜊊M367), P009383(gap2: 𜇶M320/𜊊M367)
0.0396	2	1	M351+N14	𜉎	18	M376	𜊽	142	P008105(gap3: 𜉎M351+N14/𜊽M376), P008281(gap2: 𜉎M351+N14/𜊽M376), P008281(gap1: 𜉎M351+N14/𜊽M376)
0.0395	2	1	M346	𜈽	183	M417	𜌢	14	P008448(gap1: 𜈽M346/𜌦M417~h), P008689(gap2: 𜈽M346/𜌤M417~f)
