count	length	glyphs	codes	example_records
2	4	𛻜 𛹪 𛸗 𜃁	M131+M388 M101 M066 M263	P009156, P009356
2	4	𜌓 𛵓 𛵅 𛿺	M388 M009 M004 M218	P009240, P272825
2	4	𛻃 𜇩 𛵓 𜊩	M124 M318 M009 M371	P009257, P009257
2	4	𜌓 𛻌 𜋾 𛿺	M388 M128 M387 M218	P009262, P368478
2	4	𜌓 𛹤 𛵅 𛿺	M388 M097 M004 M218	P368478, P368485
2	3	𛸗 𜀈 𛹪	M066 M219 M101	P008004, P008688
2	3	𜀈 𛹪 𛹪	M219 M101 M101	P008004, P008205
2	3	𜇩 𜊩 𜅸	M318 M371 M297	P008005, P009196
2	3	𜋸 𜀮 𛹜	M386 M230 M096	P008005, P009258
2	3	𛻃 𛿺 𜀈	M124 M218 M219	P008014, P008241
2	3	𜇩 𜊩 𜌓	M318 M371 M388	P008021, P008021
2	3	𛻛 𜌓 𛿺	M131 M388 M218	P008026, P009423
2	3	𜆡 𜌓 𜉕	M305 M388 M352	P008032, P272825
2	3	𜌓 𛼢 𜋀	M388 M146 M377	P008034, P009318
2	3	𜉇 𛺍 𜊩	M347 M110 M371	P008037, P008342
2	3	[M009 ≈ M035M09 ≈ M3] 𛸗 𜃁	M009 ≈ M035M09 ≈ M3 M066 M263	P008037, P008137
2	3	𛼌 𜌓 𜋾	M139 M388 M387	P008040, P008730
2	3	𜌓 𜋾 𜋾	M388 M387 M387	P008040, P008068
2	3	𜋾 𜌓 𛷶	M387 M388 M057	P008040, P008241
2	3	𛿯 𜋀 𜁞	M217 M377 M247	P008041, P009249
2	3	𜊛 𛾳 𛻃	M370 M203 M124	P008043, P008043
2	3	𛻃 𛿺 𛹜	M124 M218 M096	P008043, P009356
2	3	𛵮 𛶈 𜊽	M024 M033 M376	P008051, P008278
2	3	𜁺 𜋾 𛿺	M250 M387 M218	P008061, P008156
2	3	𜂣 𛵓 𜊩	M259 M009 M371	P008065, P008468
2	3	𛸗 𜋏 𜊩	M066 M380 M371	P008067, P368539
2	3	𛼰 𜌓 𜋾	M149 M388 M387	P008068, P008142
2	3	𛺄𜄱 𛿺 𛸩	M106+M288 M218 M073	P008078, P009233
2	3	𜋾 𜂼 𛹜	M387 M262 M096	P008085, P234794
2	3	𜂣 𜌕 𛿺	M259 M390 M218	P008085, P009041
2	3	𜂔 𜊯 𜄱	M254 M372 M288	P008098, P008232
2	3	𛼌 𜌓 𛸗	M139 M388 M066	P008103, P008338
2	3	[M006-cluster] 𜊽 𛸧	M006-cluster M376 M072	P008105, P008985
2	3	𜌓 𜈫 𛵅	M388 M332 M004	P008105, P008229
2	3	𜋾 𛵓 𜊩	M387 M009 M371	P008105, P008566
2	3	𜌓 𛵅 𜃁	M388 M004 M263	P008108, P008490
2	3	𜋾 𜋀 𜉇	M387 M377 M347	P008108, P008688
2	3	𛹤 𜇩 𜊩	M097 M318 M371	P008108, P272825
2	3	𜆡 𜌓 𛸗	M305 M388 M066	P008109, P008139
2	3	𛹧 𜌕 𛿺	M099 M390 M218	P008112, P008661
2	3	𛶃 𛹜 𜄱	M032 M096 M288	P008122, P008663
2	3	𜂼 𜉕 𜇶	M262 M352 M320	P008123, P368521
2	3	𜌓 𜋀 𜉇	M388 M377 M347	P008132, P008690
2	3	𜀈 𜋾 𛿺	M219 M387 M218	P008136, P008271
2	3	𜀰 𜋸 𜀰	M240 M386 M240	P008136, P008860
2	3	𜌓 𜌕 𛻌	M388 M390 M128	P008147, P009383
2	3	𛻃 𜊴 𛻃	M124 M374 M124	P008149, P008390
2	3	𛶡 𛴺 𜃋	M038 M001 M264	P008151, P008151
2	3	𛸝 𜅵 𛸗	M068 M296+M296 M066	P008154, P009177
2	3	𜌓 𜉇 𛺍	M388 M347 M110	P008156, P008342
2	3	𛶈 𛷋 𜃁	M033 M048 M263	P008157, P009240
2	3	𜃁 𛸩 𜊩	M263 M073 M371	P008161, P008257
2	3	𜋏 𜊩 𜆌	M380 M371 M302	P008169, P009163
2	3	𛷶 𜍄 𛸗	M057 M461 M066	P008181, P008225
2	3	𛸗 𜌓 𜋾	M066 M388 M387	P008181, P008216
2	3	𜄖 𛹜 𜃁	M281 M096 M263	P008183, P009041
2	3	𜌓 𜃁 𜄖	M388 M263 M281	P008184, P008728
2	3	𛿺 𛸳 𛸗	M218 M075 M066	P008186, P008271
2	3	𜁞 𜋀 𛿯	M247 M377 M217	P008188, P008194
2	3	𛹆 𜌓 𜅘	M080 M388 M295	P008192, P368478
2	3	𜆡 𜌓 𛷪	M305 M388 M054	P008194, P008973
2	3	𜂣 𜀀 𛸗	M259 M218+M288 M066	P008196, P009356
2	3	𜂼 𛹜 𜄱	M262 M096 M288	P008205, P008296
2	3	𜂼 𜉇 𜊩	M262 M347 M371	P008214, P272825
2	3	𛷪 𜊩 𜄱	M054 M371 M288	P008221, P008688
2	3	𛷋 𜀈 𛿺	M048 M219 M218	P008221, P009088
2	3	𛹆 𜇶 𛸗	M080 M320 M066	P008229, P008343
2	3	𛽆 𛼙 𜊩	M153 M145 M371	P008229, P008343
2	3	𛿺 𜀀 𜄱	M218 M218+M288 M288	P008229, P008688
2	3	𜌓 𛷶 𛵷	M388 M057 M029	P008241, P008454
2	3	𜌕 𛻌 𛹜	M390 M128 M096	P008241, P009383
2	3	𜋸 𜋸 𛸗	M386 M386 M066	P008241, P008271
2	3	𜀰 𜉇 𜊩	M240 M347 M371	P008241, P008972
2	3	𜇏 𛻌 𛹜	M314 M128 M096	P008244, P008271
2	3	𜌓 𜉕 𛹤	M388 M352 M097	P008254, P272825
2	3	𛶎 𜃞 𜄱	M036 M266 M288	P008270, P008751
2	3	𛿺 𜀺 𛹜	M218 M242 M096	P008271, P008346
2	3	𛾑 𜋾 𜋒	M180 M387 M381	P008275, P008290
2	3	𜋾 𜃞 𜂵	M387 M266 M261	P008279, P008323
2	3	𛹌 𜈽 𛶎	M081 M346 M036	P008279, P009216
2	3	𜋾 𛹌 𜈽	M387 M081 M346	P008292, P008904
2	3	𜂁 𜄖 𛹜	M251 M281 M096	P008296, P009041
2	3	𜅘 𜀓 𛿺	M295 M222 M218	P008296, P008820
2	3	𜋾 𜊯 𜌓	M387 M372 M388	P008310, P008310
2	3	𜌓 𜅘 𛿺	M388 M295 M218	P008310, P368478
