count	glyphs	codes	example_records
3	𛸗 𜉜 𛿺 𜂣 𛿺	M066 M352~o M218 M259 M218	P008957, P009225, P368483
2	𜆡 𜌓 𜀰 𛹥 𛵅	M305 M388 M240 M097~h M004	P008137, P008163
2	𛽹 𛿺 𜂣 𛿺 𜄱	M175 M218 M259 M218 M288	P008221, P008688
2	𜌓 𜋏 𜀂 𜉇 𜋅	M388 M380 M218+M320 M347 M377~e	P008403, P008532
2	𜌓 𛻜 𛵅 𜃁 𛿺	M388 M131+M388 M004 M263 M218	P009032, P009032
2	𜅊 𜌓 𛼢 𛶃 𜈰	M292 M388 M146 M032 M332~g	P009191, P009207
2	𜆡 𜌓 𛼢 𛹥 𛵅	M305 M388 M146 M097~h M004	P009277, P272825
2	𜌓 𛼢 𛹥 𛵅 𛿺	M388 M146 M097~h M004 M218	P272825, P368480
