Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+1307B	𓁻	U+F307B	󳁻	u1307B
U+1307C	𓁼	U+F307C	󳁼	u1307C
U+1307D	𓁽	U+F307D	󳁽	u1307D
U+1307E	𓁾	U+F307E	󳁾	u1307E
U+1307F	𓁿	U+F307F	󳁿	u1307F
U+13080	𓂀	U+F3080	󳂀	u13080
U+13081	𓂁	U+F3081	󳂁	u13081
U+13082	𓂂	U+F3082	󳂂	u13082
U+13083	𓂃	U+F3083	󳂃	u13083
U+13084	𓂄	U+F3084	󳂄	u13084
U+13085	𓂅	U+F3085	󳂅	u13085
U+13086	𓂆	U+F3086	󳂆	u13086
U+13087	𓂇	U+F3087	󳂇	u13087
U+13088	𓂈	U+F3088	󳂈	u13088
U+13089	𓂉	U+F3089	󳂉	u13089
U+1308A	𓂊	U+F308A	󳂊	u1308A
U+1308B	𓂋	U+F308B	󳂋	u1308B
U+1308C	𓂌	U+F308C	󳂌	u1308C
U+1308D	𓂍	U+F308D	󳂍	u1308D
U+1308E	𓂎	U+F308E	󳂎	u1308E
U+1308F	𓂏	U+F308F	󳂏	u1308F
U+13090	𓂐	U+F3090	󳂐	u13090
U+13091	𓂑	U+F3091	󳂑	u13091
U+13092	𓂒	U+F3092	󳂒	u13092
U+13093	𓂓	U+F3093	󳂓	u13093
U+13094	𓂔	U+F3094	󳂔	u13094
U+13095	𓂕	U+F3095	󳂕	u13095
U+13096	𓂖	U+F3096	󳂖	u13096
U+13097	𓂗	U+F3097	󳂗	u13097
U+13098	𓂘	U+F3098	󳂘	u13098
U+13099	𓂙	U+F3099	󳂙	u13099
U+1309A	𓂚	U+F309A	󳂚	u1309A
U+1309B	𓂛	U+F309B	󳂛	u1309B
U+1309C	𓂜	U+F309C	󳂜	u1309C
U+1309D	𓂝	U+F309D	󳂝	u1309D
U+1309E	𓂞	U+F309E	󳂞	u1309E
U+1309F	𓂟	U+F309F	󳂟	u1309F
U+130A0	𓂠	U+F30A0	󳂠	u130A0
U+130A1	𓂡	U+F30A1	󳂡	u130A1
U+130A2	𓂢	U+F30A2	󳂢	u130A2
U+130A3	𓂣	U+F30A3	󳂣	u130A3
U+130A4	𓂤	U+F30A4	󳂤	u130A4
U+130A5	𓂥	U+F30A5	󳂥	u130A5
U+130A6	𓂦	U+F30A6	󳂦	u130A6
U+130A7	𓂧	U+F30A7	󳂧	u130A7
U+130A8	𓂨	U+F30A8	󳂨	u130A8
U+130A9	𓂩	U+F30A9	󳂩	u130A9
U+130AA	𓂪	U+F30AA	󳂪	u130AA
U+130AB	𓂫	U+F30AB	󳂫	u130AB
U+130AC	𓂬	U+F30AC	󳂬	u130AC
U+130AD	𓂭	U+F30AD	󳂭	u130AD
U+130AE	𓂮	U+F30AE	󳂮	u130AE
U+130AF	𓂯	U+F30AF	󳂯	u130AF
U+130B0	𓂰	U+F30B0	󳂰	u130B0
U+130B1	𓂱	U+F30B1	󳂱	u130B1
U+130B2	𓂲	U+F30B2	󳂲	u130B2
U+130B3	𓂳	U+F30B3	󳂳	u130B3
U+130B4	𓂴	U+F30B4	󳂴	u130B4
U+130B5	𓂵	U+F30B5	󳂵	u130B5
U+130B6	𓂶	U+F30B6	󳂶	u130B6
U+130B7	𓂷	U+F30B7	󳂷	u130B7
U+130B8	𓂸	U+F30B8	󳂸	u130B8
U+130B9	𓂹	U+F30B9	󳂹	u130B9
U+130BA	𓂺	U+F30BA	󳂺	u130BA
U+130BB	𓂻	U+F30BB	󳂻	u130BB
U+130BC	𓂼	U+F30BC	󳂼	u130BC
U+130BD	𓂽	U+F30BD	󳂽	u130BD
U+130BE	𓂾	U+F30BE	󳂾	u130BE
U+130BF	𓂿	U+F30BF	󳂿	u130BF
U+130C0	𓃀	U+F30C0	󳃀	u130C0
U+130C1	𓃁	U+F30C1	󳃁	u130C1
U+130C2	𓃂	U+F30C2	󳃂	u130C2
U+130C3	𓃃	U+F30C3	󳃃	u130C3
U+130C4	𓃄	U+F30C4	󳃄	u130C4
U+130C5	𓃅	U+F30C5	󳃅	u130C5
U+130C6	𓃆	U+F30C6	󳃆	u130C6
U+130C7	𓃇	U+F30C7	󳃇	u130C7
U+130C8	𓃈	U+F30C8	󳃈	u130C8
U+130C9	𓃉	U+F30C9	󳃉	u130C9
U+130CA	𓃊	U+F30CA	󳃊	u130CA
U+130CB	𓃋	U+F30CB	󳃋	u130CB
U+130CC	𓃌	U+F30CC	󳃌	u130CC
U+130CD	𓃍	U+F30CD	󳃍	u130CD
U+130CE	𓃎	U+F30CE	󳃎	u130CE
U+130CF	𓃏	U+F30CF	󳃏	u130CF
U+130D0	𓃐	U+F30D0	󳃐	u130D0
U+130D1	𓃑	U+F30D1	󳃑	u130D1
U+130D2	𓃒	U+F30D2	󳃒	u130D2
U+130D3	𓃓	U+F30D3	󳃓	u130D3
U+130D4	𓃔	U+F30D4	󳃔	u130D4
U+130D5	𓃕	U+F30D5	󳃕	u130D5
U+130D6	𓃖	U+F30D6	󳃖	u130D6
U+130D7	𓃗	U+F30D7	󳃗	u130D7
U+130D8	𓃘	U+F30D8	󳃘	u130D8
U+130D9	𓃙	U+F30D9	󳃙	u130D9
U+130DA	𓃚	U+F30DA	󳃚	u130DA
U+130DB	𓃛	U+F30DB	󳃛	u130DB
U+130DC	𓃜	U+F30DC	󳃜	u130DC
U+130DD	𓃝	U+F30DD	󳃝	u130DD
U+130DE	𓃞	U+F30DE	󳃞	u130DE
U+130DF	𓃟	U+F30DF	󳃟	u130DF
U+130E0	𓃠	U+F30E0	󳃠	u130E0
U+130E1	𓃡	U+F30E1	󳃡	u130E1
U+130E2	𓃢	U+F30E2	󳃢	u130E2
U+130E3	𓃣	U+F30E3	󳃣	u130E3
U+130E4	𓃤	U+F30E4	󳃤	u130E4
U+130E5	𓃥	U+F30E5	󳃥	u130E5
U+130E6	𓃦	U+F30E6	󳃦	u130E6
U+130E7	𓃧	U+F30E7	󳃧	u130E7
U+130E8	𓃨	U+F30E8	󳃨	u130E8
U+130E9	𓃩	U+F30E9	󳃩	u130E9
U+130EA	𓃪	U+F30EA	󳃪	u130EA
U+130EB	𓃫	U+F30EB	󳃫	u130EB
U+130EC	𓃬	U+F30EC	󳃬	u130EC
U+130ED	𓃭	U+F30ED	󳃭	u130ED
U+130EE	𓃮	U+F30EE	󳃮	u130EE
U+130EF	𓃯	U+F30EF	󳃯	u130EF
U+130F0	𓃰	U+F30F0	󳃰	u130F0
U+130F1	𓃱	U+F30F1	󳃱	u130F1
U+130F2	𓃲	U+F30F2	󳃲	u130F2
U+130F3	𓃳	U+F30F3	󳃳	u130F3
U+130F4	𓃴	U+F30F4	󳃴	u130F4
U+130F5	𓃵	U+F30F5	󳃵	u130F5
U+130F6	𓃶	U+F30F6	󳃶	u130F6
U+130F7	𓃷	U+F30F7	󳃷	u130F7
U+130F8	𓃸	U+F30F8	󳃸	u130F8
U+130F9	𓃹	U+F30F9	󳃹	u130F9
U+130FA	𓃺	U+F30FA	󳃺	u130FA
U+130FB	𓃻	U+F30FB	󳃻	u130FB
U+130FC	𓃼	U+F30FC	󳃼	u130FC
