Unicode	Hieroglyph	PUA	Hieratic/PUA	Glyph name
U+13207	𓈇	U+F3207	󳈇	u13207
U+13208	𓈈	U+F3208	󳈈	u13208
U+13209	𓈉	U+F3209	󳈉	u13209
U+1320A	𓈊	U+F320A	󳈊	u1320A
U+1320B	𓈋	U+F320B	󳈋	u1320B
U+1320C	𓈌	U+F320C	󳈌	u1320C
U+1320D	𓈍	U+F320D	󳈍	u1320D
U+1320E	𓈎	U+F320E	󳈎	u1320E
U+1320F	𓈏	U+F320F	󳈏	u1320F
U+13210	𓈐	U+F3210	󳈐	u13210
U+13211	𓈑	U+F3211	󳈑	u13211
U+13212	𓈒	U+F3212	󳈒	u13212
U+13213	𓈓	U+F3213	󳈓	u13213
U+13214	𓈔	U+F3214	󳈔	u13214
U+13215	𓈕	U+F3215	󳈕	u13215
U+13216	𓈖	U+F3216	󳈖	u13216
U+13217	𓈗	U+F3217	󳈗	u13217
U+13218	𓈘	U+F3218	󳈘	u13218
U+13219	𓈙	U+F3219	󳈙	u13219
U+1321A	𓈚	U+F321A	󳈚	u1321A
U+1321B	𓈛	U+F321B	󳈛	u1321B
U+1321C	𓈜	U+F321C	󳈜	u1321C
U+1321D	𓈝	U+F321D	󳈝	u1321D
U+1321E	𓈞	U+F321E	󳈞	u1321E
U+1321F	𓈟	U+F321F	󳈟	u1321F
U+13220	𓈠	U+F3220	󳈠	u13220
U+13221	𓈡	U+F3221	󳈡	u13221
U+13222	𓈢	U+F3222	󳈢	u13222
U+13223	𓈣	U+F3223	󳈣	u13223
U+13224	𓈤	U+F3224	󳈤	u13224
U+13225	𓈥	U+F3225	󳈥	u13225
U+13226	𓈦	U+F3226	󳈦	u13226
U+13227	𓈧	U+F3227	󳈧	u13227
U+13228	𓈨	U+F3228	󳈨	u13228
U+13229	𓈩	U+F3229	󳈩	u13229
U+1322A	𓈪	U+F322A	󳈪	u1322A
U+1322B	𓈫	U+F322B	󳈫	u1322B
U+1322C	𓈬	U+F322C	󳈬	u1322C
U+1322D	𓈭	U+F322D	󳈭	u1322D
U+1322E	𓈮	U+F322E	󳈮	u1322E
U+1322F	𓈯	U+F322F	󳈯	u1322F
U+13230	𓈰	U+F3230	󳈰	u13230
U+13231	𓈱	U+F3231	󳈱	u13231
U+13232	𓈲	U+F3232	󳈲	u13232
U+13233	𓈳	U+F3233	󳈳	u13233
U+13234	𓈴	U+F3234	󳈴	u13234
U+13235	𓈵	U+F3235	󳈵	u13235
U+13236	𓈶	U+F3236	󳈶	u13236
U+13237	𓈷	U+F3237	󳈷	u13237
U+13238	𓈸	U+F3238	󳈸	u13238
U+13239	𓈹	U+F3239	󳈹	u13239
U+1323A	𓈺	U+F323A	󳈺	u1323A
U+1323B	𓈻	U+F323B	󳈻	u1323B
U+1323C	𓈼	U+F323C	󳈼	u1323C
U+1323D	𓈽	U+F323D	󳈽	u1323D
U+1323E	𓈾	U+F323E	󳈾	u1323E
U+1323F	𓈿	U+F323F	󳈿	u1323F
U+13240	𓉀	U+F3240	󳉀	u13240
U+13241	𓉁	U+F3241	󳉁	u13241
U+13242	𓉂	U+F3242	󳉂	u13242
U+13243	𓉃	U+F3243	󳉃	u13243
U+13244	𓉄	U+F3244	󳉄	u13244
U+13245	𓉅	U+F3245	󳉅	u13245
U+13246	𓉆	U+F3246	󳉆	u13246
U+13247	𓉇	U+F3247	󳉇	u13247
U+13248	𓉈	U+F3248	󳉈	u13248
U+13249	𓉉	U+F3249	󳉉	u13249
U+1324A	𓉊	U+F324A	󳉊	u1324A
U+1324B	𓉋	U+F324B	󳉋	u1324B
U+1324C	𓉌	U+F324C	󳉌	u1324C
U+1324D	𓉍	U+F324D	󳉍	u1324D
U+1324E	𓉎	U+F324E	󳉎	u1324E
U+1324F	𓉏	U+F324F	󳉏	u1324F
U+13250	𓉐	U+F3250	󳉐	u13250
U+13251	𓉑	U+F3251	󳉑	u13251
U+13252	𓉒	U+F3252	󳉒	u13252
U+13253	𓉓	U+F3253	󳉓	u13253
U+13254	𓉔	U+F3254	󳉔	u13254
U+13255	𓉕	U+F3255	󳉕	u13255
U+13256	𓉖	U+F3256	󳉖	u13256
U+13257	𓉗	U+F3257	󳉗	u13257
U+13258	𓉘	U+F3258	󳉘	u13258
U+13259	𓉙	U+F3259	󳉙	u13259
U+1325A	𓉚	U+F325A	󳉚	u1325A
U+1325B	𓉛	U+F325B	󳉛	u1325B
U+1325C	𓉜	U+F325C	󳉜	u1325C
U+1325D	𓉝	U+F325D	󳉝	u1325D
U+1325E	𓉞	U+F325E	󳉞	u1325E
U+1325F	𓉟	U+F325F	󳉟	u1325F
U+13260	𓉠	U+F3260	󳉠	u13260
U+13261	𓉡	U+F3261	󳉡	u13261
U+13262	𓉢	U+F3262	󳉢	u13262
U+13263	𓉣	U+F3263	󳉣	u13263
U+13264	𓉤	U+F3264	󳉤	u13264
U+13265	𓉥	U+F3265	󳉥	u13265
U+13266	𓉦	U+F3266	󳉦	u13266
U+13267	𓉧	U+F3267	󳉧	u13267
U+13268	𓉨	U+F3268	󳉨	u13268
U+13269	𓉩	U+F3269	󳉩	u13269
U+1326A	𓉪	U+F326A	󳉪	u1326A
U+1326B	𓉫	U+F326B	󳉫	u1326B
U+1326C	𓉬	U+F326C	󳉬	u1326C
U+1326D	𓉭	U+F326D	󳉭	u1326D
U+1326E	𓉮	U+F326E	󳉮	u1326E
U+1326F	𓉯	U+F326F	󳉯	u1326F
U+13270	𓉰	U+F3270	󳉰	u13270
U+13271	𓉱	U+F3271	󳉱	u13271
U+13272	𓉲	U+F3272	󳉲	u13272
U+13273	𓉳	U+F3273	󳉳	u13273
U+13274	𓉴	U+F3274	󳉴	u13274
U+13275	𓉵	U+F3275	󳉵	u13275
U+13276	𓉶	U+F3276	󳉶	u13276
U+13277	𓉷	U+F3277	󳉷	u13277
U+13278	𓉸	U+F3278	󳉸	u13278
U+13279	𓉹	U+F3279	󳉹	u13279
U+1327A	𓉺	U+F327A	󳉺	u1327A
U+1327B	𓉻	U+F327B	󳉻	u1327B
U+1327C	𓉼	U+F327C	󳉼	u1327C
U+1327D	𓉽	U+F327D	󳉽	u1327D
U+1327E	𓉾	U+F327E	󳉾	u1327E
U+1327F	𓉿	U+F327F	󳉿	u1327F
U+13280	𓊀	U+F3280	󳊀	u13280
U+13281	𓊁	U+F3281	󳊁	u13281
U+13282	𓊂	U+F3282	󳊂	u13282
U+13283	𓊃	U+F3283	󳊃	u13283
U+13284	𓊄	U+F3284	󳊄	u13284
U+13285	𓊅	U+F3285	󳊅	u13285
U+13286	𓊆	U+F3286	󳊆	u13286
U+13287	𓊇	U+F3287	󳊇	u13287
U+13288	𓊈	U+F3288	󳊈	u13288
U+13289	𓊉	U+F3289	󳊉	u13289
U+1328A	𓊊	U+F328A	󳊊	u1328A
U+1328B	𓊋	U+F328B	󳊋	u1328B
U+1328C	𓊌	U+F328C	󳊌	u1328C
U+1328D	𓊍	U+F328D	󳊍	u1328D
U+1328E	𓊎	U+F328E	󳊎	u1328E
U+1328F	𓊏	U+F328F	󳊏	u1328F
U+13290	𓊐	U+F3290	󳊐	u13290
U+13291	𓊑	U+F3291	󳊑	u13291
U+13292	𓊒	U+F3292	󳊒	u13292
U+13293	𓊓	U+F3293	󳊓	u13293
U+13294	𓊔	U+F3294	󳊔	u13294
U+13295	𓊕	U+F3295	󳊕	u13295
U+13296	𓊖	U+F3296	󳊖	u13296
U+13297	𓊗	U+F3297	󳊗	u13297
U+13298	𓊘	U+F3298	󳊘	u13298
U+13299	𓊙	U+F3299	󳊙	u13299
U+1329A	𓊚	U+F329A	󳊚	u1329A
U+1329B	𓊛	U+F329B	󳊛	u1329B
U+1329C	𓊜	U+F329C	󳊜	u1329C
U+1329D	𓊝	U+F329D	󳊝	u1329D
U+1329E	𓊞	U+F329E	󳊞	u1329E
U+1329F	𓊟	U+F329F	󳊟	u1329F
U+132A0	𓊠	U+F32A0	󳊠	u132A0
U+132A1	𓊡	U+F32A1	󳊡	u132A1
U+132A2	𓊢	U+F32A2	󳊢	u132A2
U+132A3	𓊣	U+F32A3	󳊣	u132A3
U+132A4	𓊤	U+F32A4	󳊤	u132A4
U+132A5	𓊥	U+F32A5	󳊥	u132A5
U+132A6	𓊦	U+F32A6	󳊦	u132A6
U+132A7	𓊧	U+F32A7	󳊧	u132A7
U+132A8	𓊨	U+F32A8	󳊨	u132A8
U+132A9	𓊩	U+F32A9	󳊩	u132A9
U+132AA	𓊪	U+F32AA	󳊪	u132AA
U+132AB	𓊫	U+F32AB	󳊫	u132AB
U+132AC	𓊬	U+F32AC	󳊬	u132AC
U+132AD	𓊭	U+F32AD	󳊭	u132AD
U+132AE	𓊮	U+F32AE	󳊮	u132AE
U+132AF	𓊯	U+F32AF	󳊯	u132AF
U+132B0	𓊰	U+F32B0	󳊰	u132B0
U+132B1	𓊱	U+F32B1	󳊱	u132B1
U+132B2	𓊲	U+F32B2	󳊲	u132B2
U+132B3	𓊳	U+F32B3	󳊳	u132B3
U+132B4	𓊴	U+F32B4	󳊴	u132B4
U+132B5	𓊵	U+F32B5	󳊵	u132B5
U+132B6	𓊶	U+F32B6	󳊶	u132B6
U+132B7	𓊷	U+F32B7	󳊷	u132B7
U+132B8	𓊸	U+F32B8	󳊸	u132B8
U+132B9	𓊹	U+F32B9	󳊹	u132B9
U+132BA	𓊺	U+F32BA	󳊺	u132BA
U+132BB	𓊻	U+F32BB	󳊻	u132BB
U+132BC	𓊼	U+F32BC	󳊼	u132BC
U+132BD	𓊽	U+F32BD	󳊽	u132BD
U+132BE	𓊾	U+F32BE	󳊾	u132BE
U+132BF	𓊿	U+F32BF	󳊿	u132BF
U+132C0	𓋀	U+F32C0	󳋀	u132C0
U+132C1	𓋁	U+F32C1	󳋁	u132C1
U+132C2	𓋂	U+F32C2	󳋂	u132C2
U+132C3	𓋃	U+F32C3	󳋃	u132C3
U+132C4	𓋄	U+F32C4	󳋄	u132C4
U+132C5	𓋅	U+F32C5	󳋅	u132C5
U+132C6	𓋆	U+F32C6	󳋆	u132C6
U+132C7	𓋇	U+F32C7	󳋇	u132C7
U+132C8	𓋈	U+F32C8	󳋈	u132C8
U+132C9	𓋉	U+F32C9	󳋉	u132C9
U+132CA	𓋊	U+F32CA	󳋊	u132CA
U+132CB	𓋋	U+F32CB	󳋋	u132CB
U+132CC	𓋌	U+F32CC	󳋌	u132CC
U+132CD	𓋍	U+F32CD	󳋍	u132CD
U+132CE	𓋎	U+F32CE	󳋎	u132CE
U+132CF	𓋏	U+F32CF	󳋏	u132CF
U+132D0	𓋐	U+F32D0	󳋐	u132D0
U+132D1	𓋑	U+F32D1	󳋑	u132D1
U+132D2	𓋒	U+F32D2	󳋒	u132D2
U+132D3	𓋓	U+F32D3	󳋓	u132D3
U+132D4	𓋔	U+F32D4	󳋔	u132D4
U+132D5	𓋕	U+F32D5	󳋕	u132D5
U+132D6	𓋖	U+F32D6	󳋖	u132D6
U+132D7	𓋗	U+F32D7	󳋗	u132D7
U+132D8	𓋘	U+F32D8	󳋘	u132D8
U+132D9	𓋙	U+F32D9	󳋙	u132D9
U+132DA	𓋚	U+F32DA	󳋚	u132DA
U+132DB	𓋛	U+F32DB	󳋛	u132DB
U+132DC	𓋜	U+F32DC	󳋜	u132DC
U+132DD	𓋝	U+F32DD	󳋝	u132DD
U+132DE	𓋞	U+F32DE	󳋞	u132DE
U+132DF	𓋟	U+F32DF	󳋟	u132DF
U+132E0	𓋠	U+F32E0	󳋠	u132E0
U+132E1	𓋡	U+F32E1	󳋡	u132E1
U+132E2	𓋢	U+F32E2	󳋢	u132E2
U+132E3	𓋣	U+F32E3	󳋣	u132E3
U+132E4	𓋤	U+F32E4	󳋤	u132E4
U+132E5	𓋥	U+F32E5	󳋥	u132E5
U+132E6	𓋦	U+F32E6	󳋦	u132E6
U+132E7	𓋧	U+F32E7	󳋧	u132E7
U+132E8	𓋨	U+F32E8	󳋨	u132E8
U+132E9	𓋩	U+F32E9	󳋩	u132E9
U+132EA	𓋪	U+F32EA	󳋪	u132EA
U+132EB	𓋫	U+F32EB	󳋫	u132EB
U+132EC	𓋬	U+F32EC	󳋬	u132EC
U+132ED	𓋭	U+F32ED	󳋭	u132ED
U+132EE	𓋮	U+F32EE	󳋮	u132EE
U+132EF	𓋯	U+F32EF	󳋯	u132EF
U+132F0	𓋰	U+F32F0	󳋰	u132F0
U+132F1	𓋱	U+F32F1	󳋱	u132F1
U+132F2	𓋲	U+F32F2	󳋲	u132F2
U+132F3	𓋳	U+F32F3	󳋳	u132F3
U+132F4	𓋴	U+F32F4	󳋴	u132F4
U+132F5	𓋵	U+F32F5	󳋵	u132F5
U+132F6	𓋶	U+F32F6	󳋶	u132F6
U+132F7	𓋷	U+F32F7	󳋷	u132F7
U+132F8	𓋸	U+F32F8	󳋸	u132F8
U+132F9	𓋹	U+F32F9	󳋹	u132F9
U+132FA	𓋺	U+F32FA	󳋺	u132FA
U+132FB	𓋻	U+F32FB	󳋻	u132FB
U+132FC	𓋼	U+F32FC	󳋼	u132FC
U+132FD	𓋽	U+F32FD	󳋽	u132FD
U+132FE	𓋾	U+F32FE	󳋾	u132FE
U+132FF	𓋿	U+F32FF	󳋿	u132FF
U+13300	𓌀	U+F3300	󳌀	u13300
U+13301	𓌁	U+F3301	󳌁	u13301
U+13302	𓌂	U+F3302	󳌂	u13302
U+13303	𓌃	U+F3303	󳌃	u13303
U+13304	𓌄	U+F3304	󳌄	u13304
U+13305	𓌅	U+F3305	󳌅	u13305
U+13306	𓌆	U+F3306	󳌆	u13306
U+13307	𓌇	U+F3307	󳌇	u13307
U+13308	𓌈	U+F3308	󳌈	u13308
U+13309	𓌉	U+F3309	󳌉	u13309
U+1330A	𓌊	U+F330A	󳌊	u1330A
U+1330B	𓌋	U+F330B	󳌋	u1330B
U+1330C	𓌌	U+F330C	󳌌	u1330C
U+1330D	𓌍	U+F330D	󳌍	u1330D
U+1330E	𓌎	U+F330E	󳌎	u1330E
U+1330F	𓌏	U+F330F	󳌏	u1330F
U+13310	𓌐	U+F3310	󳌐	u13310
U+13311	𓌑	U+F3311	󳌑	u13311
U+13312	𓌒	U+F3312	󳌒	u13312
U+13313	𓌓	U+F3313	󳌓	u13313
U+13314	𓌔	U+F3314	󳌔	u13314
U+13315	𓌕	U+F3315	󳌕	u13315
U+13316	𓌖	U+F3316	󳌖	u13316
U+13317	𓌗	U+F3317	󳌗	u13317
U+13318	𓌘	U+F3318	󳌘	u13318
U+13319	𓌙	U+F3319	󳌙	u13319
U+1331A	𓌚	U+F331A	󳌚	u1331A
U+1331B	𓌛	U+F331B	󳌛	u1331B
U+1331C	𓌜	U+F331C	󳌜	u1331C
U+1331D	𓌝	U+F331D	󳌝	u1331D
U+1331E	𓌞	U+F331E	󳌞	u1331E
U+1331F	𓌟	U+F331F	󳌟	u1331F
U+13320	𓌠	U+F3320	󳌠	u13320
U+13321	𓌡	U+F3321	󳌡	u13321
U+13322	𓌢	U+F3322	󳌢	u13322
U+13323	𓌣	U+F3323	󳌣	u13323
U+13324	𓌤	U+F3324	󳌤	u13324
U+13325	𓌥	U+F3325	󳌥	u13325
U+13326	𓌦	U+F3326	󳌦	u13326
U+13327	𓌧	U+F3327	󳌧	u13327
U+13328	𓌨	U+F3328	󳌨	u13328
U+13329	𓌩	U+F3329	󳌩	u13329
U+1332A	𓌪	U+F332A	󳌪	u1332A
U+1332B	𓌫	U+F332B	󳌫	u1332B
U+1332C	𓌬	U+F332C	󳌬	u1332C
U+1332D	𓌭	U+F332D	󳌭	u1332D
U+1332E	𓌮	U+F332E	󳌮	u1332E
U+1332F	𓌯	U+F332F	󳌯	u1332F
U+13330	𓌰	U+F3330	󳌰	u13330
U+13331	𓌱	U+F3331	󳌱	u13331
U+13332	𓌲	U+F3332	󳌲	u13332
U+13333	𓌳	U+F3333	󳌳	u13333
U+13334	𓌴	U+F3334	󳌴	u13334
U+13335	𓌵	U+F3335	󳌵	u13335
U+13336	𓌶	U+F3336	󳌶	u13336
U+13337	𓌷	U+F3337	󳌷	u13337
U+13338	𓌸	U+F3338	󳌸	u13338
U+13339	𓌹	U+F3339	󳌹	u13339
U+1333A	𓌺	U+F333A	󳌺	u1333A
U+1333B	𓌻	U+F333B	󳌻	u1333B
U+1333C	𓌼	U+F333C	󳌼	u1333C
U+1333D	𓌽	U+F333D	󳌽	u1333D
U+1333E	𓌾	U+F333E	󳌾	u1333E
U+1333F	𓌿	U+F333F	󳌿	u1333F
U+13340	𓍀	U+F3340	󳍀	u13340
U+13341	𓍁	U+F3341	󳍁	u13341
U+13342	𓍂	U+F3342	󳍂	u13342
U+13343	𓍃	U+F3343	󳍃	u13343
U+13344	𓍄	U+F3344	󳍄	u13344
U+13345	𓍅	U+F3345	󳍅	u13345
U+13346	𓍆	U+F3346	󳍆	u13346
U+13347	𓍇	U+F3347	󳍇	u13347
U+13348	𓍈	U+F3348	󳍈	u13348
U+13349	𓍉	U+F3349	󳍉	u13349
U+1334A	𓍊	U+F334A	󳍊	u1334A
U+1334B	𓍋	U+F334B	󳍋	u1334B
U+1334C	𓍌	U+F334C	󳍌	u1334C
U+1334D	𓍍	U+F334D	󳍍	u1334D
U+1334E	𓍎	U+F334E	󳍎	u1334E
U+1334F	𓍏	U+F334F	󳍏	u1334F
U+13350	𓍐	U+F3350	󳍐	u13350
U+13351	𓍑	U+F3351	󳍑	u13351
U+13352	𓍒	U+F3352	󳍒	u13352
U+13353	𓍓	U+F3353	󳍓	u13353
U+13354	𓍔	U+F3354	󳍔	u13354
U+13355	𓍕	U+F3355	󳍕	u13355
U+13356	𓍖	U+F3356	󳍖	u13356
U+13357	𓍗	U+F3357	󳍗	u13357
U+13358	𓍘	U+F3358	󳍘	u13358
U+13359	𓍙	U+F3359	󳍙	u13359
U+1335A	𓍚	U+F335A	󳍚	u1335A
U+1335B	𓍛	U+F335B	󳍛	u1335B
U+1335C	𓍜	U+F335C	󳍜	u1335C
U+1335D	𓍝	U+F335D	󳍝	u1335D
U+1335E	𓍞	U+F335E	󳍞	u1335E
U+1335F	𓍟	U+F335F	󳍟	u1335F
U+13360	𓍠	U+F3360	󳍠	u13360
U+13361	𓍡	U+F3361	󳍡	u13361
U+13362	𓍢	U+F3362	󳍢	u13362
U+13363	𓍣	U+F3363	󳍣	u13363
U+13364	𓍤	U+F3364	󳍤	u13364
U+13365	𓍥	U+F3365	󳍥	u13365
U+13366	𓍦	U+F3366	󳍦	u13366
U+13367	𓍧	U+F3367	󳍧	u13367
U+13368	𓍨	U+F3368	󳍨	u13368
U+13369	𓍩	U+F3369	󳍩	u13369
U+1336A	𓍪	U+F336A	󳍪	u1336A
U+1336B	𓍫	U+F336B	󳍫	u1336B
U+1336C	𓍬	U+F336C	󳍬	u1336C
U+1336D	𓍭	U+F336D	󳍭	u1336D
U+1336E	𓍮	U+F336E	󳍮	u1336E
U+1336F	𓍯	U+F336F	󳍯	u1336F
U+13370	𓍰	U+F3370	󳍰	u13370
U+13371	𓍱	U+F3371	󳍱	u13371
U+13372	𓍲	U+F3372	󳍲	u13372
U+13373	𓍳	U+F3373	󳍳	u13373
U+13374	𓍴	U+F3374	󳍴	u13374
U+13375	𓍵	U+F3375	󳍵	u13375
U+13376	𓍶	U+F3376	󳍶	u13376
U+13377	𓍷	U+F3377	󳍷	u13377
U+13378	𓍸	U+F3378	󳍸	u13378
U+13379	𓍹	U+F3379	󳍹	u13379
U+1337A	𓍺	U+F337A	󳍺	u1337A
U+1337B	𓍻	U+F337B	󳍻	u1337B
U+1337C	𓍼	U+F337C	󳍼	u1337C
U+1337D	𓍽	U+F337D	󳍽	u1337D
U+1337E	𓍾	U+F337E	󳍾	u1337E
U+1337F	𓍿	U+F337F	󳍿	u1337F
U+13380	𓎀	U+F3380	󳎀	u13380
U+13381	𓎁	U+F3381	󳎁	u13381
U+13382	𓎂	U+F3382	󳎂	u13382
U+13383	𓎃	U+F3383	󳎃	u13383
U+13384	𓎄	U+F3384	󳎄	u13384
U+13385	𓎅	U+F3385	󳎅	u13385
U+13386	𓎆	U+F3386	󳎆	u13386
U+13387	𓎇	U+F3387	󳎇	u13387
U+13388	𓎈	U+F3388	󳎈	u13388
U+13389	𓎉	U+F3389	󳎉	u13389
U+1338A	𓎊	U+F338A	󳎊	u1338A
U+1338B	𓎋	U+F338B	󳎋	u1338B
U+1338C	𓎌	U+F338C	󳎌	u1338C
U+1338D	𓎍	U+F338D	󳎍	u1338D
U+1338E	𓎎	U+F338E	󳎎	u1338E
U+1338F	𓎏	U+F338F	󳎏	u1338F
U+13390	𓎐	U+F3390	󳎐	u13390
U+13391	𓎑	U+F3391	󳎑	u13391
U+13392	𓎒	U+F3392	󳎒	u13392
U+13393	𓎓	U+F3393	󳎓	u13393
U+13394	𓎔	U+F3394	󳎔	u13394
U+13395	𓎕	U+F3395	󳎕	u13395
U+13396	𓎖	U+F3396	󳎖	u13396
U+13397	𓎗	U+F3397	󳎗	u13397
U+13398	𓎘	U+F3398	󳎘	u13398
U+13399	𓎙	U+F3399	󳎙	u13399
U+1339A	𓎚	U+F339A	󳎚	u1339A
U+1339B	𓎛	U+F339B	󳎛	u1339B
U+1339C	𓎜	U+F339C	󳎜	u1339C
U+1339D	𓎝	U+F339D	󳎝	u1339D
U+1339E	𓎞	U+F339E	󳎞	u1339E
U+1339F	𓎟	U+F339F	󳎟	u1339F
U+133A0	𓎠	U+F33A0	󳎠	u133A0
U+133A1	𓎡	U+F33A1	󳎡	u133A1
U+133A2	𓎢	U+F33A2	󳎢	u133A2
U+133A3	𓎣	U+F33A3	󳎣	u133A3
U+133A4	𓎤	U+F33A4	󳎤	u133A4
U+133A5	𓎥	U+F33A5	󳎥	u133A5
U+133A6	𓎦	U+F33A6	󳎦	u133A6
U+133A7	𓎧	U+F33A7	󳎧	u133A7
U+133A8	𓎨	U+F33A8	󳎨	u133A8
U+133A9	𓎩	U+F33A9	󳎩	u133A9
U+133AA	𓎪	U+F33AA	󳎪	u133AA
U+133AB	𓎫	U+F33AB	󳎫	u133AB
U+133AC	𓎬	U+F33AC	󳎬	u133AC
U+133AD	𓎭	U+F33AD	󳎭	u133AD
U+133AE	𓎮	U+F33AE	󳎮	u133AE
U+133AF	𓎯	U+F33AF	󳎯	u133AF
U+133B0	𓎰	U+F33B0	󳎰	u133B0
U+133B1	𓎱	U+F33B1	󳎱	u133B1
U+133B2	𓎲	U+F33B2	󳎲	u133B2
U+133B3	𓎳	U+F33B3	󳎳	u133B3
U+133B4	𓎴	U+F33B4	󳎴	u133B4
U+133B5	𓎵	U+F33B5	󳎵	u133B5
U+133B6	𓎶	U+F33B6	󳎶	u133B6
U+133B7	𓎷	U+F33B7	󳎷	u133B7
U+133B8	𓎸	U+F33B8	󳎸	u133B8
U+133B9	𓎹	U+F33B9	󳎹	u133B9
U+133BA	𓎺	U+F33BA	󳎺	u133BA
U+133BB	𓎻	U+F33BB	󳎻	u133BB
U+133BC	𓎼	U+F33BC	󳎼	u133BC
U+133BD	𓎽	U+F33BD	󳎽	u133BD
U+133BE	𓎾	U+F33BE	󳎾	u133BE
U+133BF	𓎿	U+F33BF	󳎿	u133BF
U+133C0	𓏀	U+F33C0	󳏀	u133C0
U+133C1	𓏁	U+F33C1	󳏁	u133C1
U+133C2	𓏂	U+F33C2	󳏂	u133C2
U+133C3	𓏃	U+F33C3	󳏃	u133C3
U+133C4	𓏄	U+F33C4	󳏄	u133C4
U+133C5	𓏅	U+F33C5	󳏅	u133C5
U+133C6	𓏆	U+F33C6	󳏆	u133C6
U+133C7	𓏇	U+F33C7	󳏇	u133C7
U+133C8	𓏈	U+F33C8	󳏈	u133C8
U+133C9	𓏉	U+F33C9	󳏉	u133C9
U+133CA	𓏊	U+F33CA	󳏊	u133CA
U+133CB	𓏋	U+F33CB	󳏋	u133CB
U+133CC	𓏌	U+F33CC	󳏌	u133CC
U+133CD	𓏍	U+F33CD	󳏍	u133CD
U+133CE	𓏎	U+F33CE	󳏎	u133CE
U+133CF	𓏏	U+F33CF	󳏏	u133CF
U+133D0	𓏐	U+F33D0	󳏐	u133D0
U+133D1	𓏑	U+F33D1	󳏑	u133D1
U+133D2	𓏒	U+F33D2	󳏒	u133D2
U+133D3	𓏓	U+F33D3	󳏓	u133D3
U+133D4	𓏔	U+F33D4	󳏔	u133D4
U+133D5	𓏕	U+F33D5	󳏕	u133D5
U+133D6	𓏖	U+F33D6	󳏖	u133D6
U+133D7	𓏗	U+F33D7	󳏗	u133D7
U+133D8	𓏘	U+F33D8	󳏘	u133D8
U+133D9	𓏙	U+F33D9	󳏙	u133D9
U+133DA	𓏚	U+F33DA	󳏚	u133DA
U+133DB	𓏛	U+F33DB	󳏛	u133DB
U+133DC	𓏜	U+F33DC	󳏜	u133DC
U+133DD	𓏝	U+F33DD	󳏝	u133DD
U+133DE	𓏞	U+F33DE	󳏞	u133DE
U+133DF	𓏟	U+F33DF	󳏟	u133DF
U+133E0	𓏠	U+F33E0	󳏠	u133E0
U+133E1	𓏡	U+F33E1	󳏡	u133E1
U+133E2	𓏢	U+F33E2	󳏢	u133E2
U+133E3	𓏣	U+F33E3	󳏣	u133E3
U+133E4	𓏤	U+F33E4	󳏤	u133E4
U+133E5	𓏥	U+F33E5	󳏥	u133E5
U+133E6	𓏦	U+F33E6	󳏦	u133E6
U+133E7	𓏧	U+F33E7	󳏧	u133E7
U+133E8	𓏨	U+F33E8	󳏨	u133E8
U+133E9	𓏩	U+F33E9	󳏩	u133E9
U+133EA	𓏪	U+F33EA	󳏪	u133EA
U+133EB	𓏫	U+F33EB	󳏫	u133EB
U+133EC	𓏬	U+F33EC	󳏬	u133EC
U+133ED	𓏭	U+F33ED	󳏭	u133ED
U+133EE	𓏮	U+F33EE	󳏮	u133EE
U+133EF	𓏯	U+F33EF	󳏯	u133EF
U+133F0	𓏰	U+F33F0	󳏰	u133F0
U+133F1	𓏱	U+F33F1	󳏱	u133F1
U+133F2	𓏲	U+F33F2	󳏲	u133F2
U+133F3	𓏳	U+F33F3	󳏳	u133F3
U+133F4	𓏴	U+F33F4	󳏴	u133F4
U+133F5	𓏵	U+F33F5	󳏵	u133F5
U+133F6	𓏶	U+F33F6	󳏶	u133F6
U+133F7	𓏷	U+F33F7	󳏷	u133F7
U+133F8	𓏸	U+F33F8	󳏸	u133F8
U+133F9	𓏹	U+F33F9	󳏹	u133F9
U+133FA	𓏺	U+F33FA	󳏺	u133FA
U+133FB	𓏻	U+F33FB	󳏻	u133FB
U+133FC	𓏼	U+F33FC	󳏼	u133FC
U+133FD	𓏽	U+F33FD	󳏽	u133FD
U+133FE	𓏾	U+F33FE	󳏾	u133FE
U+133FF	𓏿	U+F33FF	󳏿	u133FF
U+13400	𓐀	U+F3400	󳐀	u13400
U+13401	𓐁	U+F3401	󳐁	u13401
U+13402	𓐂	U+F3402	󳐂	u13402
U+13403	𓐃	U+F3403	󳐃	u13403
U+13404	𓐄	U+F3404	󳐄	u13404
U+13405	𓐅	U+F3405	󳐅	u13405
U+13406	𓐆	U+F3406	󳐆	u13406
U+13407	𓐇	U+F3407	󳐇	u13407
U+13408	𓐈	U+F3408	󳐈	u13408
U+13409	𓐉	U+F3409	󳐉	u13409
U+1340A	𓐊	U+F340A	󳐊	u1340A
U+1340B	𓐋	U+F340B	󳐋	u1340B
U+1340C	𓐌	U+F340C	󳐌	u1340C
U+1340D	𓐍	U+F340D	󳐍	u1340D
U+1340E	𓐎	U+F340E	󳐎	u1340E
U+1340F	𓐏	U+F340F	󳐏	u1340F
U+13410	𓐐	U+F3410	󳐐	u13410
U+13411	𓐑	U+F3411	󳐑	u13411
U+13412	𓐒	U+F3412	󳐒	u13412
U+13413	𓐓	U+F3413	󳐓	u13413
