Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+13215	𓈕	U+33215	𳈕	u13215
U+13216	𓈖	U+33216	𳈖	u13216
U+13217	𓈗	U+33217	𳈗	u13217
U+13218	𓈘	U+33218	𳈘	u13218
U+13219	𓈙	U+33219	𳈙	u13219
U+1321A	𓈚	U+3321A	𳈚	u1321A
U+1321B	𓈛	U+3321B	𳈛	u1321B
U+1321C	𓈜	U+3321C	𳈜	u1321C
U+1321D	𓈝	U+3321D	𳈝	u1321D
U+1321E	𓈞	U+3321E	𳈞	u1321E
U+1321F	𓈟	U+3321F	𳈟	u1321F
U+13220	𓈠	U+33220	𳈠	u13220
U+13221	𓈡	U+33221	𳈡	u13221
U+13222	𓈢	U+33222	𳈢	u13222
U+13223	𓈣	U+33223	𳈣	u13223
U+13224	𓈤	U+33224	𳈤	u13224
U+13225	𓈥	U+33225	𳈥	u13225
U+13226	𓈦	U+33226	𳈦	u13226
U+13227	𓈧	U+33227	𳈧	u13227
U+13228	𓈨	U+33228	𳈨	u13228
U+13229	𓈩	U+33229	𳈩	u13229
U+1322A	𓈪	U+3322A	𳈪	u1322A
U+1322B	𓈫	U+3322B	𳈫	u1322B
U+1322C	𓈬	U+3322C	𳈬	u1322C
U+1322D	𓈭	U+3322D	𳈭	u1322D
U+1322E	𓈮	U+3322E	𳈮	u1322E
U+1322F	𓈯	U+3322F	𳈯	u1322F
U+13230	𓈰	U+33230	𳈰	u13230
U+13231	𓈱	U+33231	𳈱	u13231
U+13232	𓈲	U+33232	𳈲	u13232
U+13233	𓈳	U+33233	𳈳	u13233
U+13234	𓈴	U+33234	𳈴	u13234
U+13235	𓈵	U+33235	𳈵	u13235
U+13236	𓈶	U+33236	𳈶	u13236
U+13237	𓈷	U+33237	𳈷	u13237
U+13238	𓈸	U+33238	𳈸	u13238
U+13239	𓈹	U+33239	𳈹	u13239
U+1323A	𓈺	U+3323A	𳈺	u1323A
U+1323B	𓈻	U+3323B	𳈻	u1323B
U+1323C	𓈼	U+3323C	𳈼	u1323C
U+1323D	𓈽	U+3323D	𳈽	u1323D
U+1323E	𓈾	U+3323E	𳈾	u1323E
U+1323F	𓈿	U+3323F	𳈿	u1323F
U+13240	𓉀	U+33240	𳉀	u13240
U+13241	𓉁	U+33241	𳉁	u13241
U+13242	𓉂	U+33242	𳉂	u13242
U+13243	𓉃	U+33243	𳉃	u13243
U+13244	𓉄	U+33244	𳉄	u13244
U+13245	𓉅	U+33245	𳉅	u13245
U+13246	𓉆	U+33246	𳉆	u13246
U+13247	𓉇	U+33247	𳉇	u13247
U+13248	𓉈	U+33248	𳉈	u13248
U+13249	𓉉	U+33249	𳉉	u13249
U+1324A	𓉊	U+3324A	𳉊	u1324A
U+1324B	𓉋	U+3324B	𳉋	u1324B
U+1324C	𓉌	U+3324C	𳉌	u1324C
U+1324D	𓉍	U+3324D	𳉍	u1324D
U+1324E	𓉎	U+3324E	𳉎	u1324E
U+1324F	𓉏	U+3324F	𳉏	u1324F
U+13250	𓉐	U+33250	𳉐	u13250
U+13251	𓉑	U+33251	𳉑	u13251
U+13252	𓉒	U+33252	𳉒	u13252
U+13253	𓉓	U+33253	𳉓	u13253
U+13254	𓉔	U+33254	𳉔	u13254
U+13255	𓉕	U+33255	𳉕	u13255
U+13256	𓉖	U+33256	𳉖	u13256
U+13257	𓉗	U+33257	𳉗	u13257
U+13258	𓉘	U+33258	𳉘	u13258
U+13259	𓉙	U+33259	𳉙	u13259
U+1325A	𓉚	U+3325A	𳉚	u1325A
U+1325B	𓉛	U+3325B	𳉛	u1325B
U+1325C	𓉜	U+3325C	𳉜	u1325C
U+1325D	𓉝	U+3325D	𳉝	u1325D
U+1325E	𓉞	U+3325E	𳉞	u1325E
U+1325F	𓉟	U+3325F	𳉟	u1325F
U+13260	𓉠	U+33260	𳉠	u13260
U+13261	𓉡	U+33261	𳉡	u13261
U+13262	𓉢	U+33262	𳉢	u13262
U+13263	𓉣	U+33263	𳉣	u13263
U+13264	𓉤	U+33264	𳉤	u13264
U+13265	𓉥	U+33265	𳉥	u13265
U+13266	𓉦	U+33266	𳉦	u13266
U+13267	𓉧	U+33267	𳉧	u13267
U+13268	𓉨	U+33268	𳉨	u13268
U+13269	𓉩	U+33269	𳉩	u13269
U+1326A	𓉪	U+3326A	𳉪	u1326A
U+1326B	𓉫	U+3326B	𳉫	u1326B
U+1326C	𓉬	U+3326C	𳉬	u1326C
U+1326D	𓉭	U+3326D	𳉭	u1326D
U+1326E	𓉮	U+3326E	𳉮	u1326E
U+1326F	𓉯	U+3326F	𳉯	u1326F
U+13270	𓉰	U+33270	𳉰	u13270
U+13271	𓉱	U+33271	𳉱	u13271
U+13272	𓉲	U+33272	𳉲	u13272
U+13273	𓉳	U+33273	𳉳	u13273
U+13274	𓉴	U+33274	𳉴	u13274
U+13275	𓉵	U+33275	𳉵	u13275
U+13276	𓉶	U+33276	𳉶	u13276
U+13277	𓉷	U+33277	𳉷	u13277
U+13278	𓉸	U+33278	𳉸	u13278
U+13279	𓉹	U+33279	𳉹	u13279
U+1327A	𓉺	U+3327A	𳉺	u1327A
U+1327B	𓉻	U+3327B	𳉻	u1327B
U+1327C	𓉼	U+3327C	𳉼	u1327C
U+1327D	𓉽	U+3327D	𳉽	u1327D
U+1327E	𓉾	U+3327E	𳉾	u1327E
U+1327F	𓉿	U+3327F	𳉿	u1327F
U+13280	𓊀	U+33280	𳊀	u13280
U+13281	𓊁	U+33281	𳊁	u13281
U+13282	𓊂	U+33282	𳊂	u13282
U+13283	𓊃	U+33283	𳊃	u13283
U+13284	𓊄	U+33284	𳊄	u13284
U+13285	𓊅	U+33285	𳊅	u13285
U+13286	𓊆	U+33286	𳊆	u13286
U+13287	𓊇	U+33287	𳊇	u13287
U+13288	𓊈	U+33288	𳊈	u13288
U+13289	𓊉	U+33289	𳊉	u13289
U+1328A	𓊊	U+3328A	𳊊	u1328A
U+1328B	𓊋	U+3328B	𳊋	u1328B
U+1328C	𓊌	U+3328C	𳊌	u1328C
U+1328D	𓊍	U+3328D	𳊍	u1328D
U+1328E	𓊎	U+3328E	𳊎	u1328E
U+1328F	𓊏	U+3328F	𳊏	u1328F
U+13290	𓊐	U+33290	𳊐	u13290
U+13291	𓊑	U+33291	𳊑	u13291
U+13292	𓊒	U+33292	𳊒	u13292
U+13293	𓊓	U+33293	𳊓	u13293
U+13294	𓊔	U+33294	𳊔	u13294
U+13295	𓊕	U+33295	𳊕	u13295
U+13296	𓊖	U+33296	𳊖	u13296
U+13297	𓊗	U+33297	𳊗	u13297
U+13298	𓊘	U+33298	𳊘	u13298
U+13299	𓊙	U+33299	𳊙	u13299
U+1329A	𓊚	U+3329A	𳊚	u1329A
U+1329B	𓊛	U+3329B	𳊛	u1329B
U+1329C	𓊜	U+3329C	𳊜	u1329C
U+1329D	𓊝	U+3329D	𳊝	u1329D
U+1329E	𓊞	U+3329E	𳊞	u1329E
U+1329F	𓊟	U+3329F	𳊟	u1329F
U+132A0	𓊠	U+332A0	𳊠	u132A0
U+132A1	𓊡	U+332A1	𳊡	u132A1
U+132A2	𓊢	U+332A2	𳊢	u132A2
U+132A3	𓊣	U+332A3	𳊣	u132A3
U+132A4	𓊤	U+332A4	𳊤	u132A4
U+132A5	𓊥	U+332A5	𳊥	u132A5
U+132A6	𓊦	U+332A6	𳊦	u132A6
U+132A7	𓊧	U+332A7	𳊧	u132A7
U+132A8	𓊨	U+332A8	𳊨	u132A8
U+132A9	𓊩	U+332A9	𳊩	u132A9
U+132AA	𓊪	U+332AA	𳊪	u132AA
U+132AB	𓊫	U+332AB	𳊫	u132AB
U+132AC	𓊬	U+332AC	𳊬	u132AC
U+132AD	𓊭	U+332AD	𳊭	u132AD
U+132AE	𓊮	U+332AE	𳊮	u132AE
U+132AF	𓊯	U+332AF	𳊯	u132AF
U+132B0	𓊰	U+332B0	𳊰	u132B0
U+132B1	𓊱	U+332B1	𳊱	u132B1
U+132B2	𓊲	U+332B2	𳊲	u132B2
U+132B3	𓊳	U+332B3	𳊳	u132B3
U+132B4	𓊴	U+332B4	𳊴	u132B4
U+132B5	𓊵	U+332B5	𳊵	u132B5
U+132B6	𓊶	U+332B6	𳊶	u132B6
U+132B7	𓊷	U+332B7	𳊷	u132B7
U+132B8	𓊸	U+332B8	𳊸	u132B8
U+132B9	𓊹	U+332B9	𳊹	u132B9
U+132BA	𓊺	U+332BA	𳊺	u132BA
U+132BB	𓊻	U+332BB	𳊻	u132BB
U+132BC	𓊼	U+332BC	𳊼	u132BC
U+132BD	𓊽	U+332BD	𳊽	u132BD
U+132BE	𓊾	U+332BE	𳊾	u132BE
U+132BF	𓊿	U+332BF	𳊿	u132BF
U+132C0	𓋀	U+332C0	𳋀	u132C0
U+132C1	𓋁	U+332C1	𳋁	u132C1
U+132C2	𓋂	U+332C2	𳋂	u132C2
U+132C3	𓋃	U+332C3	𳋃	u132C3
U+132C4	𓋄	U+332C4	𳋄	u132C4
U+132C5	𓋅	U+332C5	𳋅	u132C5
U+132C6	𓋆	U+332C6	𳋆	u132C6
U+132C7	𓋇	U+332C7	𳋇	u132C7
U+132C8	𓋈	U+332C8	𳋈	u132C8
U+132C9	𓋉	U+332C9	𳋉	u132C9
U+132CA	𓋊	U+332CA	𳋊	u132CA
U+132CB	𓋋	U+332CB	𳋋	u132CB
U+132CC	𓋌	U+332CC	𳋌	u132CC
U+132CD	𓋍	U+332CD	𳋍	u132CD
U+132CE	𓋎	U+332CE	𳋎	u132CE
U+132CF	𓋏	U+332CF	𳋏	u132CF
U+132D0	𓋐	U+332D0	𳋐	u132D0
U+132D1	𓋑	U+332D1	𳋑	u132D1
U+132D2	𓋒	U+332D2	𳋒	u132D2
U+132D3	𓋓	U+332D3	𳋓	u132D3
U+132D4	𓋔	U+332D4	𳋔	u132D4
U+132D5	𓋕	U+332D5	𳋕	u132D5
U+132D6	𓋖	U+332D6	𳋖	u132D6
U+132D7	𓋗	U+332D7	𳋗	u132D7
U+132D8	𓋘	U+332D8	𳋘	u132D8
U+132D9	𓋙	U+332D9	𳋙	u132D9
U+132DA	𓋚	U+332DA	𳋚	u132DA
U+132DB	𓋛	U+332DB	𳋛	u132DB
U+132DC	𓋜	U+332DC	𳋜	u132DC
U+132DD	𓋝	U+332DD	𳋝	u132DD
U+132DE	𓋞	U+332DE	𳋞	u132DE
U+132DF	𓋟	U+332DF	𳋟	u132DF
U+132E0	𓋠	U+332E0	𳋠	u132E0
U+132E1	𓋡	U+332E1	𳋡	u132E1
U+132E2	𓋢	U+332E2	𳋢	u132E2
U+132E3	𓋣	U+332E3	𳋣	u132E3
U+132E4	𓋤	U+332E4	𳋤	u132E4
U+132E5	𓋥	U+332E5	𳋥	u132E5
U+132E6	𓋦	U+332E6	𳋦	u132E6
U+132E7	𓋧	U+332E7	𳋧	u132E7
U+132E8	𓋨	U+332E8	𳋨	u132E8
U+132E9	𓋩	U+332E9	𳋩	u132E9
U+132EA	𓋪	U+332EA	𳋪	u132EA
U+132EB	𓋫	U+332EB	𳋫	u132EB
U+132EC	𓋬	U+332EC	𳋬	u132EC
U+132ED	𓋭	U+332ED	𳋭	u132ED
U+132EE	𓋮	U+332EE	𳋮	u132EE
U+132EF	𓋯	U+332EF	𳋯	u132EF
U+132F0	𓋰	U+332F0	𳋰	u132F0
U+132F1	𓋱	U+332F1	𳋱	u132F1
U+132F2	𓋲	U+332F2	𳋲	u132F2
U+132F3	𓋳	U+332F3	𳋳	u132F3
U+132F4	𓋴	U+332F4	𳋴	u132F4
U+132F5	𓋵	U+332F5	𳋵	u132F5
U+132F6	𓋶	U+332F6	𳋶	u132F6
U+132F7	𓋷	U+332F7	𳋷	u132F7
U+132F8	𓋸	U+332F8	𳋸	u132F8
U+132F9	𓋹	U+332F9	𳋹	u132F9
U+132FA	𓋺	U+332FA	𳋺	u132FA
U+132FB	𓋻	U+332FB	𳋻	u132FB
U+132FC	𓋼	U+332FC	𳋼	u132FC
U+132FD	𓋽	U+332FD	𳋽	u132FD
U+132FE	𓋾	U+332FE	𳋾	u132FE
U+132FF	𓋿	U+332FF	𳋿	u132FF
U+13300	𓌀	U+33300	𳌀	u13300
U+13301	𓌁	U+33301	𳌁	u13301
U+13302	𓌂	U+33302	𳌂	u13302
U+13303	𓌃	U+33303	𳌃	u13303
U+13304	𓌄	U+33304	𳌄	u13304
U+13305	𓌅	U+33305	𳌅	u13305
U+13306	𓌆	U+33306	𳌆	u13306
U+13307	𓌇	U+33307	𳌇	u13307
U+13308	𓌈	U+33308	𳌈	u13308
U+13309	𓌉	U+33309	𳌉	u13309
U+1330A	𓌊	U+3330A	𳌊	u1330A
U+1330B	𓌋	U+3330B	𳌋	u1330B
U+1330C	𓌌	U+3330C	𳌌	u1330C
U+1330D	𓌍	U+3330D	𳌍	u1330D
U+1330E	𓌎	U+3330E	𳌎	u1330E
U+1330F	𓌏	U+3330F	𳌏	u1330F
U+13310	𓌐	U+33310	𳌐	u13310
U+13311	𓌑	U+33311	𳌑	u13311
U+13312	𓌒	U+33312	𳌒	u13312
U+13313	𓌓	U+33313	𳌓	u13313
U+13314	𓌔	U+33314	𳌔	u13314
U+13315	𓌕	U+33315	𳌕	u13315
U+13316	𓌖	U+33316	𳌖	u13316
U+13317	𓌗	U+33317	𳌗	u13317
U+13318	𓌘	U+33318	𳌘	u13318
U+13319	𓌙	U+33319	𳌙	u13319
U+1331A	𓌚	U+3331A	𳌚	u1331A
U+1331B	𓌛	U+3331B	𳌛	u1331B
U+1331C	𓌜	U+3331C	𳌜	u1331C
U+1331D	𓌝	U+3331D	𳌝	u1331D
U+1331E	𓌞	U+3331E	𳌞	u1331E
U+1331F	𓌟	U+3331F	𳌟	u1331F
U+13320	𓌠	U+33320	𳌠	u13320
U+13321	𓌡	U+33321	𳌡	u13321
U+13322	𓌢	U+33322	𳌢	u13322
U+13323	𓌣	U+33323	𳌣	u13323
U+13324	𓌤	U+33324	𳌤	u13324
U+13325	𓌥	U+33325	𳌥	u13325
U+13326	𓌦	U+33326	𳌦	u13326
U+13327	𓌧	U+33327	𳌧	u13327
U+13328	𓌨	U+33328	𳌨	u13328
U+13329	𓌩	U+33329	𳌩	u13329
U+1332A	𓌪	U+3332A	𳌪	u1332A
U+1332B	𓌫	U+3332B	𳌫	u1332B
U+1332C	𓌬	U+3332C	𳌬	u1332C
U+1332D	𓌭	U+3332D	𳌭	u1332D
U+1332E	𓌮	U+3332E	𳌮	u1332E
U+1332F	𓌯	U+3332F	𳌯	u1332F
U+13330	𓌰	U+33330	𳌰	u13330
U+13331	𓌱	U+33331	𳌱	u13331
U+13332	𓌲	U+33332	𳌲	u13332
U+13333	𓌳	U+33333	𳌳	u13333
U+13334	𓌴	U+33334	𳌴	u13334
U+13335	𓌵	U+33335	𳌵	u13335
U+13336	𓌶	U+33336	𳌶	u13336
U+13337	𓌷	U+33337	𳌷	u13337
U+13338	𓌸	U+33338	𳌸	u13338
U+13339	𓌹	U+33339	𳌹	u13339
U+1333A	𓌺	U+3333A	𳌺	u1333A
U+1333B	𓌻	U+3333B	𳌻	u1333B
U+1333C	𓌼	U+3333C	𳌼	u1333C
U+1333D	𓌽	U+3333D	𳌽	u1333D
U+1333E	𓌾	U+3333E	𳌾	u1333E
U+1333F	𓌿	U+3333F	𳌿	u1333F
U+13340	𓍀	U+33340	𳍀	u13340
U+13341	𓍁	U+33341	𳍁	u13341
U+13342	𓍂	U+33342	𳍂	u13342
U+13343	𓍃	U+33343	𳍃	u13343
U+13344	𓍄	U+33344	𳍄	u13344
U+13345	𓍅	U+33345	𳍅	u13345
U+13346	𓍆	U+33346	𳍆	u13346
U+13347	𓍇	U+33347	𳍇	u13347
U+13348	𓍈	U+33348	𳍈	u13348
U+13349	𓍉	U+33349	𳍉	u13349
U+1334A	𓍊	U+3334A	𳍊	u1334A
U+1334B	𓍋	U+3334B	𳍋	u1334B
U+1334C	𓍌	U+3334C	𳍌	u1334C
U+1334D	𓍍	U+3334D	𳍍	u1334D
U+1334E	𓍎	U+3334E	𳍎	u1334E
U+1334F	𓍏	U+3334F	𳍏	u1334F
U+13350	𓍐	U+33350	𳍐	u13350
U+13351	𓍑	U+33351	𳍑	u13351
U+13352	𓍒	U+33352	𳍒	u13352
U+13353	𓍓	U+33353	𳍓	u13353
U+13354	𓍔	U+33354	𳍔	u13354
U+13355	𓍕	U+33355	𳍕	u13355
U+13356	𓍖	U+33356	𳍖	u13356
U+13357	𓍗	U+33357	𳍗	u13357
U+13358	𓍘	U+33358	𳍘	u13358
U+13359	𓍙	U+33359	𳍙	u13359
U+1335A	𓍚	U+3335A	𳍚	u1335A
U+1335B	𓍛	U+3335B	𳍛	u1335B
U+1335C	𓍜	U+3335C	𳍜	u1335C
U+1335D	𓍝	U+3335D	𳍝	u1335D
U+1335E	𓍞	U+3335E	𳍞	u1335E
U+1335F	𓍟	U+3335F	𳍟	u1335F
U+13360	𓍠	U+33360	𳍠	u13360
U+13361	𓍡	U+33361	𳍡	u13361
U+13362	𓍢	U+33362	𳍢	u13362
U+13363	𓍣	U+33363	𳍣	u13363
U+13364	𓍤	U+33364	𳍤	u13364
U+13365	𓍥	U+33365	𳍥	u13365
U+13366	𓍦	U+33366	𳍦	u13366
U+13367	𓍧	U+33367	𳍧	u13367
U+13368	𓍨	U+33368	𳍨	u13368
U+13369	𓍩	U+33369	𳍩	u13369
U+1336A	𓍪	U+3336A	𳍪	u1336A
U+1336B	𓍫	U+3336B	𳍫	u1336B
U+1336C	𓍬	U+3336C	𳍬	u1336C
U+1336D	𓍭	U+3336D	𳍭	u1336D
U+1336E	𓍮	U+3336E	𳍮	u1336E
U+1336F	𓍯	U+3336F	𳍯	u1336F
U+13370	𓍰	U+33370	𳍰	u13370
U+13371	𓍱	U+33371	𳍱	u13371
U+13372	𓍲	U+33372	𳍲	u13372
U+13373	𓍳	U+33373	𳍳	u13373
U+13374	𓍴	U+33374	𳍴	u13374
U+13375	𓍵	U+33375	𳍵	u13375
U+13376	𓍶	U+33376	𳍶	u13376
U+13377	𓍷	U+33377	𳍷	u13377
U+13378	𓍸	U+33378	𳍸	u13378
U+13379	𓍹	U+33379	𳍹	u13379
U+1337A	𓍺	U+3337A	𳍺	u1337A
U+1337B	𓍻	U+3337B	𳍻	u1337B
U+1337C	𓍼	U+3337C	𳍼	u1337C
U+1337D	𓍽	U+3337D	𳍽	u1337D
U+1337E	𓍾	U+3337E	𳍾	u1337E
U+1337F	𓍿	U+3337F	𳍿	u1337F
U+13380	𓎀	U+33380	𳎀	u13380
U+13381	𓎁	U+33381	𳎁	u13381
U+13382	𓎂	U+33382	𳎂	u13382
U+13383	𓎃	U+33383	𳎃	u13383
U+13384	𓎄	U+33384	𳎄	u13384
U+13385	𓎅	U+33385	𳎅	u13385
U+13386	𓎆	U+33386	𳎆	u13386
U+13387	𓎇	U+33387	𳎇	u13387
U+13388	𓎈	U+33388	𳎈	u13388
U+13389	𓎉	U+33389	𳎉	u13389
U+1338A	𓎊	U+3338A	𳎊	u1338A
U+1338B	𓎋	U+3338B	𳎋	u1338B
U+1338C	𓎌	U+3338C	𳎌	u1338C
U+1338D	𓎍	U+3338D	𳎍	u1338D
U+1338E	𓎎	U+3338E	𳎎	u1338E
U+1338F	𓎏	U+3338F	𳎏	u1338F
U+13390	𓎐	U+33390	𳎐	u13390
U+13391	𓎑	U+33391	𳎑	u13391
U+13392	𓎒	U+33392	𳎒	u13392
U+13393	𓎓	U+33393	𳎓	u13393
U+13394	𓎔	U+33394	𳎔	u13394
U+13395	𓎕	U+33395	𳎕	u13395
U+13396	𓎖	U+33396	𳎖	u13396
U+13397	𓎗	U+33397	𳎗	u13397
U+13398	𓎘	U+33398	𳎘	u13398
U+13399	𓎙	U+33399	𳎙	u13399
U+1339A	𓎚	U+3339A	𳎚	u1339A
U+1339B	𓎛	U+3339B	𳎛	u1339B
U+1339C	𓎜	U+3339C	𳎜	u1339C
U+1339D	𓎝	U+3339D	𳎝	u1339D
U+1339E	𓎞	U+3339E	𳎞	u1339E
U+1339F	𓎟	U+3339F	𳎟	u1339F
U+133A0	𓎠	U+333A0	𳎠	u133A0
U+133A1	𓎡	U+333A1	𳎡	u133A1
U+133A2	𓎢	U+333A2	𳎢	u133A2
U+133A3	𓎣	U+333A3	𳎣	u133A3
U+133A4	𓎤	U+333A4	𳎤	u133A4
U+133A5	𓎥	U+333A5	𳎥	u133A5
U+133A6	𓎦	U+333A6	𳎦	u133A6
U+133A7	𓎧	U+333A7	𳎧	u133A7
U+133A8	𓎨	U+333A8	𳎨	u133A8
U+133A9	𓎩	U+333A9	𳎩	u133A9
U+133AA	𓎪	U+333AA	𳎪	u133AA
U+133AB	𓎫	U+333AB	𳎫	u133AB
U+133AC	𓎬	U+333AC	𳎬	u133AC
U+133AD	𓎭	U+333AD	𳎭	u133AD
U+133AE	𓎮	U+333AE	𳎮	u133AE
U+133AF	𓎯	U+333AF	𳎯	u133AF
U+133B0	𓎰	U+333B0	𳎰	u133B0
U+133B1	𓎱	U+333B1	𳎱	u133B1
U+133B2	𓎲	U+333B2	𳎲	u133B2
U+133B3	𓎳	U+333B3	𳎳	u133B3
U+133B4	𓎴	U+333B4	𳎴	u133B4
U+133B5	𓎵	U+333B5	𳎵	u133B5
U+133B6	𓎶	U+333B6	𳎶	u133B6
U+133B7	𓎷	U+333B7	𳎷	u133B7
U+133B8	𓎸	U+333B8	𳎸	u133B8
U+133B9	𓎹	U+333B9	𳎹	u133B9
U+133BA	𓎺	U+333BA	𳎺	u133BA
U+133BB	𓎻	U+333BB	𳎻	u133BB
U+133BC	𓎼	U+333BC	𳎼	u133BC
U+133BD	𓎽	U+333BD	𳎽	u133BD
U+133BE	𓎾	U+333BE	𳎾	u133BE
U+133BF	𓎿	U+333BF	𳎿	u133BF
U+133C0	𓏀	U+333C0	𳏀	u133C0
U+133C1	𓏁	U+333C1	𳏁	u133C1
U+133C2	𓏂	U+333C2	𳏂	u133C2
U+133C3	𓏃	U+333C3	𳏃	u133C3
U+133C4	𓏄	U+333C4	𳏄	u133C4
U+133C5	𓏅	U+333C5	𳏅	u133C5
U+133C6	𓏆	U+333C6	𳏆	u133C6
U+133C7	𓏇	U+333C7	𳏇	u133C7
U+133C8	𓏈	U+333C8	𳏈	u133C8
U+133C9	𓏉	U+333C9	𳏉	u133C9
U+133CA	𓏊	U+333CA	𳏊	u133CA
U+133CB	𓏋	U+333CB	𳏋	u133CB
U+133CC	𓏌	U+333CC	𳏌	u133CC
U+133CD	𓏍	U+333CD	𳏍	u133CD
U+133CE	𓏎	U+333CE	𳏎	u133CE
U+133CF	𓏏	U+333CF	𳏏	u133CF
U+133D0	𓏐	U+333D0	𳏐	u133D0
U+133D1	𓏑	U+333D1	𳏑	u133D1
U+133D2	𓏒	U+333D2	𳏒	u133D2
U+133D3	𓏓	U+333D3	𳏓	u133D3
U+133D4	𓏔	U+333D4	𳏔	u133D4
U+133D5	𓏕	U+333D5	𳏕	u133D5
U+133D6	𓏖	U+333D6	𳏖	u133D6
U+133D7	𓏗	U+333D7	𳏗	u133D7
U+133D8	𓏘	U+333D8	𳏘	u133D8
U+133D9	𓏙	U+333D9	𳏙	u133D9
U+133DA	𓏚	U+333DA	𳏚	u133DA
U+133DB	𓏛	U+333DB	𳏛	u133DB
U+133DC	𓏜	U+333DC	𳏜	u133DC
U+133DD	𓏝	U+333DD	𳏝	u133DD
U+133DE	𓏞	U+333DE	𳏞	u133DE
U+133DF	𓏟	U+333DF	𳏟	u133DF
U+133E0	𓏠	U+333E0	𳏠	u133E0
U+133E1	𓏡	U+333E1	𳏡	u133E1
U+133E2	𓏢	U+333E2	𳏢	u133E2
U+133E3	𓏣	U+333E3	𳏣	u133E3
U+133E4	𓏤	U+333E4	𳏤	u133E4
U+133E5	𓏥	U+333E5	𳏥	u133E5
U+133E6	𓏦	U+333E6	𳏦	u133E6
U+133E7	𓏧	U+333E7	𳏧	u133E7
U+133E8	𓏨	U+333E8	𳏨	u133E8
U+133E9	𓏩	U+333E9	𳏩	u133E9
U+133EA	𓏪	U+333EA	𳏪	u133EA
U+133EB	𓏫	U+333EB	𳏫	u133EB
U+133EC	𓏬	U+333EC	𳏬	u133EC
U+133ED	𓏭	U+333ED	𳏭	u133ED
U+133EE	𓏮	U+333EE	𳏮	u133EE
U+133EF	𓏯	U+333EF	𳏯	u133EF
U+133F0	𓏰	U+333F0	𳏰	u133F0
U+133F1	𓏱	U+333F1	𳏱	u133F1
U+133F2	𓏲	U+333F2	𳏲	u133F2
U+133F3	𓏳	U+333F3	𳏳	u133F3
U+133F4	𓏴	U+333F4	𳏴	u133F4
U+133F5	𓏵	U+333F5	𳏵	u133F5
U+133F6	𓏶	U+333F6	𳏶	u133F6
U+133F7	𓏷	U+333F7	𳏷	u133F7
U+133F8	𓏸	U+333F8	𳏸	u133F8
U+133F9	𓏹	U+333F9	𳏹	u133F9
U+133FA	𓏺	U+333FA	𳏺	u133FA
U+133FB	𓏻	U+333FB	𳏻	u133FB
U+133FC	𓏼	U+333FC	𳏼	u133FC
U+133FD	𓏽	U+333FD	𳏽	u133FD
U+133FE	𓏾	U+333FE	𳏾	u133FE
U+133FF	𓏿	U+333FF	𳏿	u133FF
U+13400	𓐀	U+33400	𳐀	u13400
U+13401	𓐁	U+33401	𳐁	u13401
U+13402	𓐂	U+33402	𳐂	u13402
U+13403	𓐃	U+33403	𳐃	u13403
U+13404	𓐄	U+33404	𳐄	u13404
U+13405	𓐅	U+33405	𳐅	u13405
U+13406	𓐆	U+33406	𳐆	u13406
U+13407	𓐇	U+33407	𳐇	u13407
U+13408	𓐈	U+33408	𳐈	u13408
U+13409	𓐉	U+33409	𳐉	u13409
U+1340A	𓐊	U+3340A	𳐊	u1340A
U+1340B	𓐋	U+3340B	𳐋	u1340B
U+1340C	𓐌	U+3340C	𳐌	u1340C
U+1340D	𓐍	U+3340D	𳐍	u1340D
U+1340E	𓐎	U+3340E	𳐎	u1340E
U+1340F	𓐏	U+3340F	𳐏	u1340F
U+13410	𓐐	U+33410	𳐐	u13410
U+13411	𓐑	U+33411	𳐑	u13411
U+13412	𓐒	U+33412	𳐒	u13412
U+13413	𓐓	U+33413	𳐓	u13413
U+13414	𓐔	U+33414	𳐔	u13414
U+13415	𓐕	U+33415	𳐕	u13415
U+13416	𓐖	U+33416	𳐖	u13416
U+13417	𓐗	U+33417	𳐗	u13417
U+13418	𓐘	U+33418	𳐘	u13418
U+13419	𓐙	U+33419	𳐙	u13419
U+1341A	𓐚	U+3341A	𳐚	u1341A
U+1341B	𓐛	U+3341B	𳐛	u1341B
U+1341C	𓐜	U+3341C	𳐜	u1341C
U+1341D	𓐝	U+3341D	𳐝	u1341D
U+1341E	𓐞	U+3341E	𳐞	u1341E
U+1341F	𓐟	U+3341F	𳐟	u1341F
U+13420	𓐠	U+33420	𳐠	u13420
U+13421	𓐡	U+33421	𳐡	u13421
U+13422	𓐢	U+33422	𳐢	u13422
U+13423	𓐣	U+33423	𳐣	u13423
U+13424	𓐤	U+33424	𳐤	u13424
U+13425	𓐥	U+33425	𳐥	u13425
U+13426	𓐦	U+33426	𳐦	u13426
U+13427	𓐧	U+33427	𳐧	u13427
U+13428	𓐨	U+33428	𳐨	u13428
U+13429	𓐩	U+33429	𳐩	u13429
U+1342A	𓐪	U+3342A	𳐪	u1342A
U+1342B	𓐫	U+3342B	𳐫	u1342B
U+1342C	𓐬	U+3342C	𳐬	u1342C
U+1342D	𓐭	U+3342D	𳐭	u1342D
U+1342E	𓐮	U+3342E	𳐮	u1342E
