# Proto-Elamite CDLI sign name → Unicode character mapping
# Extracted from L2/23-196 (Pandey 2023)
# Format: CDLI_Name<TAB>Char<TAB>U+codepoint
# Total: 1636 signs

M036+M035	𛶛	U+1BD9B	𛶎 𛶍
M036+M343~e	𛶜	U+1BD9C	𛶎 𜈷
M036+M343~h	𛶝	U+1BD9D	𛶎 𜈸
M036~a	𛶞	U+1BD9E
M037	𛶟	U+1BD9F
M037~a	𛶠	U+1BDA0
M038~a	𛶡	U+1BDA1
M038~a1	𛶢	U+1BDA2
M038~a2	𛶣	U+1BDA3
M038~b	𛶤	U+1BDA4
M038~b1	𛶥	U+1BDA5
M038~b2	𛶦	U+1BDA6
M038~c	𛶧	U+1BDA7
M038~e	𛶨	U+1BDA8
M038~e1	𛶩	U+1BDA9
M038~f	𛶪	U+1BDAA
M038~h	𛶫	U+1BDAB
M038~i	𛶬	U+1BDAC
M039	𛶭	U+1BDAD
M039+1(N30D)	𛶮	U+1BDAE	𛶭 𛴐
M039~a	𛶯	U+1BDAF
M039~b	𛶰	U+1BDB0
M039~c	𛶱	U+1BDB1
M039~c1	𛶲	U+1BDB2
M039~c+1(N30D)	𛶳	U+1BDB3	𛶱 𛴐
M039~ca+1(N30D)	𛶴	U+1BDB4	[M039~ca?] 𛴐
M039~d	𛶵	U+1BDB5
M039~e	𛶶	U+1BDB6
M039~f	𛶷	U+1BDB7
M039~g	𛶸	U+1BDB8
M041	𛶹	U+1BDB9
M041~c	𛶺	U+1BDBA
M041~d	𛶻	U+1BDBB
M041~e	𛶼	U+1BDBC
M041~f	𛶽	U+1BDBD
M041~g	𛶾	U+1BDBE
M041~j	𛶿	U+1BDBF
M043	𛷀	U+1BDC0
M043~a	𛷁	U+1BDC1
M044	𛷂	U+1BDC2
M044~a	𛷃	U+1BDC3
M044~b	𛷄	U+1BDC4
M044~m	𛷅	U+1BDC5
M045~b	𛷆	U+1BDC6
M046	𛷇	U+1BDC7
M046~1	𛷈	U+1BDC8
M046~a	𛷉	U+1BDC9
M047	𛷊	U+1BDCA
M048~c	𛷋	U+1BDCB
M048~d	𛷌	U+1BDCC
M048~e	𛷍	U+1BDCD
M048~g	𛷎	U+1BDCE
M048~i	𛷏	U+1BDCF
M048~k	𛷐	U+1BDD0
M049~b	𛷑	U+1BDD1
M049~c	𛷒	U+1BDD2
M049~c1	𛷓	U+1BDD3
M049~d	𛷔	U+1BDD4
M049~da	𛷕	U+1BDD5
M049~e	𛷖	U+1BDD6
M049~m	𛷗	U+1BDD7
M049~n	𛷘	U+1BDD8
M050~f	𛷙	U+1BDD9
M050~k	𛷚	U+1BDDA
M050~k1	𛷛	U+1BDDB
M050~k2	𛷜	U+1BDDC
M050~k3	𛷝	U+1BDDD
M050~k4	𛷞	U+1BDDE
M050~m	𛷟	U+1BDDF
M050~n	𛷠	U+1BDE0
M050~p	𛷡	U+1BDE1
M050~q	𛷢	U+1BDE2
M051~a	𛷣	U+1BDE3
M051~b	𛷤	U+1BDE4
M051~c	𛷥	U+1BDE5
M052~a	𛷦	U+1BDE6
M052~b	𛷧	U+1BDE7
M053~a	𛷨	U+1BDE8
M053~b	𛷩	U+1BDE9
M054	𛷪	U+1BDEA
M054+M365+M054~i	𛷫	U+1BDEB	𛷪 𜊅 𛷰
M054+M384~i+M054~i	𛷬	U+1BDEC	𛷪 𜋳 𛷰
M054+M393~f+M054~i	𛷭	U+1BDED	𛷪 𜌛 𛷰
M054~b	𛷮	U+1BDEE
M054~c	𛷯	U+1BDEF
M054~i	𛷰	U+1BDF0
M056	𛷱	U+1BDF1
M056~e	𛷲	U+1BDF2
M056~f	𛷳	U+1BDF3
M056~g	𛷴	U+1BDF4
M056~n	𛷵	U+1BDF5
M057	𛷶	U+1BDF6
M057+M291	𛷷	U+1BDF7	𛷶 𜅇
M057~a	𛷸	U+1BDF8
M057~a1	𛷹	U+1BDF9
M057~a2	𛷺	U+1BDFA
M057~a4	𛷻	U+1BDFB
M057~b	𛷼	U+1BDFC
M057~b1	𛷽	U+1BDFD
M057~d	𛷾	U+1BDFE
M057~e	𛷿	U+1BDFF
M057~f	𛸀	U+1BE00
M057~i	𛸁	U+1BE01
M057~n	𛸂	U+1BE02
M058	𛸃	U+1BE03
M058~b	𛸄	U+1BE04
M059	𛸅	U+1BE05
M059+M038~a	𛸆	U+1BE06	𛸅 𛶡
M059~a	𛸇	U+1BE07
M059~b	𛸈	U+1BE08
M059~d	𛸉	U+1BE09
M059~f	𛸊	U+1BE0A
M059~f1	𛸋	U+1BE0B
M059~g	𛸌	U+1BE0C
M061	𛸍	U+1BE0D
M061~a	𛸎	U+1BE0E
M061~b	𛸏	U+1BE0F
M062	𛸐	U+1BE10
M062~b	𛸑	U+1BE11
M063	𛸒	U+1BE12
M063~a	𛸓	U+1BE13
M064	𛸔	U+1BE14
M064~a	𛸕	U+1BE15
M064~d	𛸖	U+1BE16
M066	𛸗	U+1BE17
M066~a	𛸘	U+1BE18
M066~a1	𛸙	U+1BE19
M066~a2	𛸚	U+1BE1A
M066~g	𛸛	U+1BE1B
M066~h	𛸜	U+1BE1C
M068~a	𛸝	U+1BE1D
M068~b	𛸞	U+1BE1E
M068~c	𛸟	U+1BE1F
M069~a	𛸠	U+1BE20
M069~ab	𛸡	U+1BE21
M069~ad	𛸢	U+1BE22
M069~b	𛸣	U+1BE23
M069~g	𛸤	U+1BE24
M071~a	𛸥	U+1BE25
M071~d	𛸦	U+1BE26
M072	𛸧	U+1BE27
M072~a	𛸨	U+1BE28
M073~a	𛸩	U+1BE29
M073~b	𛸪	U+1BE2A
M073~b1	𛸫	U+1BE2B
M073~c	𛸬	U+1BE2C
M073~d	𛸭	U+1BE2D
M074~a	𛸮	U+1BE2E
M074~b	𛸯	U+1BE2F
M074~d	𛸰	U+1BE30
M074~f	𛸱	U+1BE31
M074~g	𛸲	U+1BE32
M075~a	𛸳	U+1BE33
M075~ab	𛸴	U+1BE34
M075~e	𛸵	U+1BE35
M075~ff	𛸶	U+1BE36
M075~g	𛸷	U+1BE37
M075~ga	𛸸	U+1BE38
M075~h	𛸹	U+1BE39
M075~k	𛸺	U+1BE3A
M075~m	𛸻	U+1BE3B
M075~o	𛸼	U+1BE3C
M075~o1	𛸽	U+1BE3D
M075~o2	𛸾	U+1BE3E
M075~r	𛸿	U+1BE3F
M075~s	𛹀	U+1BE40
M076~a	𛹁	U+1BE41
M076~c	𛹂	U+1BE42
M076~d	𛹃	U+1BE43
M076~e	𛹄	U+1BE44
M077	𛹅	U+1BE45
M080~a	𛹆	U+1BE46
M080~b	𛹇	U+1BE47
M080~c	𛹈	U+1BE48
M080~ca	𛹉	U+1BE49
M080~d	𛹊	U+1BE4A
M080~f	𛹋	U+1BE4B
M081	𛹌	U+1BE4C
M081~1	𛹍	U+1BE4D
M084	𛹎	U+1BE4E
M085	𛹏	U+1BE4F
M086	𛹐	U+1BE50
M087	𛹑	U+1BE51
M087~b	𛹒	U+1BE52
M088	𛹓	U+1BE53
M089	𛹔	U+1BE54
M090	𛹕	U+1BE55
M091~a	𛹖	U+1BE56
M092	𛹗	U+1BE57
M093	𛹘	U+1BE58
M093~a	𛹙	U+1BE59
M094~e	𛹚	U+1BE5A
M094~i	𛹛	U+1BE5B
M096	𛹜	U+1BE5C
M096~1	𛹝	U+1BE5D
M096~2	𛹞	U+1BE5E
M096~3	𛹟	U+1BE5F
M096+M029	𛹠	U+1BE60	𛹜 𛵷
M096+M139	𛹡	U+1BE61	𛹜 𛼌
M096~c	𛹢	U+1BE62
M096~d	𛹣	U+1BE63
M097~f	𛹤	U+1BE64
M097~h	𛹥	U+1BE65
M098	𛹦	U+1BE66
M099	𛹧	U+1BE67
M099~a	𛹨	U+1BE68
M099~b	𛹩	U+1BE69
M101	𛹪	U+1BE6A
M101~b	𛹫	U+1BE6B
M102~a	𛹬	U+1BE6C
M102~c	𛹭	U+1BE6D
M102~d	𛹮	U+1BE6E
M102~d1	𛹯	U+1BE6F
M102~da	𛹰	U+1BE70
M102~e	𛹱	U+1BE71
M102~e(2)	𛹲	U+1BE72
M102~k	𛹳	U+1BE73
M102~k1	𛹴	U+1BE74
M102~k2	𛹵	U+1BE75
M102~l	𛹶	U+1BE76
M102~m	𛹷	U+1BE77
M103	𛹸	U+1BE78
M103~1	𛹹	U+1BE79
M103~2	𛹺	U+1BE7A
M103~3	𛹻	U+1BE7B
M103~d	𛹼	U+1BE7C
M104	𛹽	U+1BE7D
M105	𛹾	U+1BE7E
M105~a	𛹿	U+1BE7F
M105~ab	𛺀	U+1BE80
M105~b	𛺁	U+1BE81
M105~e	𛺂	U+1BE82
M105~g	𛺃	U+1BE83
M106	𛺄	U+1BE84
M106~1	𛺅	U+1BE85
M106+M096~c	𛺆	U+1BE86	𛺄 𛹢
M106+M288	𛺇	U+1BE87	𛺄 𜄱
M106+M288~1	𛺈	U+1BE88	𛺄 [M288~1?]
M106~a	𛺉	U+1BE89
M106~b	𛺊	U+1BE8A
M107~a	𛺋	U+1BE8B
M109	𛺌	U+1BE8C
M110	𛺍	U+1BE8D
M110~a	𛺎	U+1BE8E
M110~b	𛺏	U+1BE8F
M110~c	𛺐	U+1BE90
M111	𛺑	U+1BE91
M111~a	𛺒	U+1BE92
M111~b	𛺓	U+1BE93
M111~c	𛺔	U+1BE94
M111~d	𛺕	U+1BE95
M111~e	𛺖	U+1BE96
M111~f	𛺗	U+1BE97
M111~g	𛺘	U+1BE98
M111~h	𛺙	U+1BE99
M111~i	𛺚	U+1BE9A
M111~j1	𛺛	U+1BE9B
M111~j2	𛺜	U+1BE9C
M111~l	𛺝	U+1BE9D
M111~m	𛺞	U+1BE9E
M111~n	𛺟	U+1BE9F
M111~o	𛺠	U+1BEA0
M111~o1	𛺡	U+1BEA1
M111~p	𛺢	U+1BEA2
M112	𛺣	U+1BEA3
M112~1	𛺤	U+1BEA4
M112~a	𛺥	U+1BEA5
M112~aa	𛺦	U+1BEA6
M112~b	𛺧	U+1BEA7
M112~c	𛺨	U+1BEA8
M112~d	𛺩	U+1BEA9
M112~e	𛺪	U+1BEAA
M112~e1	𛺫	U+1BEAB
M112~f	𛺬	U+1BEAC
M112~i	𛺭	U+1BEAD
M112~n	𛺮	U+1BEAE
M112~o	𛺯	U+1BEAF
M112~p	𛺰	U+1BEB0
M112~q	𛺱	U+1BEB1
M112~r	𛺲	U+1BEB2
M114	𛺳	U+1BEB3
M115	𛺴	U+1BEB4
M115~a	𛺵	U+1BEB5
M115~b	𛺶	U+1BEB6
M117	𛺷	U+1BEB7
M120	𛺸	U+1BEB8
M122	𛺹	U+1BEB9
M122~1	𛺺	U+1BEBA
M122~2	𛺻	U+1BEBB
M122~3	𛺼	U+1BEBC
M122~4	𛺽	U+1BEBD
M122~5	𛺾	U+1BEBE
M122~6	𛺿	U+1BEBF
M123~b	𛻀	U+1BEC0
M123~ca	𛻁	U+1BEC1
M123~d	𛻂	U+1BEC2
M124	𛻃	U+1BEC3
M124~a	𛻄	U+1BEC4
M124~b	𛻅	U+1BEC5
M124~c	𛻆	U+1BEC6
M125	𛻇	U+1BEC7
M125~a	𛻈	U+1BEC8
M125~b	𛻉	U+1BEC9
M126	𛻊	U+1BECA
M127+M127	𛻋	U+1BECB	[M127?] [M127?]
M128	𛻌	U+1BECC
M128~1	𛻍	U+1BECD
M128~ca	𛻎	U+1BECE
M128~d	𛻏	U+1BECF
M128~da	𛻐	U+1BED0
M128~da1	𛻑	U+1BED1
M128~db	𛻒	U+1BED2
M128~dc	𛻓	U+1BED3
M128~dd	𛻔	U+1BED4
M128~de	𛻕	U+1BED5
M128~e	𛻖	U+1BED6
M128~ef	𛻗	U+1BED7
M129	𛻘	U+1BED8
M129~b	𛻙	U+1BED9
M130~b	𛻚	U+1BEDA
M131	𛻛	U+1BEDB
M131+M388	𛻜	U+1BEDC	𛻛 𜌓
M131~a	𛻝	U+1BEDD
M131~d	𛻞	U+1BEDE
