Code 	Canonical name 	Family 	Scripts 	Other names 	Sort? 	Diacr?
bnd 	Banda 	Central Maluku 	Latn 	Banda (Indonesia) 		
bne 	Bintauna 	Philippine 	Latn 			
bnf 	Masiwang 	Central Maluku 	Latn 	Bonfia 		
bng 	Benga 	Bantu 	Latn 			
bni 	Bangi 	Bantu 	Latn 	Bobangi, Bubangi 		
bnj 	Eastern Tawbuid 	Philippine 	Latn 			
bnk 	Bierebo 	North-Central Vanuatu 	Latn 			
bnl 	Boon 	Cushitic 	Latn 			
bnm 	Batanga 	Bantu 	Latn 			
bnn 	Bunun 	Austronesian 	Latn 			
bno 	Asi 	Philippine 	Latn 			
bnp 	Bola 	Western Oceanic 	Latn 			
bnq 	Bantik 	Malayo-Polynesian 	Latn 			
bnr 	Butmas-Tur 	North-Central Vanuatu 	Latn 			
bns 	Bundeli 	Indo-Aryan 	Deva 	Bundelkhandi 		
bnu 	Bentong 	South Sulawesi 	Latn 			
bnv 	Beneraf 	Tor-Kwerba 	Latn 			
bnw 	Bisis 	Sepik 	Latn 			
bnx 	Bangubangu 	Bantu 	Latn 			
bny 	Bintulu 	North Sarawakan 	Latn 			
bnz 	Beezen 	Benue-Congo 	Latn 			
boa 	Bora 	Boran 	Latn 			
bob 	Aweer 	Cushitic 	Latn 			
boe 	Mundabli 	Bantoid 	Latn 			
bof 	Bolon 	Mande 	Latn 			
bog 	Bamako Sign Language 	sign 				
boh 	Boma 	Bantu 	Latn 			
boi 	Barbareño 	Chumashan 	Latn 			
boj 	Anjam 	Madang 	Latn 			
bok 	Bonjo 	Atlantic-Congo 	Latn 			
bol 	Bole 	West Chadic 	Latn 			
bom 	Berom 	Atlantic-Congo 	Latn 	Birom 		
bon 	Bine 	Papuan 	Latn 			
boo 	Tiemacèwè Bozo 	Mande 	Latn 			
bop 	Bonkiman 	Finisterre 	Latn 			
boq 	Bogaya 	Trans-New Guinea 	Latn 			
bor 	Borôro 	Macro-Jê 	Latn 			
bot 	Bongo 	Central Sudanic 	Latn 			
bou 	Bondei 	Bantu 	Latn 	Boondei, Boondéi 		
bov 	Tuwuli 	Kwa 	Latn 	Bowili, Bowiri, Liwuli, Siwuri, Tuwili, Tora 		
bow 	Rema 	Papuan 	Latn 	Bothar 		
box 	Buamu 	Gur 	Latn 	Bwamu 		
boy 	Bodo (Central Africa) 	Bantu 	Latn 	Bodo (Central African Republic), Bodo 		
boz 	Tiéyaxo Bozo 	Mande 	Latn 			
bpa 	Dakaka 	North-Central Vanuatu 	Latn 	Daakaka, South Ambrym, Baiap 		
bpb 	Barbacoas 	Barbacoan 	Latn 	Pasto 		
bpd 	Banda-Banda 	Banda 	Latn 			
bpg 	Bonggo 	Western Oceanic 	Latn 			
bph 	Botlikh 	Avaro-Andian 	Cyrl 	Botlix 		
bpi 	Bagupi 	Madang 	Latn 			
bpj 	Binji 	Bantu 	Latn 			
bpk 	Orowe 	New Caledonian 	Latn 			
bpl 	Broome Pearling Lugger Pidgin 	creole or pidgin 	Latn 			
bpm 	Biyom 	Madang 	Latn 			
bpn 	Dzao Min 	Mien 				
bpo 	Anasi 	East Geelvink Bay 	Latn 			
bpp 	Kaure 	Papuan 	Latn 			
bpq 	Banda Malay 	creole or pidgin 	Latn 			
bpr 	Koronadal Blaan 	Philippine 	Latn 			
bps 	Sarangani Blaan 	Philippine 	Latn 			
bpt 	Barrow Point 	Paman 	Latn 			
bpu 	Bongu 	Madang 	Latn 			
bpv 	Bian Marind 	Trans-New Guinea 	Latn 			
bpx 	Palya Bareli 	Bhil 				
bpy 	Bishnupriya Manipuri 	Indo-Aryan 	Beng 	Bishnupriya, Manipuri Bishnupriya 		
bpz 	Bilba 	Timoric 	Latn 			
bqa 	Tchumbuli 	Kwa 	Latn 			
bqb 	Bagusa 	Tor-Kwerba 	Latn 			
bqc 	Boko 	Mande 	Latn 	Boko (Benin) 		
bqd 	Bung 	Atlantic-Congo 	Latn 			
bqf 	Baga Kaloum 	Atlantic-Congo 	Latn 			
bqg 	Bago-Kusuntu 	Atlantic-Congo 				
bqh 	Baima 	Qiangic 				
bqi 	Bakhtiari 	Southwestern Iranian 	fa-Arab 			
bqj 	Bandial 	Atlantic-Congo 	Latn 			
bqk 	Banda-Mbrès 	Ubangian 	Latn 			
bql 	Bilakura 	Madang 	Latn 			
bqm 	Wumboko 	Bantu 	Latn 			
bqn 	Bulgarian Sign Language 	sign 				
bqo 	Balo 	Grassfields 	Latn 			
bqp 	Busa 	Mande 	Latn 			
bqq 	Biritai 	Lakes Plain 	Latn 			
bqr 	Burusu 	Sabahan 	Latn 			
bqs 	Bosngun 	Papuan 	Latn 			
bqt 	Bamukumbit 	Bantoid 	Latn 			
bqu 	Boguru 	Bantu 	Latn 			
bqv 	Begbere-Ejar 	Benue-Congo 	Latn 			
bqw 	Buru (Nigeria) 	Bantoid 	Latn 	Buru 		
bqx 	Baangi 	Kainji 	Latn 			
bqy 	Bengkala Sign Language 	sign 				
bqz 	Bakaka 	Bantu 	Latn 			
bra 	Braj 	Indo-Aryan 	Deva 	Braj Bhasha 		
brb 	Lave 	Bahnaric 		Laveh, Rawe, Brao 		
brc 	Berbice Creole Dutch 	creole or pidgin 	Latn 	Berbice Dutch, Berbice Dutch Creole, Berbice Creole 		
brd 	Baraamu 	Tibeto-Burman 	Deva 			
brf 	Bera 	Bantu 	Latn 	Bira 		
brg 	Baure 	Arawakan 	Latn 	Bauré 		
brh 	Brahui 	Dravidian 	Arab, Latn 			
bri 	Mokpwe 	Bantu 	Latn 			
brj 	Bieria 	North-Central Vanuatu 	Latn 			
brk 	Birgid 	Nubian 	Latn 	Birked 		
brl 	Birwa 	Sotho-Tswana 	Latn 	Sebirwa 		
brm 	Barambu 	Zande 	Latn 			
brn 	Boruca 	Chibchan 	Latn 			
bro 	Brokkat 	Tibeto-Burman 	Tibt, Latn 			
brp 	Barapasi 	East Geelvink Bay 	Latn 			
brq 	Breri 	Papuan 	Latn 			
brr 	Birao 	Southeast Solomonic 	Latn 			
brs 	Baras 	Malayo-Polynesian 	Latn 	Ende, West Kaili 		
brt 	Bitare 	Bantoid 	Latn 	Njwande 		
bru 	Eastern Bru 	Katuic 	Latn, Laoo, Thai 			
brv 	Western Bru 	Katuic 	Latn, Laoo 			
brw 	Bellari 	Dravidian 				
brx 	Bodo (India) 	Bodo-Garo 	Deva, Latn 	Bodo, Mech 		
bry 	Burui 	Sepik 	Latn 			
brz 	Bilbil 	Western Oceanic 	Latn 			
bsa 	Abinomn 	isolate 	Latn 			
bsb 	Brunei Bisaya 	Sabahan 	Latn 			
bsc 	Bassari 	Senegambian 	Latn 	Basari, Oniyan, Onian, Onëyan, Ayan, Biyan, Wo 		
bse 	Wushi 	Grassfields 	Latn 	Babessi 		
bsf 	Bauchi 	Kainji 	Latn 			
bsg 	Bashkardi 	Southwestern Iranian 	fa-Arab, Latn 			
bsh 	Kamkata-viri 	Northern Nuristani 	Latn, Arab 	Kati 		
bsi 	Bassossi 	Bantu 	Latn 			
bsj 	Bangwinji 	Atlantic-Congo 	Latn 			
bsk 	Burushaski 	isolate 	Latn 			
bsl 	Basa-Gumna 	Kainji 	Latn 			
bsm 	Busami 	Halmahera-Cenderawasih 	Latn 			
bsn 	Barasana 	Tucanoan 	Latn 			
bso 	Buso 	East Chadic 	Latn 			
bsp 	Baga Sitemu 	Atlantic-Congo 	Latn 			
bsq 	Bassa 	Kru 	Latn, Bass 			
bsr 	Bassa-Kontagora 	Kainji 	Latn 	Basa-Kontagora 		
bss 	Akoose 	Bantu 	Latn 			
bst 	Basketo 	Omotic 	Ethi 	Basketto, Baskatta, Mesketo, Misketto 		
bsu 	Bahonsuai 	Bungku-Tolaki 	Latn 			
bsv 	Baga Sobané 	Atlantic-Congo 	Latn 			
bsw 	Baiso 	Cushitic 	Latn 			
bsx 	Yangkam 	Bantoid 	Latn 			
bsy 	Sabah Bisaya 	Sabahan 	Latn 			
bta 	Bata 	Central Chadic 	Latn 			
btc 	Bati (Cameroon) 	Benue-Congo 	Latn 	Bati 		
btd 	Dairi Batak 	Batak 	Latn, Batk 	Batak Dairi 		
bte 	Gamo-Ningi 	Kainji 	Latn 			
btf 	Birgit 	East Chadic 	Latn 			
btg 	Gagnoa Bété 	Kru 	Latn 			
bth 	Biatah Bidayuh 	Land Dayak 	Latn 			
bti 	Burate 	East Geelvink Bay 	Latn 			
btj 	Bacanese Malay 	Malayic 	Latn 			
btm 	Mandailing Batak 	Batak 	Latn, Batk 	Batak Mandailing 		
btn 	Ratagnon 	Philippine 	Latn 			
bto 	Iriga Bicolano 	Philippine 	Latn 			
btp 	Budibud 	Western Oceanic 	Latn 			
btq 	Batek 	Aslian 	Latn 			
btr 	Baetora 	North-Central Vanuatu 	Latn 			
bts 	Simalungun Batak 	Batak 	Latn, Batk 	Batak Simalungun 		
btt 	Bete-Bendi 	Benue-Congo 	Latn 			
btu 	Batu 	Bantoid 	Latn 			
btv 	Bateri 	Dardic 	Deva 			
btw 	Butuanon 	Philippine 	Latn 			
btx 	Karo Batak 	Batak 	Latn, Batk 	Batak Karo 		
bty 	Bobot 	Central Maluku 	Latn 			
btz 	Alas-Kluet Batak 	Batak 	Latn, Batk 	Batak Alas-Kluet 		
bua 	Buryat 	Mongolic 	Cyrl 	Buriat 		
bub 	Bua 	Savanna 	Latn 			
bud 	Ntcham 	Gur 	Latn 	Tobote, Ncam, Basar, Basari 		
bue 	Beothuk 		Latn 			
buf 	Bushoong 	Bantu 	Latn 			
bug 	Buginese 	South Sulawesi 	Bugi, Latn 			
buh 	Younuo Bunu 	Hmong 	Latn 	Yuno 		
bui 	Bongili 	Bantu 	Latn 			
buj 	Basa-Gurmana 	Kainji 	Latn 			
buk 	Bukawa 	Western Oceanic 	Latn 	Bukaua, Bugawac, Gawac 		
bum 	Bulu (Cameroon) 	Bantu 	Latn 	Bulu 		
bun 	Sherbro 	Atlantic-Congo 	Latn 			
buo 	Terei 	South Bougainville 	Latn 			
bup 	Busoa 	Malayo-Polynesian 	Latn 			
buq 	Brem 	Trans-New Guinea 	Latn 	Barem, Bunabun, Bububun, Bunubun 		
bus 	Bokobaru 	Mande 	Latn 			
but 	Bungain 	Torricelli 	Latn 			
buu 	Budu 	Bantu 	Latn 			
buv 	Bun 	Yuat 	Latn 			
buw 	Bubi 	Bantu 	Latn 			
bux 	Boghom 	West Chadic 	Latn 			
buy 	Mmani 	Atlantic-Congo 	Latn 	Mani, Bullom So, Mandingi 		
bva 	Barein 	East Chadic 	Latn 			
bvb 	Bube 	Bantu 	Latn 			
bvc 	Baelelea 	Southeast Solomonic 	Latn 			
bvd 	Baeggu 	Southeast Solomonic 	Latn 	Mbaenggu, Baegu 		
bve 	Berau Malay 	Malayic 	Latn 			
bvf 	Boor 	East Chadic 	Latn 			
bvg 	Bonkeng 	Bantu 	Latn 			
bvh 	Bure 	Chadic 	Latn 			
bvi 	Belanda Viri 	Ubangian 	Latn 			
bvj 	Baan 	Benue-Congo 	Latn 			
bvk 	Bukat 	North Bornean 	Latn 			
bvl 	Bolivian Sign Language 	sign 	Latn 			
bvm 	Bamunka 	Grassfields 	Latn 			
bvn 	Buna 	Torricelli 	Latn 			
bvo 	Bolgo 	Savanna 	Latn 			
bvp 	Bumang 	Palaungic 				
bvq 	Birri 	Central Sudanic 	Latn 			
bvr 	Burarra 	Arnhem 	Latn 			
bvt 	Bati (Indonesia) 	Central Maluku 	Latn 	Bati 		
bvu 	Bukit Malay 	Malayic 	Latn 			
bvv 	Baniva 	Arawakan 	Latn 			
bvw 	Boga 	Central Chadic 	Latn 			
bvx 	Babole 	Bantu 	Latn 	Dibole, Bole 		
bvy 	Baybayanon 	Philippine 	Latn 	Babay, Utudnon, Leyte 		
bvz 	Bauzi 	East Geelvink Bay 	Latn 			
bwa 	Bwatoo 	New Caledonian 	Latn 			
bwb 	Namosi-Naitasiri-Serua 	Central-Eastern Oceanic 	Latn 			
bwc 	Bwile 	Bantu 	Latn 			
bwd 	Bwaidoka 	Western Oceanic 	Latn 	Bwaidoga 		
bwe 	Bwe Karen 	Karen 				
bwf 	Boselewa 	Western Oceanic 	Latn 	Bosilewa 		
bwg 	Barwe 	Bantu 	Latn 			
bwh 	Bishuo 	Bantoid 	Latn 			
bwi 	Baniwa 	Nawiki 	Latn 	Baniba, Baniva, Carutana, Carútana, Carúzana, Izaneni, Karu, Tapuya 		
bwj 	Láá Láá Bwamu 	Savanna 	Latn 			
bwk 	Bauwaki 	Trans-New Guinea 	Latn 			
bwl 	Bwela 	Bantu 	Latn 			
bwm 	Biwat 	Yuat 	Latn 	Mundugumor 		
bwn 	Wunai Bunu 	Hmong 		Hm Nai, Ng-nai, Wunai 		
bwo 	Shinasha 	Omotic 	Latn 	Boro, Boro (Ethiopia), Borna, Bworo, Sinicho 		
bwp 	Mandobo Bawah 	Trans-New Guinea 	Latn 			
bwq 	Southern Bobo 	Mande 	Latn 	Bobo Madaré, Southern Bobo Madaré, Bobo, Syabéré, Sya, Benge, Sogokiré, Voré, Zara, Bobo Jula, Jula 		
bwr 	Bura 	Central Chadic 	Latn 	Bura-Pabir, Pabir, Burra 		
bws 	Bomboma 	Bantu 	Latn 			
bwt 	Bafaw-Balong 	Bantu 	Latn 			
bwu 	Buli (Ghana) 	Gur 	Latn 	Buli 		
bww 	Bwa 	Bantu 	Latn 			
bwx 	Bu-Nao Bunu 	Hmong 	Latn 	Bu Nao, Bunu, Dongnu, Dahua Dongnu, Tung Nu, Bunuo, Pu No, Naoklao, Baonao, Nao Klao, Numao, Nu Mhou, Nunu, Lingyun Nunu, Nu Nu 		
bwy 	Cwi Bwamu 	Gur 	Latn 			
bwz 	Bwisi 	Bantu 	Latn 			
bxa 	Bauro 	Southeast Solomonic 	Latn 	Tairaha 		
bxb 	Belanda Bor 	Eastern Sudanic 	Latn 			
bxc 	Molengue 	Bantu 	Latn 			
bxd 	Pela 	Burmish 				
bxe 	Ongota 	Cushitic 	Latn 	Birale, Birayle 		
bxf 	Bilur 	Western Oceanic 	Latn 			
bxg 	Bangala 	Bantu 	Latn 	Ngala 		
bxh 	Buhutu 	Western Oceanic 	Latn 			
bxi 	Pirlatapa 	Karnic 	Latn 			
bxj 	Bayungu 	Southwest Pama-Nyungan 	Latn 			
bxk 	Bukusu 	Bantu 	Latn 			
bxl 	Jalkunan 	Mande 	Latn 			
bxn 	Burduna 	Southwest Pama-Nyungan 	Latn 			
bxo 	Barikanchi 	creole or pidgin 	Latn 	Barikanci, Barikanchi Pidgin 		
bxp 	Bebil 	Bantu 	Latn 			
bxq 	Beele 	West Chadic 	Latn 			
bxs 	Busam 	Grassfields 	Latn 			
bxv 	Berakou 	Central Sudanic 	Latn 			
bxw 	Banka 	Mande 	Latn 	Bankagooma 		
bxz 	Binahari 	Trans-New Guinea 	Latn 			
bya 	Palawan Batak 	Philippine 	Tagb 	Batak 		
byb 	Bikya 	Bantoid 	Latn 			
byc 	Ubaghara 	Benue-Congo 	Latn 			
byd 	Benyadu' 	Land Dayak 	Latn 			
bye 	Pouye 	Sepik 	Latn 			
byf 	Bete 	Benue-Congo 	Latn 			
byg 	Baygo 	Eastern Sudanic 	Latn 			
byh 	Bujhyal 	Tibeto-Burman 	Deva 			
byi 	Buyu 	Bantu 	Latn 	Buya 		
byj 	Binawa 	Kainji 	Latn 	Bina, Bina (Nigeria) 		
byk 	Biao 	Kra-Dai 	Latn 			
byl 	Bayono 	Trans-New Guinea 	Latn 			
bym 	Bidyara 	Pama-Nyungan 	Latn 			
byn 	Blin 	Cushitic 	Ethi, Latn 	Bilin, Bilen, Belen, Bilein 		
byo 	Biyo 	Loloish 	Latn, Hani 	Piyo, Biyue 		
byp 	Bumaji 	Benue-Congo 	Latn 			
byq 	Basay 	Austronesian 	Latn 	Basai 		
byr 	Baruya 	Trans-New Guinea 	Latn 			
bys 	Burak 	Savanna 	Latn 			
byt 	Berti 	Saharan 	Latn 			
byv 	Medumba 	Bamileke 	Latn 			
byw 	Belhariya 	Tibeto-Burman 	Deva 			
byx 	Qaqet 	Baining 	Latn 	Kakat, Baining 		
byz 	Banaro 	Papuan 	Latn 			
bza 	Bandi 	Mande 	Latn 	Gbandi 		
bzb 	Andio 	Saluan-Banggai 	Latn 			
bzd 	Bribri 	Chibchan 	Latn 			
bze 	Jenaama Bozo 	Mande 	Latn 			
bzf 	Boikin 	Sepik 	Latn 			
bzg 	Babuza 	Austronesian 		Favorlang, Poavosa, Taokas 		
bzh 	Mapos Buang 	Western Oceanic 	Latn 			
bzi 	Bisu 	Loloish 	Latn, Thai 			
bzj 	Belizean Creole 	creole or pidgin 	Latn 	Belizean Creole English, Belizean Kriol, Belize Kriol English, Kriol 		
bzk 	Nicaraguan Creole 	creole or pidgin 	Latn 	Miskito Coast Creole, Nicaraguan Creole English, Nicaragua Creole English 		
bzl 	Boano (Sulawesi) 	Malayo-Polynesian 	Latn 	Boano, Austronesian Boano, Totoli Boano 		
bzm 	Bolondo 	Bantu 	Latn 			
bzn 	Boano (Maluku) 	Central Maluku 	Latn 	Boano, Austronesian Boano, Seram Boano 		
bzo 	Bozaba 	Bantu 	Latn 			
bzp 	Kemberano 	South Bird's Head 	Latn 			
bzq 	Buli (Indonesia) 	Halmahera-Cenderawasih 	Latn 	Buli 		
bzr 	Biri 	Pama-Nyungan 	Latn 			
bzs 	Brazilian Sign Language 	sign 	Latn 	LGB, LSB, LSCB, Libras 		
bzu 	Burmeso 	West Papuan 	Latn 	Taurap 		
bzv 	Bebe 	Bantoid 	Latn 	Naami 		
bzw 	Basa 	Kainji 	Latn 	Basa (Nigeria), Basa-Benue 		
bzx 	Hainyaxo Bozo 	Mande 	Latn 			
bzy 	Obanliku 	Benue-Congo 	Latn 			
bzz 	Evant 	Bantoid 	Latn 			
caa 	Ch'orti' 	Mayan 	Latn 	Chorti 		
cab 	Garifuna 	Ta-Arawakan 	Latn 			
cac 	Chuj 	Mayan 	Latn 			
cad 	Caddo 	Caddoan 	Latn 			
cae 	Laalaa 	Senegambian 	Latn 			
caf 	Southern Carrier 	North Athabaskan 	Latn 			
cag 	Nivaclé 	Matacoan 	Latn 			
cah 	Cahuarano 	Zaparoan 	Latn 			
caj 	Chané 	Arawakan 	Latn 			
cak 	Kaqchikel 	Mayan 	Latn 	Cakchiquel, Kakchiquel, Cachiquel 		
cal 	Carolinian 	Micronesian 	Latn 			
cam 	Cemuhî 	New Caledonian 	Latn 			
can 	Chambri 	Lower Sepik 	Latn 			
cao 	Chácobo 	Panoan 	Latn 			
cap 	Chipaya 	Uru-Chipaya 	Latn 			
caq 	Car Nicobarese 	Austroasiatic 	Latn 	Car 		
car 	Galibi Carib 	Cariban 	Latn 	Carib, Caribe, Cariña, Galibi, Galibí, Kalihna, Kali'na, Kalinya, Maraworno, Marworno 		
cas 	Tsimané 	isolate 	Latn 	Chimané, Mosetén 		
cav 	Cavineña 	Tacanan 	Latn 	Cavinena 		
caw 	Callawalla 	mixed 	Latn 			
cax 	Chiquitano 	isolate 	Latn 			
cay 	Cayuga 	Iroquoian 	Latn 			
caz 	Canichana 	isolate 	Latn 			
cbb 	Cabiyarí 	Nawiki 	Latn 			
cbc 	Carapana 	Tucanoan 	Latn 			
cbd 	Carijona 	Cariban 	Latn 	Carihona, Karijona, Karihona, Jianacoto, Jianácoto, Hianakoto, Hianacoto, Hianákoto, Guaque, Omagua, Umaua, Umawa 		
cbg 	Chimila 	Chibchan 	Latn 			
cbi 	Chachi 	Barbacoan 	Latn 	Cha'palaa, Chapalaa, Cha'palaachi, Chapalaachi, Cayapa 		
cbj 	Ede Cabe 	Volta-Niger 	Latn 			
cbk 	Chavacano 	creole or pidgin 	Latn 	Zamboanga Chavacano 		
cbl 	Bualkhaw Chin 	Kukish 	Latn 	Bualkhaw 		
cbn 	Nyah Kur 	Austroasiatic 	Thai 	Nyahkur 	Yes 	
cbo 	Izora 	Kainji 	Latn 			
cbq 	Shuba 	Kainji 	Latn 	Tsucuba, Cuba 		
cbr 	Cashibo-Cacataibo 	Panoan 	Latn 	Cashibo, Cacataibo 		
cbs 	Cashinahua 	Panoan 	Latn 			
cbt 	Chayahuita 	Cahuapanan 	Latn 			
cbu 	Candoshi-Shapra 	isolate 	Latn 			
cbv 	Cacua 	Nadahup 	Latn 			
cbw 	Kinabalian 	Philippine 	Latn 			
cby 	Carabayo 	Ticuna-Yuri 	Latn 	Caraballo, Yuri, Aroje, Yacumo, Maku, Macu, Macusa 		
cca 	Cauca 	Chocoan 	Latn 			
ccc 	Chamicuro 	Arawakan 	Latn 			
ccd 	Cafundó 	West Iberian 	Latn 			
cce 	Chopi 	Bantu 	Latn 			
ccg 	Chamba Daka 	Benue-Congo 	Latn 	Samba Daka, Nakanyare 		
cch 	Atsam 	Kainji 	Latn 			
ccj 	Kasanga 	Senegambian 	Latn 			
ccl 	Cutchi-Swahili 	creole or pidgin 	Latn 			
ccm 	Malaccan Creole Malay 	creole or pidgin 	Latn 			
cco 	Comaltepec Chinantec 	Chinantecan 	Latn 			
ccp 	Chakma 	Indo-Aryan 	Cakm 			
ccr 	Cacaopera 	Misumalpan 	Latn 			
cda 	Choni 	Sino-Tibetan 				
cde 	Chenchu 	Dravidian 	Telu 			
cdf 	Chiru 	Kukish 	Latn, Beng 			
cdh 	Chambeali 	Western Pahari 	Deva, Takr 			
cdi 	Chodri 	Bhil 	Gujr 			
cdj 	Churahi 	Western Pahari 				
cdm 	Chepang 	Sino-Tibetan 	Deva 			
cdn 	Chaudangsi 	Sino-Tibetan 				
cdo 	Min Dong 	Coastal Min 	Hani 	Min Dong Chinese 		
cdr 	Cinda-Regi-Tiyal 	Benue-Congo 	Latn 			
cds 	Chadian Sign Language 	sign 	Latn 			
cdy 	Chadong 	Kam-Sui 				
cdz 	Koda 	Munda 	Beng 			
cea 	Lower Chehalis 	Salishan 	Latn 			
ceb 	Cebuano 	Philippine 	Latn 			
ceg 	Chamacoco 	Zamucoan 	Latn 			
cen 	Cen 	Benue-Congo 	Latn 	Cèn, Chen 		
cet 	Centúúm 	isolate 	Latn 	Jalaa, Cèntûm, Cen Tuum 		
cfa 	Dijim-Bwilim 	Savanna 	Latn 			
cfd 	Cara 	Atlantic-Congo 	Latn 			
cfg 	Como Karim 	Benue-Congo 	Latn 			
cfm 	Falam Chin 	Kukish 	Beng, Latn 	Falam 		
cga 	Changriwa 	Yuat 	Latn 			
cgc 	Kagayanen 	Manobo 	Latn 			
cgg 	Rukiga 	Bantu 	Latn 			
cgk 	Chocangaca 	Sino-Tibetan 	Tibt 			
chb 	Chibcha 	Chibchan 				
chc 	Catawba 	Catawban 	Latn 			
chd 	Highland Oaxaca Chontal 	Tequistlatecan 	Latn 	Oaxaca Chontal, Oaxacan Chontal, Chontal, Tequistlatec, Mountain Tequistlateco, Highland Chontal, Mountain Chontal 		
chf 	Tabasco Chontal 	Mayan 	Latn 			
chg 	Chagatai 	Karluk 	Arab 			Yes
chh 	Chinook 	Chinookan 	Latn 			
chj 	Ojitlán Chinantec 	Chinantecan 	Latn 			
chk 	Chuukese 	Micronesian 	Latn 			
chl 	Cahuilla 	Cupan 	Latn 			Yes
chm 	Eastern Mari 	Uralic 	Cyrl 	Meadow Mari, Lowland Mari, Midland Mari, Standard Mari, Upo Mari, Mari, Mari (Russia) 		Yes
chn 	Chinook Jargon 	creole or pidgin 	Latn, Dupl 			
cho 	Choctaw 	Muskogean 	Latn 			
chp 	Chipewyan 	North Athabaskan 	Latn, Cans 	Dëne Sųłiné, Dënesųłiné, Dëne, Dene Suline, Denesuline, Dene 		
chq 	Quiotepec Chinantec 	Chinantecan 	Latn 			
chr 	Cherokee 	Iroquoian 	Cher 			
cht 	Cholón 		Latn 			
chw 	Chuwabu 	Bantu 	Latn 			
chx 	Chantyal 	Tibeto-Burman 	Deva 			
chy 	Cheyenne 	Algonquian 	Latn 			
chz 	Ozumacín Chinantec 	Chinantecan 	Latn 			
cia 	Cia-Cia 	Muna-Buton 	Hang, Latn, Arab 			
cib 	Ci Gbe 	Gbe 	Latn 			
cic 	Chickasaw 	Muskogean 	Latn 			
cid 	Chimariko 	isolate 	Latn 			
cie 	Cineni 	Central Chadic 	Latn 			
cih 	Chinali 	Indo-Aryan 	Deva 			
cik 	Chitkuli Kinnauri 	Sino-Tibetan 				
cim 	Cimbrian 	West Germanic 	Latn 			
cin 	Cinta Larga 	Tupian 	Latn 			
cip 	Chiapanec 	Oto-Manguean 	Latn 			
cir 	Tiri 	New Caledonian 	Latn 	Tîrî, Ciri, Tinrin, Méa, Haméa 		
ciy 	Chaima 	Cariban 	Latn 			
cja 	Western Cham 	Chamic 	Arab 			
cje 	Chru 	Chamic 	Latn 			
cjh 	Upper Chehalis 	Salishan 	Latn 			
cji 	Chamalal 	Avaro-Andian 	Cyrl 			
cjk 	Chokwe 	Bantu 	Latn 			
cjm 	Eastern Cham 	Chamic 	Cham 			
cjn 	Chenapian 	Sepik 	Latn 			
cjo 	Ashéninka Pajonal 	Arawakan 	Latn 			
cjp 	Cabécar 	Chibchan 	Latn 			
cjs 	Shor 	Siberian Turkic 	Cyrl 			
cjv 	Chuave 	Trans-New Guinea 	Latn 			
cjy 	Jin 	Sinitic 	Hani 	Jinyu, Jinhua, Jinese, Shanxinese, Jin Chinese, Jinyu Chinese 		
ckb 	Central Kurdish 	Northwestern Iranian 	ku-Arab 	Sorani 		Yes
ckh 	Chak 	Sino-Tibetan 	Latn 	Sak 		
ckl 	Cibak 	Central Chadic 	Latn 	Chibuk, Chibok, Chibbak, Chibbuk, Kyibaku, Kibbaku, Kibaku 		
ckn 	Kaang Chin 	Kukish 	Latn 	Kaang 		
cko 	Anufo 	Kwa 	Latn 	Chakosi 		
ckq 	Kajakse 	East Chadic 	Latn 			
ckr 	Kairak 	Baining 	Latn 			
cks 	Tayo 	creole or pidgin 	Latn 			
ckt 	Chukchi 	Chukotko-Kamchatkan 	Cyrl 			
cku 	Koasati 	Muskogean 	Latn 			
ckv 	Kavalan 	Austronesian 	Latn 	Kebalan 		
ckx 	Caka 	Bantoid 	Latn 			
cky 	Cakfem-Mushere 	West Chadic 	Latn 			
ckz 	Cakchiquel-Quiché Mixed Language 	Mayan 	Latn 	Cauque Mayan 		
cla 	Ron 	West Chadic 	Latn 	Bokkos, Daffo-Butura, Shagawu 		
clc 	Chilcotin 	North Athabaskan 	Latn 	Tsilhqot'in, Tsilhqut'in, Tzilkotin 		
cld 	Chaldean Neo-Aramaic 	Aramaic 	Syrc 			
cle 	Lealao Chinantec 	Chinantecan 	Latn 			
clh 	Chilisso 	Dardic 				
cli 	Chakali 	Gur 	Latn 			
clj 	Laitu Chin 	Kukish 		Laitu 		
clk 	Idu 		Tibt 	Idu-Mishmi, Idu Mishmi 		
cll 	Chala 	Gur 	Latn 			
clm 	Klallam 	Salishan 	Latn 	Clallam, S'Klallam 		
clo 	Lowland Oaxaca Chontal 	Tequistlatecan 	Latn 	Oaxaca Chontal, Oaxacan Chontal, Chontal, Huamelultec, Huamelula Chontal, Coastal Chontal 		
clt 	Lautu Chin 	Kukish 		Lautu 		
clu 	Caluyanun 	Philippine 	Latn 			
clw 	Chulym 	Siberian Turkic 	Latn, Cyrl 	Chulim, Chulym-Turkic, Küerik, Chulym Tatar, Melets Tatar 		
cly 	Eastern Highland Chatino 	Chatino 	Latn 			
cma 	Maa 	Bahnaric 	Latn 			
cme 	Cerma 	Gur 	Latn 			
cmg 	Classical Mongolian 	Mongolic 	Mong 			
cmi 	Emberá-Chamí 	Chocoan 	Latn 			
cml 	Campalagian 	South Sulawesi 	Latn 			
cmm 	Michigamea 	Mississippi Valley Siouan 	Latn 			
