𛴀	N01
𛴁	N01@b
𛴂	N01@c
𛴃	N02
𛴄	N08A
𛴅	N08B
𛴆	N14
𛴇	N14@b
𛴈	N14@c
𛴉	N23
𛴊	N24
𛴋	N24@b
𛴌	N24@c
𛴍	N30C
𛴎	N30C@b
𛴏	N30C@c
𛴐	N30D
𛴑	N30D@b
𛴒	N30D@c
𛴓	N34
𛴔	N34@b
𛴕	N39A
𛴖	N39B
𛴗	N39B@b
𛴘	N39B@c
𛴙	N39C
𛴚	N45
𛴛	N45@b
𛴜	N46
𛴝	N48
𛴞	N51
𛴟	N51@b
𛴠	N51@c
𛴡	N51G
𛴢	N54
𛴣	N54@b
𛴤	N54G
𛴥	2·N01
𛴦	2·N01@b
𛴧	2·N14
𛴨	2·N30C
𛴩	2·N30C@b
𛴪	3·N01
𛴫	3·N01@b
𛴬	3·N01@c
𛴭	3·N14
𛷝	M050~k3	M50~k3
𛷞	M050~k4	M50~k4
𛷟	M050~m	M50~m
𛷠	M050~n	M50~n
𛷡	M050~p	M50~p
𛷢	M050~q	M50~q
𛷣	M051~a	M51~a
𛷤	M051~b	M51~b
𛷥	M051~c	M51~c
𛷦	M052~a	M52~a
𛷧	M052~b	M52~b
𛷨	M053~a	M53~a
𛷩	M053~b	M53~b
𛷪	M054	M54
𛷫	M054+M365+M054~i	𛷪 𜊅 𛷰
𛷬	M054+M384~i+M054~i	𛷪 𜋳 𛷰
𛷭	M054+M393~f+M054~i	𛷪 𜌛 𛷰
𛷮	M054~b	M54~b
𛷯	M054~c	M54~c
𛷰	M054~i	M54~i
𛷱	M056	M56
𛷲	M056~e	M56~e
𛷳	M056~f	M56~f
𛷴	M056~g	M56~g
𛷵	M056~n	M56~n
𛷶	M057	M57
𛷷	M057+M291	𛷶 𜅇
𛷸	M057~a	M57~a
𛷹	M057~a1	M57~a1
𛷺	M057~a2	M57~a2
𛷻	M057~a4	M57~a4
𛷼	M057~b	M57~b
𛷽	M057~b1	M57~b1
𛷾	M057~d	M57~d
𛷿	M057~e	M57~e
𛸀	M057~f	M57~f
𛸁	M057~i	M57~i
𛸂	M057~n	M57~n
𛸃	M058	M58
𛸄	M058~b	M58~b
𛸅	M059	M59
𛸆	M059+M038~a	𛸅 𛶡
𛸇	M059~a	M59~a
𛸈	M059~b	M59~b
𛸉	M059~d	M59~d
𛸊	M059~f	M59~f
𛸋	M059~f1	M59~f1
𛸌	M059~g	M59~g
𛸍	M061	M61
𛸎	M061~a	M61~a
𛸏	M061~b	M61~b
𛸐	M062	M62
𛸑	M062~b	M62~b
𛸒	M063	M63
𛸓	M063~a	M63~a
𛸔	M064	M64
𛸕	M064~a	M64~a
𛸖	M064~d	M64~d
𛸗	M066	M66
𛸘	M066~a	M66~a
𛸙	M066~a1	M66~a1
𛸚	M066~a2	M66~a2
𛸛	M066~g	M66~g
𛸜	M066~h	M66~h
𛸝	M068~a	M68~a
𛸞	M068~b	M68~b
𛸟	M068~c	M68~c
𛸠	M069~a	M69~a
𛸡	M069~ab	M69~ab
𛸢	M069~ad	M69~ad
𛸣	M069~b	M69~b
𛸤	M069~g	M69~g
𛸥	M071~a	M71~a
𛸦	M071~d	M71~d
𛸧	M072	M72
𛸨	M072~a	M72~a
𛸩	M073~a	M73~a
𛸪	M073~b	M73~b
𛸫	M073~b1	M73~b1
𛸬	M073~c	M73~c
𛸭	M073~d	M73~d
𛸮	M074~a	M74~a
𛸯	M074~b	M74~b
𛸰	M074~d	M74~d
𛸱	M074~f	M74~f
𛸲	M074~g	M74~g
𛸳	M075~a	M75~a
𛸴	M075~ab	M75~ab
𛸵	M075~e	M75~e
𛸶	M075~ff	M75~ff
𛸷	M075~g	M75~g
𛸸	M075~ga	M75~ga
𛸹	M075~h	M75~h
𛸺	M075~k	M75~k
𛸻	M075~m	M75~m
𛸼	M075~o	M75~o
𛸽	M075~o1	M75~o1
𛸾	M075~o2	M75~o2
𛸿	M075~r	M75~r
𛹀	M075~s	M75~s
𛹁	M076~a	M76~a
𛹂	M076~c	M76~c
𛹃	M076~d	M76~d
𛹄	M076~e	M76~e
𛹅	M077	M77
𛹆	M080~a	M80~a
𛹇	M080~b	M80~b
𛹈	M080~c	M80~c
𛹉	M080~ca	M80~ca
𛹊	M080~d	M80~d
𛹋	M080~f	M80~f
𛹌	M081	M81
𛹍	M081~1	M81~1
𛹎	M084	M84
𛹏	M085	M85
𛹐	M086	M86
𛹑	M087	M87
𛹒	M087~b	M87~b
𛹓	M088	M88
𛹔	M089	M89
𛹕	M090	M90
𛹖	M091~a	M91~a
𛹗	M092	M92
𛹘	M093	M93
𛹙	M093~a	M93~a
𛹚	M094~e	M94~e
𛹛	M094~i	M94~i
𛹜	M096	M96
𛹝	M096~1	M96~1
𛹞	M096~2	M96~2
𛹟	M096~3	M96~3
𛹠	M096+M029	𛹜 𛵷 
𛹡	M096+M139	𛹜 𛼌
𛹢	M096~c	M96~c
𛹣	M096~d	M96~d
𛹤	M097~f	M97~f
𛹥	M097~h	M97~h
𛹦	M098	M98
𛹧	M099	M99
𛹨	M099~a	M99~a
𛹩	M099~b	M99~b
𛹪	M101	
𛹫	M101~b	
𛹬	M102~a	
𛹭	M102~c	
𛹮	M102~d	
𛹯	M102~d1	
𛹰	M102~da	
𛹱	M102~e	
𛹲	M102~e(2)	
𛹳	M102~k	
𛹴	M102~k1	
𛹵	M102~k2	
𛹶	M102~l	
𛹷	M102~m	
𛹸	M103	
𛹹	M103~1	
𛹺	M103~2	
𛹻	M103~3	
𛹼	M103~d	
𛹽	M104	
𛹾	M105	
𛹿	M105~a	
𛺀	M105~ab	
𛺁	M105~b	
𛺂	M105~e	
𛺃	M105~g	
𛺄	M106	
𛺅	M106~1	
𛺆	M106+M096~c	𛺄 𛹢
𛺇	M106~1+M288	𛺅	𜄱
𛺈	M106~2+M288	𛺅	𜄱
𛺉	M106~a	
𛺊	M106~b	
𛺋	M107~a	
𛺌	M109	
𛺍	M110	
𛺎	M110~a	
𛺏	M110~b	
𛺐	M110~c	
𛺑	M111	
𛺒	M111~a	
𛺓	M111~b	
𛺔	M111~c	
𛺕	M111~d	
𛺖	M111~e	
𛺗	M111~f	
𛺘	M111~g	
𛺙	M111~h	
𛺚	M111~i	
𛺛	M111~j1	
𛺜	M111~j2	
𛺝	M111~l	
𛺞	M111~m	
𛺟	M111~n	
𛺠	M111~o	
𛺡	M111~o1	
𛺢	M111~p	
𛺣	M112	
𛺤	M112~1	
𛺥	M112~a	
𛺦	M112~aa	
𛺧	M112~b	
𛺨	M112~c	
𛺩	M112~d	
𛺪	M112~e	
𛺫	M112~e1	
𛺬	M112~f	
𛺭	M112~i	
𛺮	M112~n	
𛺯	M112~o	
𛺰	M112~p	
𛺱	M112~q	
𛺲	M112~r	
𛺳	M114	
𛺴	M115	
𛺵	M115~a	
𛺶	M115~b	
𛺷	M117	
𛺸	M120	
𛺹	M122	
𛺺	M122~1	
𛺻	M122~2	
𛺼	M122~3	
𛺽	M122~4	
𛺾	M122~5	
𛺿	M122~6	
𛻀	M123~b	
𛻁	M123~ca	
𛻂	M123~d	
𛻃	M124	
𛻄	M124~a	
𛻅	M124~b	
𛻆	M124~c	
𛻇	M125	
𛻈	M125~a	
𛻉	M125~b	
𛻊	M126	
𛻋	M127+M127	
𛻌	M128	
𛻍	M128~1	
𛻎	M128~ca	
𛻏	M128~d	
𛻐	M128~da	
𛻑	M128~da1	
𛻒	M128~db	
𛻓	M128~dc	
𛻔	M128~dd	
𛻕	M128~de	
𛻖	M128~e	
𛻗	M128~ef	
𛻘	M129	
𛻙	M129~b	
𛻚	M130~b	
𛻛	M131	
𛻜	M131+M388	𛻛 𜌓
𛻝	M131~a	
𛻞	M131~d	
𛻟	M131~e	
𛻠	M131~f	
𛻡	M131~g	
𛻢	M131~h	
𛻣	M131~ia	
𛻤	M131~k	
𛻥	M131~k1	
𛻦	M134	
𛻧	M134~a	
𛻨	M134~b	
𛻩	M134~ba	
𛻪	M134~c	
𛻫	M134~d	
𛻬	M134~e	
𛻭	M134~f	
𛻮	M134~g	
𛻯	M135	
𛻰	M136	
𛻱	M136+M071~a	𛻰 𛸥
𛻲	M136+M353	𛻰 𜉟
𛻳	M136+M365	𛻰 𜊅
𛻴	M136+M387	𛻰 𜋾
𛻵	M136+MXXX	𛻰 𜋒 ≈ M381
𛻶	M136~a	
𛻷	M136~b	
𛻸	M136~c	
𛻹	M136~d	
𛻺	M136~e	
𛻻	M136~f	
𛻼	M136~g	
𛻽	M136~h	
𛻾	M136~i	
𛻿	M136~j	
𛼀	M136~k	
𛼁	M136~l	
𛼂	M136~m	
𛼃	M136~n	
𛼄	M136~o	
𛼅	M136~p	
𛼆	M136~q	
𛼇	M136~r	
𛼈	M136~s	
𛼉	M136~t	
𛼊	M136~u	
𛼋	M136~w	
𛼌	M139	
𛼍	M139~a1	
𛼎	M139~a2	
𛼏	M140~a	
𛼐	M141	
𛼑	M141~a	
𛼒	M141~b	
𛼓	M142	
𛼔	M143	
𛼕	M143~a	
𛼖	M143~d	
𛼗	M144	
𛼘	M144~a	
𛼙	M145	
𛼚	M145~a	
𛼛	M145~b	
𛼜	M145~bb	
𛼝	M145~c	
𛼞	M145~d	
𛼟	M145~e	
𛼠	M145~f	
𛼡	M145~n	
𛼢	M146	
𛼣	M146~0	
𛼤	M146~1	
𛼥	M146~2	
𛼦	M146~3	
𛼧	M146~4	
𛼨	M146~d	
𛼩	M146~e	
𛼪	M146~f	
𛼫	M147	
𛼬	M147~a	
𛼭	M147~b	
𛼮	M147~d	
𛼯	M147~e	
𛼰	M149~a	
𛼱	M149~a1	
𛼲	M149~a2	
𛼳	M149~a3	
𛼴	M149~c	
𛼵	M149~d	
𛼶	M149~g	
𛼷	M149~h	
𛼸	M150	
𛼹	M150~a	
𛼺	M151	
𛼻	M151~a	
𛼼	M151~b	
𛼽	M151~c	
𛼾	M151~d	
𛼿	M151~e	
𛽀	M151~f	
𛽁	M152	
𛽂	M152~d	
𛽃	M152~e	
𛽄	M152~f	
𛽅	M152~g	
𛽆	M153	
𛽇	M153+M006~a	𛽆 𛵍
𛽈	M153+M029	𛽆 𛵷
𛽉	M153+M106	𛽆 𛺄
𛽊	M153+M106~a	𛽆 𛺉
𛽋	M153+M205~c	𛽆 𛾻
𛽌	M153+M320+M153	𛽆 𜇶 𛽆
𛽍	M153+M342	𛽆 𜈳
𛽎	M153+M377~e+M153	𛽆 𜋅 𛽆
𛽏	M154~b	
𛽐	M154~s	
𛽑	M155	
𛽒	M155~f	
𛽓	M156	
𛽔	M157	
𛽕	M157+M029	𛽔 𛵷
𛽖	M157+M057	𛽔 𛷶
𛽗	M157+M059	𛽔 𛸅
𛽘	M157+M080~c	𛽔 𛹈
𛽙	M157+M111~f	𛽔 𛺗
𛽚	M157+M111~i	𛽔 𛺚
𛽛	M157+M131	𛽔 𛻛
𛽜	M157+M131~d	𛽔 𛻞
𛽝	M157+M136	𛽔 𛻰
𛽞	M157+M153	𛽔 𛽆
𛽟	M157+M288	𛽔 𜄱
𛽠	M157+M340	𛽔 𜈱
𛽡	M157+M348	𛽔 𜉈
𛽢	M157+M377~e+M377~e	𛽔 𜋅 𜋅
𛽣	M157+M381	𛽔 𜋒
𛽤	M157~a	
𛽥	M157~a+M066	𛽤 𛸗
𛽦	M157~a+M080~c	𛽤 𛹈
𛽧	M157~a+M131	𛽤 𛻛
𛽨	M157~a+M131~a	𛽤 𛻝
𛽩	M157~a+M131~d	𛽤 𛻞
𛽪	M157~a+M342	𛽤 𜈳
𛽫	M157~a+M348	𛽤 𜉈
𛽬	M157~a+M367	𛽤 𜊊
𛽭	M158	
𛽮	M158~b	
𛽯	M158~c	
𛽰	M158~d	
𛽱	M158~e	
𛽲	M158~h	
𛽳	M159	
𛽴	M165	
𛽵	M167~a	
𛽶	M167~a+M131~k	𛽵 𛻤
𛽷	M172	
𛽸	M173	
𛽹	M175	
𛽺	M175+M038~a	𛽹 𛶡
𛽻	M175+M131	𛽹 𛻛
𛽼	M175+M131~d	𛽹 𛻞
𛽽	M175+M136	𛽹 𛻰
𛽾	M175+M136~n	𛽹 𛼃
𛽿	M175+M153	𛽹 𛽆
