cat Brahmi.scripts.list| while read x; do u $x >> Brahmi.ALL.abc; done

𑀀	CANDRABINDU
CANDRABINDU	ँ
ANUSVARA	ं
VISARGA	ः
A	अ
AA	आ
I	इ
II	ई
U	उ
UU	ऊ
!R	ऋ
!L	ऌ
CANDRA E	ऍ
SHORT E	ऎ
E	ए
AI	ऐ
CANDRA O	ऑ
SHORT O	ऒ
O	ओ
AU	औ
KA	क
KHA	ख
GA	ग
GHA	घ
NGA	ङ
CA	च
CHA	छ
JA	ज
JHA	झ
NYA	ञ
TTA	ट
TTHA	ठ
DDA	ड
DDHA	ढ
NNA	ण
TA	त
THA	थ
DA	द
DHA	ध
NA	न
NNNA	ऩ
PA	प
PHA	फ
BA	ब
BHA	भ
MA	म
YA	य
RA	र
RRA	ऱ
LA	ल
LLA	ळ
LLLA	ऴ
VA	व
SHA	श
SSA	ष
SA	स
HA	ह
NUKTA	़
AVAGRAHA	ऽ
AA	ा
I	ि
II	ी
U	ु
UU	ू
!R	ृ
!RR	ॄ
CANDRA E	ॅ
SHORT E	ॆ
E	े
AI	ै
CANDRA O	ॉ
SHORT O	ॊ
O	ो
AU	ौ
VIRAMA	्
ॐ
UDATTA	॑
ANUDATTA	॒
ACCENT	॓
ACCENT	॔
QA	क़
KHHA	ख़
GHHA	ग़
ZA	ज़
DDDHA	ड़
RHA	ढ़
FA	फ़
YYA	य़
!RR	ॠ
!LL	ॡ
!L	ॢ
!LL	ॣ
।
DANDA	॥
ZERO	०
ONE	१
TWO	२
THREE	३
FOUR	४
FIVE	५
SIX	६
SEVEN	७
EIGHT	८
NINE	९
॰

CANDRABINDU	ঁ
ANUSVARA	ং
VISARGA	ঃ
A	অ
AA	আ
I	ই
II	ঈ
U	উ
UU	ঊ
!R	ঋ
!L	ঌ
E	এ
AI	ঐ
O	ও
AU	ঔ
KA	ক
KHA	খ
GA	গ
GHA	ঘ
NGA	ঙ
CA	চ
CHA	ছ
JA	জ
JHA	ঝ
NYA	ঞ
TTA	ট
TTHA	ঠ
DDA	ড
DDHA	ঢ
NNA	ণ
TA	ত
THA	থ
DA	দ
DHA	ধ
NA	ন
PA	প
PHA	ফ
BA	ব
BHA	ভ
MA	ম
YA	য
RA	র
LA	ল
SHA	শ
SSA	ষ
SA	স
HA	হ
NUKTA	়
AA	া
I	ি
II	ী
U	ু
UU	ূ
!R	ৃ
!RR	ৄ
E	ে
AI	ৈ
O	ো
AU	ৌ
VIRAMA	্
LENGTH MARK	ৗ
RRA	ড়
RHA	ঢ়
YYA	য়
!RR	ৠ
!LL	ৡ
!L	ৢ
!LL	ৣ
ZERO	০
ONE	১
TWO	২
THREE	৩
FOUR	৪
FIVE	৫
SIX	৬
SEVEN	৭
EIGHT	৮
NINE	৯
RA WITH MIDDLE DIAGONAL	ৰ
RA WITH LOWER DIAGONAL	ৱ
MARK	৲
৳
NUMERATOR ONE	৴
NUMERATOR TWO	৵
NUMERATOR THREE	৶
NUMERATOR FOUR	৷
NUMERATOR ONE LESS THAN THE DENOMINATOR	৸
DENOMINATOR SIXTEEN	৹
৺

BINDI	ਂ
A	ਅ
AA	ਆ
I	ਇ
II	ਈ
U	ਉ
UU	ਊ
EE	ਏ
AI	ਐ
OO	ਓ
AU	ਔ
KA	ਕ
KHA	ਖ
GA	ਗ
GHA	ਘ
NGA	ਙ
CA	ਚ
CHA	ਛ
JA	ਜ
JHA	ਝ
NYA	ਞ
TTA	ਟ
TTHA	ਠ
DDA	ਡ
DDHA	ਢ
NNA	ਣ
TA	ਤ
THA	ਥ
DA	ਦ
DHA	ਧ
NA	ਨ
PA	ਪ
PHA	ਫ
BA	ਬ
BHA	ਭ
MA	ਮ
YA	ਯ
RA	ਰ
LA	ਲ
LLA	ਲ਼
VA	ਵ
SHA	ਸ਼
SA	ਸ
HA	ਹ
NUKTA	਼
AA	ਾ
