Stylistically somewhat similar to Ethiopian Ge'ez: ጭ

Only clear connections:
Ⱃ 	Rici 	Rici 	Р 	/r/ 	Rьci 	Rtsi 	Speak!/ Pronounce! 	Possibly Greek rho ρ[30]
Ⱎ 	Sha 	Sha 	Ш 	/ʃ/ 	Ša 	Sha 	silence/quiet 	Hebrew shin ש‎‎[30]
Ⱋ 	Shta 	Shta 	Щ 	/tʲ/, /ʃ͡t/ 	Šta/Šča 	Shta/Shcha 		Ligature of sha Ⱎ over tvrьdo Ⱅ[30]
Ⱄ 	Slovo 	Slovo 	С 	/s/ 	Slovo 	Slovo 	word/speech 	𓐍 𓈖 𓅯 𓀁 ? 𓌃 𓂧 𓏏 ?
Ⱚ 	Thita 		Ѳ 	/θ/ 	[Thita] 	Fita 	Theta* 	Greek theta θ[30]
Ⱅ 	Tvrido 	Tvrido 	Т 	/t/ 	Tvrьdo 	Tverdo 	solid/hard/surely 	Perhaps from crossbar of Greek tau τ[30]
Ⱆ 	Uku 	Uku 	У 	/u/ 	Ukъ 	Uk 	Knowledgeable/ Enlightened 	Ligature of onъ Ⱁ and izhitsa Ⱛ[30]
Ⰲ 	Vede 	Vede 	В 	/ʋ/ 	Vědě 	Vedi 	to know 	Possibly Latin V[30] or an inverted dobro Ⰴ[33]
Ⱖ 	Yo(capital) 		Ё 	/jo/ 				Unknown:[30] Hypothetical component of jonsь Ⱙ below; /jo/ was not possible at the time
Ⱛ  	Yzhica 		Ѵ 	/ʏ/, /i/ 	Ižica 	Izhitsa 	
Ⰶ 	Zhivete 	Zhivete 	Ж 	/ʒ/ 	Živěte 	Zhivete 	life/live 	Unknown,[30] possibly Coptic janja ϫ or astrological Pisces ♓︎
Ⰸ 	Zemlja 	Zemlja 	З 	/z/ 	Zemlja 	Zeml(j)a 	Earth/ground/soil 	Possibly a variant of Greek theta θ[30]
Ⱍ 	Chrivi 	Chrivi 	Ч, Џ 	/t͡ʃ/ 	Črьvъ 	Cherv 	worm 	Unknown, similar to shta Ⱋ;[30] perhaps non-final form of Hebrew tsade צ‎
