A: Man and his occupations    
A1	F3000	995328	󳀀
A1A	F3001	995329	󳀁
A1B	F3002	995330	󳀂
A1C	F3003	995331	󳀃
A2	F3004	995332	󳀄
A2A	F3005	995333	󳀅
A3	F3006	995334	󳀆
A3A	F3007	995335	󳀇
A3B	F3008	995336	󳀈
A4	F3009	995337	󳀉
A4A	F300A	995338	󳀊
A4B	F300B	995339	󳀋
A4C	F300C	995340	󳀌
A4D	F300D	995341	󳀍
A5	F300E	995342	󳀎
A5A	F300F	995343	󳀏
A5B	F3010	995344	󳀐
A6	F3011	995345	󳀑
A6A	F3012	995346	󳀒
A6B	F3013	995347	󳀓
A6C	F3014	995348	󳀔
A6D	F3015	995349	󳀕
A6E	F3016	995350	󳀖
A6F	F3017	995351	󳀗
A6G	F3018	995352	󳀘
A6H	F3019	995353	󳀙
A6I	F301A	995354	󳀚
A6J	F301B	995355	󳀛
A6K	F301C	995356	󳀜
A6L	F301D	995357	󳀝
A6M	F301E	995358	󳀞
A6N	F301F	995359	󳀟
A7	F3020	995360	󳀠
A7A	F3021	995361	󳀡
A8	F3022	995362	󳀢
A8A	F3023	995363	󳀣
A9	F3024	995364	󳀤
A9A	F3025	995365	󳀥
A9B	F3026	995366	󳀦
A9C	F3027	995367	󳀧
A10	F3028	995368	󳀨
A10A	F3029	995369	󳀩
A10B	F302A	995370	󳀪
A11	F302B	995371	󳀫
A12	F302C	995372	󳀬
A12A	F302D	995373	󳀭
A12B	F302E	995374	󳀮
A12C	F302F	995375	󳀯
A12D	F3030	995376	󳀰
A13	F3031	995377	󳀱
A13A	F3032	995378	󳀲
A13B	F3033	995379	󳀳
A13C	F3034	995380	󳀴
A13D	F3035	995381	󳀵
A13E	F3036	995382	󳀶
A13F	F3037	995383	󳀷
A13G	F3038	995384	󳀸
A13H	F3039	995385	󳀹
A13I	F303A	995386	󳀺
A13J	F303B	995387	󳀻
A13K	F303C	995388	󳀼
A13L	F303D	995389	󳀽
A13M	F303E	995390	󳀾
A13N	F303F	995391	󳀿
A13O	F3040	995392	󳁀
A13P	F3041	995393	󳁁
A14	F3042	995394	󳁂
A14A	F3043	995395	󳁃
A14B	F3044	995396	󳁄
A14C	F3045	995397	󳁅
A14D	F3046	995398	󳁆
A14E	F3047	995399	󳁇
A14F	F3048	995400	󳁈
A14G	F3049	995401	󳁉
A14H	F304A	995402	󳁊
A14I	F304B	995403	󳁋
A14J	F304C	995404	󳁌
A15	F304D	995405	󳁍
A15A	F304E	995406	󳁎
A15B	F304F	995407	󳁏
A15C	F3050	995408	󳁐
A16	F3051	995409	󳁑
A16A	F3052	995410	󳁒
A16B	F3053	995411	󳁓
A16C	F3054	995412	󳁔
A17	F3055	995413	󳁕
A17A	F3056	995414	󳁖
A17B	F3057	995415	󳁗
A17C	F3058	995416	󳁘
A17D	F3059	995417	󳁙
A18	F305A	995418	󳁚
A19	F305B	995419	󳁛
A20	F305C	995420	󳁜
A21	F305D	995421	󳁝
A21A	F305E	995422	󳁞
A21B	F305F	995423	󳁟
A22	F3060	995424	󳁠
A23	F3061	995425	󳁡
A23A	F3062	995426	󳁢
A23B	F3063	995427	󳁣
A23C	F3064	995428	󳁤
A23D	F3065	995429	󳁥
A23E	F3066	995430	󳁦
A23F	F3067	995431	󳁧
A23G	F3068	995432	󳁨
A23H	F3069	995433	󳁩
A24	F306A	995434	󳁪
A25	F306B	995435	󳁫
A25A	F306C	995436	󳁬
A26	F306D	995437	󳁭
A27	F306E	995438	󳁮
A27A	F306F	995439	󳁯
A28	F3070	995440	󳁰
A29	F3071	995441	󳁱
A30	F3072	995442	󳁲
A31	F3073	995443	󳁳
A31A	F3074	995444	󳁴
A31B	F3075	995445	󳁵
A31C	F3076	995446	󳁶
A32	F3077	995447	󳁷
A32A	F3078	995448	󳁸
A32B	F3079	995449	󳁹
A32C	F307A	995450	󳁺
A32D	F307B	995451	󳁻
A32E	F307C	995452	󳁼
A32F	F307D	995453	󳁽
A32G	F307E	995454	󳁾
A32H	F307F	995455	󳁿
A32I	F3080	995456	󳂀
A33	F3081	995457	󳂁
A33A	F3082	995458	󳂂
A33B	F3083	995459	󳂃
A33C	F3084	995460	󳂄
A33D	F3085	995461	󳂅
A33E	F3086	995462	󳂆
A34	F3087	995463	󳂇
A34A	F3088	995464	󳂈
A34B	F3089	995465	󳂉
A35	F308A	995466	󳂊
A35A	F308B	995467	󳂋
A35B	F308C	995468	󳂌
A35C	F308D	995469	󳂍
A35D	F308E	995470	󳂎
A35E	F308F	995471	󳂏
A35F	F3090	995472	󳂐
A36	F3091	995473	󳂑
A36A	F3092	995474	󳂒
A36B	F3093	995475	󳂓
A36C	F3094	995476	󳂔
A37	F3095	995477	󳂕
A38	F3096	995478	󳂖
A39	F3097	995479	󳂗
A40	F3098	995480	󳂘
A40A	F3099	995481	󳂙
A40B	F309A	995482	󳂚
A40C	F309B	995483	󳂛
A40D	F309C	995484	󳂜
A40E	F309D	995485	󳂝
A40F	F309E	995486	󳂞
A40G	F309F	995487	󳂟
A40H	F30A0	995488	󳂠
A40I	F30A1	995489	󳂡
A41	F30A2	995490	󳂢
A42	F30A3	995491	󳂣
A42A	F30A4	995492	󳂤
A42B	F30A5	995493	󳂥
A42C	F30A6	995494	󳂦
A43	F30A7	995495	󳂧
A43A	F30A8	995496	󳂨
A43B	F30A9	995497	󳂩
A43C	F30AA	995498	󳂪
A43D	F30AB	995499	󳂫
A43E	F30AC	995500	󳂬
A43F	F30AD	995501	󳂭
A43G	F30AE	995502	󳂮
A43H	F30AF	995503	󳂯
A43I	F30B0	995504	󳂰
A43J	F30B1	995505	󳂱
A43K	F30B2	995506	󳂲
A43L	F30B3	995507	󳂳
A43M	F30B4	995508	󳂴
A44	F30B5	995509	󳂵
A45	F30B6	995510	󳂶
A45A	F30B7	995511	󳂷
A45B	F30B8	995512	󳂸
A45C	F30B9	995513	󳂹
A45D	F30BA	995514	󳂺
A45E	F30BB	995515	󳂻
A46	F30BC	995516	󳂼
A47	F30BD	995517	󳂽
A47A	F30BE	995518	󳂾
A47B	F30BF	995519	󳂿
A47C	F30C0	995520	󳃀
A47D	F30C1	995521	󳃁
