1  	 	ए 	e	  एक eka one
Aʳ	𜖮	𑀅	A	 𑀐	AI 𑀏 Eᶥ 𑀑 Oᶥ 𑀭 R   
ᴴAᴵ 	 	𑀈 	'𒀀	 Aᵇ 𜎆  Euᵇ      aṅka    ājani => o I       𜎌 ''U'' Au  see ḪI     𓈘 ? 𜒚 𜒛'
B 	 	𑀨 	PHA	 Blatt phyt bud vs  𜒋  simplified 𓆸 𓆹     
b 		𑀨 	•b	   ब              𓉔 beth
b	 	𑀨	PHA		 𑀧 PA 𑀩 BA 𑀪 BHA  𓊪 𓉔
B	 	𑀩	BA		𓊪 𑀪 BHA   ब ≈  व v    𓉐  
C		𑀝	Ṭ	  *TC  TTA  𓎆  𓍿 𓏏   𑀕 GA  𑀔 KHA	    ≠ 𑀗 Ṅ
Ċ 	 	𑀝 	Ċis	  ≈ 𑀱 ≈ 𑁗 ≈ 6 𓎀  δ ≈ 𑀠 ≈ 6 sixᵗ   𐎘𐎘𐎚 ṯṯt   𐎘 ≈ 𒋙 šuš   ☑
δ 	 	𑀠 	ḌHA	       🌘 𓎀 ḍᵗ 𑀟 ड   
ð		𑀘	CA		'𑀙	CHA 	𑀠	DDHA   ≈ 𔑂 𓂧 ?  ? 𑀘𑀸 च   山 龵 ?	'
D		𑀥	DHA		 𑀤 DA  𑀏 E  𑀐 AI  𑀟 DDAl 𑀴 Ḷai   𑀢 TA       δ s  ⚠️ 𜑹 𜑺 𜑻 𜑼 𜑽 𜑾 𜑿 doppel => P
Ḍ 	 	𑀤 	ḌA	        𑀥 Þ  🌒  
ʒ		𑀟	DDA!	 Deus/Zeus 𜎌 Donᵃᵘ/Theon/Jiang  𑀡  𑀗	*CN NGA 
εʲ		𑀚	JAʸ	  ʲε  ʲey   𓏼 𓏥  𓇋𓇋𓇋   jhara waterfall   jhañjān  山
eᵒ	 	𑀏	O	 Ø EU  𐘡 ᴴE  𐀁 ʰe 𑀐 AI    Ida / Etna / HImalaya ?  ajaśṛṅgī 角   𒌋 ve eye jebel?  
F		𑀊	UU	 *FU	'𑀒	AU  𓊪 phul							'
G	 	𑀕	GA	 	        गधन gādhana 𓉻 arrow/hook 𓋾
Ġ		𑀖	GHA	  山 ghan               𓈉 •county/acre/field/land/mount 𑀱 山 shan 𑀰 sha
𓋴 	 	𑀔 	KH	 ख
Ḥˣ 	 	अ 	ḤA	 𓎛 𓎝 󵐟󵈴 󵉧󵌞  => 𓍳 𓍲 𐙪 𐋁 𐠦 G/Q/K 𓎤 𓍱 š    𓃾 𔑺 𔑾 𓄀  幺 yāo 玄 xuán
hʳ		𑀳	ᵍHA		'𑀳	HA	𑀮	LA	𑀬	YA    see  𑀱 𑀲  sa 𓀂 he/sir 󳜔 : 󵅪 han/ren'
Hᴬ	𜖮	𑀅	HA		'𑀳	HA	𑀮	LA	𑀬	YA    𓁷  𑀅𑀫𑀳 [[mega]] 			'
H₂ 	 	𑀈 	Hep	 *h₂ep-*  𓎛 𓃀 𓃀 𓈅 𓈗  water  
Hᴵ 	 	𑀈 	'Helix	 𓎛  𜎆  𒀀 Eu half      aṅka    ājani => o I       𜎌 ''U'' Au  see ḪI    𓈘 ᴴR ?'	
Ḫᴵᴺ 	 	𑀗 	•Hindu	 Ħ   IḪ / ḪI ṅ 𜑎 NA                  禾   ḪETA <> Ł 	 𑀭𑀼  RU
ᵠI	 	𑀈	II 𑀇 iii I	            iṣīkā 艸 ⻀ 4/5 vi/fü vier/fünf vs tree!  phi < pi 𒉺
J 	  	𑀛	JHA	 Yo!
Jᴵᴱ		𑀚	JAʸ	  ʲε  ʲey    𓏼 𓏥  𓇋𓇋𓇋   
J		𑀬	YA		'𑀛	JHA	𑀚	JA	𑀮	LA   ''LL~J 𑀮~𑀬''   𑀝𑀝 JHA झ  j̈ha  d͡ʑʱə  d͡zʱə'
K	𜖮	𑀅	HA	 / RA   
Kˢ	 	𑀓	KAⁿᵗ	 5  𑀔	KHA    𒆜  KAS               KS X
Kʳ 	 	𑀓	KA	 4        kṛtam … ᶜR	 𑀋 R  𜎗 𜎘 𜎙 𜎚 𐘥 KE kukab 𒀭 𓇼
