≈	NR	ID	#	Compare	Tentative Phonetics
y	B11	39	27!	ƴ 𒿙 Y 󲈄 󲈇 󲄀 󲁞 󲄁 󲁟 󲁜 󲁝 󲎀 󲍢 󲍅 󲁪  yps asp ass 𐘞 S 𐀭 sa •za 𔒈 zu 𓌉 𐤅 waw mast 𓅓 𓊃 𓏏 𓉽 ⲩ Uʳ	gvy / ƒys / 1rst / Ur
Y̵	E14	41	17	ұ 󲎖 󲀫 󲅂 󲅃 󲏈 󲀬 󲌓 󲉧 󲉹  𐘞 𐚏 𐚳 󴇐 󴇑 󳿹 󴢟 󴇒 󴙣 󴙤 󴙥 󴙦 󴙧 󴙡 ≠ 𐤊 	Y̵ š ≈ s 𐘞 ᵍy << zy
ⴤ̱	E5	40	26!	Y̲ 𝚈 𐩠 he   B4  ꔌ ߐ open 🝁 fee o 𓆑	ᵍwav ƒvo
𐀛	B13	42	3	"󲂥 𐘝 NI 𜎜 nu  νικύλεον nikuleon ≈ نَخْلَة naḵla ""date palm, fig"""	ny
𓄱	B12	43	6	𓄱 cattle 𓄰 cãt 𐁒 𐀭 SA  ≠ 𐀋 𐀋  𓍡  𐘘 RU 𔘼 𐀩 re -- 𓐒	sheep/goat/goad
𓄱̲	G3	44	25!	𝚼 ϒ̲ ⥾̱ <> 𓄱 B12  𔘣 𓋬	^
ⱹ 	B8	45	20!	𓇋 (hieratic form) see I4 ℷ נ 𓇑 n/g 20x <> 𓇓 ≈ 𐩧 reeds	fj / gj
𓇑	B9	46	5+6+1	󳼦 B6 󳿺 G2 	1n
𐨖	E1	47	9+1+3	𐚩 𐀴·U  G2' E2  𓈙 𓂋 𓃭 𓇶 𐩮 ṣ ጠ ṭ D8  𐨖 CHA	cha ṣri ṭri 3 
𐋆	A14	48	8	𐤉 <> I3 ㇁̷ ≈ 𑀲 A18/G4	yõd
ᖷ	I5	49	1	 ≈╕ 𐤄 ^^	ƒv
𐙸	E24	50	2	 𐂏 𐂒 <> 𐤂 𐤓 𓇋 	ƒv
౻	G9	51	1	Ҹ 𓊪 𐎜 WU ማ 𐤌 mēm ꖇ ሣ 𐘈 𐘘 𐚿 𐚴 𐘈 𐘤 𐘙 𐘚 𐘛 𐙊 𐀬 𐀮 𐂐 𐠋 ke  𒋗 šu 𓇐 ሠ ש س шума šuma 山 	š/m
𐤊	B5	52	15!	𝈲 Kappa 𐎋 ≠ Y̵ ұ E14 !	k
𑀲	A18	53	10	2 𓄿 hieratic ~ I7 ~ G4 ~ A18 ~ G10 𑀲 s@Brahmi	sz
ユ	G4	54	1	𐋆 𐤉  𝚕 ⩪  ~ A14	z
2	G10	55	21	𓄿 hieratic	arn
𐋃	G5	56	1+1	I9 𐨳 tttha	stha
𜎋	I12	57	1	𜎏 𜎐 𜎑 𜎒 𐘽 •WR 𜎌 𜎍 o 𜎎 mo maym   see A10 󲂀 󲂁 󲅊 󲅋 󲅘 󲅙 󲇺 󲇦 󲂸 󲂹 󲍗 󲍰 󲍓 󲉠 󲃐 󲍱	šu/ma/wr?
󴇱	D1	58	15	"𐙾 ▟  𒂅 𒌷 𐙓 󲆨 𐚆 𔔖 𓊋 󲁂 ◰ 𔔮 𔔭  𓃀 𓏲 𓊋 bow bend path 𔔀 pē 𐤐 פ 𐡐 ܦ ف pint ""corner"""	p/ᶜur 
