Nº 	English 	Etruscan 𐌑~com~𐌔𐌌 𐌐𐌅~qv/p	gloss h->ḫ	PIE		Hittite 𒉈𒅆𒇷 (nesili)	Luwian	w<>r n<>l ar<>ol	Lydian	Lycian 
54	fruit 	- 	lan	??		sesan	𒀀𒆷𒀜𒋻𒊭 (alattarsa)	sesamen!		
55	seed 	- 	semenies	semen	✓	warwalan	warwalan	~fruit?		
56	leaf 	- 	-			hurpastas	-			
57	root 	- 	-			sūrkas	-			
58	bark 	- 	-			-	-			
59	flower 	- 	-			alil	-	lily! lul@alban		
60	grass 	- 	-			wēlku	zuhri	welken!		
61	rope 	- 	-			ishimas	-	𓍿𓊃!		
62	skin 	- 	pel	peal	✓	-	-			
63	meat 	- 	-			-	-			
64	blood 	- 	krove	<< kir	<<	eshār	āsharsa	<<		
65	bone 	- 	os	osteo	✓	hastāi	𒄩𒀀𒀸𒊭 (hāssa)	osteo!		
66	fat (n.) 	- 	lartos	< flesk? --		sakan	-			
67	egg 	- 	ov	ovum	✓	-	-			
68	horn 	- 	cornas	corn	✓	karāwar	zurni	khøren(er)		
69	tail 	- 	-			sisai (?)	-			
70	feather 	- 	pen, pinie	𓇋 !!	✓!	patar	-	phathar		
71	hair 	- 	crinal	@ cranial	<<	tetanas	𒋰𒉺𒀀𒉌𒅖 (tappānis)	t…!? 𓁸 		
72	head 	- 	tet	tête <>  testa “pot, jug, brick”	✓	harsar	harmahis	heaδ𓎛		
73	ear 	- 	-			istāman	𒌈𒈠𒀀𒀭 (tummān)			
74	eye 	- 	ochuleim	Äuglein	✓	𒃲𒄭𒀀𒅖 (sakaui-is)	tāwīs	Seeyke Moykau!		
75	nose 	- 	-			tititan	-			
76	mouth 	- 	os, osa	os	✓	ais, iss-	𒀀𒀀𒀸𒊭 (āssa)	𓂋 arse, os		
77	tooth 	- 	-			gagas	-			
78	tongue 	- 	-			lalas	lālis	longue lall;)		
79	fingernail 	- 	-			kaddu (?)	-			
80	foot 	- 	-			𒄊𒀸 (patas)	𒉺𒋫𒀀𒀸 (patās)	phot𒀸		
81	leg 	- 	sam	jamb	✓	egdu	pārtas (?)	!		
82	knee 	- 	-			gēnu	-	genye ++		
83	hand 	- 	mano	manu	✓	kissar	𒄿𒅖𒊭𒊑𒅖 (īssaris)	! <<<>>>		
84	wing 	- 	pen, pinie	𓇋	^^	𒈦𒋫𒌋𒉿𒅈 (pártauwar), 𒁁𒋻 (páttar)	aruti	feather		
85	belly 	- 	-			sarhuwanz	-	𓄡Wanz!		
86	guts 	- 	hilar	kholádes χολάδες 	✓	garates	-	gurt gut 		
87	neck 	- 	kolem	column	✓	kuttar (?)	-			
88	back 	- 	post		✓	iskis	-			
89	breast 	- 	mamar	mammal	✓	tētan	tītan	Titten		
90	heart 	- 	chor, chur	coeur, core	✓	𒆠𒅕 (kir)	𒍝𒀀𒅈𒍝 (zārza)	Coeur 		
91	liver 	- 	fiaul, fiafl	via=live	✓	lissi	-	~liver lisank!?		
92	drink 	𐌔𐌐𐌄𐌕 	spet, pot, apen	sip, saufet, s'pot!	<<<	ekuzi	ūtti	ūtti® water Eatur @ alban		
93	eat 	- 	fesr, ves	fress, vesse, fasten	✓	ēzzi	azti	Essen ++		
94	bite 	- 	-			wāki	-	?		
95	suck 	- 	-			u(n)hzi	-			
96	spit 	- 	spor		~	allappahhi	tappāti			
97	vomit 	- 	-			-	-			
98	blow 	- 	-			𒉺𒊏𒀀𒄿 (parāi)	-			
99	breathe 	- 	tre	ရှူ hru @ thorax	✓?	-	-			
100	laugh 	- 	-			halwammar	-			
101	see 	𐌕𐌄𐌅, 𐌕𐌍𐌀𐌌 	tev, tnam	video manāti LTR	<<<	auszi, 𒌋𒀪𒄭 (uḫḫi)	manāti	Eye-see äugen		
102	hear 	- 	vot	voz@HEB	!	istamaszi	tūmmantitti			
103	know 	- 	scinir		✓	𒊭𒀀𒀝𒆠 (sākki)	un(a)i-	savoiur!		
104	think 	- 	pens, pensin, rat		✓	mala	maliti	mind (sic!)		
105	smell 	- 	-			-	-			
106	fear 	- 	pave, timem, verier, paeve, paeveis	pevr	✓	nāhi	kuwaya-			
107	sleep 	- 	sopo		✓	seszi	-	Sedate session		
108	live 	𐌔𐌅𐌀𐌋 	sval	<> survivre	<<	huiszi	-			
109	die 	𐌋𐌄𐌉𐌍, 𐌋𐌅𐌐𐌅, 𐌍𐌄𐌔 	lein, lupu, nes, obe	𐌍𐌄𐌔~muerth, necro		aki	*walati			
110	kill 	- 	enak?, leto, caitim	lethal cut	✓	kuēnzi	-			
111	fight 	- 	marte	martial	✓	hullezzi	-			
112	hunt 	- 	-			huwarniskezzi	-			
113	hit 	- 	ice		<	walhzi	dūpiti			
114	cut 	- 	sec, caitim, efeti, prosikoren		✓	kuērzi	kuwarti, karsti			
115	split 	- 	parto, tref, trev		✓	iskallai	-			
116	stab 	- 	-			iskāri	-	≠scar		
117	scratch 	- 	-			*arrirrai	-			
118	dig 	- 	-			𒁁𒁕𒀀𒄿 (páddāi)	-	~ fly!?		
119	swim 	- 	ine	Latin: no@nau	✓	-	-			
120	fly (v.) 	- 	-			𒁁𒁕𒀀𒄿 (píddāi)	-	~ dig!?		
121	walk 	- 	-			𒄿𒄿𒀀𒀜𒋫 (i-ya-at-ta /iyatta/)	-	geyan		
122	come 	- 	vener		✓	uēzzi	awīti			
123	lie (down) 	- 	gis, iacer		✓	kitta	zīyari	kitten;)		
124	sit 	- 	setio		✓	ēsa	asti	sessa!		
125	stand 	- 	stai		✓	arta	tāi	<<		
126	turn 	- 	verto		✓	wehzi, nēa	kuwalīti (?)	wind		
127	fall 	- 	-			mauszi	-	mausoleum		
128	give 	𐌀𐌋, 𐌀𐌔, 𐌋𐌄𐌔, 𐌌𐌀𐌋, 𐌕𐌅𐌈𐌉, 𐌕𐌅𐌓 	al, as, les, mal, tuthi, tur, prorse	Hol@Balkan, vas, dota,dar	<<<	𒉺𒀀𒄿 (pāi)	piyai	Poner @ phyrgy		
129	hold 	- 	ten		✓	harzi	-	fassen holδι !! ++		
130	squeeze 	- 	-			𒅆𒄿𒄑𒍣 (sīezzi)	wisiti	Sīezzi ~ squeeze!!		
131	rub 	- 	vr		~	𒁉𒌍𒍣 (peszi)	kūsāti	≠ push		
132	wash 	- 	lavo, luta	lythe lauda launder	✓	ārri, warpzi	īlhāti, lāhunti	warsch wash!		
