No. 	English 	Romanian/română	Other PIE	Very PIE!				
167	fire 	foc, jar	jag@romani		<<<<<			
168	ash 	cenușă, scrum						
169	to burn 	a arde			<			
170	road 	drum, cale	drome, callé	🗸	<<			
171	mountain 	munte		🗸				
172	red 	roșu		🗸				
173	green 	verde		🗸				
174	yellow 	galben	gelb!!	🗸!				
175	white 	alb		🗸				
176	black 	negru, lai	lai?	🗸				
177	night 	noapte	p<>q!	🗸 ! 				
178	day 	zi	day semi!	🗸				
179	year 	an		🗸	>>			
180	warm 	cald	;)	🗸	!!			
181	cold 	rece, frig	fridge	🗸				
182	full 	plin	polyn	🗸 x				
183	new 	nou		🗸				
184	old 	vechi			>>			
185	good 	bun	bon	🗸				
186	bad 	rău, prost	raw@Semit!!!	🗸	worst?			
187	rotten 	putred, cariat	ge’rot! put’rot	🗸??	<> 			
188	dirty 	murdar, jegos	murky@Dravid					
189	straight 	drept						
190	round 	rotund		🗸+>				
191	sharp (as a knife) 	ascuțit						
192	dull (as a knife) 	tocit, bont	bent?					
193	smooth 	neted						
194	wet 	ud, umed	Wet > out, ud	🗸				
195	dry 	uscat						
196	correct 	drept	Straight, right ^^					
197	near 	lângă, apropiat, aproape		>🗸				
198	far 	departe		>🗸				
199	right 	drept	^^	<<<				
200	left 	stâng	strong!??	<				
201	at 	la, în	À-la @ SEM!!!	🗸				
202	in 	în		🗸				
203	with 	cu	com, con, que, …	🗸				
204	and 	și	et, si, ja, gar, … >>	🗸				
205	if 	dacă		????				
206	because 	deoarece, pentru că						
207	name 	nume		🗸				
