No. 	English 	Mongolian монгол хэл (mongol hel)	NOT much PIE vocab					
171	mountain 	уул (uul)	ur					
172	red 	улаан (ulaan)						
173	green 	ногоон (nogoon)						
174	yellow 	шар (šar)	sari					
175	white 	цагаан (tsagaan)						
176	black 	хар (har)	kar					
177	night 	шөнө (šönö)						
178	day 	өдөр (ödör)						
179	year 	жил (žil)						
180	warm 	дулаан (dulaan)						
181	cold 	хүйтэн (hüjten)						
182	full 							
183	new 	шин (šin)	xin					
184	old 	настай (nastaj) (people), хуучин (huučin) (things)	nasty					
185	good 	сайн (sajn)	sane					
186	bad 	муу (muu)						
187	rotten 							
188	dirty 	бохир (bohir)						
189	straight 	шулуун (šuluun)						
190	round 	дугуй (duguj)						
191	sharp (as a knife) 							
192	dull (as a knife) 							
193	smooth 							
194	wet 							
195	dry 							
196	correct 							
197	near 							
198	far 	хол (hol)						
199	right 							
200	left 	зүүн (züün)						
201	at 							
202	in 							
203	with 							
204	and 	ба (ba)	ve					
205	if 							
206	because 							
207	name 	нэр (ner)	𓂋𓈖					
