№	English	Kurukh कुँड़ुख़	PIE	
87	neck	टोटा (ṭoṭā)	𓏏 𓅱 𓏏 𓀾	≈
88	back	मेद (mēd)		<<
89	breast	दुधी (dudhī)	tit	√
90	heart	बुका (bukā)	<> ἀγαπάω agapáō > אגב ʾḡḇ 	<<
91	liver	उम्बल्ख़ो (umbalxō)	x	
92	to drink	ओन्ना (onnā)	…en ≈ …nā	
93	to eat	मोख़ना (mōxnā) (for all food other than rice), ओन्ना (onnā) (for food in general, for rice)	munch'in	
94	to bite	हब्क'आना (habka'ānā)	haps.en ;)	
95	to suck	चीपना (cīpnā)	sip'in	
96	to spit	तुप्पना (tuppnā)	𓏏 𓈙 𓂐	
97	to vomit	पुत्रना (putrnā)	puker	
98	to blow	ऊरना (ūrnā)	𓏲	
99	to breathe	साँस हो'ओना (sā̃s ho'onā) (to take breath), नाख़ना (nāxnā)	𓈖 𓌢 𓂉	!
100	to laugh	अल्खना (alkhnā)	lakh.en	
101	to see	एरना (ērnā)	𓁹 ⲓⲉⲣ.en	
102	to hear	मेन्ना (mennā)	mens	
103	to know	अख़ना (axnā)	a'gnos	
104	to think	सोचना (sōcnā)	≈	
105	to smell	नुसुंगना (nusuṅgnā)	en.𓋴𓈖𓂉𓀁	
106	to fear	एल्चना (elcnā)		
107	to sleep	ख़ंद्रना (xandrnā)	•skander 𓋴 𓐍 𓈖 𓅯	
108	to live	उज्जना (ujjnā)	𓋹𓈖𓐍 ≈ 𓋹𓐍𓈖 •ugna	
109	to die	खे'एना (khē'enā)	x'in	
110	to kill	पिटना (piṭnā)	𓃀	
111	to fight	लड़ना (laṛnā)		
112	to hunt	सेंद्रा बेचना (sendrā bēcnā)		<
113	to hit	लवना (launā)	<> fight	
114	to cut	खंडना (khaṇḍnā), ख़ोयना (xoynā)	schneiden 𓍲 𓈖 𓏌 𓅱 𓍶	
115	to split	पल्कना (palknā)	"@Beil PIE *bʰeyH- ""beat, strike"""	
116	to stab	जोबना (jobnā)	jab	
117	to scratch	गोद्र'आना (godra'ānā)		
118	to dig	कोड़ना (koṛnā)	grave'in	
119	to swim	ओगना (ōgnā)	aqua	
120	to fly	उढ़यारना (uṛhyārnā)		<
121	to walk	एकना (ēknā)		-
122	to come	बरना (barnā)		-
123	to lie (as in a bed)	बेड्रना (beḍrnā)	@bed	!
