Nr 	English 	Eurasian 	Best Uralic	Best Turk		Hungarian = corrupted PIE/Turk	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	Tundra Nenets	North Sami 	Kildin Sami 	Turk connection	Best Turk	Aryan		Turkmen 
89	breast 	"milch geber = Rinder!   2. ""Kübel"""	mell kebel = rinta 		++?	mell kebel 	rinta 	rinda 	rind 	меште 	мяште 	морöс 	 		čižži 	ниннч (ninnč), раннҍт (rannʹt) 			mamma chestum!	✓️	emjek 
90	heart 	sweet:heart 𓇔~𓄤? Süden=heart(of Africa) swine??	süda 		??	szív 	sydän 	syväin 	süda 	седей 	седи 	сьöлöм 	sim 	sʲeyə	váibmu 	кӯттьк (kūttʹk) (food) са̄ррьт (sārrʹt) 			coeur сүрэх ++	✓️	ýürek 
91	liver 	мыд (mid) @ middle?			/	máj 	maksa 	maksa 	maks 	максо 	макса 	мус 	mājt 		vuoivvas 	вӯйвас (vūjvas) 			bags+ liBor!	✓️	bagyr 
92	to drink 	J’uoda : schütte water			++~	Isz <> viz = water	juoda 	juoda juuva 	jooma 	симемс 	симомс 	юны 	aj- 		juhkat 	югкэ (jugke) 			iq…make! 𓂋 Nomnom;)	½ + ✓️✓️	içmek 
93	to eat 	eat ess.ich   soda ≠ schütt	eszik sööma syödä 		+++ ...	esz	syödä 	syyvä 	sööma 	ярсамс сэвемс 	ярхцамс 	сёйны 	tē- 		borrat 	по̄ррэ (pōrre) 			isse…make!	✓️ - ✓️✓️	Iýmek, çиме’
94	to bite 	happ,rupf <> pour, pull?			+?	harap 	purra 	purra 	hammustama purema 	сускомс 	сускомс 	курчны 	 		suoksat 	ка̄ццькэ (kāccʹke) 			ытыр BIT …bisser make! snack	✓️✓️	dişlemek 
95	to suck 	imie <> mamma	szopik		~ ?	szopik emik 	imeä 	imie 	imema 	потямс 	шокшемс 	 	 		njammat 	нюммэ (njumme) 			mamma	✓️✓️	emmek 
96	to spit 	≠ schluck				Köp ~ kotz	sylkeä 	sylgie šlötätä 	sülitama sülgama 	сельгемс 	сельгомс 	 	 		 	чо̄ллкэ (čōllke) 			tüýkür…make!	✓️ ?	tüýkürmek 
97	to vomit 	kotsen ~ oksen.tu	oksendua 		++ OK?	hány ?	oksentaa 	oksendua 	oksendama 	уксномс 	уксондомс 	 	 		vuovssat 	вуккьсэ (vukkʹse) 			kotz…make! ++	✓️✓️	gusmak 
98	to blow 	pust fauch hale blow 	puhuo, puhaltaa 		++~	fúj 	puhaltaa 	puhaldua puhuo 	puhuma 	пувамс 	уфамс 	 	 		bosadit 	поассэ (poasse) 			eshu,lüfle, a-woosh	~	üflemek, öwüsmek 
99	to breathe 	hengi.tu ל Lunges	hengittää 			lélegzik ?	hengittää 	hengitiä 	hingama 	лексемс 	вайме тарксемс 	 	 		vuoigŋat 	вӯййнэ (vūjjne) 			aдем atem ++ (in)hale	✓️✓️	dem almak 
100	to laugh 	neck ⲛⲥⲁ! инээх nagh laugh narr @ Romain	nagrua, nauraa		++?	nevet 	nauraa 	nagrua 	naerma 	ракамс 	рахамс 	серавны 	moɣal- 		boagustit 	сӣййнэ (sījjne) 			johl, күл kill;) gelächter	✓️ ~ ;)	gülmek 
101	to see 	𓈖𓍇𓏌𓅱 NADZAR@SEM ħzā auszi 𒌋𒀪𒄭  𓈖𓍯𓄿𓁺	nvizio nvideo		+++	lát néz 	nähdä 	nähtä nägyö 	nägema 	неемс 	няемс 	аддзыны 	wā- 		oaidnit 	уййнэ (ujjne) 			𓂋𓁹𓁺 Care eygör! Gvr vs mvr 	✓️!	görmek 
102	to hear 	hall<hear ++ kohra=ear ^^	hall 		++<	hall 	kuulla 	kuulla 	kuulma 	марямс 	кулемс 	кывны 	 		gullat 	куллэ (kulle) 			sDm!	✓️✓️	eşitmek 
103	to know 	truth <>  𓁦 mathemat  did=see@PERS vISM wissen ++ 	tud teadma  𓁦		+++ <?	tud (sg.) ismer (sy.) 	tietää 	tiediä 	teadma  𓁦	содамс 	содамс 	тöдны 	 		diehtit 	тӣдтэ (tīdte), томмтэ (tommte) 			bildung? (Bild-machen) saba! Savoir  		bilmek 
104	to think 	Gondel;) / mind  𓁦 mathemat	miettiä 		? / ++	gondol gondolkozik 	ajatella miettiä 	ajatella miettie duumaija 	mõtlema 	арсемс 	арьсемс 	мöвпавны 	noms- 		jurddašit 	юррьтэ (jurrʹte) 			Şün saengga think! düşün dösen denken	✓️✓️	pikir etmek, saýmak, üýtmek 
105	to smell 	𓌢𓈖𓂉 nose.tum 𐌷𐌰𐌹𐍄𐌰𐌽 𐌷𐌰𐌶𐌾𐌰𐌽 ?	nuusutama haistma 	шăшлама kok	OK?	szagol 	haistaa 	haižuo hengätä 	nuusutama haistma 	(судосо) марямс 	марямс 	 	 		háistit 	аппьсэ (appʹse) 		шăшлама kok	~ sensmell  <> ysgamak schmecken	✓️!?	ysgamak (sniff) 
106	to fear 	fear, pelle	varata		+++	Fél  < varata	pelätä 	varata 	kartma pelgama 	пелемс 	пелендемс 	полöм 	 		ballat 	пэ̄ллэ (pēlle) 			grauen <> kerker!  Eierman;) 𓅾𓆂	✓️	gorkmak, eýmenmek 
107	to sleep 	nique, nicker@night < magama ?	nukkua		+++	Alszik ~ Al sick/Siech	nukkua 	magua muata nukkua (to doze) 	magama 	удомс 	удомс 	узьны 	 		oađđit 	вуэдтӭ (vuedtʹe) 			haia, nukl, nickt	✓️	uklamak 
108	to live 	alive! Erlebe   vel<vir? <> animal	eliä elama 		<<	él 	elää 	eliä 	elama 	эрямс 	эрямс 	овны 	ōl- 		orrut 	е̄лле (jēllʹe) 			Yashen 生 Fire		ýaşamak 
109	to die 	kill, halt	(mur)kuolla 		+++	(meg)hal 	kuolla 	kuolla 	surema 	куломс 	куломс 	кувны 	χōl- 		jápmit 	ёамме (joammʹe) 			mör→öl <- kill ? Old	~	ölmek 
110	to kill 	me.kill, topple? tötem	tapma 		ok?	öl megöl 	tappaa 	tappua 	tapma 	куловтомс чавомс 	шавомс 	 	al- 		goddit 	коаннҍтэ (koannʹte) 			al’tuer! older! 	^	öldürmek 
111	to fight 	beharken? √2 duel	harc, taistella 			harcol küzd 	taistella 	torua 	vőitlema kaklema 	тюремс 	тюремс 	 	 		riidalit 	туаррэ (tuarre) 			warus++ Garaus machen	✓️!	uruşmak (war) , söweşmek, göreşmek (wrestle) , 
112	to hunt 	jagt(time/tum/ma)  metzeln @ mecca? 𓌱𓌬	jahtima 	awla	++/??	vadászik 	metsästää 	meččua 	küttima jahtima 	охотничамс 	кунцемс 	вöравны 	ališl- 		bivdit 	(the hunt) ме̄һць (mʹēhcʹ) 		awla	awl < owl angel @Ebla		awlamak 
113	to hit 	hit, make.hit	üt	patla, çап	+?	üt, megüt 	lyödä iskeä 	lyyvä iškie 	lööma 	равтомс чавомс 	реськафтомс 	 	 		 	васстэ (vasste) 		patla, çап	bat beatle, chop charge	✓️✓️	patlamak; urmak (beat) 
114	to cut 	le cuta, lyse?, fetch? 	leikata 	кезер 	++/?	vág 	leikata 	leikata 	lõikama 	керямс 	керомс 	вундавны 	 		čuohppat 	чӯһпэ (čūhpe), вэ̄йе (vējʹe) 		кезер 	Кес ~ cut	✓️~	kesmek 
115	to split 	Hulk, hal.be, Hase’it Scharte > cut  <> kill?	hallata 		+?	hasít 	halkaista 	hallata 	lõhestama poolitama 	лазомс 	лазомс 	 	 		 	луэннҍтэ (luennʹte) 			yaw!  böl<>Beil	<	ýarylmak 
116	to stab 	scar piks పొడుచు poḍucu	pistiä		++:)?	szúr 	pistää 	pistiä čökätä 	pussitama 	лазомс (пеельсэ) 	сялгомс 	 	 		 	чо̄һкэ (čōhke) 			Bat! <> beat, push, pickle, prick		pyçaklamak, naýzalamak 
117	to scratch 	kratz, krabbel, rapir, Rabe	kratsima kraapima 		++<	vakar 	raapia kynsiä 	riibuo kyndžie krabista 	kratsima kraapima 	раздемс 	сянгордамс 	 	 		 	суввэ (suvve) 			Dyrna.çakla		dyrnaçaklamak 
118	to dig 	Cave < carve < grave < grabe	kaivaa 		++	Ás < dash < dig	kaivaa 	kaivua 	kaevama 	чувомс 	шувомс 	 	 		goaivut 	куаййвэ (kuajjve) 			kratz, carve, Kaspian	✓️~	gazmak 
119	to swim 	yú@water	uida 	ишме 	++	úszik 	uida 	uidua 	ujuma 	экшелямс уемс 	эшелямс 	уявны 	 		vuodjat 	вӯйе (vūjʹe) 		ишме 	鱼水 yuswuma swim	<~	ýüzmek 
120	to fly 	repulse=re.fly linda=bird rebhun;)	repül[y]		ok+?	repül[y]	lentää 	lendiä 	lendama 	ливтямс 	лиемс 	лэбавны 	 		girdit 	кыррьтэ (kɨrrʹte) 			(fl)UG! Off	!	uçmak 
121	to walk 	go-walk go-aller@cheval?	kävellä 		<<<	megy sétál 	kävellä 	kävellä 	kõndima 	ютамс (ялго) 	якамс ялга молемс 	 	jal- min- 	jader-	vázzit 	ва̄ннҍцэ (vānnʹce) 			jire++ gyro geht	✓️✓️	ýöremek, barmak, gitmek
122	to come 	comes join 𓇍 yourn?	самс 	килме	++ ???	jön 	tulla 	tulla 	tulema 	самс 	самс 	локны 	ji- joχt- 		boahtit 	пуэдтӭ (puedtʹe) 		килме	kel ko’ma come	✓️✓️	gelmek 
123	to lie (down)	Sick:siech:set^^ √fake fakir mat  maat¬a!	maata 		+^^	fekszik 	maata 	venyö virua muata (to sleep) 	lamama 	аштемс (мадезь) 	мадозь ащемс 	куйлыны 	 		veallát (humans), goarjadit (dogs), livvadit (other animals) 	луввэ (luvve) 			shut, jute?		ýatmak, uzanmak 
124	to sit 	sit @stuhl <> halt:	istua@ül		++!	ül 	istua 	istuo 	istuma 	аштемс (озадо) 	озада ащемс 	пукавны 	ūnl- 		čohkkát 	ышштэ (ɨššte) 			<<>> (s)itur!		oturmak 
125	to stand 	HALT alift <> sit, cess	seižuo 		++!	áll 	seistä seisoa 	seižuo 	seisma 	аштемс (стядо) 	стяда ащемс 	чеччавны 	 		čuožžut 	чуэннчэ (čuennče) 			dura, turm!! ++	✓️<<	durmak 
126	to turn 	qwende, pirouette fordul vortex.do <> werfen?	kiändiä pyöriä 	бур+dön 	<<<	fordul 	kääntyä pyöriä 	kiändiä pyörie 	pöörama 	пурдамс 	шаромс шарфтомс 	бергавны 	 		jorggihit 	ёҏтътэллэ (jor̥ttelle) (intransitive) ле̄вхэ (lʹēvxe) 		бур+dön 	turn.make  QED	✓️✓️	dönmek 
127	to fall 	sick^lie lang@pod?		düş	^^?	esik 	pudota kaatua langeta 	kuaduo langeta kikota 	kukkuma langema 	прамс 	прамс 	усьны 	 		gahččat 	кэ̄һче (kēhčʹe) 		düş	𐌳𐍂𐌹𐌿𐍃𐌰 dösen/dasseln ++ kill	<~	ýykylmak 
128	to give 	Hand out ante ad at yad … 𓏙𓀞  𓅱𓂧𓏴𓂡 !!!	andua 		+++<<<	ad 	antaa 	andua 	andma 	максомс 	максомс 	сетны 	mi- 		addit 	аннҍтэ (annʹte) 			bear™ (auf)baren fair, dar, poner, vergeben	<~	bermek 
129	to hold 	𓂘!  Pfote > fetch fass fang > fog	pidiä 		+?	fog 	pitää 	pidiä 	hoidma pidama 	кирдемс 	кирдемс 	кутны 	 		doallat 	оаннӭ (oannʹe) 			tut? Total? Title? Donde?		tutmak 
130	to squeeze 	press.tu	puristaa 		+++	Szorít ~	puristaa 	purištua ličata 	(kokku) suruma 	лепштямс 	пувордамс 	 	 		 	падже (padžʹe) 			sqy.ez	✓️	sykmak 
131	to rub 	< scheuer(n)	hierua 		~?	dörzsöl 	hieroa 	hierua 	hõõruma 	ёзамс 	нардамс 	 	 		 	е̄ррэ (jērre) 			oýka<>eyes 	<	oýkamak, sürtenmek 
132	to wash 	沐洗 mùxǐ mnwässer @ pest pesema waschem	pestä 	çума  ýuw	<<	mos < mwash	pestä 	pestä peššä 	pesema 	шлямс муськемс пезэмс 	штамс 	мыссьыны 	 		bassat 	пэ̄ссэ (pēsse) 		çума  ýuw	<> swima, jew! 鱼雨	✓️<	ýuwmak 
133	to wipe 	~wisch? 	pyyhkiä 	süpür	~?	töröl (Öl-Tuch)	pyyhkiä 	pyhkie 	pühkima 	нардамс 	нардамс 	 	 		 	е̄ррэ (jērre) 		süpür	säuber	✓️✓️	süpürmek 
134	to pull 	fetch-tow?	vetää		~?	Huz < Thau-zieh?	vetää 	vediä taššie 	tõmbama vedama 	ускомс 	таргамс 	 	 		geassit 	ке̄ссе (kʹēssʹe) 			dartj~drag awʊ-  tau/tract!	✓️<	dartmak, çekmek 
135	to push 	touch, don??	töykätä 		~?	tol 	työntää 	tungie töykätä 	tõukama 	тулкадемс 	толхмадемс ряфцодемс 	 	 		hoigat 	оййкъе (ojjkje) 			Hit! ‘ttack	✓️~	itmek 
136	to throw 	drop?				dob 	heittää viskata 	bringata viškuo lykkie heittiä (to leave, to abandon, to stop) 	heitma viskama 	ёртомс 	ёрдамс 	 	li- 		bálkestit 	чаццькэ (čaccʹke) 			hit^ dash? Test? Thrush<	^	atmak 
137	to tie 	knot cord kittel^, sa’um 𓊃			+++	köt 	sitoa solmia (a knot) 	siduo solmie niegluo 	siduma 	сюлмамс 	сотомс 	 	 		čatnat 	ко̄ррэ (kōrre) 			bügl;) bandg	<	baglamak 
138	to sew 	werf a'mend 𓈖 Naht ^^				varr 	ommella neuloa 	ommella nieglua 	õmblema 	стамс 	стамс 	 	 		goarrut 	куаррэ (kuarre) 			tag tacker! Stick ++	✓️~	tikmek 
139	to count 	∑ sum! Sumary, lucky luke???	számol		++	számol 	laskea lukea (archaic) 	laskie lugie 	loendama 	ловомс 	лувомс 	лыддьыны 	 		rehkenastit 	ло̄гкэ (lōgke) 			∑ Sana+шут  coundo ++ 	✓️✓️	sanamak 
140	to say 	Mund > mot sayn soner sound! 	mond sanoa		++?	mond szól 	sanoa 	sanuo 	ütlema 	меремс 	азомс 	шуны 	 		dadjat, lohkat, cealkit 	це̄ӆӆькэ (cʹēl̥l̥ʹke) 			Disay~ 第zähl ~count ~сана total deem,dire	✓️✓️	diýmek 
141	to sing 	lala;) jaul  sing, schunkel,énekel=eunuchen	laulaa 	saýra söyle	++ ;)	énekel, da’lol 	laulaa 	laulua pajattua 	laulma 	морамс 	морамс 	сьывны 	ērɣ- lujɣ- 		lávlut 	ла̄ввлэ (lāvvle) 		saýra söyle	sayr choir 🌣唱 sung Syra𓇗 chmer𓇗! 	✓️✓️ 𓇗 	saýramak 
142	to play 	Play jazz jeux joy joice (bala)leika, (p)leasure	pelata játszik		+++?	Játsz.ik 	leikkiä pelata soittaa 	kizata elostua soittua (music) 	mängima 	налксемс 	налхкомс 	ворсыны 	jonɣ- 		stoahkat 	сӣррэ (sīrre) 			𓏠! joý-n-m / g-m-n  <> jaz	✓️<	oýnamak 
143	to float 	levit, úswim, keiluo??	lebeg, úszik	lepildi	+?	lebeg, úsz.ik 	kellua 	keiluo 	hõljuma 	уемс (ведь лангсо) 	уемс 	 	 		 	вӯйе (vūjʹe) 		lepildi	le.Fließ 覆流, ýüz 雨溢yi … 	✓️<	ýüzmek 
144	to flow 	Flow < fähr!	Foly < virrata		+++	Foly.ik 	virrata 	virrata 	voolama 	чудемс 	шудемс 	 	 		 	ко̄ллкэ (kōllke) 			aqua++	√?	akmak 
145	to freeze 	fagys			~+	fagy 	jäätyä 	jiändyö kylmiä 	külmuma jäätuma 	кельмемс эензамс 	эйндамс 	кынмыны 	 		jiekŋut 	калльмэ (kallʹme) 			settle-- dura	✓️~?	şatlamak, doňdurmak 
146	to swell 	pustel tits	paizota 	шиши	…	dagad duzzad 	paisua turvota 	paizota turvota 	paisuma 	таргозевемс 	паймошкодомс 	 	 		 	(swelling) поаз (poaz) 		шиши	swell	<	çişmek 
147	sun 	Nobel 𓋞 𓋟𓋠 Ши / Pyro?!! !!!!!!??	Päivke ??		𓋞!	Nap <>  нєбо (sky) 	Aurinko  !	päiväine 	päike 	чипай чи 	ши 	 	 		beaivi, beaivváš 	пе̄ййв (pʹējjv) 			Gün šun ʃiwun SUN / HEL 	✓️✓️	gün 
148	moon 	𓐍 Cold 🌔 Kugel? Kyue schöne hühne	kuu 𓐍!!	aý 	!??	hold 	kuu 	kuu 	kuu 	ков 	ков 	тöлысь 	 		mánnu 	ма̄нн (mānn) 		aý 	IAH 月 lun la.ай moon ma.ай biga:god!?	✓️	aý 
149	star 	DUAT 𓇼𓄿𓏏 Dwa 𓇽 te’stern *** 	теште		<++	csillag 	tähti 	tähti 	täht 	теште 	тяште 	кодзув 	 		násti 	та̄ссьт (tāssʹt) 			<> gild! Gold, celt, kult, glitter	~	ýyldyz 
150	water 	Wässer < ведь obe.ti (plural)	vezi 		+++	víz 	vesi 	vezi 	vesi 	ведь 	ведь 	ва 	wit 		čáhci 	ча̄дзь (čādzʹ) 			suwater <> 𓋴𓅨𓂋 水 shuǐ!	✓️<	suw 
151	rain 	schütt! 𓇲𓂍𓁿  	sataa 𓎛𓀝𓇋𓇋𓏏𓈗		+++	eső (noun) 	sataa 	vihmuo 	(vihma) sadama 	пиземс 	пиземс 	зэрны 	 		arvit 	(the rain) аббьр (abbʹr) 			yaquas 雨 ýağ.os	<✓️✓️	ýağış 
152	river 	FLOW YU~AUe yong 涌泳水沿江 … Лей ~ lake	folyó 	derýa 	++	jó (archaic), folyó 	joki 	jogi 	jõgi 	лей 	ляй 	ю 	jā 	jəxa	johka 	ё̄гк (jōgk) 		derýa 	𓇋 𓏏 𓂋 𓈘 𓈗 Wa/Sur-darja 雨™ See 水	✓️✓️✓️	derýa 
153	lake 	Лей ^^ river ~~~ järvi riväj  𓇋 𓏏 𓂋 𓈘 𓈗 jdervi			+?	Tó > thoe > see	järvi 	järvi 	järv 	эрьке 	эрьхке 	ты 	tūr 		jávri 	я̄ввьр (jāvvʹr) 			Kuhle! 𓎡 𓄿 𓍘 𓇋	✓️✓️!	köl 
154	sea 	Meer ++ tangent? See:tang	meri 		+++ / --	Tenger @ Tangir!	meri 	meri 	meri 	иневедь 	моря 	саридз 	šārəš 		mearra 	ме̄рр (mʹērr) 			DON.az™	✓️	deňiz 
155	salt 	salt Sole	só, suola™		+++	só 	suola 	suola 	sool 	сал 	сал 	сов 	 		sálti 	сӯлль (sūllʹ) 			du.sal.de <> tozan 1000-sand!	✓️	duz 
156	stone 	𓊌  rokő రాయి (rāyi) கல் (kal) Kiesel core?	<<>>		<<<<	kő 	kivi 	kivi 	kivi 	кев 	кев 	из 	āχʷtas 		geađgi 	ке̄ддҍк (kʹēddʹk) 			Dash T-s / s-t ++	✓️✓️!	daş 
157	sand 	sandu, litho, …	sáttu, lieto		++/…/--	Homok ≠ Humus	hiekka suurimo 	čuuru liede lieto 	liiv 	чувар 	шувар 	лы 	 		sáttu 	вӯнтас (vūntas) 			Krume, Krüm.el ++	✓️	gum; çäge 
158	dust 	Ton Vapor, poga, fog, poly fly	పొగమంచు (poga)		+!<<	por 	tomu pöly 	tomu pöly 	tolm 	чельке 	пуль 	бус 	rāw 		gavja 	пуэнн (puenn) 			tozan Dust ++  çaň Sand duz:salt	✓️✓️	çaň, toz, tozan 
159	earth 	MUD Mother Earth  మట్టి (maṭṭi) maṭi მიწა mədr מע	мода 		+++++	Föld > Feld!	maa 	mua 	maa 	мода 	мода 	мусяр 	mā 		eanan 	е̄ммьне (jēmmʹnje) 			Top-terra +++ irak, earth, top-soil	✓️	toprak 
160	cloud 	pilvi > Felhő > flow~fog? –	pilvi 		??	Felhő > flow@Höhe?	pilvi 	pilvi 	pilv 	пель 	ковол 	кымöр 	 		balva 	пэ̄ввл (pēvvl) 			qvloud!! <<	✓️	bulut 
161	fog 	Köd ~ Cloud / water ~ udu 	Köd / udu 		~	köd 	sumu utu usva 	udu 	udu 	сув 	туман 	 	sēŋkʷ 	sʲinʲo	mierka 	цӣгк (cīgk) 			dunst	~	duman 
162	SKY	 𓇯𓏏𓊪 тӳпе Theus Taivan Tian top Tepe | Peter 𓊪𓏏𓇯	taiva½ !!!	tepe халлаан дээр 	+++™	Ég < gök (turk!)	taivas 	taivas 	taevas 	менель 	менель 	енэж 	tōrəm 	num	albmi 	алльм (allʹm) 		tepe халлаан дээр 	top 𓇯𓏏𓊪 ! 𓎟 ciallah! Thor Typhu ashaman 	!!! <<>>	gök, asman, халлаан <> каç 𓎡𓎡𓐍𓆼𓇰
163	wind 	җил SHUYL schwell @ ciel  < Tuuli <> tornado?	wōt, варма	szél < tuul @ Uralic	TURK	szél 	tuuli 	tuuli 	tuul 	варма 	варма 	тöв 	wōt 	mʲertsʲa	biegga 	пӣӈӈк (pīŋŋk) 		szél < tuul @ Uralic	җил SHUYL @ ciel  samal~himmel	✓️!	ýel 
164	snow 	雪xuě χιών lom 눈 <> khōľėm			??	hó lom 	lumi 	lumi 	lumi 	лов 	лов 	лым 	 	sira	muohta 	вэ̄дз (vēdz) 			Kryo@kar ++	✓️✓️	gar 
165	ice 	~ice	jég 		~~	jég 	jää 	jiä 	jää 	эй 	эй 	йи 	jāŋk 	sertə	jiekŋa 	ӣӈӈ (īŋŋ) 			bu’ice ma'ice  冫白  	✓️!	buz муус 
166	smoke 	dvst? smavuk?			ƒ~	füst 	savu 	savu 	suits 	качамо 	качам 	тшын 	posim 		suovva 	сӯвв (sūvv) 			dust, t’ash <> torch dunst	✓️	tüsse 
167	fire 	Thyssen hotüz heitz Thijs Mathews מתתיהו	Tűz <> days?		WTF	Tűz < TORCH!	tuli   Ματταθίας MutterGottes WTF	tuli 	tuli 	тол 	тол 	би 	nāj 	tu	dolla 	то̄лл (tōll) 			HOT!! 火 (p)huǒt	✓️✓️	ot 
168	ash 	torch *tuska => t’ash dash dust / khōľėm!	tuhka 		++?	Hamu < хӯльм Kohlen 	tuhka 	tuhka 	tuhk 	кулов 	кулу 	 	 		gutna 	кунн (kunn) 			kühle gülle cool @kuhle?	✓️~?	kül 
169	to burn 	< pairo > burn fire	Ash / palaa 		+<?	Ég < ash	palaa 	paluo 	põlema 	паломс (объекттэме) пултамс (объект марто) 	паломс плхтамс 	 	 		buollit 	пӯлле (pūllʹe) 			hot.make yan?  çунмa~zünd	^	ötmek, otlamak; ýanmak 
170	road 	*rotier 途 tú tiao 朩 tao 道 dao 图 	Út, tie < route		+<?	Út	tie 	tie 	tee 	ки 	ки 	туй 	 		geaidnu 	кя̄ййн (kʹājjn) 			jallah 길 gil суол gyro kior@KOR rollu 路	<✓️	ýol 
171	mountain 	Mega Kur < Gvura™ > cogha > hagia  2. fire make?	mägi гöра 		++++	Hegy < hagia > heigh!	vuori mäki (hill) 	mägi vuara 	mägi voore 	ине пандо 	панда 	гöра 	 	hojə	várri 	пāһкь (pāhkʹ) 			Dach™ <> dar / tai = tall	✓️✓️	dag 大 > 犬太
172	red 	rose purpur red burn ++	ruskie piron	kırmızı	+++	vörös piros 	punainen 	ruskie 	punane 	Якстере <> terrat rot	якстерь 	гöрд 	 		ruoksat 	рӯппсэ (rūppse) 		kırmızı	crimson 𓍿𓅓𓋴𓏞 kirsch carnelian  🐛	✓️✓️	gyzyl, kirmiz
173	green 	zart / verd <> vir <> sar:	Zöld / vihrie		++?<<	zöld 	vihreä 	vihrie 	roheline 	Пиже : pische ;) frish	сянгяря пиже 	турун виж 	 	pədʲarəxa	ruoná 	руэнн (ruenn) 			YeSAR >> shil shar.un=green@SEM	✓️	ýaşyl 
174	yellow 	Sára™ 🌞 Sem,Turk   keldaine~geld,gold	Sárga	sary 	+++<<!	sárga 	keltainen 	keldaine 	kollane 	Ожо : ocker	тюжя 	кольк виж 	wošram 	tasʲexjə	fiskat 	руччкесь (ruččkʹesʹ) 		sary 	sarı™ 🌞 vs 🌻 sar=green 	✓️	sary 
175	white 	fair vaißer valkea<>balkan/alban	fehér vai…	шурă ах beyaz	++	fehér 	valkea valkoinen 	valgie 	valge 	Ашо : ash	акша 	еджыд 	 	ser	vielgat 	вӣллкэ (vīllke) 		шурă ах beyaz	syra™ 🌣 (w)ash weissz	✓️✓️	ak 
176	black 	fekal 𓎡𓐍 kakar mist			!!??	fekete 	musta 	musta 	must 	Раужо : raben	равжа 	сьöд 	sēməl 	pərʲidʲe-	čáhppat 	чоаһпэ (čoahpe) 			Chara 𓐍  くろ kuro kara kalla™ काला 	✓️✓️	gara 
177	night 	yè 夜	éj, yö		!!	éj éjszaka 	yö 	yö 	öö 	ве 	ве 	вой 	 	pʲi	idja 	ыйй (ɨjj) 			gEve 夜 yven 晚 <> gök!  𓎡𓎡𓅱𓐍𓆼𓇰	<<	gije 
178	day 	𓊪 𓏏 𓇯 ? <> nobel : sun/sky			𓋞!	nap (nappal *napaiva) 	päivä 	päivä 	päev 	чи 	ши 	лун 	χōtal 	jalʲa	beaivi 	пе̄ййв (pʹējjv) 			Journ <> sun	✓️	gün 
179	year 	Vuosi<?>ven Wende idő=weather	jahki *ikä age	yıl 	...-	év esztendő = this time	vuosi 	vuozi 	Aasta : stars?	ие 	киза 	во 	tāl 	po	jahki 	ыгкь (ɨgkʹ) 		yıl 	Year <> yeal ++	✓️	ýyl 
180	warm 	*hlūm GERMAN lau, luke, mild, linger, mini <> wärm	meleg 	жылы 	+++	meleg, langyos 	lämmin 	lämmin lämbimä sundo 	soe 	лембе 	лямбе 	шоныд 	isəm 	jorʲa	báhkas 	поаһк (poahk) 		жылы 	"schwühl++ <  𓋴𓂋𓆑𓊮 scharf=hot	"	✓️	ýyly 
181	cold 	kühl.ma calm PIE *gel OK hűs vs tűz	kylmä 	sowuk салкын	+++	hideg, hűs 	kylmä viluinen 	kylmä vilu 	külm 	кельме 	якшама кельме 	кöдзыд 	ašarma 	tʲetsʲə	galmmas 	кэлмас (kelmas) 		sowuk салкын	soak [[𓐠]] 𓏤 𓂋 𓏤 𓏘 𓅱 𓇲 𓏤𓏤𓏤  שֶׁלֶג ‎ šéleḡ 	√√	sowuk 
182	full 	Tell total touts !!	tele		++	tele 	täysi 	täyzi 	täis 	пешксе 	пяшксе 	тыр 	 		dievva 	те̄ввт (tʹēvvt) 			Doll ~ voll < dval, schwell ++	~	doly; dok (satisfied) 
183	new 	newsi  cut.új kadesh	uusi	yeni çĕнĕ 	~++	új 	uusi 	uuzi 	uus 	од 	од 	выль 	 		ođas 	о̄дт (ōdt) 		yeni çĕнĕ 	Ye.new < schöner ka.desh	<!	täze (Pers.) 
184	old 	vienna~vielle venus  van fahn 	vanha	garry	<<<	ven	vanha 	vanha vahna 	vana 	сыре (persons, animals [age]) ташто (things, terms [in use]) 	сире 	важ 	 		boaris 	пуэресь (puerʹesʹ), вӯрас (vūras) 		garry	gero 古	✓️✓️	köne (things) , garry (people) 
185	good 	eu.de:good (su)per hyvä hyper high PRO	пара	gowy	++?	jó 	hyvä 	hyvä 	hea 	вадря паро 	пара 	бур 	jomas 		buorre 	шӣг (šīg), пӯррь (pūrrʹ) 		gowy	gowy.de EU,JA,SI ++	✓️✓️	ýagşy, gowy 
186	bad 	pah.de from Proto-Germanic *bēgaz	paha huono	(er)bet	+++ OK	rossz rott!	paha huono 	huono paha 	halb paha 	берянь 	кальдяв 	лёк 	lˈūlˈ 		heittot bahá 	нюэссь (njuessʹ) 		(er)bet	bad, piss, jammern™, ia.ment	✓️! ✓️?	(er)bet; pis; ýaman (badly) 
187	rotten 	madig ^^	mäda 		+++	korhadt: corrode, rott	laho mätä 	laho lahonnuh hapannuh 	mäda 	наксадо 	наксада 	сісь 	 		 	кӯдц (kūdc) 			sauerig chirik ++	✓️	çüýrük 
