Nr 	English 	Eurasian 	Best Uralic	Best Turk		Hungarian = corrupted PIE/Turk	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	Tundra Nenets	North Sami 	Kildin Sami 	Turk connection	Best Turk	Aryan		Turkmen 
18	many 	Such / many poly	Sok / monet 	нумай 	++++	sok 	monet paljon 	äijät monet 	palju mitu 	ламо 	лама 	уна 	sāw 	ŋoka	máŋga 	е̄ннэ (jēnne) 	ha.máŋga 	нумай 	humongous Many 	✓️	çox 
19	some 	Minus many no’any nonulli ~many? Quite…	mõni mõned	birnäçe, темиçе 	++^	néhány 	jotkut 	kuda-ket 	mõni mõned 	зярыя 	мъзярошка 	неуна 	 		muhtumat ~ темиçе @ Turk	мугка-ве̄рьт (mugka-vʹērʹt) 	ве̄рьт-мугка	birnäçe, темиçе 	Birˢᵗ=1 einige, some, kac 𓅱 	✓️	birnäçe, berentak 
20	few 	Few < much, many 	mõni vähe	az <> egy 	++^	Kevés <> kʿičʿ 	muutama 	vähäine 	mõni vähe 	аламо 	кржа 	этша 	 		 	ва̄нас (vānas) 	ва̄нас ва̄.ас	az	az~1ige kac 𓅱		az 
21	other 	othern (a)twine 2. mas (more)	toine más 	атын 	!!	más 	muu 	toine muu 	teine muu 	лия 	иля 	мöд 	tōwa mōt(an) 		eará 	мудта (mudta) 	más µbaşqa	başqa атын 	othern b'othca	✓️	başqa, digər 
22	one 	Ek = onc / einz <> az / ac (few einige einzige)	egy 	birᶜ 	++	egy 	yksi 	yksi 	üks 	вейке 	фкя 	öти 	akʷa 		okta 	э̄ххт (ēxxt) 	вейке э̄ххт ƒēxxt	birᶜ 	beresit > first, pro(to), 	✓️	bir 
23	two 	Cut, second	kettő 	екi, эки  	ok?	kettő  iki@Turk	kaksi 	kaksi kakši 	kaks 	кавто 	кафта 	кык 	kitiɣ 	sʲdʲa	guokte 	кӯһт (kūht) 	se'cut 	екi, эки  	secon’  (ἑπτά = sept 7) silent s	✓️	iki ≠ ek 1
24	three 	charm Χūr ~ thir’  Third time is a charm үш šyš 𐎘𐎍𐎘 circ	Három 𓐍𓅓𓏏 kolme	үш	ok?	három 	kolme 	kolme 	kolm 	колмо 	колма 	куим 	χūrəm 	nʲaxər	golbma 	ко̄ллм (kōllm) 	χūr, χūrəm 	үш	үш šyš 𐎘𐎍𐎘 circ seü san 三 山 < theen तीन 𒁹𒁹𒁹 charm	½ 	üç[am]
25	four 	NILE@Drawidian,Korean naut 넷  네	ńila  𐦊𐦊	түөрт 	!!!	négy  𓊔𓊕𓊖 Kar.Nekhen	neljä 	nellä 	neli 	ниле 	ниле 	нёль 	ńila 	tʲetə	njeallje 	не̄лльй (njēllʹj) 	/	түөрт 	Tetra ✔	✓️✓️	dört 
26	five 	vinz, peta, penta, 五 wǔde < qvd = 👋	viizi, вете, *wut 	bäş	ok?	öt < вете 	viisi 	viizi 	viis 	вете 	вете 	вит 	at 	səməlʲaŋkə	vihtta 	выдт (vɨdt) 	viizi vɨdt выдт 	bäş	piś peth pent ✔  kall=whole 五 	✓️✓️	bäş, kelle 
27	big 	nmega! Sur Super	su’ur 	зур 	+++	nagy 	suuri iso 	suuri šuuri 	suur 	покш 	оцю 	ыджыд 	janiɣ 		stuoris 	шӯрр (šūrr) 	шӯрр	зур, büyük, мăн	ˢur, big, whole, much<mega, ˢüber	✓️✓️	uly (older) ; çişik 
28	long 	groß? haus-hoch pitkä = big ≠ pico = pikku 	χosa 	uzyn 	+?	hosszú 	pitkä 	pitkä 	pikk 	кувака 	кувака 	кузь 	χosa 		guhkki 	кукесь (kukʹesʹ) 	hosszúᵒⁿ 	uzyn 	wiδun widen? <> zone 𓊃 ? 	✓️?	uzyn 
29	wide 	𓋴 𓐍 𓅱 𓎸 <> scope shallow, lewide	levie 	/	<	szél(es)	leveä laaja 	levie 	lai 	келей 	кели 	паськыд 	 		viiddis 	ко̄ммьтэсь (kōmmʹtesʹ) 	ко̄ммь… кели 	giňiş, giň 	긴, 길다 generous, groß ¬eng	<<	giňiş, giň 
30	thick 	vast, va’thick, packed? Thĩcka туста dicht	vastag, paksu, туста 	/	+++	vastag	paksu sankea sankka 	pakšu sangie 	paks 	эчке 	эчке туста 	кыз 	 		gassat suohkat 	кэ̄сс (kēss) 	кэ̄сс (kēss) 	кенг 	gal:big≠klein,lang	✓️✓️	galyň 
31	heavy 	1. mega 2. pende 3. стака stark 4. raske ?	painai, стака 	/	+~	nehéz 	painava raskas 	jygie painai 	raske 	стака 	стака 	сьöкыд 	 		lossat 	ло̄ссесь (lōssʹesʹ) 	сьöкыд 	ağır 	gyr® schwer	<<	agyr 
32	small 	pico vs pitkä = big , kücki kurz & klein	pikku, kicsi 	kiçi, kiçijik 	+++	kis kicsi 	pieni pikku 	pieni pikkaraine väčykkäine 	väike 	вишкине 	ёмла 	дзолыд 	māń 		smávis, uhcci, unni 	удць (udcʹ) 	kicsi	kiçi, kiçijik 	küchiculn! 𓅱 nietsh!	✓️✓️	kiçi, kiçijik 
33	short 	lütt, little, rabbit? 𐌻𐌴𐌹𐍄𐌹𐌻𐍃 	lyhyt 		+++ , ?	rövid >	lyhyt 	lyhyt 	lühike 	нурькине 	нюрьхкяня 	дзеныд 	 		oanehaš 	оаньхесь (oanjxʹesʹ) 	/		Kurz++ 𓅱  chiculn!	✓️✓️	gysga 
34	narrow 	quetsch? Cut, capped, skinny	keskeny 	/	+?	keskeny 	kaita ahdas kapea 	kaida ahtas 	kitsas ahas 	теине 	тяйня 	 	 		 	ке̄нҍцесь (kʹēnʹcʹesʹ) 	тяйня 	dar 	dürr!! <> door! Darben	✓️✓️!	dar 
35	thin 	Haut/Hauch-dünn? *tvnhokun ~ тьнъкъ (tĭnŭkŭ) > cony	ohut hoikka 	inçe 	++/?	Vékony ~ vacant?	ohut hoikka 	hoikkaine lätty 	õhuke peenike 	човине 	шуваня 	 	ošša 		asehaš 	се̄ӈькесь (sʹēŋʹkʹesʹ) 	се̄ӈькесь sʹēŋkes	inçe 	Thin Eng winz	✓️✓️!	inçe 
36	woman 	Nonne nun 女 nǚnú nina Ische	nő, naine, nɨzan	xotin	++!	nő, asszony 	nainen 	naine 	naine 	ава (ломань) 	ава 	ань 	nē 	nʲe	nisu 	нызан (nɨzan) 	nɨzan <?>	xotin	girly, katrin,kardin:work, ische, amne		heleý, aýal 
37	man (male) 	VIR wir=miz@turk Mr?	Férfi, mies 	ир er 	+ ?	férfi 	mies 	mies mieš mužikka 	mees 	цёра аля 	аля 	айлов 	χum 		almmái 	оалмолма (oalmolma) 	férfi 	ир er 	ER < vir ek<>gök	✓️!	er, erkek (adam) 
38	man (human being) 	a'man human, andro=an’bro ;)  <> min.son 	ihminen 	ynsan	++	Ember ~ andro?	ihminen 	ihmine inehmine mies ristikanža (lit. baptized people) 	inimene 	ломань 	ломань 	морт 	χum 		olmmoš 	олма (olma) 	ihminen 	ynsan	<< insane, kysir, adam	✓️ <	ynsan, adam, kişi 
39	child 	Göre Chird ^ short lad@lab phil Klopsi-	gyermek 	çaga 	++!	gyerek gyermek 	lapsi 	lapsi 	laps 	эйкакш 	шаба 	челядь 	ńāwram 		mánná 	па̄рнэнч (pārnenč) 	gyerek >	çaga 	chiculn! 𓅱 Balg	✓️	çaga 
40	wife 	fel~fru vaimo~wife nő 	nej~nő 	aýal 	~+	feleség, nej 	vaimo 	akka muččo 	naine 	ни 	ърьвя 	гöтыр 	 		eamit 	(old) коаб (koab) (young) а̄һкь (āhkʹ) 	•fel --	aýal 	girl, kardin/kathrin, care		aýal 
41	husband 	VIR 夫 fū® 	férj	är	+++	férj 	aviomies mies 	ukko nukko šulahane 	abikaasa mees 	мирде 	мирде 	верöс 	 		isit 	кӯйй (kūjj) 	férj 	är	ER < vir HusHer?	✓️	är, adam 
42	mother 	mama 𐌰𐌹𐌸𐌴𐌹 Eide 𐌀𐌕𐌉 ati (< Alte?) anne, Anja	muamo äiti, anja	ejeⁿ 	+++<	anya 	äiti 	muamo emä 	ema 	(тиринь) ава 	тядя 	мам 	oma 		eadni 	е̄ннҍ (jēnnʹ) 	jēnn anya •ãja	ejeⁿ 	ana, ama, inge, egen?	✓️✓️	eje 
43	father 	papa, opa, daddy, sir?	Apa, tuatto, ižä 	baba, ata	+++	apa 	isä 	tuatto ižä 	isa 	тетя 	аля 	бать 	jaɣ 	nʲiisʲa	áhčči 	аджь (adžʹ) 	apa, бать 	baba, ata	papa, vata ! VS AMA! Köka	✓️✓️	kaka 
44	animal 	el = alive, Rauch:Geist, Racker raccoon rascal Ratten ration ;)  	elätti, rasha, raca <<		<< >>	állat 	eläin 	elätti žiivatta 	elajas loom 	ракша 	ракша 	пемӧс 	ūj 		ealli 	жыва (žɨva) 	žɨva® zoo Tier	тынду Tieren™ haýwan @ PERS	hurvan™ хайван (Pers.)	✓️	haýwan 
45	fish 	 𒄩 HA<KA Kala-maris=halis Kaul¬quap HAYUL	kala 		++<	hal 	kala 	kala 	kala 	кал 	кал 	чери 	χūl 		guolli 	кӯлль (kūllʹ) 	кӯлль reverse:	balyk 	Beluga bei.lake (l’aqua) !! uralic!	✓️	balyk 
46	bird 	Musen!! ma.tyr@SEM Lieder@Linde	madár, lindu	𓅬 	++<<	madár, lúd (goose) 	lintu 	lindu 	lind 	нармунь 	нармонь 	лебач 	 		loddi 	лоаннҍт (loannʹt) 		𓅬 	vo.guls 𒃲 𐍆𐌿𐌲𐌻𐍃 fugls cuch! 𓅱 	✓️?	guş 
47	dog 	Köter κύλος @ Pan	kutya koer peni 	köpek	+++	kutya eb 	koira 	koira 	koer peni 	киска 	пине 	пон 	āmp 	weh	beana 	пе̄ннэ (pʹēnne) 	kutya eb, koer pienâg	köpek	Kötier ≈ Köpack	✓️	it; köpek (male); güýük 
