Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
160	cloud 	felhő 		~fog? –	pilvi 	pilvi 	pilv 	пель 	ковол 	кымöр 	 	balva 	пэ̄ввл (pēvvl) 	
161	fog 	köd 	udu 	Cloud / water	sumu utu usva 	udu 	udu 	сув 	туман 	 	sēŋkʷ 	mierka 	цӣгк (cīgk) 	sʲinʲo
162	SKY	Ég < gök (turk!)	½ !!!	Theus!!!	taivas 	taivas 	taevas 	менель 	менель 	енэж 	tōrəm 	albmi 	алльм (allʹm) 	num
163	wind 	szél 			tuuli 	tuuli 	tuul 	варма 	варма 	тöв 	wōt 	biegga 	пӣӈӈк (pīŋŋk) 	mʲertsʲa
164	snow 	hó lom 			lumi 	lumi 	lumi 	лов 	лов 	лым 	 	muohta 	вэ̄дз (vēdz) 	sira
165	ice 	jég 	jég 	~ice	jää 	jiä 	jää 	эй 	эй 	йи 	jāŋk 	jiekŋa 	ӣӈӈ (īŋŋ) 	sertə
166	smoke 	füst 			savu 	savu 	suits 	качамо 	качам 	тшын 	posim 	suovva 	сӯвв (sūvv) 	
167	fire 	tűz 		!	tuli 	tuli 	tuli 	тол 	тол 	би 	nāj 	dolla 	то̄лл (tōll) 	tu
168	ash 	hamu 			tuhka 	tuhka 	tuhk 	кулов 	кулу 	 	 	gutna 	кунн (kunn) 	
169	to burn 	ég 	palaa 	<pairon	palaa 	paluo 	põlema 	паломс (объекттэме) пултамс (объект марто) 	паломс плхтамс 	 	 	buollit 	пӯлле (pūllʹe) 	
170	road 	út 		*rotee	tie 	tie 	tee 	ки 	ки 	туй 	 	geaidnu 	кя̄ййн (kʹājjn) 	
171	mountain 	hegy 	mägi гöра 	Mega Gvura™	vuori mäki (hill) 	mägi vuara 	mägi voore 	ине пандо 	панда 	гöра 	 	várri 	пāһкь (pāhkʹ) 	hojə
172	red 	vörös piros 	ruskie piron	rot burn ++	punainen 	ruskie 	punane 	Якстере <> terrat rot	якстерь 	гöрд 	 	ruoksat 	рӯппсэ (rūppse) 	
173	green 	zöld 		Zard / verd	vihreä 	vihrie 	roheline 	Пиже : pische ;) frish	сянгяря пиже 	турун виж 	 	ruoná 	руэнн (ruenn) 	pədʲarəxa
174	yellow 	sárga 	keldaine 	sára™ geld	keltainen 	keldaine 	kollane 	Ожо : ocker	тюжя 	кольк виж 	wošram 	fiskat 	руччкесь (ruččkʹesʹ) 	tasʲexjə
175	white 	fehér 		≠black	valkea valkoinen 	valgie 	valge 	Ашо : ash	акша 	еджыд 	 	vielgat 	вӣллкэ (vīllke) 	ser
176	black 	fekete 		!	musta 	musta 	must 	Раужо : raben	равжа 	сьöд 	sēməl 	čáhppat 	чоаһпэ (čoahpe) 	pərʲidʲe-
177	night 	éj éjszaka 		!	yö 	yö 	öö 	ве 	ве 	вой 	 	idja 	ыйй (ɨjj) 	pʲi
178	day 	nap (nappal) 		<> sun!	päivä 	päivä 	päev 	чи 	ши 	лун 	χōtal 	beaivi 	пе̄ййв (pʹējjv) 	jalʲa
179	year 	év esztendő 			vuosi 	vuozi 	Aasta : stars?	ие 	киза 	во 	tāl 	jahki 	ыгкь (ɨgkʹ) 	po
180	warm 	meleg langyos 			lämmin 	lämmin lämbimä sundo 	soe 	лембе 	лямбе 	шоныд 	isəm 	báhkas 	поаһк (poahk) 	jorʲa
181	cold 	hideg hűs 	külm 	kühl.ma	kylmä viluinen 	kylmä vilu 	külm 	кельме 	якшама кельме 	кöдзыд 	ašarma 	galmmas 	кэлмас (kelmas) 	tʲetsʲə
182	full 	tele 		total!!	täysi 	täyzi 	täis 	пешксе 	пяшксе 	тыр 	 	dievva 	те̄ввт (tʹēvvt) 	
183	new 	új 		news	uusi 	uuzi 	uus 	од 	од 	выль 	 	ođas 	о̄дт (ōdt) 	
184	old 	ven	<<>>	~vielle	vanha 	vanha vahna 	vana 	сыре (persons, animals [age]) ташто (things, terms [in use]) 	сире 	важ 	 	boaris 	пуэресь (puerʹesʹ), вӯрас (vūras) 	
185	good 	jó 	jóde	eu:good (su)per	hyvä 	hyvä 	hea 	вадря паро 	пара 	бур 	jomas 	buorre 	шӣг (šīg), пӯррь (pūrrʹ) 	
186	bad 	rossz rot!		pah.de!	paha huono 	huono paha 	halb paha 	берянь 	кальдяв 	лёк 	lˈūlˈ 	heittot bahá 	нюэссь (njuessʹ) 	
187	rotten 	korhadt: corroden	mäda 	Madig ^^	laho mätä 	laho lahonnuh hapannuh 	mäda 	наксадо 	наксада 	сісь 	 	 	кӯдц (kūdc) 	
188	dirty 	piszkos koszos mocskos 			likainen 	ligahine reduhiine 	must räpane 	рудазов 	ърдазу лебоню 	няйт 	 	duolvvas 	са̄ккьс (sākkʹs) 	
189	straight 	egyenes 			suora oikoinen 	oigie šuorie 	sirge 	виде 	виде 	веськыд 	 	 	нёллкэ (njollke) 	
190	round 	Kerek <> circ!	каря	<> fahr/rad	pyöreä 	pyörie pyöryžä 	ümmargune 	кирксала 	покаряв 	гӧгрӧс 	 	jorbbas 	ёррьпесь (jorrʹpʹesʹ) 	
191	sharp 	éles 			terävä 	terävä 	terav 	пшти 	оржа 	ёсь 	 	bastil 	пассьтлэсь (passʹtlesʹ) 	
192	dull 	tompa 	tylppä	dull Tölpel!	tylsä tylppä 	tylčä tupičču 	nüri 	ношка 	ношка 	ныж 	 	 	ме̄ресь (mʹērʹesʹ) 	
193	smooth 	sima 	sima 	Smooth, ~	sileä 	silie 	sile 	валаня 	арся такор 	шыльыд 	 	duolba 	нёллькесь (njollʹkʹesʹ) 	
194	wet 	Nedves : nass			märkä 	mägrä 	märg 	начко 	начка 	уль 	 	njuoskkes 	ню̄цкас (njūckas) 	
195	dry 	Száraz < sun			kuiva 	kuiva 	kuiv 	коське 	коське 	кос 	 	goiki 	коашькэсь (koašʹkesʹ) 	
196	correct 	helyes 			oikea 	oigie 	õige 	виде 	виде 	 	 	riekta 	вӯййк (vūjjk) 	
197	near 	Közel : kurz		!	lähellä 	lähellä 	lähedal 	маласо 	мала 	матын 	lˈapa 	lahka 	алльт (allʹt) 	
198	far 	messze	𓈝 	caucasus?	kaukana etäällä loitolla 	edäh edähäksi loitton 	kauge(l) 	васоло 	ичкозе 	ылын 	 	guhkkin 	́куһкенҍ (adverbial)	
199	right 	jobb 		𓁹?	oikea 	oigie 	parem 	вить кедь 	виде 	веськыд 	 	olgeš 	вуэлькесь (vuelʹkʹesʹ) 	
200	left 	bal 		<<	vasen 	važen hurai 	vasak 	керш кедь 	кержи 	шуйга 	 	gurut 	чинч (činč) 	
201	at 	-nál/-nél 		Nah / al !	-lla/-llä 	-lla/-llä 	-l juures 	кедьсэ (postposition) 	ваксса (postposition) 	 	 	-s (locative) 	-эсьт (-esʹt) альн (alʹn) 	
202	in 	-ban/-ben 	beim	zu	-ssa/-ssä 	-ssa/-ssä 	-s sees 	потсо 	-са 	-ын 	 	-s (locative) 	-эсьт (-esʹt) (inside) сызьн (sɨzʹn) 	
203	with 	-val/-vel 	kanssa kera 	con!	kanssa kera 	kellä -nke/-nkera kera 	-ga koos 	марто (postposition) 	мархта (postposition) 	-кӧд -ӧн 	jot 	mielde (also along) 	-энҍ (-enʹ) мӣлльтэ (mīllʹte) 	
204	and 	és s 		y/a ++ (an)da	ja 	da 	ja ning 	ды 	эди и 	да 	os 	ja 	я (ja) 	
205	if 	ha 		quan	jos -ko 	kuin ku -ko 	kui 	бути -ндеря- 	дяряй 	кӧ 	 	juos, jus 	коалэ (koale) 	
206	because 	mert 	koska	cause, si, c’est +++	koska sillä 	sendäh sentän žentäh žentän 	sest 	секс мекс 	сяс мес 	вӧсна 	māɣəs kastəl 	dihte, geažil 	гуэйкэ (guejke) 	
207	name 	név 	nimi 	name	nimi 	nimi 	nimi 	лем 	лем 	ним 	nam 	namma 	нэ̄мм (nēmm) 	nʲum 
