Nr 	English 	Hungarian 	Best Uralic	Eurasian	Finnish 	Karelian 	Estonian 	Erzya 	Moksha 	Komi (Zyrian dialect) 	Mansi (North Mansi) 	North Sami 	Kildin Sami 	Tundra Nenets
36	woman 	nő asszony 	naine 	Nonne 女 nǚnú nina	nainen 	naine 	naine 	ава (ломань) 	ава 	ань 	nē 	nisu 	нызан (nɨzan) 	nʲe
37	man (male) 	férfi 	mies 	Mr?	mies 	mies mieš mužikka 	mees 	цёра аля 	аля 	айлов 	χum 	almmái 	оалмолма (oalmolma) 	
38	man (human being) 	ember 	ihminen 	human	ihminen 	ihmine inehmine mies ristikanža (lit. baptized people) 	inimene 	ломань 	ломань 	морт 	χum 	olmmoš 	олма (olma) 	
39	child 	gyerek gyermek 	??	!? @lab,love,klaps,Klopps?	lapsi 	lapsi 	laps 	эйкакш 	шаба 	челядь 	ńāwram 	mánná 	па̄рнэнч (pārnenč) 	
40	wife 	feleség nej 		vaimo~wife	vaimo 	akka muččo 	naine 	ни 	ърьвя 	гöтыр 	 	eamit 	(old) коаб (koab) (young) а̄һкь (āhkʹ) 	
41	husband 	férj 			aviomies mies 	ukko nukko šulahane 	abikaasa mees 	мирде 	мирде 	верöс 	 	isit 	кӯйй (kūjj) 	
42	mother 	anya 	muamo 	mama	äiti 	muamo emä 	ema 	(тиринь) ава 	тядя 	мам 	oma 	eadni 	е̄ннҍ (jēnnʹ) 	
43	father 	apa 	Apa, tuatto, ižä 	papa, daddy, sir?	isä 	tuatto ižä 	isa 	тетя 	аля 	бать 	jaɣ 	áhčči 	аджь (adžʹ) 	nʲiisʲa
44	animal 	állat 		rasha, raca <<	eläin 	elätti žiivatta 	elajas loom 	ракша 	ракша 	пемӧс 	ūj 	ealli 	жыва (žɨva) 	
45	fish 	hal 	kala 	Kala-maris! Kaul¬quap	kala 	kala 	kala 	кал 	кал 	чери 	χūl 	guolli 	кӯлль (kūllʹ) 	
46	bird 	madár, lúd (goose) 		Musen!! Lieder!	lintu 	lindu 	lind 	нармунь 	нармонь 	лебач 	 	loddi 	лоаннҍт (loannʹt) 	
47	dog 	kutya eb 		Köter	koira 	koira 	koer peni 	киска 	пине 	пон 	āmp 	beana 	пе̄ннэ (pʹēnne) 	weh
48	louse 	tetű 			täi 	täi 	täi 	чичав 	си 	той 	 	 	тыһкь (tɨhkʹ) 	
49	snake 	kígyó 	кый käärme 	𓎛 𓆑 𓄿 𓅂 ! <> Kiefer? Ge-Ziefer	käärme 	kiärmis mado 	madu uss 	гуй ёзнэ 	куй 	кый 	 	gearpmaš 	кӯввьт (kūvvʹt) 	
50	worm 	féreg 	madoine 	Made	mato 	madoine 	uss 	сукс 	сукс 	нидзув 	 	máhtu 	ма̄дт (mādt) 	
51	tree 	fa 	puu 	wood	puu 	puu 	puu 	чувто 	шуфта 	пу 	jiw 	muorra 	мӯрр (mūrr) 	pʲa
52	forest 	erdő 	mets 	mùs 木 ™  вирь~bor*	metsä 	meččä 	mets 	вирь 	вирь 	вöр 	 	vuovdi, meahcci 	ва̄ррь (vārrʹ) 	pedarʲi
53	stick 	bot 	bot 	bat, klopp	keppi sauva 	keppi balikko savakko 	kepp pulk 	палка 	байдек 	 	 	soabbi 	суэммьп (suemmʹp) 	
54	fruit 	gyümölcs 	имож 	Gemüse, Mus!	hedelmä 	 	vili puuvili 	(сад пире) эмеж 	имож 	 	 	šaddu, šattoš 	шаннт (šannt) 	
55	seed 	mag 	siemen 	Samen	siemen 	siemen 	seeme 	видьме 	видьме 	кöйдыс 	 	 	се̄м (sʹēm) 	
56	leaf 	levél 	levél 	leaf 	lehti 	lehti 	leht 	лопа 	лопа 	кор 	 	lasta 	лэ̄сст (lēsst) 	weba
57	root 	gyökér 		~ 	juuri 	juuri 	juur 	ундовкс 	юр 	вуж 	 	ruohtas 	вуэнҍтэсь (vuenʹtesʹ) 	pəŋkə
58	bark 	kéreg 		кора (kora)  !	kaarna kuori 	kuori 	koor 	керь суд 	суд 	кырсь 	 	osttu 	па̄ҏҏк (pār̥r̥k) (hard) кэ̄рр (kērr) (soft) пе̄ссь (pʹēssʹ) 	
59	flower 	virág 		!	kukka 	kukka 	lill őis 	цеця 	панчф 	дзоридз 	 	rássi 	ра̄ссь (rāssʹ) 	ŋəmtedə
60	grass 	fű 	heinä 	Heu	ruoho heinä 	heinä 	rohi muru 	тикше 	тише 	турун 	pum 	suoidni 	ра̄ссь (rāssʹ) 	
61	rope 	kötél 	kötél 	Kordel, ?	köysi nuora 	nuora 	köis nöör 	пикс 	пикс 	гез 	 	báddi 	нӯррь (nūrrʹ) 	
62	skin 	bőr 	nahk 	<> s’nake! Nager?	iho (human skin) nahka hipiä 	nahka hibja 	nahk 	кедь киське 	кедь киське 	ку 	 	náhki 	тӯлльй (tūllʹj) 	xobə
63	meat 	hús 	liha 	<> F’lesh!	liha 	liha 	liha 	сывель 	сиволь пал 	яй 	 	biergu 	вуэннч (vuennč) 	ŋəmtsa
64	blood 	vér 	vér 	WIR! Vir! Viral	veri 	veri 	veri 	верь 	вер 	вир 	 	varra 	вэ̄рр (vērr) 	weja
65	bone 	csont 		!	luu 	luu 	kont luu 	ловажа 	пакарь 	лы 	 	dákti 	та̄ххьт (tāxxʹt) 	le
66	fat (noun) 	zsír 	razva 	ranz	rasva 	razva 	rasv 	куя 	куя 	 	 	buoidi 	пӯййт (pūjjt) 	
67	egg 	tojás, mony 	muna 	Moon! 𓆇 𓇸	muna 	muna 	muna 	ал 	ал 	кольк 	mūŋi 	monni 	маннҍ (mannʹ) 	
68	horn 	szarv 	сюро 	kharvn keras	sarvi 	sarvi 	sarv 	сюро 	сюра 	сюр 	āńt 	čoarvi 	чуэррьв (čuerrʹv) 	nʲamtə
69	tail 	farok 	häntä 	Hinter tail!!	häntä 	händä 	saba (händ) 	пуло 	пула 	бöж 	 	seaibi 	се̄ййп (sʹējjp) 	tææwə
70	feather 	toll 	toll 	Tolle, tail?	sulka 	sulga 	sulg 	толга 	толга 	гöн 	pun 	dolgi 	по̄ннц (pōnnc) 	
71	hair 	haj 		hair, 	karva hiukset, hius, tukka (human head hair) 	karva hivus, tukka (human head hair) 	karv juuksed (human head hair) 	черь 	шяярь 	юрси 	āt 	vuokta (s.), vuovttat (pl.) 	вӯппт (vūppt) (body) сэфс (sefs) 	ŋebto
72	head 	fej fő 	piä 	!	pää 	piä 	pea 	пря 	пря 	юр 	puŋk 	oaivi 	вуэййв (vuejjv) 	ŋææwa
73	ear 	fül 	korva 	khohr	korva 	korva 	kõrv 	пиле 	пиле 	пель 	palˈ 	beallji 	пе̄лльй (pʹēllʹj) 	
74	eye 	szem 	silmä 	see/mu 目 	silmä 	silmä šilmä 	silm 	сельме 	сельме 	син 	sam 	čalbmi 	чалльм (čallʹm) 	sææwə
75	nose 	Orr ≠ Ohr	nenä 	nose	nenä 	nenä 	nina 	судо 	шалхка 	ныр 	ńol 	njunni 	нюннҍ (njunnʹ) 	pija
76	mouth 	száj ajak 	suu 	Osu @ Latin	suu 	suu 	suu 	курго 	курга 	вом 	sūp 	njálbmi 	ня̄лльм (njāllʹm) 	nʲah
77	tooth 	fog 	Hammas ≠ Hammer	;)	hammas 	hammaš 	hammas pii 	пей 	пей 	пинь 	 	bátni 	па̄ннҍ (pānnʹ) 	tʲibʲa
