No. 	English 	Albanian shqip					
106	to fear 	druaj	dread	✔			
107	to sleep 	fle	f’liegen ƒleep	✔?			
108	to live 	jetoj	ether, ethe, estoj : Sein	✔~	¬die		
109	to die 	vdes	Dis-Verderb? Death!	✔			
110	to kill 	vras	 रुत (rutá, “broken”) rush down	✔-			
111	to fight 	luftoj, përleshem	lax:bend ---	✔--- / –			
112	to hunt 	gjuaj	jaguard	✔			
113	to hit 	godas	cut? Goat!	✔			
114	to cut 	pres	press~-- purge	✔-			
115	to split 	ndaj, daj	dash	✔			
116	to stab 	ther	Speer <				
117	to scratch 	kruaj	kratz	✔+			
118	to dig 	gërmoj	kar.moj@gr	✔!			
119	to swim 	notoj	naut.oj	✔			
120	to fly 	fluturoj	Fluy << flutter.oj !!	✔			
121	to walk 	eci	cesse, wego	✔			
122	to come 	vij	veni via	✔			
123	to lie (as in a bed) 	shtrihem	s’drehen s’träumen!	✔!<	snorchen		
124	to sit 	ulem					
125	to stand 	rri	Rise! Rest	✔+	<> resit! Residue		
126	to turn (intransitive) 	kthej	~~change , k’turn –				
127	to fall 	bie	beil! Bein	✔!?			
128	to give 	jap	geben	✔			
129	to hold 	mbaj	~em.port…				
130	to squeeze 	shtrydh	Drück-?  <> push	~			
131	to rub 	ledhatoj	leder!?	✔?			
132	to wash 	laj	lauge	✔			
133	to wipe 	fshij	Wisch +	✔+			
134	to pull 	tërheq	track, drag	✔✔			
135	to push 	shtyj	stä.mme	✔?			
136	to throw 	hedh	hedge!	✔!			
137	to tie 	lidh	lid?	✔?			
138	to sew 	qep	𐤒 qoph = needle (kopf)	✔!			
139	to count 	numëroj, njeh (Gheg: njef)	Nummer +	✔			
140	to say 	them	Thema! <	✔			
141	to sing 	këndoj	chant	✔			
142	to play 	luaj	Lazy play!	✔			
143	to float 	pluskoj	phluss k?	✔			
144	to flow 	rrjedh	Road = river 𓈘𓏤	✔/			
145	to freeze 	ngrij	angry!? Gries? GrIce? <<	✔<			
146	to swell 	enjtem		--			
147	sun 	diell	day.el! Ciel sol.ar	✔!			
148	moon 	hënë	la hune → lune	✔!			
149	star 	yll	IL <> diell !!	✔!			
150	water 	ujë	wuscher	✔!			
151	rain 	shi	Ὕω! shuǐ 水	✔?	hail, swall?		
152	river 	lumë	le.mer?  Λυμα:dirt	✔?	Loam : Lehm		
153	lake 	liqen	liquid laken Lachen	✔			
154	sea 	det	Depth! ≠ Dead sea	✔~~+	𓇆 draya(t)@Pers Jura	DONac@Altai	tuz=salt@turk
155	salt 	kripë	krúpa Graupel =(s)hail(t)	✔~~+	 gatz, khur! :		
156	stone 	gur	khur! Chert <<	✔~			
157	sand 	rërë	šꜥy syriri rieseln? << grere^^	-	Arēna = sand (k)har.en grain++		
158	dust 	pluhur	plume?	/			
159	earth 	dhe, tokë	dher ter	✔?! <	Tolkin;)		
160	cloud 	re, shtëllungë	Ray! Stellung!!!	✔!!!	stellung~auf-wollkung!		
161	fog 	mjegull	mnebell!	✔?-			
162	sky 	qiell	ciel	✔			
163	wind 	erë	Air! Hare!?	✔!			
164	snow 	borë, dëborë	boreal!!	✔<			
165	ice 	akull	Cool kryo	✔			
166	smoke 	tym	steam	✔			
167	fire 	zjarr	<<< char, fjarr	✔?			
168	ash 	hi	-	-			
169	to burn 	djeg	<<< charg-	-<			
170	road 	rrugë, (r)udhë	𓈘𓏤 	✔-			
171	mountain 	mal	moun.al, malström?	✔?			
172	red 	i kuq	kirsch@turk	✔~			
173	green 	blertë, blerë	vert! Bleu!	✔~			
174	yellow 	verdhë	vert!	✔~			
175	white 	bardhë	白báir.de Bärte <> vert! 	✔!!			
176	black 	zi	𒊹 cyr kir gray asher	✔-			
177	night 	natë	notte, night	✔			
178	day 	ditë	daytag	✔			
179	year 	vit, mot	mond, vita! Vitera<<	✔			
180	warm 	i ngrohtë	Negro? Të <> de  的从自	<<			
181	cold 	ftohtë	frosty	✔~			
182	full 	i mbushur, i plotë	Full ~ plo.de	✔~			
183	new 	ri	ren	✔			
184	old 	plak, i moshuar	paleoc, moses?	✔<			
185	good 	mirë	ad.mire merit 𓌸!!	✔!			
186	bad 	keq	kackeo	✔			
187	rotten 	kalbur		/			
188	dirty 	i pistë		/			
189	straight 	drejt, ping	s’traight! <<   平	✔!			
190	round 	rrumbullakët	1) round 2)boule !	✔-			
191	sharp (as a knife) 	i mprehtë	𓈖𓊪𓆓𓏏𓌪 !!	✔?			
192	dull (as a knife) 	i pamprehtë	不bù+mprehtë !!	✔!			
193	smooth 	i lëmuar	le/s’muarth?	/			
194	wet 	i lagur	al’aguar	✔			
195	dry 	i thatë	sate, secco	~?			
196	correct 	i djathtë	deredj 𓊃 𓐙 𓂝 ^^ right	✔			
197	near 	afër	¬far, after	✔?!			
198	far 	larg, tutje	largo, tutelo?	✔~?			
199	right 	djathtë,	Deredj ^	✔			
200	left 	majtë,	šimāl.de?	<<			
201	at 	te, tek	at,to	✔			
202	in 	në	in,nah	✔			
203	with 	me	mit	✔			
204	and 	dhe, e	an.de, et	✔			
205	if 	nëse, në qoftë se, vallë	in.si, falls! For 𓇋𓂋	✔			
206	because 	sepse, se	car, c’est	✔			
207	name 	emën, emër	(n)emen, reimer! Amen!?	✔			
