No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 		Korean (RRK) 	Kor PIE		Japanese (Hepburn romanization)												
90	heart 	y?rek 	coeur ????? ++	????? 	???? 	m??an 	niyaman 		yeomtong 	som ?		shinz? (?? ) kokoro (mind')	coeuro!											
91	liver 	karaci?er 	liBoor	???? 	???? 	a:kin 	fah?n 		gan (< Chinese ? 'liver') 	? ?? ? gen/san		kanz? (< Chinese ?? 'hepatic organ') kimo	? ?? ? gen/zoon											
92	to drink 	i?ek 	?make! ? Nomnom;)	??- 	??? 	um- 	omi- 		masi- 	m?esse;)		nom-	Nomnom ;)											
93	to eat 	yemek 	?make!	??- 	???? 	d??b- 	je-/jefu ('eat!') 		meog- 	"messe	 m?ge"		kuw- tabe- (?to have')	"kauw	 to?habe!!!"											
94	to bite 	?s?rmak 	?? bisser make! snack	?????- 	"????	 ????? "	k?k- 	sai- 		mul- 	maul!		kam-	kauem											
95	to suck 	emmek 	mamma	"??-	 ???- "	????? 	l?pk?- 	goci- 		ppal- 	---		suw-	suwck!											
96	to spit 	t?k?rmek 	?make!	?????- 	??????? 	t?: 	cifele- 		baet- 	"beat	 part!"		hak-	hack!											
97	to vomit 	kusmak 	kotz?make! ++	???- 	??????? 	i??- 	"fuyakiya-	 oksi-	 juru- "		ge'u- 			hak-	hackotz!											
98	to blow 	"esmek	 ?flemek "		????- 	????? 	u:- 	fulgiye- 		bul- 	Bulow ~ blow		fuk-												
99	to breathe 	"soluk almak	 nefes almak "	a??? atem ++	??? ??- 	????????? 	?ri:- 	ergen gai- 		(sum)swi- 			iki-o suru												
100	to laugh 	g?lmek 	"jol	 ??? kill;)"	"???-	 ??????- "	"?????	 ?????? "	i??- 	inje- 		us- 			waraw-												
101	to see 	g?rmek 	eyg?r! Sseeh ???? 	???- 	???? 	it??- 	sabu- 		bo- 	voy		mi-	moy											
103	to hear 	duymak 	s?Dm!	??- 	"??????	 ?????? "	d?:ldi- 	donji- 		deut-/deur- 	dhear!		kik-												
104	to know 	bilmek 	saba! Savoir	???- 	????? 	?a:- 	sa- 		al- 			shir-	scir?											
106	to think 	d???nmek 	??n saengga think!!!	????- 	????? 	b?d?- 	"g?ni-	 bodo- "		saenggak-ha- 	?enkek		omow-	Omm omown.ta 											
105	to smell 	koklamak 		?????- 	??????? 	??k?- 	wangkiya- 		mat- ('to sense (a smell)') punggi- ('to emit (a smell)') 	Mat?? pugnant!		"kag- ('to sense a smell	 to sniff') niow- ('to emit a smell')"												
102	to fear 	korkmak 	<<	????- 	??? 		gele- olho- golo- 		duryeowo ha- museowo ha- 			osore- kowagar-												
107	to sleep 	uyumak 	"haia	nickt ++"	????- 	"?????	 ??????? "	a:??n- 	amga- ?abura- 		ja- 			nemur- ne-	n?											
108	to live 	ya?amak 	Yashen <<	????- 	??????? 	i:nikin 	banji- 		sal- 	? ? san/salive!		iki-												
109	to die 	?lmek 	m?r??l? Old	??- 	???? 	bu- 	buce- 		jug- 			shin-	? sh? scheiden	++										
110	to kill 	?ld?rmek 	old!	?????- 	???? 	wa:- 	wa- 		jugi- 			koros-	? cair<>keil/kill	++										
111	to fight 	sava?mak 	"warus++ vuru?maq	d?y??m?k "	"?????-	 ??????- "	"???????	 ???????? "	wa:ld?- 	afa- 		ssau- 	<>		tatakaw-	<>											
112	to hunt 	avlamak 	abala- 	????- 	????? 	b?yu:- 	abala- 		Sanyang-ga/ha ?? sanhaeng 	? Schuntze-go ? 		kar-	? 	++										
113	to hit 	"vurmak	 patlamak	 ?????"	"beatle	 charge"	"??-	 ???- "	"?????	 ?????? "	m?nda:- 	tanta- 		chi- ttaeri- dudeuri- galgi- 			"ut-	 but- uchitsuke-	 buttsuke-	 butsuke- tatak-	 hatak- nagur- tsuk- atar- (v.i.)	 ate- (v.t.)"	beat 	++										
114	to cut 	kesmek 	??? ~ cut	"???-	 ????-	 ???- "	"??????	 ???????? "	d?ig- 	faita- furu- 		be- jareu-/jall- 			kir- tat- kar- nag-	carve! Notch tcat	++-										
115	to split 	yarmak 	yaw!	"???-	 ??????-	 ???- (of firewood) "	"???????	 ???? "	i:w?:- 	delhebu- dendebu- 		gareu-/gall- 	Gwar-  < gpar!		war-												
116	to stab 	bat?rmak 	"Bat! <> beat	 push"	???- 	"????????	 ???? "	g?dala:- 	toko- gidala- (with a spear) huwesile- (with a dagger) 		jjireu-/jjill- 			sas- tsuk-												
117	to scratch 	t?rnamak ?zmek 		?????- 	?????? 	?k?:- 	wa?a- wasihala- 		geulg- halkwi- 	chalkwi ?		kak-	kalk ?											
118	to dig 	kazmak 	"Kaspian	 kratz	 carve"	???- 	?????? ???? 	ul?:- 	fete- 		pa- 			hor-	?chorve											
119	to swim 	y?zmek 	<> juice!	???- 	????? 	?lbi- 	ebi?e- muke selbi- 		he- 			oyog-												
120	to fly 	u?ak 		??- 	????? 	d?yli- d?g- 	deye- 		nal- 			tob-												
121	to walk 	y?r?mek 	jire++	???- 	????? 	girani- 	okso- yabu- 		geot-/geor- 			aruk-	airukgo!											
122	to come 	gelmek 	"kel	ko? +"	???- 	???? 	?m?- 	ji- 		o- 	(c)o!		"ko-	 ku-"	co?me											
123	to lie 	yatmak 	shut	???- 	?????? 	ul?:- 	dedu- 		nup-/nuw- 	noptial nove ?		ne- yokotawar-												
124	to sit 	oturmak 	<<>> 	????- 	???? 	t?: 	te- 		anj- 	hinsi.te		suwar-												
125	to stand 	durmak 	"Dura	 turm!! ++"	???- 	?????? 	?l?- 	ili- 		seo- 	steo		tat-	Stat! ++											
126	to turn 	d?nmek 	turn.make  ???+d?n QED	"???-	 ?????- "	????? 	ukukin- 	forgo?o- 		dol- 	Dor ~ turn		mawar-												
127	to fall 	d??mek 	"dussel	 kill <<"	"????-	 ???-	 ?????- "	???? 	tik- 	tuhe- 		tteoleoji- 	fteol		ochi-												
128	to give 	vermek 	"fair	 dar	 poner"	???- 	???? 	bu:- 	bu- 		ju- 			okur- yar- kure- age- kudasar- tamaw- atae-												
129	to hold 	tutmak 	grab++	?????- 	????? 	d??:t?a- 	jafa- 		jab- deul- gaji- 	jab@yad Dhold Geb dar		mot-												
130	to squeeze 	ezmek 	sq.ez	???- 	????? 	?ir- 	hafita- 		jja- 	squia ?? ~ jja.da ?? 	~~	shibor- shime- mom-												
131	to rub 	ovmak 	o?ka<>eyes qed	"????-	 ?????- "	???? 	iki- 	"monji-	 monjira- "		munjireu-/munjill- 	mansch;)		sur- kosur- nasur- mom-												
132	to wash 	y?kamak 	jew!  ?uwmak 	???- 	????? 	??lk?- 	obo- 		ppal- ssis- 	ab?bal		araw-												
133	to wipe 	silmek 	wish+  aw?- fu	"?????-	 ????- "	????? 	aw?- 	fu- (loanword from Chinese?) mabula- 		dakk- humchi- 	Hvmchi ~ wisch 	~-	fuk- nuguw-												
134	to pull 	?kmek 	"Track	 Tata <> tau?"	"????-	 ???- "	????? 	ta:n- 	tata- 		kkeul- 	Keulen <> quell!? ^^	;)	hik-												
135	to push 	itmek 	treat? An	????- 	"??????	 ????? "	ana- 	ana- 		mil- 			os-												
136	to throw 	atmak 		"?????-	 ?????- "	"????	 ????? "	gar?nda:- 	makta- waliyabu- 		deonji- 	don.jekt	~	nage-												
137	to tie 	ba?lamak 	<< burgle ? ?	?????- 	"???	 ?????? "	"u:yi-	 ?rk?- "	huthu- h?waita- 		mae- 	mend	+~	musub-												
138	to sew 	dikmek 	Tack! Stick ++	???- 	"???	 ????? "	uli:- 	ufi- 		gip-/giw- 	giw~sew 	+~	nuw-	knowt?											
139	to count 	saymak 	say~ z?l ~count ~???? total !!	????- 	?????? 	ta?- 	tolo- 		se- 	Z?l <> scri`		kazoe-												
140	to say 	s?ylemek 	say~s?y~sell!	"???-	 ??- "	"?????	 ??????? "	"un-	 gun- "	hendu- gisure- se- 		mal-ha- ha- 	maul!		iw- m?s- (polite) m?shiage- (humble) osshar- (colloquial honorific) notamaw- (colloquial sarcastic honorific or literary honorific)												
141	to sing 	?ark? s?ylemek 	Ucule-le ;)	????- 	?????? 	d?a:nda- 	ucule- 		norae-ha- 			utaw-												
142	to play 	oynamak 	?! n-m-k / g-m-n	????- 	"??????	 ?????? "	?wi- 	efi- 		nol- 	null?		asob-												
143	to float 	y?zmek 	flie??????- 	????? 	k?p?:n- 	dekde- 		tteu- 	< shui?		uk-												
144	to flow 	akmak 	aqua++	??- 	????? 	?y?:- 	eye- 		heureu-/heull- 	"quell	 heulen!"	++~	nagare-	nagar~swim!	+++										
145	to freeze 	donmak 	?tauen	???- 	?????? 	d???t?- 	gece- juhe jafa- 		eol- 	(c)ool < kor / (k)yros	++?	koor- ite- kogoe-	kyro@kor	+++										
146	to swell 	?i?mek 	???? swell!!	????- 	"????	 ?????? "	awul 	aibi- dukdure- 		but-/bu- bupul- 	"brut	 burst boppel ;)"	+:)	fukuram- fukure- hare-												
147	SUN!!!	g?ne? 	G?n ?un ?iwun SUN / HEL 	???  sun!   ????? x????g	1. HEL 2. NAPO	"d?lat?a	 ?iwun "	?un 		hae 	HEL	+++	hi	HEL	+++										
148	moON	ay 	lun al.?? moon ma.?? biga:god!?	?? 	??? 	b?ga 	biya 		dal 	? du?l <> mount !	++<	tsuki	--											
