No 	English 	Turkish 	Eurasian	Kyrgyz (Cyrillic) 	Mongolian (Cyrillic) 	Oroqen (IPA) 	Manchu (MT) 		Korean (RRK) 	Kor PIE		Japanese (Hepburn romanization)												
182	full 	dolu 	"Doll ~ voll < dval	 schwell ++"	"?????	 ??????? "	?????? 	d?al?m 	jaluka 		cha- bureu-/bull- (of one's stomach) 	chaque bull~full++	+++	michi- ippai												
183	new 	yeni 	Yenew ++	???? 	???? 	irk?kin 	ice 		sae saerop-/saerow- 	sehr=gut/neu/viel 	++?	atarashi- arata												
184	old 	eski 	Eskaldi = alt ++	????; ???? (people) 	?????? 	?agd? 	"fe	 sakda "		yes nalg- neulg- 	"years	 nyean ? ni?"	+++	"furu- ('old	 used	 worn') oi- ('to grow old	 to age')"	"furie	 fhier!	 vuru=ALT (v)oi~OLD!"											
185	good 	iyi 	"AY	JA	SI ++"	????? 	???? 	aya 	sain 		joh- 	Joy ~ EU	++	"yo-	 ii"	Joy ~ EU											
186	bad 	k?t? 		????? 	??? 	?ru 	ehe 		nappeu- 	na?ppeu ???  pfui (^^eops)	++	waru-	weary											
187	rotten 	bozuk 	bug?d sauerig ????? ++	????? 	???????? 	nukunt?a 	"niyaha	 ibtenehe "		sseog- 	suck;)	;)	kusar-												
188	dirty 	kirli 	<> khir=black ++	??? 	"?????	 ?????? "	b?d?ar 	nantuh?n langse 		deoreop-/deoreow- 	Dirty ~ deor-wty	++	kitana-												
189	straight 	d?z 		??? 	?????? 	t?it?ur 	sijirh?n 		god- bareu-/ball- 	god! (gut/go-right)	++	sugu												
190	round 	yuvarlak 	@	"???????	 ???????	 ?????? "	"?????	 ??????? "	bo?b?lin 	muheliyen 		dunggeul- 	? dvanger ? 	++	maru-	marund ?											
191	sharp 	keskin 		???? 	???? 	?m?r 	"dacun	 ?ulihun	 ?olonggo "		nalkarop-/nalkarow- 	Null-karo		surudo-	surudo~sharpdo											
192	dull 	k?r (keskin de?il) 		????? 	????? 	mampa 	modo 		mudi- 	mute	+-	nibu-												
193	smooth 	d?z 		????? 	?????? 	burt?urin 	"necin	 bi?un "		maekkeureop-/maekkeureow- 	me?kero~meraka:		nameraka												
194	wet 	?slak 	Lak <> aqua	??? 	?????? 	w?lapk?n 	"derbehun	 usihin "		jeoj- 	Feucht ~ jeoj-		nure-	naur ?											
195	dry 	kuru 	?????? Karga qry dry 	?????? 	?????? 	"?lg?kin	 il?? "	olhon 		mareu-/mall- 	? mull ? 		kawak-												
196	correct 	do?ru (yanl?? de?il) 	d?agree ++	????? 	??? 	t?d??: 	"acanaha	 tob giyangga "		olh- bareu-/ball- olbareu-/olball- 			tadashi-												
197	near 	yak?n 	<<	????? 	??? 	daga 	"hanci	 hamika "		gakkap-/gakkaw- 			chika-												
198	far 	uzak 	kozak?	"????	 ?????	 ???? "	??? 	g?r? 	goro 		meol- 	? mvar muli		too-												
199	right 	sa? 		?? 	?????? 	a:n 	ici 		oreun bareun 			migi												
200	left 	sol 		??? 	???? 	d??yin 	has'h? 		oen 			hidari												
201	at 	"-da/-de	 -ta/-te "	++	"-?? (-??	 -??	 -??; -??	 -??	 -??	 -??) "	"-?	 -? "		-de 		"-eseo (with a place) -e (with a time) -ege	 -kke	 -hante (with an indirect object) "	atho -a -e -ecke -hante 	++++	-de (with a place) -ni (with a time or an indirect object)												
203	in 	"-da/-de	 -ta/-te "	?	"-?? (-??	 -??	 -??; -??	 -??	 -??	 -??) "	"-?	 -? "		dolo 		"-eseo	 an-eseo -e	 an-e	 sog-e -ro/-euro	 an-euro "	?ro/euro in-a zugegen In-esse 	++++	"-de	 -no naka-de -ni	 -no naka-ni"												
204	with 	ile 	mon mit	????? 	"????	 -???/-???/-??? "		"...i emgi	 ...i sasa "		"-hago	 -gwa/-wa (comitative) -ro/-euro (instrumental) "	"Gwan	 hagon (con) ?ro/euro "	++	-to (comitative) -de (instrumental)												
206	and 	ve 	con~????  ad da@slov	???? 	?? 		jai 		"-hago	 -gwa/-wa	 geurigo "	"Gwan	 hagon (con) ?geuro "		-to soshite												
205	if 	"e?er	 ?ayet "	? ?	"????	 -?? (-??	 -??	 ??) "	????? 		"aika	 aikabade "		"manyag(-e)	 -myeon "	<<<		moshi -nara -ba												
202	because 	?nk? 	since++	"???????	 -????????? "	?????? 	d?a:lin 	"...jalin (+ de)	 ...be dahame	 ...turgunde	 adarame seci	 ... "		ttaemun(-e) -ni/-euni -nikka/-eunikka -seo/-eoseo/-aseo 	da.man ^^ so?		-kara -tame -node	car!! tam=denn	+++										
207	name 	"ad	 isim "	"gebu given.name	 ad+res address"	"??	 ???? "	??? 	g?rbi 	gebu 		ireum 	?? REIM	++++	na												
										? yu? 														
