Id	English (gloss)	Georgian language x=kh!	EG	PIE		IPA	Gothic 	Turkmen 	Aryan
		შვიდი švidi	𓋴𓆑𓎛𓅱	7 sevti ო	+++			(s)yedi	wiδun widen? <> zone 𓊃 ? 
		რვა rva მერვე merve	𓎛(𓏠𓈖𓅱)	8 𓏠 პ 𓍵? 	?			sekiz (sic)	긴, 길다 generous, groß ¬eng
		ცხრა tskhra  მეცხრე metskhre	ⲮⲒⲤ  𓊪𓋴𓆓	9 𓏠𓈖 mnewn-kadesh ჟ	--			dokuz	gal:big≠klein,lang
		ათი ati მეათე meate	𓎆 	10 µ ten 𓎆 ~ 𓏏 ი  ⲘⲦⲈ te.me meter 	++			on / -sen	gyr®
				80 = 4 * 20  ϩⲙⲉⲛⲉ 					küchiculn! 𓅱 nietsh!
		ასი asi	𓈙 𓏏 𓏴  > ϣⲉ še	100 a cent რ 5*20  ౧౦౦	+				Kurz++ 𓅱  chiculn!
		ათასი atasi	𓆼	1000 a tausend ჩ	+++				dürr!! <> door! Darben
27	big	დიდი (didi)	𓀠 𓏏	太大 taida tall	++	/didi/	𐌼𐌹𐌺𐌹𐌻𐍃 (mikils) 	çişik  uly (older) ; 	Thin ~! winz 
28	long	გრძელი (grʒeli)	𓈎 𓄿 𓀠 𓏜	großely	+++	/ɡrdzɛli/	𐌻𐌰𐌲𐌲𐍃 (laggs) 	uzyn 	girly, katrin,kardin:work, ische, amne
29	wide	ფართო, განიერი (parto, ganieri)		part, going, giň  vs scopos	T!	/pʰɑrtʰɔ/, /ɡɑniɛri/	𐌱𐍂𐌰𐌹𐌸𐍃 (braiþs) 	giňiş, giň 	ER! < vir san~sir kek<>gök
30	thick	სქელი (skeli)	𓋴 𓅱 𓂸 𓏏	thikely sgalyň scale<>scope?	+	/skʰɛli/	*𐌳𐌹𐌲𐍂𐍃 (*digrs) 	galyň 	<< insane, kysir, adam
31	heavy	მძიმე (mʒime)	𓂧 𓈖 𓋴 𓍖 𓏜	manszime? madza.me much maʒimal maximal	++	/mdzimɛ/	𐌺𐌰𐌿𐍂𐌿𐍃 (kaurus) 	agyr 	chiculn! 𓅱 Balg
32	small	პატარა (ṗaṭara)	𓎡 𓏏 𓏏 𓅪 | 𓋾 𓅱 𓏏	petit <> cute bird, cute cattle  𓌙 𓏲 𓏏	++	/pʼɑtʼɑrɑ/	𐌻𐌴𐌹𐍄𐌹𐌻𐍃 (leitils) 	kiçi, kiçijik 	girl, kardin/kathrin, care
33	short	მოკლე (moḳle)	<> 𓇬 𓈋 𓃒 𓏥 ?	micro	++	/mɔkʼlɛ/	[Term?] 	gysga 	ER, HusHer?
34	narrow	ვიწრო (vic̣ro)	𓎼 𓄿 𓐎 𓅪 ?	𐌰𐌲𐌲𐍅𐌿𐍃! micro?	+?	/vitsʼrɔ/	𐌰𐌲𐌲𐍅𐌿𐍃 (aggwus/vggroß) 	dar 	ana, ama, inge, egen?
35	thin	თხელი (txeli)		thinly	+~	/tʰxɛli/	[Term?] 	inçe 	papa, vata ! VS AMA! Köka
36	woman	ქალი (kali)	𓈟 𓁐	Kali𓄤 girl <> Quell 𓈟𓈞 	+++	/kʰɑli/	𐌵𐌹𐌽𐍉 (qinō) 	heleý, aýal 	! hurvan™ хайван (Pers.)
37	man (adult male)	კაცი (ḳaci)	𓎡 𓎛 𓎡 𓎛 𓀘	Kasi;) erkek <> 𓊃 𓀀 𓏤 sir? 	T!	/kʼɑtsi/	𐌼𐌰𐌽𐌽𐌰 (manna)	erkek (adam) 	Beluga bei.lake (l’aqua) !! uralic!
38	man (human being)	ადამიანი (adamiani)	𓏠 𓈖 𓅱 𓅆	Adaman (children of Min)	+++	/ɑdɑmiɑni/	𐌼𐌰𐌽𐌽𐌰 (manna) 	ynsan, adam, kişi 	vo.guls 𒃲 𐍆𐌿𐌲𐌻𐍃 fugls cuch! 𓅱 
39	child	ბავშვი (bavšvi)	𓀔 ≠ 𓀖	बच्चा baccā boys/bitch	+++	/bɑvʃvi/	𐌱𐌰𐍂𐌽 (barn) 	çaga 	Hunt : ит ! Köter 
40	wife	ცოლი (coli)	𓈟 𓁐	Kali𓄤 girl <> Quell 𓈟𓈞 	+++	/tsɔli/	𐌵𐌴𐌽𐍃 (qēns) 	aýal 	bit ~ beetle!
41	husband	ქმარი (kmari)	𓌸	mari khmer khuman ϩⲁⲓ?	+++	/kʰmɑri/	𐌰𐌱𐌰 (aba) 	är, adam 	schlange!! kʊlɪn  curlen
42	mother	დედა (deda)			;)	/dɛdɑ/	𐌰𐌹𐌸𐌴𐌹 (aiþei) 	eje 	Curled !
43	father	მამა (mama)			;)	/mɑmɑ/	𐌰𐍄𐍄𐌰 (atta)	kaka 	Mwood ++, bark
44	animal	ცხოველი (cxoveli)	𓄡 𓄜 tsxɔvɛli ~ Töle tail	𐌳𐌹𐌿 δov hayw cover<>hide 𓄜	<~	/tsxɔvɛli/	𐌳𐌹𐌿𐍃 (dius) 	haýwan 	mùs 木 turkee tree
45	fish	თევზი (tevzi)	𓆢	the.fishy < catfish	+? ;)	/tʰɛvzi/	𐍆𐌹𐍃𐌺𐍃 (fisks) 	balyk 	мод 木 stick~sтаяк ++ 
46	bird	ჩიტი (čiṭi)	𓆓 𓂋 𓏏 <> 𓇥 𓂋 𓏏 𓅃 ?	tweety Tier cith~guth guş vo.guls	+<	/tʃitʼi/	𐍆𐌿𐌲𐌻𐍃 (fugls) 	guş 	Malve Mus ≠ kveret ~ guord gvruit
47	dog	ძაღლი (ʒaɣli)	𓃛 𓅱 𓃡 saluki ⲟⲩϩⲟⲣ	jackal δackel dogle 𓍿 𓊃 𓅓 𓄛	+++	/dzɑɣli/	𐌷𐌿𐌽𐌳𐍃 (hunds) 	it; köpek (male); güýük 	tha'am Samen (f)urə 𓂋 ! ӱрен  fruit 
48	louse	ტილი (ṭili)	ⲕⲁⲕⲑⲓ	ti.lis < kitlaus		/tʼili/	[Term?] 	bit 	𓌾  prak~blatt--
49	snake	გველი (gveli)	𓆑, 𓎛 𓆑 𓄿 𓅂	GVL<KUR 𓋴 𓍋 𓃀 𓏏 𓆙  	++-	/ɡvɛli/	𐍅𐌰𐌿𐍂𐌼𐍃 (waurms) 	ýylan 	Kork~Bark √deep 
50	worm	ჭია (č̣ia)	•cvirm	Serpent kria 𓆓 𓂧 𓆑 𓏏 𓆙  𓆑	++	/tʃʼiɑ/	𐌼𐌰𐌸𐌰 (maþa) 	gurt, gurçuk 	*karbark кора (kora) barka
51	tree	ხე (xe)	𓍲 𓆭 , 𓆮 >  𓋴 𓆭	কাঠ kath  ξύλο xýlo > Esche	+?	/xɛ/	𐌱𐌰𐌲𐌼𐍃 (bagms)	bag, agaç 	Sisilk << çiçək susank
52	forest	ტყე (ṭq̇e)		tokaý stock trees 	T!+?	/tʼqʼɛ/	[Term?] ! <>	tokaý 	cUT, курăк~gracc~grass
53	stick	ჯოხი (ǯoxi)	𓆱 𓏏 𓏤	Ǯox ~ stock	++	/dʒɔxi/	𐍄𐍂𐌹𐌿 (triu) 	çöp; taýak (stick, cane) 	𓎛 бау tanar TAU++ ip 𓎛 
54	fruit	ხილი (xili)	𓇨?	chilli, xil,xir,kir,guor,qi(ball) 𒄒 kib/ul3	++<	/xili/	𐌰𐌺𐍂𐌰𐌽 (akran) 	miwe 	derma++ 𓄛 leather
55	seed	თესლი (tesli)	≠ 𓍁 𓂋 𓏏	toslum?	T?	/tʰɛsli/	*𐍃𐌴𐌸𐍃 (*sēþs)	tohum 	eat ma.et
56	leaf	ფოთოლი (potoli)	𓄔 𓏤 𓃀 𓃀 𓏏 𓆰 𓏥  	PAD 𒉻 paṭ phyto botany biota Blatt ⲃⲓⲱϫ ~ ϫⲱⲃⲓ	++++	/pʰɔtʰɔli/	𐌻𐌰𐌿𐍆𐍃 (laufs) 	ýaprak 	sang! Xuen
57	root	ფესვი (pesvi)	𓍯 𓄿 𓃀 𓆰   	𓃀? pesvi~base!	~+	/pʰɛsvi/	𐍅𐌰𐌿𐍂𐍄𐍃 (waurts) 	kök; düýp (base) 	Sang soma сööк<>gök™ сөяк korkn
58	bark (of a tree)	ქერქი (kerki)		kork=bark gabyk 	+++	/kʰɛrkʰi/	[Term?] 	gabyk 	yóu 油  𓅭 yā 鸭 yoil yog(hurt) mast
59	flower	ყვავილი (q̇vavili)		Lily qflower?  qvvl~gül 	T+	/qʼvɑvili/	𐌱𐌻𐍉𐌼𐌰 (blōma) 	gül 	<< jaun ¬murt? urtga~egg@KOR 𓅓𓏏𓅐
60	grass	ბალახი (balaxi)	<> 𓆶 𓇋 𓇋 𓏜	barley! балах բալախ 	+++	/bɑlɑxi/	𐌷𐌰𐍅𐌹 (hawi) 	ot  խոտ xot	𓏠 𓈖 𓃒 𓏥 menges / şah (Pers.) Zahn
61	rope	თოკი (toḳi)	𓎀𓍼	tech tag textil Tuch Tau tan𓍿!	+++<	/tʰɔkʼi/	[Term?] 	tanap, ýüp; urgan 	Curück! <> curl?
62	skin	კანი (ḳani)	<> 𓃡?	ˢkin carne, khrom ham@human	++	/kʼɑni/	[Term?] 	deri (animal); ham (human) 	tail! toll@ural
63	meat	ხორცი (xorci)	𓄯𓊔𓅨𓂋  |   𓇋 𓆑𓄻 𓏥	gorki@Kor carne		/xɔrtsi/	𐌼𐌰𐍄𐍃 (mats) 	ma.et 	sack, tolle
64	blood	სისხლი (sisxli)		sys <> syn sangue 𓊃 𓈖 𓆑 𓂐 𓏥	<<	/sisxli/	𐌱𐌻𐍉𐌸 (blōþ) 	gan 	boss! Kopf++ TOP!
65	bone	ძვალი (ʒvali)	𓌟 𓏤	ʒval ~ ghoul 骨 gǔ  ʒval~zwei 2		/dzvɑli/	[Term?] 	süňk 	Khores ++
66	fat (noun)	ქონი, ცხიმი (koni, cximi)	𓎙 𓏌 𓏥, 𓈎 𓈖 𓄃 ⲕⲉⲛⲓ	schmier schmalz xurni ⲕⲉⲛⲓ χονδρός khondrós  	++++	/kʰɔni/, /tsximi/	𐍃𐌼𐌰𐌹𐍂𐌸𐍂	yağ 	gaze ogeyes!
67	egg	კვერცხი (ḳvercxi)	𓋴 𓅱 𓎛 𓏏 𓆇	svert 𓆇  ⲥⲱⲟⲩϩⲓ <> Schale? Schwarte?		/kʼvɛrtsxi/	[Term?] 	ýumurtga 	thana’~nasha  burun? Myrrhenos
68	horn	რქა (rka)	𓎛 𓆰 𓈖 𓄏	rkan khorn Höcker @ Rücken	+~<	/rkʰɑ/	𐌷𐌰𐌿𐍂𐌽 (haurn) 	şah (Pers.) 	𓂋 !!! am/OS << agyz
69	tail	კუდი (ḳudi)	𓄡 𓄜 <>  𓋴 𓄝 𓏏 𓀜	cute Koedel Köter=Töle cord <> shoot	<	/kʼudi/	[Term?] 	guýruk 	Teeth +++
