	타임 셰어링	time sharing						
	타임터널 여행	timetravel						
	타케이히	takahe						
	타오르게 하다	kindle						
	탄	torrid		torn				
	탈구되어	Torque …						
	탈리폿야자	talipot						
	턴	Uturn						
	투시력	vision	theosir					
	팔아 버리다	trade	Purchase / buy!					
	페이지를 넘기다	leaf		Blatt				
	표	crisscross						
	표어	war cry						
	표명하다	speak						
	표제지	front page						
	표지 4	fourth cover						
	풍동	wind tunnel						
	풍화시키다	weather						
	피하다	help						
	하늘의 별	host						
	춤	dance		Csum: samâ سهما samba jambe summer				
	Χορός ὀρχέο chore,orches	šὀrchøīο		sumerian: šu (hand) + gur(kugel,roll) <> havana GILA šu...ñál	Karar =  curl hurl whirl churn turnce wirbel @HEB! chuwl khool™ <> COIL!! quirl whirl		chagag khaw-gag'	~chyr'gang  <> circle
	ϭⲟⲥϫⲉⲥ  ϥⲟϫⲥ ↔ ϥⲱϫⲓ 	dance						
	Ball ~ bein	dance						
	raks, raqss < rechts=Bein	dance		rock!				
	Rock & roll	dance		machowl				
		^^^!!!						
	𓐍 𓃀 𓏴 𓀤 kor-bein kor-ball							
	𓐍 𓃀 𓏴 𓀤 kor-gag							
	𓐍 𓃀 𓏴 𓀤 hoppen ḫpþ							
	dance QED		a leaping dance  𓎛 𓊪 𓎼 𓏏 					
	dance ?  𓉔 𓄿 𓃀	hop						
	 𓇋 𓃀 𓀤 	hüpfen						
	dance  𓂋 𓏏 𓅱	Chagag ;)		ronden ⇔ rondo ⇔ churn=turn				
	𓂋 𓅱 𓀤   RHYTM!	palpitate		𓂋 𓅱 𓏏 𓀠				
								
								
	두뇌	Denk / brain!<<		dünkeln dunkel? Dark matter?				
	되새기다 	dissect / think						
	내성	(co)nessance gnossan		think				
	감치다	consider						
	감상	Com-think 		with 心 xīn ♥				
	-상 성	-thing, think ♥		心 xīn ♥				
	감산	Com-∑um (subtract)						
	과민심장	irritable heart						
	기력	go, heart, nerve		Gir / coeür !!	+++?			
	마음, 내면	the heart		MEN™ <> mind	++++			
	내	Ne = IN-…	內	!!! (interior, internal, inside…)	++++			
	시내 (sinae)	Sinaus = Meander		River! > sinus	++++			
	냄새 (naemsae)	Smell @ nose						
