№	English	Maryan Coptic (ⲙⲩⲧⲭⲏⲙⲉ)
147 	sun 	ⲣⲏ
148 	moon 	ⲓⲟϩ
149 	star 	ⲥⲓⲩ
150 	water 	ⲙⲱⲩ
151 	rain 	ϩⲱⲩ
152 	river 	ⲓⲉⲣⲟ
153 	lake 	ⲗⲓⲙⲛⲏ
154 	sea 	ⲓⲟⲙ
155 	salt 	ϩⲙⲩ
156 	stone 	ⲱⲛⲉ
157 	sand 	ϣⲱ
158 	dust 	ϣⲱⲓϣ
159 	earth 	ⲕⲁϩⲉ
160 	cloud 	ϭⲏⲡⲉ
161 	fog 	ⲟϥⲉⲗ
162 	sky 	ⲫⲉ
163 	wind 	ⲑⲏⲩ
164 	snow 	ⲭⲓⲱⲛ
165 	ice 	ϫⲁϥ
166 	smoke 	ϭⲱⲣ
167 	fire 	ⲭⲣⲱⲙ
168 	ash 	ⲕⲉⲣⲙⲉ
169 	to burn 	ⲣⲱⲕϩ
170 	road 	ⲙⲱⲓⲧ
171 	mountain 	ⲧⲱⲩ
172 	red 	ⲙⲟⲣϣ
173 	green 	ⳣⲱⲧ
174 	yellow 	ⲁⳣⲓⲛ
175 	white 	ⳣⲟⲃϣ
176 	black 	ⲭⲁⲙⲉⳕ
177 	night 	ϫⲱⲣϩ
178 	day 	ϩⲟⲩ
179 	year 	ⲣⲟⲙⲡⲉ
180 	warm 	ⲧⲁϧⲙⲏⲩⲧ
181 	cold 	ⲟϫⲉⲃ
182 	full 	ϫⲏⲕ
183 	new 	ⲃⲉⲣⲉ
184 	old 	ⲁⲡⲁⲥ
185 	good 	ⲛⲩϥⲉ
186 	bad 	ⲃⲱⲛ
187 	rotten 	ⲗⲉϥⲗⲱϥ
188 	dirty 	ϭⲁϧⲉⲙ
189 	straight 	ⲥⲩⲧⲱⲛ
190 	round 	ⲕⲏⲧ
191 	sharp 	ⲑⲏⲙ
192 	dull 	ⲭⲏⲗ
193 	smooth 	ϭⲛⲏⲩⲧ
194 	wet 	ϩⲟⲣⲡ
195 	dry 	ⲃⲟⲥⲧ
196 	correct 	ⲧⲏϩ
197 	near 	ϧⲁⲧⲉⲛ
198 	far 	ⲉⳣⲉⲓ
199 	right 	ⲩⲛⲁⲙ
200 	left 	ⲭⲃⲓⲣ
201 	at 	ϧⲁⲧⲉⲛ
202 	in 	ϧⲉⲛ, ⲉϧⲩⲛ
203 	with 	ⲛⲉⲙ
204 	and 	ⳣⲟϩ, ⲛⲉⲙ
205 	if 	ϣⲁⲛ
206 	because 	ⲉⲑⲃⲉⳕϫ
207 	name 	ⲣⲁⲛ
