No. 	English 	Tocharian B kuśiññe	l<>n i<r c<th w<ᶻb ts<c<q y<v/l/d/…? s<d/c t<d ṣ<k? ś<d/g? p>bh/f/𓇋 w<ghv ye<w		R1b ~ British! Q1 ~ other ś<g 
137	to tie 	śanmästär, kärkaṣṣäṃ	syn.masten… @ Kerker	+++	GER
138	to sew 	-			
139	to count 	ṣäṃṣtär	∑ semester *** samstag!? 	++ <<	
140	to say 	weṣṣäṃ	saggen?	<<	
141	to sing 	piyaṃ	sphing	<<+	
142	to play 	kāñmäṃ	kanon!	+<	
143	to float 	pluṣäṃ	fluss++ pfloath !	++	GER
144	to flow 	reṣṣäṃ	Reissen <> river	++?	
145	to freeze 	-			
146	to swell 	staukkanatär	Stau-kanal!?	✓!<	GER
147	sun 	kauṃ	gün cauṃ=cun sun 	ene	
148	moon 	meñe	mene	✓	
149	star 	ścirye	~!?	…	<<<
150	water 	war	wa’er	~✓	
151	rain 	swese	??		
152	river 	cake	Kloake	+++<	
153	lake 	lyam		~-+	
154	sea 	samudtär	sea.mwater~mar, muth	++<	<> Sino
155	salt 	salyiye		~✓	
156	stone 	kärweñe	kar,carve,kő@Ural,gebla ? 	+++<	
157	sand 	warañc (oblique)	?		
158	dust 	tweye, taur	~--		
159	earth 	keṃ	KIRM <<<< Khm!!	<<++	
160	cloud 	tarkär			
161	fog 	-			
162	sky 	iprer	ybr über skyper ≠ pytr	+<	
163	wind 	yente	Vynd ++		y=wi
164	snow 	śiñcatstse	snow.karst	~++	
165	ice 	-			
166	smoke 	-			
167	fire 	puwar	Phuiwer ++	✓	
168	ash 	taur, tweye (?)	?		
169	to burn 	tsakṣtär,pälketär	~~burn - <<		
170	road 	ytārye    𓇋𓆵𓇳	iterode!!   𓇋 𓏏 𓂋 𓅱 𓈘 𓏥	+++	y=wi(n)
171	mountain 	ṣale	𓈙𓈉 shan 山 <> chare kar		
172	red 	ratre	✓✓ 		
173	green 	motartstse	𓈗!? 		
174	yellow 	tute	<> ton?		
175	white 	ārkwi	<<<???		
176	black 	erkent-	<<<???		
177	night 	yṣiye			
178	day 	kauṃ	Jaum güm:sun!	<✓	
179	year 	pikul			
180	warm 	emalle	man nuǎn 暖 wen 温 		
181	cold 	krośce	!		
182	full 	ite			
183	new 	ñuwe	✓✓ 		
184	old 	ktsaitstse (?)	@zeit?		
185	good 	kartse	gort~good.sei		
186	bad 	yolo, pakwāre	<< yolo~bane (sic)		
187	rotten 	āmpau			
188	dirty 	sal, kraketstse	kara > krake > dirt		sal:schan.de
189	straight 	-			
190	round 	-			
191	sharp (as a knife) 	mātre, akwatse			
192	dull (as a knife) 	mālle (?)	Mull,mal vs dull		
193	smooth 	ṣmare		~++	
194	wet 	karītstse	ge.ritce  רטוב‎ ratóv kariqqe υγρός ygrós	<<	
195	dry 	asāre	a’sara / secco	+++	
196	correct 	-			
197	near 	akartte, ysape, etsuwai			
198	far 	lau, lauke	roady raudi  𓍯𓈐, 𓍯𓄿𓀜		
199	right 	saiwai (adverb)	say way?		
200	left 	śwālyai (adverb)			
201	at 	-ne	an 		
202	in 	-ne	in		
203	with 	śle	zu? syne  𓎛𓈖𓂝  𓐍𓏏𓆑 𓐕𓈖𓏛		l=n SIC
204	and 	ṣp	super > or,  ṣp ~ gib		
205	if 	krui, ente	𓂋𓇋 | 𓇋𓂋, ante… ?		
206	because 	kuce, mäkte	cause, 𓁷𓂋𓁻?		
207	name 	ñem		✓✓ 	
