 No. 	English 	Aryan	Lithuanian 	Old Prussian	Latvian 	Latgalian 	Samogitian 	Old Prussian
64	blood 	Crude : red meat	kraujas 	krāujā	asinis 	asnis 	kraus 	krāujā
65	bone 	𓈎 𓋴 𓌟 khors > kaulas ++	kaulas 	kaūlan	kauls 	kauls 	- 	kaūlan
66	fat (noun) 	talg	taukai|riebalai	taūks	tauki 	tauki|tuklums 	- 	taūks
67	egg 	oille|putes@bird	kiaušinis|pautas 	pāuts	ola 	ūla 	- 	pāuts
68	horn 	K-r-s <> r-g-s ! 	ragas 	ragis	rags 	rogs 	- 	ragis
69	tail 	achter|stag	uodega 	stags	aste 	aste 	- 	stags
70	feather 	Plume|?	plunksna 	plāugzdā	spalva 	spolva 	- 	plāugzdā
71	hair 	Matte|? 	plaukai 	skebeljāi	mati 	moti 	- 	skebeljāi
72	head 	s’calp > galva!  𓋴 𓌳 𓁸  	galva 	galwā	galva 	golva 	galva|kramė 	galwā
73	ear 	aors auδios	ausis 	ausins	auss 	auss 	- 	ausins
74	eye 	Aukis oculs ++	akis 	akīs	acs 	ocs 	akis 	akīs
75	nose 	noses	nosis 	nozy	Deguns  ?	nuoss 	- 	nozy
76	mouth 	moute|um.os.ta! burn!? <> PU!	burna 	austa	mute 	mute 	- 	austa
77	tooth (rather not molar) 	dent|zopf!!	dantis 	dantis	zobs 	zūbs 	dontės 	dantis
78	tongue 	(g)lozuw  n-zuw ~ zunwe	liežuvis 	inzuwis	mēle 	mēle 	- 	inzuwis
79	fingernail 	naglas	nagas 	nagutīs	nags 	nogs 	- 	nagutīs
80	foot 	pheda	pėda 	pēdā	pēda 	pāds 	- 	pēdā
81	leg 	<>Koje??	koja 	aulinis	kāja 	kuoja 	staibis  Stab	aulinis
82	knee 	Kehle! @Knie 	kelis|kelienis|klupstis 	klupstis	celis 	ceļs 	- 	klupstis
83	hand 	(p)ranke|reich<<<!	ranka 	rānkā	roka 	rūka 	ronka 	rānkā
84	wing 	Spann <> sporn?	sparnas 	skreīlīs	spārns 	spuorns 	- 	skreīlīs
85	belly 	fat fetter veders;)	pilvas|viduriai 	wēdērs	vēders 	vādars 	- 	wēdērs
86	guts 	vitual|𐀼 za?	viduriai|žarnos 	tulawārtis	iekšas|zarnas 	vydspuse|vydi 	- 	tulawārtis
87	neck 	Gockle <> Gurgle	kaklas 	winzus	kakls 	koklys|reikle 	- 	winzus
88	back 	neck mnuggar ⛰? 	nugara 	ritiznan	mugura 	mugora 	- 	ritiznan
89	breast 	𓈎 𓄿 𓃀 𓏏 𓄹 kurvets krūtis!	krūtis|papas 	kreklan	krūts 	kryuts 	- 	kreklan
90	heart 	sheartdis certain?	širdis 	sēris	sirds 	sirds 	šėrdis 	sēris
91	liver 	यकृत् (yakṛt) Latin iecur <> vigor ?  Ήπαρ=>hepar<liver  כָּבֵד‎ (he) m (kavéd) que’vit	jeknos|jaknos 	jakna	aknas 	oknys 	kepenys~कलेजा (hi) m (kalejā	jakna
92	to drink 	Pot | tiger >  dger 𓏏𓐍𓈗! drink > 𓋴𓅨𓂋𓇋𓀁 GER.ti	Gerti  … TI~TO:DO!	pōtwēi	dzert 	dzert|teļst 	- 	pōtwēi
93	to eat 	ēstwen	valgyti|ėsti 	Ēstwen  … … (t)wei/(t)wen ~ fairn?? <<!	ēst 	ēst 	jiestė 	Ēstwen  … … (t)wei/(t)wen ~ fairn?? <<!
94	to bite 	Kost ++	kąsti 	Aukanstun … …TUN!! +++ :)	kost 	kūst 	- 	Aukanstun … …TUN!! +++ :)
95	to suck 	sulk schluck	čiulpti|žįsti 	dītun|dastun	sūkt 	suļkt 	solptė 	dītun|dastun
96	to spit 	spiit	spjauti 	Wemtweī : vomit	spļaut 	- 	- 	Wemtweī : vomit
