#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
93,eat,10000 WORDS,*=ŋa,*ɲɔ,*tìŋ,*=am,*ɲā,*ɔ̄=ɲʊ̀ ~ *ɔ̄=ɲɔ̀,*=aɲɔ,*a=nu,*V=ɲʊ; *u=sa,*ɔ=ɕɔ,a=ɲ,ɔ=ɲɔ,*ŋwa,*bú,*bu,*sɛ-,*šwa,mə-s,*s/a/,*a=ku,tˀa,*kɔl- ₁,*ɗak-,*am- ₂ / *us-,ɗám- ₃,kal ₁,*ɲam-,*tam ₃ / *t̪=(k)al,*lam-,*ŋan-; *gey-,*si-,*ɕam-,*=ɲi-; *=am- ₂,*am ₂,*n(V)kʼ-; *gab-
94,bite,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,suck,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,spit,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,vomit,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,blow,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,breathe,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,laugh,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,see,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,hear,10000 WORDS,*=tik-,*in-,*kàːl-,kel-am,*=rí,*ī=rī,*=ɔ̀gà,*=ŋgɪ,*=wo,*o=go,a=yi,ša,*maw,*fàn-,*bas-,*tan-,*čikʰ-; *kˀeb-,gìdɛ́s,*gas-,*=fiɲo,ɛɕɛt,*gi(ǯ)-,*ðig- ₁,*šig- ₁,tíy-,wo-s-; esel-,*eːr-; *piŋ-,*ki(l)d-,*t̪ɔŋʷ-,*sig- ₁,*suw- (?),*wiɲʓ-; *t̪iŋ-,*=niŋ-; *=yɪŋ- ₂,*iːɲ ₂; *kas,*Nis-
103,know,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,think,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,smell,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,fear,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,sleep,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,live,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,die,10000 WORDS,*=tu,*ɔy,*múɕ-,*way,*ɖà,*=ðɛ̀,*=onzi,*=nde,*=yo,*ili,iri,ayi,*bún,*nú,*nɔ-s,*nʊ-,*wVy,=wɔi,*š/a/,*a=yV,kˀo,*diː- ₁,*ir- ₂,*ɛr- ₂,reː-r- ₃,diː- ₁,*tugir,*lu- ₃,*bu(l)-,*iye-,*ǝɣ(s)-,*t̪ɔw- ₁,*twa- ₁; *yɛ-,*mɛːʀ,*ɲal-; *geɕ-
110,kill,10000 WORDS,*=yay-,*uy-,*pi/y/-,fu-,*fū,*ō=fó ~ *(ɔ)=fɪ,*=ɔfʊ,*=fu,*=pʊ,*=fu,a=pʌʔi,à=wì,*wi,*yid-,*yid-,*ni-,*kˀoš-,=tɔs,*ša-kˀ/ʷ/-,*=t̪aː-,ka,*pay-ir,*rʊk,*in-,ɓòkòt- ₁,si- (←*say-?)₂,*poz(i),*ni,*ɔt̪u,*siy/ɲ- ₂; *yi-,*pax- ₁,*nʌk-,*=ar,*par-; *nuːs-,*kɛy-
111,fight,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,hunt,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hit,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,cut,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,split,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,stab,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,scratch,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,dig,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,swim,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,fly,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,walk,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,come,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,lie (recline),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,sit,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,stand,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,turn,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,fall,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,give,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,hold,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,squeeze,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,rub,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,wash,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,wipe,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,pull,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,push,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,throw,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,tie,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,sew,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,count,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,say,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,sing,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,play,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,float,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,flow,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,freeze,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,swell,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,sun,10000 WORDS,*uw-,*aɲi-ŋ-,*mù(n)ʓú,d(=)ule,*ìtú,*āʒ́ī,*=iko,*Oyi,*k=aɖa,*=aʓa,k=údyò,uɖrà,*wayn-i/o,*kǝ(=)ŋgâl,*ize,*ʔɪdɔN(V),*tay,taʔ,*ok-,*aya,oka,*maša(l); *eːs-,*iː; *kɔr,*sus,"wàwì, ? iɗi",kos,*biːdi; *tel,*ɲiŋ,*n(ɪ)=onu(-k),*ari,*uɣoŋ-e,*ɕʌŋ,*k̚ɔlɔŋ,*asɪːs ~ *asɛːt,*gi; *pet
148,moon,10000 WORDS,*teːʀ-,*aɲi-ɛ-,*ʓìgì,d=uwal,*ìmbā,*àbī,*=aŋgwɛ,*t=imba,*napay ~ *lapay,*ɕe-ɕe,kápá,áfí,*handi/u,*kə́=mbàl,*awri,*wɛrɪ,*ɕˀiawan,àyún,*ɓigi-,*t̪arɛ,kasip,*(ɲ)un-,*ɲɛlɔ-k,*tagi-s(i),ɛ̀ːyɛ̀n ₁,feta,*turi; *aguwa,*k(e)wur,*kaw,*ayi(-wi)- ₁,*asime-ɣe,*pay,*ɬapaɬ,*ɬeː-ta,*aragʷan; *asan
149,star,10000 WORDS,*šund-,*kɛyɛ,*íʒ́ù,wiri,*ɓɪɓɪ,*ʒ́ʊ̄; *lī,*=tulu,*r=iɓi ~ *ɓi-ɓi,*KɛL-,*ɛpɛ,ŋgʌ́dʌ́,daŋgi,*hand-aɾi,*sim-logu,*teski,*maːr,*kɛl,kèːlú,*biːž-,*=at̪iki,roːga,*waɲe (*oɲe?) ₁,*muɲuɲ- ₂,*muɲuɲ- ₂,màrìò-n,wini ₁,*mbaǯU(rʸ),*midi,*ɖuli- ₃,*miɲ- ₂,*ɲeŋ-,*kwɛl ₄; *ɕɛːr,*k̚akɛr-,*mɛːŋ ₂; *k̚ɔkɛl ₄,*ɗɔɬ- ₃
150,water,10000 WORDS,*bi-,*s₁aː,*pèrì,k=oro,*igi,*ɪɗa,*=gwò,*uwe,*m=anɛ,*u=yu,ɓa-ɓa,wu,*(h)áɾí,*ŋgî,*(i)yi,*bi,*ayi ~ *yiʔi,aːye,*ay-,*ɓiːt̪i,wo,*ǝs-ti,*maːm ₁,*ma ₁,máːw ₁,mba ₁,*pe- ₂; *či,*bɔ́ŋ,*=mʊŋ,*kaːl,*ama ~ *uma ₁,*piː ~ *piw ₂,*pi ₂,*peʀ-,*kʷɪɛh
151,rain,10000 WORDS,*ŋoːr-,*s₁aː,*rôː,kwi,*ɔ̄zɛ̄; *ɓu,*īʓē,*=k=ʊma,*t=iɓo,*n=ɖi,*n=ʓi,ɓa-ɓa,n=ɖri,*kiliŋgi,*dùr-o,*ŋeli,*mVzVN; *bodu,,rus,*dam-,*=fVɗɔ; *ni,ɗimu,*are ₁,*ta(m)mu,*guy-ot ₂,tùl,hala,*koyi ₂,*ar-iŋ- ₁,*n̚o(-)k,*ar ₁; *ŋoːri,*koɣ-,*kɔt̪,*k̚uʓ-,*rɔːp,*war; *didi
152,river,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,lake,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,sea,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,salt,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,stone,10000 WORDS,*ug-,*komʌ,*bèlè,d=ito,*írà; *óní,*ōʓū,*=óꜜpíꜜ,*k=ina,*ku,*aŋba,gìsí,aŋbà,*tóndì,*k(=)âu,*emi,*fa; *wi,*ɔš,ɔf,*giš-,*=isi ~ *=usi,maːna,*kuli,*ɓɛy-,*bay-i,gìɗè,tan-e,*mi(d); *pela,*mid-; *mVr-,*kʊrɛ-t̪,*kad-,*ŋaɲ,*pʌːm; *kid-,*mɔr-,*kɔʀ,*gʷas; *sɔg
157,sand,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,dust,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,earth,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,cloud,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,fog,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,sky,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,wind,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,snow,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ice,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,smoke,10000 WORDS,*duːd-,*uruŋi,*ɗùːtà,suːl,*kà,*ɪkɔ,*=kɔ,*t=enu,*sa,*ka-ka,kó-kó,ka-ka,*dullu,*k(=)àngê,*ǝzzi,*gɛnǯʊ; *do,*kuɗ,ʓurɛd,*ɗakˀ/ʷ/-,*ʈiːko,ɕˀimbu,*gume-di,*ɓure-t ₁,*ɓure- ₁,tɔ̀ːr ₂,asuru,*purʸu ₁; *ɲugu,*ŋɛši; *los-,*kɪ=t̪ʊmʊ(-k),*turu- ₂,*lug-e,*yir- ₃; *tol,*puri- ₁,*iːʀ ₃,*cˀud; *ar
167,fire,10000 WORDS,*tom-,*nusʊ,*mû,*utu,*ācí,*k=àzʊ̄,*=ago,*akɔ,*paɗʊ,*oɕo,uɕa,usi,*nunE; *huɾu,*k(=)ánnú,*wuni,*y(i)e; *aza,*antˀ; *watˀi,kəs,*m(=)angi,*isi,ɕ(ˀ)uwa,*usi-gi ₁,*gu-o ₂,*gu- ₂,má(-)ɗ ₃,ši(-)ta ₁,*moʔa ₃,*mér,*paɖɪŋ,*usg- ₁,*maːse ₃,*maːɕ ₃,*kɪ=ma ₃,*ma ₃,*dakʷ; *cˀaɗ
168,ash(es),10000 WORDS,*(h)ay-na,*ʔawun,*bùbùdà,diː,*ɔ̄=fò,*ōhū,*ápùꜛ,*t=ɛdu,*buru,*reka,kuku,kuvu-tu,*bóːsí,*buː,*tifi; *wuni-,*sobu,*pˀiki-n,ufu-n,*=of-,*=ʈoːlo,punkˀa,*ubur-ti ₁,*bur ₁,*bur ₁,tàɗàpù ₂,hib(-)id,*tudo ₂,*fin(-)an,*ul(u)- ₃,*or-ŋo ₃,*usuku-,*buːr ₁,*k̚uri-o- ₃,*ɔr- ₃,*ukʷ; *kaw-
169,burn,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,road (path),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,mountain,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,red,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,green,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,yellow,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,white,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,black,10000 WORDS,*um-,*du(ː),*mìlí,diko,*i=ni,*tì,*=ɛkʊ,*=sa,*=lu,*=iri,iri,=nɖi,*bi,*čə́lə́m,*yasku,*mɪ̃ɛ̃,*cˀi-; *šwala-,arwu-,*=xiː-,*=ɗu; *=luːɲ-,ɕˀiN,*ud(m)-,*kolli ₁,*kɔrɔy ₁,kɔ̀yʊ́ŋ,sur-ku ₂,*oro; *du,*=bī-,*=ʈuʈi-,*kidi-,*ʒ́ul ₂,*ɕɔːl ₂,*=rwɔ-,*tʊʀ,*im-; *buɗam
177,night,10000 WORDS,,*ise,*kabi,luːl,*ŋgákī,*īkū,*=k=ìꜛnìꜛ,*ɓoku,*nɖɔ,*nʓo-nʓo,,ʌtyí,*kigi(ni),*búné,*dọgọso,*gɪnɪ,*cˀin-,kə=səmsi,*=gak/ʷ/-,*=oːso,depu,*awar ₁; *kol,*ɓʌl- ₂,*bar- (*ɓ-) ₂,káːy ₃,kiše,*kay ₃; *oro,*t̪únì,*=ʓoni,*war ₁,*woŋ-,*wʌːr ₁,*k̚ɛwar(-ɪ) ₁,*aw- (*aʀ-),*mir-; *muk-
178,day,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,year,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,warm (hot),10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,cold,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,full,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,new,10000 WORDS,*taːm-,*ŋɔndi,,=iwwo,*ɗí,*ɔ̄=wʊ́,*=adi,*=ɓu,*i=ʒ́i,[*raŋi],reɓe,žya,*tagi,*bə̀lîm,*eski,*ʔɪm(m)ʊ,*ʒɪs,,*kike-,*=t̪iki,kˀina,*ɛːr ₁,*čʊla(-)k (?),*čagi,(ìn)tɔ̀ːn,wor-ku,*yaː-,*ɲɛr-,*=ŋan ₂,*(a)suw-,*taʓ-,*ɲʌːn ₂,*=ŋeʓu-;*lʊdʊ-,,*eruc (?) ₁
184,old,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,good,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,bad,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,rotten,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,dirty,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,straight,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,round,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,sharp,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,dull,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,smooth,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,wet,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,dry,10000 WORDS,*=lab-,*bǝy,*kòɕàl-,futto,*ʔʷī,*=ʔyù,*=onɖu; *=ɛŋgɔ,*o=nɖi,*tutu; *àfā,*=aŋa; *=iši,ɔŋgko,,*koːg-,*ŋgâm-,*ŋkyor-,*kʊya-,*kut̪ˀ,=gɔʓ-,*=keʔe-,*a=rumɛ,iːɕˀi; sˀoto,*sow/y-₁; *siː-,*=ɗɔɗɔg- ₂,*ɗɔrɔgɔ- ₂,pàːlkíŋ ₃,dise-gu,*kekebe; *am-,*far- ₃,*raːri,*lab-,*ka=maːs,*t̪wɔ ₄,*=toy- ₄,*yaːm,*cai-
196,correct,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,near,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,far,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,right,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,left,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,at,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,in,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,with,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,and,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,if,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,because,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,name,10000 WORDS,*kiːd-,*meli,*kùː,k=ona,*rú,*ɔðɔ,*=rʊ,*aɓɛ,*ri ~ *ro,*=iri,k=iri,iri,*man,*čû,*kyu; *čero,*ʔɛtʊr,,,*cˀe-,*yarɛ ~ *ɛrɛ,wɔŋga-,*ǝri,*ðaːra ₁,*sarya ₁,tíríyá,a(ː)d-e ₂,*sa(C)a-,*aŋɛ- ₃,*kalɪŋ,*(ŋ=)at ₂,*aŋg-e ₃,*rɪn ₄,*k̚arɪn ₄,*k̚aʀɪn ₄,*(y)ed ₂
