#,Swadesh_207_gloss,PIE,p-Kunama,p-Maba,p-Berta,Fur,p-Moru-Madi,p-Lendu-Ngiti,p-Mangbetu,p-Mangbutu,p-Sara-Bongo-Bagirmi,p-Kresh,Aja,Birri,p-Songhay,p-Kanuri,p-Tubu,p-Zaghawa-Berti,p-Koman,Gule,p-Gumuz,p-Kadu,Shabo,p-Nubian,p-SW Surmic,p-SE Surmic,Majang,Nara,p-Jebel,p-Nyimang,p-Temein,p-Tama,p-Daju,p-W Nilotic,p-E Nilotic,p-S Nilotic,p-Kuliak
23,two,10000 WORDS,*baːr-,*mbaːr,*kolaŋ,aw,*irì,*ārʸɔ̄,*s=o(C)ru,*=ɖ=uwe,*riyo,*ɓir,bira,ukw=aːri,*híŋká,*(ì)ndí,*kyu,*su,*sʊ-,du=su-it,*m=band,*ari-a,bab,*awr-i ₁,*ram(m)a ₂,*raman ₂,pèːy,ari(-ga) ₁,*waC-; *ɖag,*ar(m)-(ba)- ₁,*k=aro ₁,*wari ₁,*pidaX,*=rɪaw ₁,*arɛ ₁,*ʌ=ʀi-ɛŋ ₁,*lɛmˀɛc
24,three,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,four,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,five,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,big,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,long,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,wide,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,thick,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,heavy,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,small,10000 WORDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
