		Kush @ Afro-Asiatic !??	NOT PIE! but some known loans	
142 	to play 	ciyaarid 	guitar.it	
143 	to float 	sabbeyn heehaabin jeegayn 	𓋴 𓍙 𓆑 𓊠 <> segeln ?	
144 	to flow 	soocan bulbulin dareer 	bul.bul.en flow.in'	
145 	to freeze 	dhaxamoodid 	!	
146 	to swell 	barar 	burb bear <> Berg Burg …	
147 	sun 	qorrax cadceed libdho 	sorrah 🌞♡ lieb	
148 	moon 	dayax 	dags 𐌳𐌰𐌲𐍃 <> day!	<<
149 	star 	xiddig 		
150 	water 	biyo 	<> bad = 𐦊	
151 	rain 	roob 	robin-	
152 	river 	webi 	web;)	
153 	lake 	haro 	halys	
154 	sea 	bad 	bath 𐦊 <> both	
155 	salt 	cusbo 	caspian™	
156 	stone 	dhagax 	dash® таш taš dutse@Hausa	
157 	sand 	ciid carro camuud 	≠mud	
158 	dust 	dhas bus biti awaare 	dhas™	
159 	earth 	carro arlo 	Kur > carro > terra  arlo Ackerl	
160 	cloud 	daruur cadhar 	cladhar ~ clouder	
161 	fog 	caad ceeryaan 	scary;)	
162 	sky 	cir samo 	ciel sama@Hausa asman@Persia < shamash 	
163 	wind 	dabayl 	de.blow	
164 	snow 	baraf 	barf™	
165 	ice 	baraf 	barf™	
166 	smoke 	qiiq qaac 	qaac.lem qualm	
167 	fire 	dab 	<---	
168 	ash 	danbas 		
169 	to burn 	gubid 		
170 	road 	jid waddo marin 	geht way.dao water 𓈗	
171 	mountain 	buur 	Berg burj	
172 	red 	gaduud casaan 		
173 	green 	cagaar 	cagaarøn 	
174 	yellow 	huruud jaale 	huang-red jaune	
175 	white 	cadaan 	<	
176 	black 	madow 	mud?	
177 	night 	habeen 	kabine2 𓎡𓎡𓇰	
178 	day 	maalin 		
179 	year 	sanad 	sun.ad 𒌓 SUN=UD 𒌚 sonate seasonate	
180 	warm 	dugsan diiran 	do.ran rán:燃  dachs •dwaram	
181 	cold 	qabow 	kal™	
182 	full 	buux 	bux=full ;)	
183 	new 	cusayb 	киʼ kʲiʔ  kî-sʸ @Yeniseian <> ák’aj  керла ? ǁqṵV חדש ħâdaš	
184 	old 	duug 	√dag=day betagt	
185 	good 	fiican 	ficken;)	
186 	bad 	xun 	shun	
187 	rotten 	balal hallowsan qaashay 		
188 	dirty 	wasakh 	washig	
189 	straight 	toos 	tau.ig < Tau.os	
190 	round 	gooban wareegsan 	ge-bent <> wagon	
191 	sharp (as a knife) 	afaysan 		
192 	dull (as a knife) 	kirkiran 	𓅪𓅪.on	
193 	smooth 	malaas 	mollig	
194 	wet 	qoyan 		
195 	dry 	qalalan 	> gan @ line Leinen	
196 	correct 	sax dhabaqan habban 	Sache haben	
197 	near 	dhow 	da	
198 	far 	fog 	fagh®	
199 	right 	midig 	right~mittig	
200 	left 	bidix 		
201 	at 			
202 	in 	dhex 	da	
203 	with 	la 	al …	
204 	and 	iyo 	y	
205 	if 	hadii 	what-iƒ	
206 	because 	li anna		
207 	name 	magac	magic :)	
